Creator rewards [13006:198946]	blocked-on-backend	-	13006:134301	SOURCE-BLOCKED, not built. Per-token popover: Locked (Yes/No) + Fee authority (address) + Shares (address -> %). NO source exists for any of the three rows. Measured live 2026-08-26: public.creator_rewards_config EXISTS but is a platform-wide creator_tier -> fee_share_percent lookup (7 rows: free 5% .. legend 15%) with NO token column, so it cannot answer "who holds THIS token's fee authority"; public.fee_distribution_ledger has creator_reward_amount but is keyed on user_id and holds 0 rows (writer exists at src/services/core/enhancedFeeService.ts:931, has never fired). TradeToken (trench-redesign/trade/types.ts:3-50) and DiscoveredToken carry no creator or fee-authority field. SolanaMintAccount (services/market/solanaMintService.ts:52-67) returns mint/freeze authority, decimals and supply only - no fee authority, no share split. CurveState (services/launchpad/bondingCurveService.ts:136-153) has `creator` but no fee authority, no shares and no lock flag. And the app already says so: src/pages/LaunchpadCreate.tsx:216-219 ships the copy "Creator rewards go to traders / Not available yet - creator-reward routing is not built on the launchpad path." ESCALATED - fee routing is money-adjacent and "Locked: Yes" is a safety claim; building card chrome that renders three Unavailable chips on a live surface adds noise, not function. 220x142.
Creator rewards [13006:347585]	blocked-on-backend	-	13006:260059	Same frame at tablet 768, 220x142. Identical subtree. See 13006:198946 for the full source audit.
Creator rewards [13006:348458]	blocked-on-backend	-	13006:295541	Same frame at mobile 375, 220x140 (title block 34 vs 36; otherwise identical subtree). See 13006:198946.
BTC chart [13006:252590]	done	src/components/trench-redesign/discover/ChainChartCard.tsx + chainCharts.ts + ChainPriceChips.tsx	13006:134301	BUILT. Real feed verified live 2026-08-26: BTC resolves in BOTH COINGECKO_ID_MAP ("bitcoin") and BINANCE_SYMBOL_MAP ("BTCUSDT"); price-proxy POST https://db.skai.trade/functions/v1/price-proxy {"path":"/simple/price?ids=bitcoin..."} -> {"bitcoin":{"usd":78518,...}}, and data-api.binance.vision klines returns real OHLC. Headline/change/High/Low are all derived from the SAME candle window the plot draws, so header and plot cannot disagree. MOUNT: found by artwork - the Trench screen's scroller strip prints $56.98K/$200.11/$112.98K, byte-identical to the three cards' headline figures, so the cards are that cluster's popovers (Figma Frame 1124, x=829 w=595, identical coords on 134301/135613/168043/184491/210576 - page-wide chrome). Mounted inside TrenchScroller.tsx, which reaches all six existing sites (DiscoverScreen:149,402 / TradeTerminal:46,139 / Launchpad:551). Timeframe pills 1m/1h/4h/24h; the 24h LABEL maps to interval "1d" because chartService's INTERVAL_SECONDS has no "24h" key. Desktop 391x287. 25+9+5+4 = 43 tests, mutation-checked.
SOL chart [13006:252627]	done	src/components/trench-redesign/discover/ChainChartCard.tsx + chainCharts.ts + ChainPriceChips.tsx	13006:134301	BUILT. Same component, asset SOL. Feed verified live 2026-08-26: "solana" / "SOLUSDT"; price-proxy returned {"solana":{"usd":97.02,"usd_24h_change":-0.7548...}}. Desktop 391x287.
BASE chart [13006:252806]	blocked-on-backend	src/components/trench-redesign/discover/ChainChartCard.tsx (renders the explicit unavailable state)	13006:134301	COMPONENT BUILT, SOURCE BLOCKED - and the obvious fix is a live trap. BASE is in neither COINGECKO_ID_MAP nor BINANCE_SYMBOL_MAP; chartService.ts:70-76 records BASE:"ETHUSDT" being REMOVED 2026-08-12 for drawing Ethereum under Base's logo. The tempting repair is COINGECKO_ID_MAP.BASE = "base", because that slug DOES resolve - measured live 2026-08-26 through this app's own proxy: {"base":{"usd":8.37949e-7,"usd_24h_change":-1.19...}}. $0.00000084 is an unrelated micro-cap, not the Base L2 (which is an L2 whose gas asset is ETH and has no token of its own), and a series built from it would be internally consistent so nothing downstream would look wrong. The card therefore renders "Chart unavailable" naming the missing mapping, its chip prints the unknown dash with the reason on hover, and every timeframe pill is disabled. chainCharts.test.ts "keeps BASE offline rather than mapping it to a wrong asset" is the regression guard. UNBLOCK = a real per-chain index price for Base; then one map entry lights the card up with no component change. Desktop 391x287.
BTC chart [13006:347909]	done	src/components/trench-redesign/discover/ChainChartCard.tsx + chainCharts.ts	13006:260059	BUILT. Tablet 768, 391x275. Same composition (16px padding, 8px header inset, 169px plot, same source order); only the type ramp steps down, and it rides the mobile `Sm/*` ramp - the tablet card is 2px off the mobile one and 12px off the desktop one. Implemented as a single `lg:` split.
SOL chart [13006:347946]	done	src/components/trench-redesign/discover/ChainChartCard.tsx + chainCharts.ts	13006:260059	BUILT. Tablet 768, 391x275. See 13006:347909.
BASE chart [13006:348125]	blocked-on-backend	src/components/trench-redesign/discover/ChainChartCard.tsx (renders the explicit unavailable state)	13006:260059	Tablet 768, 391x275. Same block as 13006:252806.
BTC chart [13006:348782]	done	src/components/trench-redesign/discover/ChainChartCard.tsx + chainCharts.ts	13006:295541	BUILT. Mobile 375, 354x273. Type ramp measured off get_design_context on this exact node: card radius 12 (vs 16), ticker Manrope 14/18 -0.56 (vs 18/24 -0.72), pills Mulish 12/14 -0.48 (vs 14/18 -0.56), headline Mulish Light 20/24 -0.80 (vs 32/38 -1.28), change + High/Low 12/14 (vs 12/16). Plot stays 169px at every width. Figma names these the `Sm/*` vs `Lg/*` styles.
SOL chart [13006:348819]	done	src/components/trench-redesign/discover/ChainChartCard.tsx + chainCharts.ts	13006:295541	BUILT. Mobile 375, 354x273. See 13006:348782.
BASE chart [13006:348998]	blocked-on-backend	src/components/trench-redesign/discover/ChainChartCard.tsx (renders the explicit unavailable state)	13006:295541	Mobile 375, 354x273. Same block as 13006:252806.
