Casino > Baccarat	partial	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx (+ baccaratFeltParity.test.tsx); rails supabase/functions/points-game/index.ts play_baccarat and supabase/functions/game-settlement/index.ts case 'baccarat'	- (NO /play/baccarat route; reachable only as a modal from Play.tsx:2201-2202 case "baccarat" and PlayTable.tsx:234)	OLD ROW: `unknown / - / -`, "Row created 2026-08-20 solely to carry the 375 completability verdict; no implementation assessment has been made ... No /play/<slug> route exists for this game." VERDICT: the route half is STILL TRUE and is the only game of the 21 with no /play/<slug> route (App.tsx registers 20 of 21; baccarat is the omission). Everything else UNDERSTATES: the widget ships and is mounted twice, BOTH rails settle it (points-game play_baccarat, game-settlement case 'baccarat'), useGameConfig.ts:141+423-428 has a full baccarat block, DEFAULT_CONFIG baccarat_enabled=true / baccarat_max_bet=1000 (gamingConfigService.ts), and prod site_config carries gaming_baccarat_max_bet=1000 (queried live 2026-08-26). So a player can already bet Baccarat. FIGMA: 21 live children on page 9737:13088 vs 19 in baccarat.nodes.txt - 2 live-only never harvested (10250-14407 a 4th desktop board state, 10250-14248 a screenshot raster), 0 catalog-only. Identified by ARTWORK not title: 9799:16713 is titled "...Blackjack (1440 x 900px)" but its H1 reads "Baccarat"; 9799:18183 is titled "...Blackjack (375 x 812px)" and reads "Baccarat" / "Tie Pays 8 to 1" / Player-Tie-Banker. Design set is complete for 1440 + 375 (no 768). MISSING TO REACH done: a /play/baccarat route + a BaccaratPage (+Sections); no BaccaratPage.tsx exists.
Casino > Bingo	partial	modules/skai-gaming/src/components/play/games/instant/BingoGame.tsx; page shell modules/skai-gaming/src/pages/play/BingoPage.tsx (31 lines, RoutedGamePage wrapper); rail points-game play_bingo + game-settlement case 'bingo'	/play/bingo (src/App.tsx:1653, GeoRestrictedRoute feature="play" -> BingoPage)	OLD ROW: `unknown / - / -` with a note that already said "Routed 2026-08-25 at /play/bingo". VERDICT: the note and the columns CONTRADICT EACH OTHER - the note names a live route while columns 3 and 4 read `-`, so every machine consumer of this file sees an unrouted, un-implemented game. Route and widget both verified present. `unknown` is a measurement artifact, not a finding: BingoPage.tsx is a RoutedGamePage shell (widget + minimal chrome) with NO BingoPageSections.tsx, so the 1440x3294 page column drawn at 9691:11229 is genuinely unbuilt - that is what makes this `partial`. The 375 page frame 9691:11942 (mis-titled "Blackjack") likewise has no implementation. The old note's 44px currency-toggle finding (53.4x28) is a real open defect and is carried forward. FIGMA: 16 live children on 9390:18296 vs 17 harvested; 1 catalog-only (9750-1837) has been deleted upstream, 0 live-only. Eight of the sixteen are 954x621 "Starting" board variants.
Casino > Blackjack	done	modules/skai-gaming/src/components/play/games/cards/BlackjackGame.tsx; page modules/skai-gaming/src/pages/play/BlackjackPage.tsx + BlackjackPageSections.tsx (+ BlackjackPageSections.test.tsx); rail points-game bj_deal/bj_play/bj_settle	/play/blackjack (src/App.tsx:1431)	OLD ROW: `done`, "STRONGEST FIGMA PARITY OF THE EIGHT GAMES", 10 component frames `match`, 3 page frames pass a numeric DOM audit at 1440/768/375, and the 3:2-vs-even-money rail fix at points-game/index.ts:2722. VERDICT: STILL TRUE and the only rollup whose ID set has not moved at all. FIGMA DRIFT: ZERO in both directions - 20 live children on 9003:112414, 20 in blackjack.nodes.txt, identical sets. Every node the row cites (9178-4169 / 8146 / 6080 / 4037 / 8446 / 10465 / 9840 / 8439 / 10677 / 12508 and page frames 9003-117337 / 119356 / 119858) is still live at those ids. Code paths and the route both verified present. Nothing to change. NOTE the row's own money claim (Math.round on the 3:2 natural) was NOT re-tested by this lane - economics are out of scope here and untouched.
Casino > Chicken	partial	modules/skai-gaming/src/pages/play/ChickenPage.tsx + ChickenPageSections.tsx (+ .test.tsx) mounting modules/skai-gaming/src/components/play/games/crash/ChickenGame.tsx; rail points-game chicken_start/chicken_step/chicken_reveal/chicken_cashout	/play/chicken (src/App.tsx:1545)	OLD ROW: `partial`, "ROUTE + DETAIL PAGE NOW BUILT (2026-08-05)", full page column built, mobile 9363-2936 served responsively. VERDICT: STILL TRUE - route, page, sections, widget and rail all verified present; the four-action POINTS rail (start/step/reveal/cashout) exists. FIGMA DRIFT: ZERO both directions (31 live on 9061:15464, 31 harvested, identical). Confirms the known title trap: the 1440 page frame is filed as "Skai > Play > Casino > Hi-Lo Start" (9363:1963) and the 375 as "Blackjack" (9363:2936) - identify by artwork. NO 768 frame exists in this section, so the tablet tier is design-absent, not unbuilt. Correctly `partial`.
Casino > Coinflip	partial	modules/skai-gaming/src/components/play/games/instant/CoinFlipGame.tsx; page modules/skai-gaming/src/pages/play/CoinflipPage.tsx + CoinflipPageSections.tsx; rail points-game play_coinflip + game-settlement case 'coinflip'	/play/coinflip (src/App.tsx:1523, GeoRestrictedRoute feature="play" -> CoinflipPage)	OLD ROW: `done`, "CLOSED 2026-08-05: vverify.coinflip.tsv now records 30 match / 2 deferred / 0 partial". VERDICT: the shipped half is still true (route, page, sections, widget, rail all present), but `done` NO LONGER COVERS THE SECTION - the Figma page grew by 8 children after that verdict and 3 of them are real design nobody has assessed. FIGMA DRIFT: 45 live on 9003:122027 vs 37 in coinflip.nodes.txt - 8 live-only, 0 catalog-only. Of the 8: 10215:5078 and 10215:6194 are new 954x621 "Desktop" board states (6194 prints "1.48x" / "300.50303"), and 10221:6245 is a new 324x66 control frame reading "Game Mode: / Classic / Target" - i.e. a game-mode selector that did not exist when the 30-match verdict was taken. The other 5 (10215:5029-5033) are raw "Screenshot 2026-08-24" rasters, scaffolding. RECOMMENDATION: hold at `partial` until those 3 are assessed; do NOT re-close on the strength of the old 30/2/0 count, which was measured against a 37-node set.
Casino > Crash	partial	modules/skai-gaming/src/components/play/games/crash/AviatorGamePro.tsx (+ autoBetRules.ts, betPanelLayout.ts, useCrashLiveRound.ts); page modules/skai-gaming/src/pages/play/CrashPage.tsx + CrashPageSections.tsx; rail points-game crash_start/crash_cashout/crash_auto + game-settlement case 'crash'	/play/crash (src/App.tsx:1490)	OLD ROW: `partial`, "DESKTOP DONE; THE SMALL-SCREEN TIER IS NOW BUILT (5 of its 6 frames), 1 DECLINED AS A RIVAL". VERDICT: STILL TRUE. All cited desktop nodes (9142-18315, 9137-13564, 9142-19454, 9142-16809, 9142-19197) and mobile nodes (9156-1198/1371/1558, 9142-15687) are live at those ids. FIGMA DRIFT: ZERO both directions (20 live on 9003:85754, 20 harvested). Route, page, sections, widget and the three-action POINTS rail all verified present. Correctly `partial`.
Casino > Darts	partial	modules/skai-gaming/src/pages/play/DartsPage.tsx + DartsPageSections.tsx + dartsPageContent.ts mounting modules/skai-gaming/src/components/play/games/instant/DartsGame.tsx (+ dartsBoardGeometry.ts, dartsAutoBet.ts); rail points-game play_darts + game-settlement case 'darts'	/play/darts (src/App.tsx:1613)	OLD ROW: `partial`, "ROUTE + DETAIL PAGE + MULTIPLIER LEGEND NOW BUILT (2026-08-05)". VERDICT: STILL TRUE - route, page, sections, content file, widget and rail all verified present, and prod site_config carries gaming_darts_max_bet=1000. FIGMA DRIFT: ZERO both directions (31 live on 9390:18294, 31 harvested). Same title trap as Chicken: the 1440 page frame 9392:1798 is filed "Hi-Lo Start" and the 375 frame 9442:17258 is filed "Blackjack". No 768 frame exists. Correctly `partial`.
Casino > Dice	done	modules/skai-gaming/src/components/play/games/instant/DiceGame.tsx (+ diceOdds.ts, diceAutoBet.ts, diceMarker.ts); page modules/skai-gaming/src/pages/play/DicePage.tsx + DicePageSections.tsx; rail points-game play_dice + game-settlement case 'dice'	/play/dice (src/App.tsx:1479)	OLD ROW: `done`, "FIGMA PARITY NEAR-COMPLETE: 15 of 22 frames carry a `match` visual verdict ... routed at /play/dice via DicePage + DicePageSections". VERDICT: HOLDS. Every cited node is still live (9069-959/859/1343/1458/2257/2378, 9062-17693, 9069-1068, 9065-1579, 9062-16886, 9003-44223, 9003-44847). Route, page, sections, widget, odds module and rail all verified present. FIGMA DRIFT: counts are equal at 36/36 but the SETS ARE NOT - 2 live-only (10192-2949, an `input/toggle` component instance; 10215-1015, a "Screenshot 2026-08-24" raster) and 2 catalog-only now deleted upstream (9100-5928, 9175-9500). Equal counts hiding an equal-sized swap is exactly the trap the brief names; neither live-only node is a screen, so the `done` verdict survives it. Dice remains the only game section with a full 1440 + two 768 + 375 page-frame set AND a shipped page for each.
Casino > Fortune Wheel	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx; page shell modules/skai-gaming/src/pages/play/FortuneWheelPage.tsx (38 lines, RoutedGamePage wrapper); rail points-game play_fortunewheel + game-settlement case 'fortune_wheel'	/play/fortune-wheel (src/App.tsx:1695, GeoRestrictedRoute feature="play" -> FortuneWheelPage)	OLD ROW: `unknown / - / -` with a note that already said "Routed 2026-08-25 at /play/fortune-wheel". VERDICT: same internal contradiction as Bingo - the note names the route, the columns say `-`. Route, page shell, widget and both rails verified present; DEFAULT_CONFIG fortune_wheel_enabled=true. `unknown` is a measurement artifact. It is `partial` and not `done` because FortuneWheelPage.tsx is a RoutedGamePage shell with NO FortuneWheelPageSections.tsx, so the 1440x3294 page column at 9691:12630 is unbuilt, as is the 375 page 9691:13343 (mis-titled "Blackjack"). FIGMA DRIFT: ZERO both directions (25 live on 9390:18297, 25 harvested). Note the 1440 frame here is filed "Skai > Play > Casino > Scratchers" - artwork, not title. The old note's 375 measurements (SPIN 307x56, currency 63x44) are carried forward unverified by this lane.
Casino > Hi-Lo	partial	modules/skai-gaming/src/pages/play/HiLoPage.tsx + HiLoPageSections.tsx + hiloPageContent.ts mounting modules/skai-gaming/src/components/play/games/cards/HiLoGame.tsx; rail points-game play_hilo + game-settlement case 'hilo'	/play/hilo (src/App.tsx:1602)	OLD ROW: `partial`, "ROUTE + DETAIL PAGE NOW BUILT (2026-08-05)", 768 (9058-4372) and 375 (9351-4708) served responsively. VERDICT: STILL TRUE for everything it asserts - route, page, sections, content, widget and rail all verified present, prod site_config has gaming_hilo_enabled=true, and hilo is one of only three game_types with real prod play history (3 rows). BUT THE FRAME SET MOVED UNDER IT: 16 live on 9058:1819 vs 20 harvested - 2 live-only that no verdict has ever seen (10248:9763, a new 954x621 "Desktop" board carrying the full multiplier ladder "Profit Higher: (3.22x)" / "Profit Lower: (1.29x)" / per-card 1.17x-2.86x rungs; and 10249:9938, a new 356x621 bet panel with Cashout / Skip Card / "Higher or Same 30.77%" / "Lower or Same 76.92%") and 6 catalog-only since deleted (9058-1833, 9058-2367, 9058-5154, 9058-6701, 9058-7261, 9494-4192). Correctly `partial`, but the two new frames are unassessed work, not old work.
