# key	status	primaryFile	route	reason	bp
Right menu - General 1440 [13006-181094]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	Body read end to end at this width. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. The 24-tall category row sits 16 over a 98-tall preview group whose caption, 50-tall picker pair and label row are 8 apart; three-row list 12; sound row 36; volume block a 34-tall readout over the 48-tall slider card on 16, card inset 12/12/8/12 round a 4-gap column of a 10 track over 14 ticks. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart. The 16 is now shipped and the oracle asserts the 16 and the 24 together at 375, 768 and 1440, because either read alone cannot tell a step from a number.	desktop=done
Right menu - General 768 [13006-322486]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	402-wide body. The category row is 20 tall and its group 16 over a 96-tall preview block, the same 16 both other boards draw, which is what makes it a value rather than a one-board number. Preview internals 8/8, list 12, sound row 34, volume block 16 over a 48-tall card on a 12/12/8/12 inset. ★ TWO OUTLIERS LEFT ALONE, both recorded rather than encoded. The 1440 board draws the duration readout in MULISH where 375 and 768 both draw MANROPE, so the shipped family stays Manrope. And this width reads 20 on the two outer body stacks where 375 and 1440 both read 24 - 20 is this width's own panel padding, and encoding it would put a DIP in a ramp only one board draws. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	tablet=done
Right menu - General 375 [13006-181656]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	335-wide body. Third independent read of the 16 between the 18-tall category row and the 94-tall preview group; the two outer stacks read 24 here, agreeing with 1440 and isolating the 20 the tablet board draws. Preview caption and label row 14 tall on 8 gaps round a 50-tall picker; list 12; sound row 30; volume block a 32-tall readout over the same 48-tall card. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	mobile=done
Right menu - Toasts - display 1440 [13006-181191]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	Display tab at this width, read on the node. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. SUB-TAB RAIL. Each pill is pad 2/8/2/8 at radius 4, so its height CLOSES on the padding at 18/20/22 and is not a fixed box; the code shipped a flat 32 with a 16 inset, 14/12/10 proud. The active tab is a FILLED tile, not an underline, and the row spaces 16 with a full-width hairline 6 BELOW it rather than flush under the pills. TOAST PREVIEW. 62 tall on an 8 vertical, 8 left, 12 right inset with both columns hung from the TOP; the code centred them on a flat 12. A 46 ring at radius 10 round a 42 tile at radius 8 leads the card and is where the 62 comes from (8+46+8) - there was no avatar at all - with an 11.2 chain chip on a 1.6 collar at its corner. Identity stacks 2: an 8-gap name row over a 4-gap stat row, mute and dismiss 10 apart at the right. DURATION SLIDER. The board draws a card the code had no trace of: radius 12, inset 12/12/8/12 round a 4-gap column of a 10-tall track over a 14-tall tick row, closing at 48 at every width, with a 1s/5s/10s scale dimmed to 0.44 off the selected mark. The code shipped a bare track. TYPE RAMP, read by name at all three widths. Customize table Manrope Regular 14/18 at 375 and 768 and 18/24 at 1440; the code rode a Mulish 14/20 label class, so it was the wrong FAMILY everywhere and 4px short on desktop. Sub-tab label Manrope Regular 12/14, 12/16, 14/18; the code shipped a flat 14/20. Preview name Manrope 12/14, 12/16, 14/18; preview address and the three stats Mulish 12/14, 12/14, 12/16. Duration readout 14/16 at 375 and 14/18 above; duration ticks Mulish 10/14, 10/14, 11/14. Column here is two rows on 12, a hairline, one row, then the duration block, all 16 apart. ★ TWO OUTLIERS LEFT ALONE, both recorded rather than encoded. The 1440 board draws the duration readout in MULISH where 375 and 768 both draw MANROPE, so the shipped family stays Manrope. And this width reads 20 on the two outer body stacks where 375 and 1440 both read 24 - 20 is this width's own panel padding, and encoding it would put a DIP in a ramp only one board draws. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	desktop=done
Right menu - Toasts - display 1440 [13006-181307]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	Market tab at this width, read on the node. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. SUB-TAB RAIL. Each pill is pad 2/8/2/8 at radius 4, so its height CLOSES on the padding at 18/20/22 and is not a fixed box; the code shipped a flat 32 with a 16 inset, 14/12/10 proud. The active tab is a FILLED tile, not an underline, and the row spaces 16 with a full-width hairline 6 BELOW it rather than flush under the pills. TOAST PREVIEW. 62 tall on an 8 vertical, 8 left, 12 right inset with both columns hung from the TOP; the code centred them on a flat 12. A 46 ring at radius 10 round a 42 tile at radius 8 leads the card and is where the 62 comes from (8+46+8) - there was no avatar at all - with an 11.2 chain chip on a 1.6 collar at its corner. Identity stacks 2: an 8-gap name row over a 4-gap stat row, mute and dismiss 10 apart at the right. DURATION SLIDER. The board draws a card the code had no trace of: radius 12, inset 12/12/8/12 round a 4-gap column of a 10-tall track over a 14-tall tick row, closing at 48 at every width, with a 1s/5s/10s scale dimmed to 0.44 off the selected mark. The code shipped a bare track. TYPE RAMP, read by name at all three widths. Customize table Manrope Regular 14/18 at 375 and 768 and 18/24 at 1440; the code rode a Mulish 14/20 label class, so it was the wrong FAMILY everywhere and 4px short on desktop. Sub-tab label Manrope Regular 12/14, 12/16, 14/18; the code shipped a flat 14/20. Preview name Manrope 12/14, 12/16, 14/18; preview address and the three stats Mulish 12/14, 12/14, 12/16. Duration readout 14/16 at 375 and 14/18 above; duration ticks Mulish 10/14, 10/14, 11/14. MARKET TAB BREAK. Market cap and Average bought sit on one list and Average sold on a SECOND, so the third row takes the column's 16 and not the list's 12. All three rendered on one list. Unanimous across the three widths, which is why it counts as a spec and not an authoring slip, and invisible to anyone reading a single tab. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	desktop=done
Right menu - Toasts - misc 1440 [13006-181430]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	Misc tab at this width, read on the node. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. SUB-TAB RAIL. Each pill is pad 2/8/2/8 at radius 4, so its height CLOSES on the padding at 18/20/22 and is not a fixed box; the code shipped a flat 32 with a 16 inset, 14/12/10 proud. The active tab is a FILLED tile, not an underline, and the row spaces 16 with a full-width hairline 6 BELOW it rather than flush under the pills. TOAST PREVIEW. 62 tall on an 8 vertical, 8 left, 12 right inset with both columns hung from the TOP; the code centred them on a flat 12. A 46 ring at radius 10 round a 42 tile at radius 8 leads the card and is where the 62 comes from (8+46+8) - there was no avatar at all - with an 11.2 chain chip on a 1.6 collar at its corner. Identity stacks 2: an 8-gap name row over a 4-gap stat row, mute and dismiss 10 apart at the right. DURATION SLIDER. The board draws a card the code had no trace of: radius 12, inset 12/12/8/12 round a 4-gap column of a 10-tall track over a 14-tall tick row, closing at 48 at every width, with a 1s/5s/10s scale dimmed to 0.44 off the selected mark. The code shipped a bare track. TYPE RAMP, read by name at all three widths. Customize table Manrope Regular 14/18 at 375 and 768 and 18/24 at 1440; the code rode a Mulish 14/20 label class, so it was the wrong FAMILY everywhere and 4px short on desktop. Sub-tab label Manrope Regular 12/14, 12/16, 14/18; the code shipped a flat 14/20. Preview name Manrope 12/14, 12/16, 14/18; preview address and the three stats Mulish 12/14, 12/14, 12/16. Duration readout 14/16 at 375 and 14/18 above; duration ticks Mulish 10/14, 10/14, 11/14. Two rows on 12 then the shared pair, matching the Display twin box for box at the same width. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	desktop=done
Right menu - Toasts - one click 1440 [13006-181546]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	One-click tab at this width, read on the node. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. SUB-TAB RAIL. Each pill is pad 2/8/2/8 at radius 4, so its height CLOSES on the padding at 18/20/22 and is not a fixed box; the code shipped a flat 32 with a 16 inset, 14/12/10 proud. The active tab is a FILLED tile, not an underline, and the row spaces 16 with a full-width hairline 6 BELOW it rather than flush under the pills. TOAST PREVIEW. 62 tall on an 8 vertical, 8 left, 12 right inset with both columns hung from the TOP; the code centred them on a flat 12. A 46 ring at radius 10 round a 42 tile at radius 8 leads the card and is where the 62 comes from (8+46+8) - there was no avatar at all - with an 11.2 chain chip on a 1.6 collar at its corner. Identity stacks 2: an 8-gap name row over a 4-gap stat row, mute and dismiss 10 apart at the right. DURATION SLIDER. The board draws a card the code had no trace of: radius 12, inset 12/12/8/12 round a 4-gap column of a 10-tall track over a 14-tall tick row, closing at 48 at every width, with a 1s/5s/10s scale dimmed to 0.44 off the selected mark. The code shipped a bare track. TYPE RAMP, read by name at all three widths. Customize table Manrope Regular 14/18 at 375 and 768 and 18/24 at 1440; the code rode a Mulish 14/20 label class, so it was the wrong FAMILY everywhere and 4px short on desktop. Sub-tab label Manrope Regular 12/14, 12/16, 14/18; the code shipped a flat 14/20. Preview name Manrope 12/14, 12/16, 14/18; preview address and the three stats Mulish 12/14, 12/14, 12/16. Duration readout 14/16 at 375 and 14/18 above; duration ticks Mulish 10/14, 10/14, 11/14. Single 24-tall row, hairline 16 below it, shared row 16 under that, duration block 16 under that. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	desktop=done
Right menu - Toasts - display 768 [13006-322583]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	Display tab at this width, read on the node. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. SUB-TAB RAIL. Each pill is pad 2/8/2/8 at radius 4, so its height CLOSES on the padding at 18/20/22 and is not a fixed box; the code shipped a flat 32 with a 16 inset, 14/12/10 proud. The active tab is a FILLED tile, not an underline, and the row spaces 16 with a full-width hairline 6 BELOW it rather than flush under the pills. TOAST PREVIEW. 62 tall on an 8 vertical, 8 left, 12 right inset with both columns hung from the TOP; the code centred them on a flat 12. A 46 ring at radius 10 round a 42 tile at radius 8 leads the card and is where the 62 comes from (8+46+8) - there was no avatar at all - with an 11.2 chain chip on a 1.6 collar at its corner. Identity stacks 2: an 8-gap name row over a 4-gap stat row, mute and dismiss 10 apart at the right. DURATION SLIDER. The board draws a card the code had no trace of: radius 12, inset 12/12/8/12 round a 4-gap column of a 10-tall track over a 14-tall tick row, closing at 48 at every width, with a 1s/5s/10s scale dimmed to 0.44 off the selected mark. The code shipped a bare track. TYPE RAMP, read by name at all three widths. Customize table Manrope Regular 14/18 at 375 and 768 and 18/24 at 1440; the code rode a Mulish 14/20 label class, so it was the wrong FAMILY everywhere and 4px short on desktop. Sub-tab label Manrope Regular 12/14, 12/16, 14/18; the code shipped a flat 14/20. Preview name Manrope 12/14, 12/16, 14/18; preview address and the three stats Mulish 12/14, 12/14, 12/16. Duration readout 14/16 at 375 and 14/18 above; duration ticks Mulish 10/14, 10/14, 11/14. Heading box 19 tall, pills 20, rule 6 below, column blocks 16, rows 12. ★ TWO OUTLIERS LEFT ALONE, both recorded rather than encoded. The 1440 board draws the duration readout in MULISH where 375 and 768 both draw MANROPE, so the shipped family stays Manrope. And this width reads 20 on the two outer body stacks where 375 and 1440 both read 24 - 20 is this width's own panel padding, and encoding it would put a DIP in a ramp only one board draws. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	tablet=done
Right menu - Toasts - display 768 [13006-322697]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	Market tab at this width, read on the node. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. SUB-TAB RAIL. Each pill is pad 2/8/2/8 at radius 4, so its height CLOSES on the padding at 18/20/22 and is not a fixed box; the code shipped a flat 32 with a 16 inset, 14/12/10 proud. The active tab is a FILLED tile, not an underline, and the row spaces 16 with a full-width hairline 6 BELOW it rather than flush under the pills. TOAST PREVIEW. 62 tall on an 8 vertical, 8 left, 12 right inset with both columns hung from the TOP; the code centred them on a flat 12. A 46 ring at radius 10 round a 42 tile at radius 8 leads the card and is where the 62 comes from (8+46+8) - there was no avatar at all - with an 11.2 chain chip on a 1.6 collar at its corner. Identity stacks 2: an 8-gap name row over a 4-gap stat row, mute and dismiss 10 apart at the right. DURATION SLIDER. The board draws a card the code had no trace of: radius 12, inset 12/12/8/12 round a 4-gap column of a 10-tall track over a 14-tall tick row, closing at 48 at every width, with a 1s/5s/10s scale dimmed to 0.44 off the selected mark. The code shipped a bare track. TYPE RAMP, read by name at all three widths. Customize table Manrope Regular 14/18 at 375 and 768 and 18/24 at 1440; the code rode a Mulish 14/20 label class, so it was the wrong FAMILY everywhere and 4px short on desktop. Sub-tab label Manrope Regular 12/14, 12/16, 14/18; the code shipped a flat 14/20. Preview name Manrope 12/14, 12/16, 14/18; preview address and the three stats Mulish 12/14, 12/14, 12/16. Duration readout 14/16 at 375 and 14/18 above; duration ticks Mulish 10/14, 10/14, 11/14. MARKET TAB BREAK. Market cap and Average bought sit on one list and Average sold on a SECOND, so the third row takes the column's 16 and not the list's 12. All three rendered on one list. Unanimous across the three widths, which is why it counts as a spec and not an authoring slip, and invisible to anyone reading a single tab. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	tablet=done
Right menu - Toasts - misc 768 [13006-322818]	done	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	/trench	Misc tab at this width, read on the node. BODY RHYTHM. The stack runs 24 except for the one group that holds the category row 16 over the block beneath it; the code ran a flat 24, so that block sat 8 low on every board. Inside the Customize-table group everything is 16 - heading to rail, rail to column, and the column's own four blocks - and each row list is 12. SUB-TAB RAIL. Each pill is pad 2/8/2/8 at radius 4, so its height CLOSES on the padding at 18/20/22 and is not a fixed box; the code shipped a flat 32 with a 16 inset, 14/12/10 proud. The active tab is a FILLED tile, not an underline, and the row spaces 16 with a full-width hairline 6 BELOW it rather than flush under the pills. TOAST PREVIEW. 62 tall on an 8 vertical, 8 left, 12 right inset with both columns hung from the TOP; the code centred them on a flat 12. A 46 ring at radius 10 round a 42 tile at radius 8 leads the card and is where the 62 comes from (8+46+8) - there was no avatar at all - with an 11.2 chain chip on a 1.6 collar at its corner. Identity stacks 2: an 8-gap name row over a 4-gap stat row, mute and dismiss 10 apart at the right. DURATION SLIDER. The board draws a card the code had no trace of: radius 12, inset 12/12/8/12 round a 4-gap column of a 10-tall track over a 14-tall tick row, closing at 48 at every width, with a 1s/5s/10s scale dimmed to 0.44 off the selected mark. The code shipped a bare track. TYPE RAMP, read by name at all three widths. Customize table Manrope Regular 14/18 at 375 and 768 and 18/24 at 1440; the code rode a Mulish 14/20 label class, so it was the wrong FAMILY everywhere and 4px short on desktop. Sub-tab label Manrope Regular 12/14, 12/16, 14/18; the code shipped a flat 14/20. Preview name Manrope 12/14, 12/16, 14/18; preview address and the three stats Mulish 12/14, 12/14, 12/16. Duration readout 14/16 at 375 and 14/18 above; duration ticks Mulish 10/14, 10/14, 11/14. ★ The tick scale labels its first mark 0s here where 375 and 1440 both draw 1s; the control floors at 1, so the two-board reading is the shippable one and 1s ships. Panel chrome unchanged and re-confirmed on this node: 442 wide at the two upper stops and 359 at 375, radius 24/16/12 and pad 24/20/12, footer two 62/50/44-tall halves 8 apart.	tablet=done
