# key	status	primaryFile	route	reason	bp
card - state 2 [9185-15853]	partial	modules/skai-gaming/src/components/play/ui/PlayStateCard.tsx	/play	MEASURED LIVE 2026-09-08 off the node, four children read child by child. Shell 428.67x224 VERTICAL gap 24 pad [16,16,16,16] SPACE_BETWEEN r24 fill #122524, effects BACKGROUND_BLUR 5.457 + DROP_SHADOW r4 offset (0,1) #000000/0.75, clipsContent true. THREE DIVERGENCES FOUND AND FIXED. (1) Ellipse 13 9185:15854 had NO implementation - 561x561 at (96,86), GRADIENT_RADIAL #56C7F3 to #001514, NODE opacity 0.64, LAYER_BLUR 250; shipped as an absolute rounded-full at left-[96px] top-[86px] size-[561px] opacity-[0.64] blur-[125px] (a Figma layer blur is twice the CSS radius - the same 250 to 125 conversion StreamTypeModal.tsx:54 records for its own Ellipse 13), tip state only since 9185:15873's three children contain no ellipse, and each content block took `relative` because an absolutely positioned sibling otherwise paints over static copy. (2) The tip glyph box 9185:15856 is 16x22 padded [3,0,3,0] round a 16px icon, i.e. centred on the heading's 22px line; mt-0.5 was 2px, now mt-[3px]. (3) The tip body 9185:15861 is #FFFFFF at NODE opacity 0.64 and shipped text-white/60 - the paint is opaque, so a fills-only probe reads full white and the 0.64 hides on the node. AT PARITY AND UNCHANGED: gap 24 = gap-6, pad 16 = p-4, r24 = rounded-3xl, the market caption 9185:15864 centred at x=131.33 = (396.67-134)/2, and the tip outcome BAR 9185:15865 396.67x42 r12 pad 12 SPACE_BETWEEN gap 10 fill #001615@0.8 BACKGROUND_BLUR 20 with both labels Mulish Regular 14/18 - 12+18+12 closes the 42. STILL PARTIAL FOR ONE REASON, AND IT IS NOT GEOMETRY: nothing mounts PlayStateCard. Grepped both trees 2026-09-08 - PlayStateCard.tsx, its test and components/play/ui/index.ts, no page and no section; the registry's other implFile, sportsbook/BetNotification.tsx, is exported by its index and imported by nothing either. Same verdict shape as 9170:113382. Oracle PlayStateCard.test.tsx, five new cases, proved red by mutating all five values at once - exactly five reddened, then restored.	desktop=partial tablet=partial mobile=partial @2026-09-08
card - state 1 [9185-15873]	partial	modules/skai-gaming/src/components/play/ui/PlayStateCard.tsx	/play	MEASURED LIVE 2026-09-08. Shell byte-identical to state 2 (428.67x224, r24, pad 16, gap 24, SPACE_BETWEEN, #122524, BACKGROUND_BLUR 5.457 + DROP_SHADOW r4/(0,1)/#000@0.75) and the impl matches it; the 5.457 background blur is inert against an opaque fill and is deliberately not drawn. Height closes 16+76+24+50+24+18+16 = 224. TWO DIVERGENCES FOUND AND FIXED, both in the parts wave 8 recorded by number without opening the node. (1) labels/tag 9185:15895 is 35x18 with padding [2,8,2,8] and a 1px INSIDE stroke, and its 11/14 Mulish label starts at x=8 from the pill's own edge - 8+19+8 = 35 and 2+14+2 = 18. A CSS border spends its pixel OUTSIDE the padding box, so `border px-2 py-0.5` drew 37x20; px-[7px] py-px lands 1+7 = 8 across and 1+1+14+1+1 = 18 tall. This is the border-box-versus-Figma-inset trap, and the recorded note named the number without noticing which box carried it. (2) A competitor crest 9185:15877 is an ELLIPSE 32x32 whose image fill has scaleMode CROP; the impl drew a square object-contain thumbnail, now size-8 rounded-full object-cover. RE-CONFIRMED AT PARITY: competitor list gap 12, row gap 8, name x=40 = 32+8, odds textAlignHorizontal RIGHT at Mulish 22/26 #FFFFFF, and the three outcome CTAs 126.89x50 pad [14,24,14,24] r12 #001615@0.8 with labels Manrope Regular 16/22 in #56C7F3 / #95A09F / #FF574A. PARTIAL FOR THE SAME MOUNT GAP as 9185:15853 - see that row.	desktop=partial tablet=partial mobile=partial @2026-09-08
Cards Large - Fortune Wheel On:hover [4645-70366]	done	modules/skai-gaming/src/components/play/ui/PlayGameCard.tsx	/play	MEASURED ON EVERY BOARD THE HOVERED FEATURED TILE IS DRAWN AT, 2026-09-08: this node and its grid twin 9099:147036 at 1440 (317x409), 10912:149039 at 768 (230x297), 11211:83242 at 375 (167x216). All four agree exactly on the hover treatment - stroke #56C7F3 weight 2 CENTER, one effect DROP_SHADOW r24 offset (0,16) #56C7F3 at 0.12, r16, fills #001615 + IMAGE + GRADIENT_LINEAR with stops #AF193F alpha 0 at t=0.531 and alpha 1 at t=1. Frame 608 253x90 at (32,287) / 198x74 at (16,207) / 135x80 at (16,124), i.e. bottom-and-side insets 32/32, 16/16 and 12/16, on gaps 8 / 4 / 4, with the title Manrope ExtraBold UPPER 24/24, 20/20, 16/16, the blurb Manrope Regular 14/18, 12/16, 12/14 at full opacity, and the subtitle Mulish Regular 11/14, 10/14, 10/14 at node opacity 0.64. Every one of those is what the component already draws (aspect-[317/409], rounded-[16px], the sky-blue ring and glow, TILE_STACK_INSET.featured, the 4-to-8 stack ramp, opacity-[0.64] on the subtitle) - DELTA ZERO across all three boards. ONE NEW MEASUREMENT AND ONE CORRECTION. The hover open control Frame 393 is 32x32 r8 pad 4 at (269,16) at 1440 and 24x24 at (190,16) / (131,12) below it, and the mark INSIDE it is 13x13 with a matching absoluteRenderBounds at all three widths - I9099:147043;1457:1871, I10912:149046;1457:1871, I11211:83249;1457:1871 - while the icons/action instance around it is 24x24 at every tier. The prop note had that 13 from a luminance scan of a screenshot; the number was right and the method was a proxy, so it now cites the nodes and PlayGameCard.test.tsx pins size-[13px] with no lg: rung (proved red by drawing the icon at the instance box instead). ALSO RECORDED SO IT IS NOT BUILT: labels/tag 4645:70367 in this frame is visible=false, a hidden leftover and not a spec.	desktop=done tablet=done mobile=done @2026-09-08
Blackjack mainframe [4752-56275]	partial	modules/skai-gaming/src/components/play/shared/GameShell.tsx	/play/blackjack	SHELL HALF MEASURED AND AT PARITY, PAGE HALF IS ANOTHER LANE'S FILE. Read live 2026-09-08: 1318x721, cornerRadius 16, VERTICAL gap 32, padding [16,16,16,16], clipsContent true, fill #122524, stroke #123F3C weight 1 CENTER, one effect DROP_SHADOW r80 spread 0 offset (0,10) rgba(0,0,0,0.25). Children Frame 630 1286x36 at y=16, Frame 658 1286x621 at y=84 (16+36+32 closes the gap), Volume 126x26 r12 pad 8 fill #122524 stroke #123F3C. GameShell's fullscreen surface draws every one of those it owns - rounded-[16px], border-green-coal-100, bg-green-coal-200, shadow-[0_10px_80px_0_rgba(0,0,0,0.25)], overflow-hidden, max-w-[1318px] - and gameShellPanelSurface.test.tsx already pins them, so nothing changed here this wave. The frame's own 16px padding and 32px gap belong to the page sections below it, which are BlackjackPageSections.tsx, the row's other implFile and not this lane's; the shell deliberately carries no padding and its p-3/md:p-4 is the page gutter that all 19 *PageSections cancel. Row stays partial because that half is unmeasured here, not because the shell diverges. Its sibling 4755:57158 is confirmed a frame defect on the same read: r0, no fill, no effects, empty stroke paint, and it stacks Frame 267 (a whole second 1318x721 mainframe) beside three loose siblings.	desktop=done tablet=unknown mobile=unknown @2026-09-08
Bet button - active [8526-132080]	partial	modules/skai-gaming/src/components/play/shared/BetControls.tsx	/play	MEASURED LIVE 2026-09-08, AND THE ROW POINTS AT THE WRONG ONE OF ITS TWO implFiles. The frame is a 356x621 sportsbook BET PANEL: Frame 270 8526:132082 r16 VERTICAL gap 32 pad [16,16,16,16] fill #122524 DROP_SHADOW r80 offset (0,10) #000000/0.25, holding Frame 356 324x98 (stake block over a 16-tall SPACE_BETWEEN meta row), Frame 659 324x96 (two 324x44 chip rows on an 8 gap), and the button this row is named for - CTA/button 8526:132153, 324x64, r16, padding [20,40,20,40], itemSpacing 10, fill #56C7F3, a 24px icons/wallet and 'Start game' in Manrope Regular 16/22 #001615; 20+24+20 closes the 64 on the icon, not the label. That is BetPanel.tsx's control, which is the sportsbook lane's file. BetControls.tsx is built to the GAMES file M6r9FEn042UWTQD1zvy6GM instead - its own header records the correction, that an earlier pass built it to these five agreeing 356x621 Play-page frames and shipped three of eight game pages 8px over, because the Games block is 324x90 at gap 8 with the chips OUTSIDE a 160 card. So this row must not be closed against BetControls: the numbers above are recorded for the lane that owns BetPanel.tsx. Nothing edited here.	desktop=partial tablet=unknown mobile=unknown @2026-09-08
tool-tip [9170-113382]	partial	modules/skai-gaming/src/components/play/ui/PlayTooltip.tsx	/play	RE-MEASURED INDEPENDENTLY 2026-09-08 and the wave-28 fix holds on every value. Instance 250x70; bubble I9170:113382;1243:947 234x70 r8 padding [8,16,8,16] fill #123F3C with an empty effects array; inner column 202x54 at (16,8) on gap 8; body I9170:113382;1243:952 Mulish Regular 14/18 fill #E0E0E0 opaque; connector I9170:113382;1243:960 a rotation-90 frame whose VECTOR is 35.01x16 filled #123F3C with absoluteRenderBounds 16 across by 35 down, and 234+16 = 250 exactly. Shipped PlayTooltip resolves to max-w-[234px] rounded-[8px] bg-green-coal-100 px-4 py-2 border-0 shadow-none, text font-mulish text-sm leading-[18px] tracking-[-0.04em] text-skai-gray-100, and an Arrow at width 35 / height 16 fill-green-coal-100 with overflow-visible on the panel. DELTA ZERO. STILL PARTIAL FOR THE MOUNT, NOT THE GEOMETRY: re-grepped both trees 2026-09-08 and PlayTooltip appears only in its own file, its own test and components/play/ui/index.ts. Positive control on the same query shape - PlayGameCard returns eight files under pages/play alone - so the grep can find an importer when there is one. The frame that places it (9170:113296) puts the trigger beside a parlay card's '2 Legs' label, which is the sportsbook lane's territory.	desktop=partial tablet=partial mobile=partial @2026-09-08
card [4595-48921]	frame-defect	modules/skai-gaming/src/components/play/ui/PlayStateCard.tsx	/play	CONFIRMED A DEFECT ON A LIVE READ 2026-09-08, not carried over. 1202x445, VERTICAL gap 16, padding [16,16,16,16], counterAxis CENTER, cornerRadius 0, ONE fill of type IMAGE at scaleMode FILL, and ZERO children. Its twin 10672:18361 returns the identical shape at a different x. So the frame is a bare raster with auto-layout settings that govern nothing and no corner at all - there is no spec here to build, and PlayStateCard's `artwork` state (which does draw rounded-3xl) is not contradicted by it because the frame states no radius rather than stating 0 deliberately. Left as frame-defect with the numbers recorded so the next reader does not re-open it.	desktop=n-a tablet=n-a mobile=n-a @2026-09-08
Skai > Play > Favourites 1VH (375 x 812px) [10949-220217]	partial	modules/skai-gaming/src/components/play/ui/PlayCollectionView.tsx	/play/favourites	TITLE ROW AND GRID MEASURED LIVE 2026-09-08 AND BOTH AT PARITY; THE REST OF THE BOARD IS NOT THIS FILE. Header Frame 1000003838 11211:85877 is 343x32 HORIZONTAL gap 8 padding [0,8,0,0] counterAxis CENTER, holding Frame 450 311x24 whose Frame 345 runs a 24x24 icons/action then 'Favourites' in Manrope LIGHT 20/24 #FFFFFF starting at x=34 (24 + the row's 10px gap), and a bare 16x16 icons/action at x=319 where the wider cuts put a search box - 311 + 8 + 16 = 335 against the 343 row, which is what the right padding of 8 is for. Grid Frame 1000003837 10953:221238 is 342 wide, VERTICAL, itemSpacing 8, five rows of two tiles. The shipped header ramp (Manrope Light 20/24 at this width), the x=34 start, the collapsed glyph and its pr-2, and the grid's `grid-cols-2 gap-2` all match, independently of the notes that already record them. STAYS PARTIAL because the board is a whole page: below the grid it carries a `line` divider, Frame 642 (content + a 420-tall FAQ) and the mobile header and bottom navigation, none of which is PlayCollectionView's file. Nothing edited here - recorded so the next wave knows which half is closed.	mobile=partial @2026-09-08
Skai > Play > Favourites (768 x 1024px) [10949-219911]	partial	modules/skai-gaming/src/components/play/ui/PlayCollectionView.tsx	/play/favourites	SAME TWO HALVES MEASURED LIVE 2026-09-08 as the 375 board, and the tablet cut is where the search box appears. Header Frame 629 10949:219914 is 708x32 HORIZONTAL gap 8 with NO padding, Frame 450 500x28 carrying the 24x24 glyph and 'Favourites' in Manrope LIGHT 24/28 #FFFFFF at x=34, then Frame 405 at x=508 (500 + the row's 8) holding a search 200x32 r8 padding [8,24,8,16] fill #001615 stroke #123F3C 1 INSIDE, its 16px glyph at x=16 and 'Search games' in Manrope Regular 12/16 #95A09F at NODE opacity 0.74 starting at x=42. Every one of those is what PlayGameSearchField and the title row already draw, including the 0.74 as placeholder:opacity-[0.74] rather than a lightened hex. Grid 10952:220671 is 708 wide, VERTICAL, itemSpacing 8, three rows whose tiles are 171 across - 4 x 171 + 3 x 8 = 708 exactly, which is the shipped `md:grid-cols-4 gap-2`. PARTIAL FOR THE SAME REASON as 10949:220217: the divider, Frame 642 and the tablet header and bottom navigation on this board are other files.	tablet=partial @2026-09-08
card [10672-18361]	frame-defect	modules/skai-gaming/src/components/play/ui/PlayStateCard.tsx	/play	Same read and same verdict as 4595:48921 - 1202x445, VERTICAL gap 16, padding [16,16,16,16], cornerRadius 0, one IMAGE fill at scaleMode FILL, zero children. Measured 2026-09-08 rather than inferred from its twin: both nodes were opened.	desktop=n-a tablet=n-a mobile=n-a @2026-09-08
