# key	status	primaryFile	route	reason	bp
Skai > Trench > Trade > Positions 1VH (1440 x 900px) [13006-219610]	partial	src/components/trench-redesign/trade/PositionsPanel.tsx	/crypto/:symbol	FIXED this wave: the eight-column TRACK. FIGMA - header 13006:221117 and row 13006:221127 put their cells at the SAME x, and the x values are fractional: 0 / 174.2857 / 290.5714 / 421.8571 / 538.1428 / 624.4285 / 710.7142 / 827 inside a 991px content box, 12 in from a 1015px track. Widths 158 (Token, Frame 22) / 100 (Bought, Frame 1201) / 115 (Sold, Frame 1202) / 100 (Remaining, Frame 639) / 70 (PnL, Frame 1200) / 70 (PnL%) / 100 (Amount) / 164 (Actions, Frame 482, holding a 64px CTA and a trailing icon). 877 of cells in 991 leaves 114, which is seven 16.2857px gaps - a remainder, not a design step, so the distribution is SPACE_BETWEEN. CODE BEFORE: grid-cols-[minmax(140px,1.4fr)_repeat(6,1fr)_72px] items-center gap-3 px-3, which resolves at a 1015 track to widths 157.97 / 112.84 x6 / 72 starting at 0 / 169.97 / 294.81 / 419.65 / 544.49 / 669.32 / 794.16 / 919.00 - a per-column delta against the frame of -4.3 / +4.2 / -2.2 / +6.3 / +44.9 / +83.4 / +92.0, and Actions 72 wide where the frame draws 164. CODE AFTER: grid-cols-[158px_100px_115px_100px_70px_70px_100px_164px] items-center justify-between px-3, resolving to the frame's eight offsets to 4 decimal places. The >=lg table also gains its own overflow-x-auto scroller over min-w-[901px] (877 + the 24px px-3), because a fixed 901px track in the 1fr column of a 1024 board would otherwise escape to the app shell's main - the same scroller TransactionsPanel already runs its >=lg table in. ORACLE: trenchTableTracks.figma.test.tsx parses the exported template, lays it out at the frame's own track width and compares an offset per column; positive control is TX_GRID_COLS, which was already correct and resolves to 13006:234845's own offsets. Proved red by three extending mutations run separately - 164px -> 72px (2 failed), justify-between -> gap-3 (1 failed), min-w-[901px] -> min-w-[900px] (1 failed) - each restored by file copy and md5-verified against the pre-mutation bytes. STILL PARTIAL: only the table track and the row pitch were measured on this frame this wave. The footer, the tab rows, the chart column and the rail keep whatever status earlier waves gave them, and the Bought / Sold columns still render the unsourced marker rather than a number.	desktop=partial
Skai > Trench > Trade > Dev tokens 1VH (1440 x 900px) [13006-230793]	partial	src/components/trench-redesign/trade/DevTokensPanel.tsx	/crypto/:symbol	FIXED this wave: the nine-column TRACK. FIGMA - the ROW carries it and it does NOT ramp. 13006:232313 (1440) and 13006:270973 (768) both lay 150 / 50 / 30 / 80 / 80 / 80 / 80 / 100 / 30 (Token Frame 22, Migrated Frame 635, Dex, Mkt. Cap., ATH, Liquidity, 1H volume, Fees Frame 639, Bal.); only the free space differs - 9px over eight gaps in the 1440 frame's 689px content box (1.125 each) against 73px in the 768 frame's 753px box (9.125 each). Reading the columns off the ROW rather than the header matters: each header cell is sized to its own label and wobbles either side of the row - 13006:232302 reads Token 150 / Migrated 58 while 13006:270962 reads 148 / 47 for the same two columns. CODE BEFORE: grid-cols-[minmax(158px,1.8fr)_64px_48px_repeat(6,minmax(72px,1fr))] gap-3 px-3, which resolves at the 768 track to 125.8 / 64 / 48 / 69.9 x6 - every column wrong, Bal. 39.9 over and Fees 30.1 under. CODE AFTER: grid-cols-[150px_50px_30px_80px_80px_80px_80px_100px_30px] items-center justify-between px-3, landing on both boards' offsets to 4 dp. The min track moved with it: min-w-[830px] was the sum of the code's own floors and nothing on either board, and is now min-w-[777px] lg:min-w-[704px] - the frame's own 777px track at 768, where it is wider than that board's ~712px content column and scrolls, and the nine cells plus the 24px inset at 1440, where the frame's 713px track already exceeds them. ORACLE + MUTATIONS: see the Positions row; 150px -> 158px reddened 3 cases and min-w-[777px] lg:min-w-[704px] -> min-w-[830px] reddened 1. ALSO FIXED: the loading skeleton drew a flat 52px row against this table's measured 44 (28-tall content box + 8 above and below the rule), so eight rows settled 64px up when the data landed; row and skeleton now read one DEVTOKENS_ROW_HEIGHT. STILL PARTIAL: four of the nine columns (Migrated, ATH, Fees, Bal.) have no source and render a dash, and the frame's right rail - a "% Migrated" donut and a "Token stats" card - is not built, both for the same missing migration source.	desktop=partial
Skai > Trade > Trench > Tables - Dev tokens - full (768x1024px) [13006-270826]	partial	src/components/trench-redesign/trade/DevTokensPanel.tsx	/crypto/:symbol	Same track fix as 13006-230793, measured on THIS board's own row: 13006:270973 lays 150 / 50 / 30 / 80 / 80 / 80 / 80 / 100 / 30 at x 0 / 159.125 / 218.25 / 257.375 / 346.5 / 435.625 / 524.75 / 613.875 / 723 inside a 753px content box, 12 in from a 777px track. CODE BEFORE resolved to 125.8 / 64 / 48 / 69.9 x6 on a 12px gap; CODE AFTER lands every one of the nine offsets to 4 dp. The min track is now this frame's own 777, where it was 830. Header band and header leading were already right and were re-measured here rather than assumed: 13006:270962 is a 16-tall text box with its rule at y=24, and the code's h-[22px] md:h-6 with skai-para-3 leading-[14px] md:leading-4 resolves to 24/16 at this width - delta 0 on both. STILL PARTIAL: the four unsourced columns, as on the 1440 board.	tablet=partial
Skai > Trade > Trench > Tables - Dev tokens - full (375 x 812px) [13006-302846]	partial	src/components/trench-redesign/trade/DevTokensPanel.tsx	/crypto/:symbol	FIXED this wave: the FIVE-column phone cut's track. FIGMA - row 13006:302991 keeps Token / Migrated / Mkt. Cap. / 1H volume / Bal. at 150 / 50 / 80 / 55 / 30, x 0 / 152.75 / 205.5 / 288.25 / 346 inside a 376px content box, 12 in from a 400px track; the 11px left over opens four 2.75px gaps. Token and Migrated hold the same 150 / 50 they have in the nine-column cut. CODE BEFORE: grid-cols-[minmax(88px,1.4fr)_52px_repeat(3,minmax(70px,1fr))] gap-3 px-3, resolving at that track to 87.8 / 52 / 62.7 / 62.7 / 62.7 - Token 62.2 short and Bal. 32.7 over. CODE AFTER: grid-cols-[150px_50px_80px_55px_30px] items-center justify-between px-3, landing all five offsets to 4 dp, and the min track moved from 430 to the frame's own 400. Mutation proof that the tolerance bites: 55px -> 54px, a ONE-pixel change to the 1H volume column, reddens the case. The header band was re-measured and already matches - 13006:302984 is 14 tall with its rule at y=22, and the code's h-[22px] resolves to 22 at this width, delta 0. STILL PARTIAL: the four unsourced columns.	mobile=partial
Skai > Trade > Trench > Tables - Dev tokens - collapsed 1VH (375 x 812px) [13006-302072]	partial	src/components/trench-redesign/trade/DevTokensPanel.tsx	/crypto/:symbol	Carries the same five-column phone track as 13006-302846, fixed this wave - see that row for the measurement, the before/after and the mutation proof. Nothing else on this frame was measured this wave.	mobile=partial
Skai > Trench > Trade > Transactions 1VH (1440 x 900px) [13006-233358]	partial	src/components/trench-redesign/trade/TransactionsPanel.tsx	/crypto/:symbol	MEASURED BOTH SIDES, delta zero - this frame is the POSITIVE CONTROL for the other three tables' fix, not a fix itself. FIGMA header 13006:234845 and row 13006:234863 put six cells of 50 / 90 / 140 / 115 / 100 / 230 at x 0 / 103.2 / 246.4 / 439.6 / 607.8 / 761 inside a 991px content box (the same 1015px track every 1440 Trench table draws). CODE TX_GRID_COLS = grid-cols-[50px_90px_140px_115px_100px_230px] items-center justify-between px-3 resolves to exactly those six offsets. Row pitch likewise: the frame's content box is 28 tall at y=32 with the header rule at y=24, so 8 + 28 + 8 = 44, and TX_ROW_HEIGHT resolves to 44 at 375, 768 and 1440 - delta 0. The oracle can still go red on this row: 140px -> 139px reddens it. FIXED this wave: the loading skeleton drew a flat 52px row against that 44, settling eight rows 64px up the moment data landed; the >=lg skeleton now takes TX_ROW_HEIGHT. The compact skeleton is deliberately untouched - below lg this frame's siblings draw a 94px card on a 118px pitch, not a row, and I did not re-measure that.	desktop=partial
Skai > Trade > Trench > Tables - Holders 1VH (375 x 812px) [13006-299940]	partial	src/components/trench-redesign/trade/HoldersPanel.tsx	/crypto/:symbol	MEASURED BOTH SIDES on the row pitch and the header band, delta zero on both, and the loading skeleton FIXED. FIGMA 13006:299604: the header text box is 14 tall with its rule at y=22.000 (13006:299614), and the row content boxes sit at y 30.000 / 76.000 / 122.000 / 168.000 / 214.000 / 260.000 / 306.000 / 352.000 - a pitch of exactly 46.000, which is the 30-tall box plus the 8px Frame 286 leaves either side of the hairline. CODE h-[22px] resolves to 22 and h-[46px] to 46 at this width. The skeleton drew 52 for the same table, so eight loading rows settled 48px up on arrival; row and skeleton now share HOLDERS_ROW_HEIGHT, proved red by unpairing them and by moving the md step to sm (the 640 rung no board specifies). BLOCKED, and this is why the frame stays partial: it draws FIVE wallet-level trader columns - S/N (20) / Wallet (200) / uPnL (60) / Remaining (100) / Held (30) on a 530px track, space-between - and the code draws S/N / Wallet / Balance / % Supply / spacer because useTokenHolders has no source for uPnL, Remaining or Held. The track cannot be laid on the frame's cells without inventing three columns of numbers. Raised as blockedOnCasey.	mobile=partial
Skai > Trade > Trench > Tables - Holders 1VH (768x1024px) [13006-269297]	partial	src/components/trench-redesign/trade/HoldersPanel.tsx	/crypto/:symbol	Row pitch MEASURED BOTH SIDES, delta zero, and the loading skeleton fixed with 13006-299940. At this board the table is the NINE-column one scrolled: the 1:1 render of this frame shows S/N / Wallet / SOLbalance (last active) / Bought (avg. buy) / Sold (avg. sell) / uPnL with a horizontal scrollbar under it, and its row centres fall at y 329 / 379 / 429 / 479 / 529 / 579 / 629 / 679 - a 50px pitch. CODE md:h-[50px] resolves to 50 from 768 up, delta 0 (method: measured on the render, not on node geometry, because the row nodes of this frame were not enumerated). ★ CITATION CORRECTION for whoever takes this next: columns.ts filed 13006:300412 and 13006:301008 as the "768" holder headers. Both are 1015px-wide NINE-column headers, and their parent frames 13006:300408 / 13006:301004 measure 1207x611 - they are the wide table, which this board scrolls rather than a 768-specific cut. The band and leading numbers taken from them still hold at 768 (24 and 16), but the attribution was wrong. BLOCKED on the same nine unsourced columns as 13006-299940.	tablet=partial
Skai > Trade > Trench > Tables - Top holders 1VH (375 x 812px) [13006-301601]	partial	src/components/trench-redesign/trade/TopHoldersPanel.tsx	/crypto/:symbol	Same table, same shared grid and same shared row height as HoldersPanel, and the loading skeleton fixed with it. FIGMA header 13006:302323: five cells S/N (20) / Wallet (200) / uPnL (57) / Funding (100) / Held (30) at x 12 / 56.75 / 281.5 / 363.25 / 488 on a 530px track - 407 of cells in 506 leaving four 24.75px gaps, so space-between here too. Note the 4th column reads FUNDING on this table where the Holders table at the same width (13006:299608) reads REMAINING, and the uPnL box is 57 against Holders' 60: the two 530px tables are authored a few pixels apart. BLOCKED for the same reason - the code's five columns are S/N / Wallet / Balance / % Supply / spacer and neither uPnL nor Funding nor Held has a source.	mobile=partial
Skai > Trade > Trench > Tables - Top holders 1VH (768x1024px) [13006-270061]	partial	src/components/trench-redesign/trade/TopHoldersPanel.tsx	/crypto/:symbol	Loading skeleton fixed with 13006-301601; nothing else on this frame was measured this wave. Its wide header 13006:301008 is the same 1015px nine-column header as the Holders table's - see the citation correction on 13006-269297. BLOCKED on the unsourced columns.	tablet=partial
