# key	status	primaryFile	route	reason
Frame 1000004045 [9363-4571]	partial	modules/skai-gaming/src/components/play/games/crash/ChickenGame.tsx	/play/chicken	THREE MEASURED DELTAS FIXED THIS WAVE, each with both sides stated and an oracle proved red by reverting the pre-fix shape (chickenBetPanel.test.tsx, +3 describe blocks, suite 28/28). (1) MANUAL/AUTO PILL RADIUS. Figma: the track 9364:1302 is 324x42 r12 fill #001615 pad 4, holding two 158x34 `card` frames — 9364:1303 Manual fill #001615 r10, 9364:1310 Auto fill #56C7F3 r12. Code before: both pills `rounded-[10px]`, so the selected pill resolved to 10 against the frame's 12, delta 2px. Code after: radius rides the same condition as the fill — `rounded-[12px]` on the accent branch, `rounded-[10px]` on the plain one. Auto is the selected tab in all four artboards, so radius and fill are only ever observed together; the pairing is what the component now ties to its own selection, and the ambiguity is recorded rather than hidden. Mutation: `rounded-[10px]` back on the accent branch fails 2 assertions, the other two new blocks stay green. (2) ADVANCED TOGGLE, CHECKED TRACK. Figma: one `input/toggle` instance, two states — 9364:2113 (this frame, Advanced closed) track vector #95A09F, 9368:3923 (Advanced open) track #56C7F3, and the mobile pair 9380:10397 / 9380:10508 read identically. Code before: `data-[state=unchecked]:bg-[#95A09F]` only, so the CHECKED state fell through to the Switch primitive's own `data-[state=checked]:bg-primary`, and --primary is `160 84% 55%` = Alien Green #2DEDAD under src/index.css:493 and under skai-gaming's DARK_THEME_VARS alike. Delta #2DEDAD vs #56C7F3. Code after: `data-[state=checked]:bg-[#56C7F3]`. The oracle reads the ABSENCE of `data-[state=checked]:bg-primary` from the merged class list, which is what proves the override landed in the primitive's own tailwind-merge variant group rather than sitting behind it. Mutation: dropping the class fails 1. (3) ON WIN / ON LOSS SEGMENT SPLIT — see 9368-3835, the frame that draws those rows. ★ POSITIVE CONTROL for every Figma read above: the same properties read on the frames the code already agreed with came back agreeing — track radius 12, track fill #001615, unchecked toggle #95A09F, pill fills #56C7F3 / #001615. STILL PARTIAL, and for reasons that are NOT build gaps and are on report af18e8ad: the frame's Risk block draws THREE 100px pills Low/Medium/High where the rail settles FOUR boards (easy/medium/hard/daredevil, the last priced to 75969.60x) so the build ships four flex-1 pills under a "Difficulty" heading; the CTA is labelled "Bet" here against the build's phase-dependent "Play" / "Start Auto (N games)"; the right-aligned "$21.00" beside the balance has no price source; and the infinity glyph inside Number of Lanes / Number of Bets reads as unbounded auto-play that nothing bounds. Both escalations restated in this wave's blockedOnCasey with two options each.
Frame 1000004096 [9368-3835]	partial	modules/skai-gaming/src/components/play/games/crash/ChickenGame.tsx	/play/chicken	356 x 859.333, the desktop panel with Advanced OPEN — the only frames that draw the four staking rules. ON WIN / ON LOSS SEGMENT SPLIT FIXED. Figma, read on all four advanced rows and identical on every one (9368:3926 On Win, 9368:3938 On Loss, and the mobile pair 9380:10511 / 9380:10523): the row is 324 wide, HORIZONTAL gap 15; the left shell `Frame 1000004084` is 212x42 r12 fill #001615 with 4 of padding, so its inner track `Frame 1000004088` is 204 at gap 3; inside it `Reset` is 82x34 r8 on #123F3C with 12 of side padding and `Increase By:` is 119x34 r8 on #122524 with 16. 82 + 3 + 119 = 204 and 4 + 204 + 4 = 212, so Side B closes on the shell before anything is measured against it (asserted). Code before: `w-[78px]` on Reset with the other segment `flex-1`, which resolves to 78 / 3 / 123 inside the same 204 — Reset 4px narrow, Increase By: 4px wide. Code after: `w-[82px]`, the other half still flex-1 so the 119 follows without a second literal to keep in step. Mutation: 78 back on both sites fails 1 assertion, the pill-radius and toggle blocks stay green. The pill-radius and toggle-track fixes recorded on 9363-4571 apply to this frame too — its own tab row 9368:3836 reads Manual r10 / Auto r12 and its toggle 9368:3923 reads #56C7F3, which is the frame that DISPROVES the earlier note that "no frame on this page draws the ON state, so a literal would be a guess". Everything else on this frame was measured and already matched: shell 212 r12 pad 4 (`flex-1` inside a 324 row less gap 15 less the 97 value card = 212 exactly), inner gap 3 (`gap-[3px]`), segment radius 8, side padding 12 / 16 (`px-3` / `px-4`), fills #123F3C selected and #122524 unselected, the 97x42 r12 value card at padding 12 gap 10 (`w-[97px] px-3 gap-2.5`), and the label ramp Manrope 12/16/-4% at node opacity 0.64. STILL PARTIAL: same af18e8ad escalations as 9363-4571 (Risk pill set, CTA copy), plus the frame's right-aligned "$1,376.97" beside Stop on Win / Stop on Loss, whose fiat half has no price source and whose own numbers disagree with each other.
Frame 1000003779 [9380-10283]	partial	modules/skai-gaming/src/components/play/games/crash/ChickenGame.tsx	/play/chicken	347 x 441.333, the MOBILE panel — radius 12, padding 12, gap 16, and the column INVERTED against desktop: CTA at y=12, then Bet amount, Number of Lanes, Number of Bets, Advanced, and the Manual/Auto track LAST at y=387.333. Carries the same two fixes as 9363-4571 and they were read on this frame's own nodes, not inherited: tab track 9380:10355 holds 9380:10356 Manual #001615 r10 beside 9380:10363 Auto #56C7F3 r12, and the Advanced row 9380:10397 draws the toggle track at #95A09F with the open twin 9380:10508 at #56C7F3. MEASURED AND ALREADY MATCHING, both sides and the delta: container radius 12 vs `rounded-[12px]` (0), padding 12 vs `p-3` (0), itemSpacing 16 vs `gap-4` (0), and the inverted order — the frame's six children in y order are CTA / Bet amount / Number of Lanes / Number of Bets / Advanced / tabs against the component's small-screen `order-1 / 2 / 4 / 5 / 6 / 11` in that same sequence (0, already pinned by the suite's FIGMA_MOBILE_SEQUENCE test). This frame draws NO Risk block at all; the build keeps its Difficulty dial at every width, because a frame's silence about a control is not a spec to remove it and the dial is the only board dial the engine has. STILL PARTIAL: the CTA copy escalation applies here too (the frame labels it "Bet"), and the "$21.00" beside the balance is omitted for want of a price source.
Frame 1000004097 [9380-10404]	partial	modules/skai-gaming/src/components/play/games/crash/ChickenGame.tsx	/play/chicken	347 x 769.333, the mobile panel with Advanced OPEN. Ten children, inverted like its closed twin: CTA / Bet amount / Number of Lanes / Number of Bets / Advanced / On Win / On Loss / Stop on Win / Stop on Loss / tabs. Carries all three fixes, each read on this frame's own nodes: tab track 9380:10484 (Manual 9380:10485 r10, Auto 9380:10492 r12), Advanced row 9380:10508 (track #56C7F3), and the two segment rows 9380:10511 / 9380:10523 (Reset 82, Increase By: 119, gap 3, shell 212 pad 4) — the same numbers as the desktop pair to the pixel, which is why one `w-[82px]` settles both breakpoints. STILL PARTIAL for the same af18e8ad escalations, plus the "$1,376.97" fiat figures on the two stop rules.
Easy Desktop [9432-8016]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	THE START KERB FIXED — the delta this row has carried unfixed since 2026-08-05 ("kerb widths are 20+52 in code against a measured 30+38, left alone because changing it shifts the whole strip"), now measured exactly and closed without moving the strip. GEOMETRY. Figma, off the 621-tall boards and identical on Easy 9431:3268, Medium 9428:6660 and Hard 9429:2075: the pavement `Frame 1000003899` runs x 78..172 (w 94, fill #A7A7A7) and the kerb line `Rectangle 34624592` sits at x=172, so verge 78 + pavement 94 = 172 exactly. At 247/621 that is verge 31.0242 + pavement 37.3881 = 68.4123, which is the KERB_W the board already ships. Code before: `KERB_GRASS_W = 20` and `KERB_PAVEMENT_W = 52` — a 72px split inside a 68.4123 strip, so the pavement overflowed the kerb container by 3.59px onto the first lane and the grass/pavement boundary sat 11.02px left of the frame's. Code after: `KERB_PAVEMENT_W = 37.3881` with `KERB_GRASS_W = KERB_W - KERB_PAVEMENT_W`, so the two bands close on the kerb line by construction. COLOUR. The verge rectangles `Rectangle 34624599` / `34624600` are fill #3C9642 on every board frame; the board shipped #044629, which is the FOLIAGE art drawn over that band and which the board does not draw. Histogrammed over the whole verge of the 1:1 render of THIS frame: #3C9642 is the single largest colour at 31.4% (6,669 px sampled) with the bushes #05653F / #056640 making up most of the rest, and #044629 does not appear in the top five. The same pass returns #A7A7A7 for the pavement at 59.9% and #123F3C for the road at 89.8% — both already shipped, so the sampler agrees with the code on two of three bands and disagrees on the third. Oracle: 4 new assertions in chickenRoadScale.test.tsx (suite 14/14) reading the kerb's inline styles; Side B is guarded first (78 + 94 must equal the transcribed 172; the two fills must differ) and the pavement's #A7A7A7 goes through the same colour reader, so a red verge is the verge and not the reader. Mutations: the 20 + 52 split fails the three geometry assertions with the colour one green; #044629 on the verge fails only the colour one. STILL PARTIAL: the start-kerb pedestrian signal (`Frame 1000003914`, 46.65x176 at x=102 on the 621 board — a #CACACA post with a #041E1D LED panel drawing a red figure in #C8452F) and the three verge foliage images (`image 1` / `image 2` / `image 3`, 77.16x134.84 each) are still undrawn. The ladder is unchanged and untouched: 19 rungs 1.03x..19.60x, already oracle-verified against an independently computed hypergeometric ladder.
Medium Desktop [9432-8667]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	1203.180 x 247, 17 rungs. Same start kerb, same fix, and the kerb nodes read IDENTICALLY on this frame: `Rectangle 34624592` at x=68.41 w=0.8 #001615, `Frame 1000003899` at x=31.02 w=37.39 #A7A7A7, verge rectangles #3C9642 — which is what makes one constant change settle all six board rows rather than six. Ladder untouched. STILL PARTIAL: pedestrian signal and verge foliage undrawn.
Hard Desktop [9432-9285]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	1077.493 x 247, 15 rungs. Kerb nodes identical to 9432-8016 and 9432-8667 (kerb line x=68.41, pavement x=31.02 w=37.39 #A7A7A7, verge #3C9642); the same fix applies. Ladder untouched. STILL PARTIAL: pedestrian signal and verge foliage undrawn.
Medium Desktop - In Play [9432-5358]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	1203.180 x 247, the in-play board. Kerb nodes identical to the three idle boards and carrying the same fix. Measured on this frame while reading the kerb: three `Road Block` groups at x 77.96 / 140.01 / 202.45, y 74.78, 44.15x27.51 — the roadblock band the code already pins at y=75 with a 37x27 box. STILL PARTIAL: pedestrian signal and verge foliage undrawn.
Easy Desktop [9431-3268]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	3337 x 621 — the 621-tall twin of 9432-8016 and the frame the kerb fix was READ from, at 1:1 rather than scaled: pavement `Frame 1000003899` x 78 w 94, kerb line `Rectangle 34624592` x 172, verge `Rectangle 34624599` / `34624600` #3C9642. 78 + 94 = 172 exactly, which is the identity the oracle guards before it measures anything. Same fix, same remaining gaps (pedestrian signal `Frame 1000003914` at x=102, foliage `image 1..3`).
Medium Desktop [9428-6660]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	3025 x 621, the 621-tall twin of 9432-8667. Same kerb, same fix, same remaining gaps.
Hard Desktop [9429-2075]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	2709 x 621, the 621-tall twin of 9432-9285. Same kerb, same fix, same remaining gaps.
Medium Desktop - In Play Feature Showcase [9428-8535]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	The 621-tall in-play showcase. Same kerb, same fix. The in-play lane states are unchanged and the chips are still the server's frozen ladderBps rather than the client's arithmetic, so nothing here can drift from what a round pays.
Mobile ALT [9429-2661]	partial	modules/skai-gaming/src/components/play/games/crash/chicken/ChickenRoad.tsx	/play/chicken	347 x 247 and NOT a second mobile design — measured this wave, its only children are `Frame 1000003888` (18 tall, y=15), `Frame 1000004096` (61 tall, y=93), a `Vector 358`, and a nested frame literally named `Desktop` at 379.45 x 247 carrying the board itself. So it is a 347-wide crop of the desktop board, which is what the earlier passes recorded. HELD PARTIAL FOR A FRAME DEFECT, re-confirmed and NOT a build gap: its four visible chips read 1.15x / 1.37x / 1.64x / 1.64x, the Medium ladder with rung 4 duplicated where the real ladder is 1.15 / 1.37 / 1.64 / 1.995 / 2.46. Nothing in the app can reproduce it — the client prints the round's frozen ladderBps handed to it by the server — so a designer's duplicated chip cannot reach a player. The frame should be corrected upstream.
