# key	status	primaryFile	route	reason	bp
# Wave 54, 2026-09-20, lane `trade-perp` (src/components/trade/perp/, LeverageModal.tsx,
# ConfirmOrderModal.tsx, the account tabs, CrossMargin). PerpTrading.tsx, perpTerminalChrome
# and src/components/trade/perp-v2/ are a peer's live lane this wave, so every row whose fix
# lands there is a measured hand-off naming the exact change, not an edit.
# Rows here are frames REACHED this pass; every other row stands. Column 3 is one
# bare path; a second witness file and the mount site go in the reason.
#
# READS. The three 'additional position' modal frames 7890:130857, 9152:81278 and
# 9154:124786, Frame 1341 9772:76942 and the tool-tip instance 3908:41145 were read whole
# with get_metadata, the first reading of any of them past the box. The nine Directory,
# Notes and Rectangle nodes were classified from the Trade 1 page's top-level node list
# held on disk since wave 49 (type, name and size per node) against the SCHEMA.md
# furniture rule, and were not opened on the seat: a 13769-wide banner, a sticky widget
# and a bare 720 square are what their types say they are.
#
7890-130857	partial	src/components/trade/perp-v2/PerpPositionsPanel.tsx	/trade/perps	READ LIVE WHOLE 2026-09-20 with get_metadata, the first reading past the box, and CLASSIFIED: it is the 1440 'Update position TP/SL' card (ModifyTpSlModal, mounted from the Positions row menu at PerpPositionsPanel.tsx:4496) in the state where a SECOND take-profit tier is open, the variant the wave-41 row called 'not distinguished in source'. Every shell number is the base card's, which the wave-53 row on 4020-44966 matched box for box at HEAD: 564 wide on a 24 inset, shine 484 at (-150,-202), body Frame 480 at (24,24), a 40 gap to the 516x62 CTA Frame 203 and 40 to the 516x48 disclaimer at y=640; controls 516x16 with the close at x=500, title 516x28 at y=40, the read-only Frame 40 516x120 at y=92 (Pair, Size, Entry price, Mark price as 18-tall rows at 0/34/68/102 with rules at 26/60/94, values right-flush to 516, the pair with an 18 coin and its label 24 after), and the options Frame 484 516x48 (two 18-tall option rows 30 apart, Configure amount and Limit price). WHAT DIFFERS is one block: Frame 486 at y=236 is 166 tall, not 108. THREE 50-tall rows on an 8 gap at y=0/58/116, each two 254-wide fields 8 apart with the label at (16,16) and the value right-flush to 238: TP over Gain (121,423 / +2%), then a NEW row 'TP 2' over Gain (121,424 / +4%), then SL over Loss (121,923 / -7%). That takes the body to 474 (416+58), the CTA to y=538 and the card to 712 (24+474+40+62+40+48+24). The build draws two field rows and no TP 2, and its docblock at PerpPositionsPanel.tsx:2805 names 130857 among the frames it draws, which it does not. The tree holds no add-tier control, so the tier is a static second row and the title's on:hover is the same CTA state the base card 7890-130783 carries. HAND-OFF, no edit: the file is a peer's this wave. The exact change in ModifyTpSlModal: a third field row between the TP and SL rows of the gap-2 stack, 'TP 2' over 'Gain' on the same p-4 rounded-[12px] green-coal-300 field as its siblings, so the stack reads 50+8+50+8+50 at lg. The row has NO SOURCE: updateStopLossTakeProfit sets one whole-position take-profit, the reason the Configure amount option already ships disabled at PerpPositionsPanel.tsx:3012, so the tier is drawn as the explicit unavailable state, the field present at its size and disabled with the reason that a second take-profit tier is not on the on-chain executor, never a second editable price that would silently do nothing. Board draws 1440 alone; 768 and 375 are 9152-81278 and 9154-124786.	1440=partial 768=n-a 375=n-a @2026-09-20/wave54-trade-perp
9152-81278	partial	src/components/trade/perp-v2/PerpPositionsPanel.tsx	/trade/perps	READ LIVE WHOLE 2026-09-20 with get_metadata and CLASSIFIED as the 768 twin of 7890-130857, the same card with the second take-profit tier open. Shell: 448 wide on a 12 inset (the component's stated 768 stop, max-w-[448px] and p-[11px] inside the 1px border), shine 484 at (-150,-288), body Frame 480 424 wide at (12,12), a 24 gap to the 424x50 CTA Frame 203 at y=476 and 24 to the 424x64 disclaimer at y=550. Inside: controls 424x16 with the close at x=408, title 424x22 at y=36, Frame 40 424x114 at y=78 (rows at 0/34/66/98, the Pair row 18 tall for its coin and the other three 16, rules at 26/58/90), Frame 484 424x48 at y=392. The tier block Frame 486 at y=212 is 160 tall: three 48-tall rows on an 8 gap at y=0/56/112, each two 208-wide fields 8 apart, label at (16,16) on a 16 line box, value right-flush to 192: TP over Gain (121,423 / +2%), TP 2 over Gain (121,403 / +4%), SL over Loss (121,923 / -7%). Body 440 (384+56), card 626 (12+440+24+50+24+64+12), which is the base card's 570 plus one 48 row and its 8 gap. The wave-41 row on the parent board 9152-79912 holds the base numbers and the build meets them; the only gap at this width is the missing TP 2 row, drawn as the same disabled unavailable tier the 1440 row describes. HAND-OFF, no edit: peer's file.	1440=n-a 768=partial 375=n-a @2026-09-20/wave54-trade-perp
9154-124786	partial	src/components/trade/perp-v2/PerpPositionsPanel.tsx	/trade/perps	READ LIVE WHOLE 2026-09-20 with get_metadata and CLASSIFIED as the 375 twin: 354 wide (the component's w-[calc(100%-21px)] at 375, the same 21 the confirm modal states) on a 12 inset, shine 484 at (-150,-294), body Frame 480 330x434 at (12,12), a 24 gap to the 330x44 CTA Frame 203 at y=470 and 24 to the 330x70 disclaimer at y=538; card 620. Inside: controls 330x16 with the close at x=314, title 330x22 at y=36, Frame 40 330x108 at y=78 (rows at 0/34/64/94, the Pair row 18 tall and the rest 14, a 12px line box at this width, rules at 26/56/86), Frame 486 at y=206 160 tall as three 46-tall rows on an 8 gap at y=0/54/108, each two 161-wide fields 8 apart with the label at (16,16) on a 14 line box and the value right-flush to 145, TP/Gain then TP 2/Gain then SL/Loss with the 768 figures, and Frame 484 330x48 at y=386. TWO GAPS at this width, both in the peer's file: the missing TP 2 tier, the same disabled unavailable row as at 1440 and 768; and, on the base card too, the field row is 46 here (16 of pad on a 14 line box) where the build keeps the 768 row's 48 on a 16 line box below lg, one 12px/14px text step at 375 on the field label and value that also takes the read-only rows from 16 to 14 and the CTA from 50 to 44. HAND-OFF, no edit. The base 375 card 9154-124727 is not in this slice and has no row: the page list gives it as 354x560, 60 under this one rather than the 54 a 46 row and its gap would take, so its own numbers are to be read on its node, not derived from these.	1440=n-a 768=n-a 375=partial @2026-09-20/wave54-trade-perp
9772-76942	partial	src/pages/trade/Spot.tsx	/spot	READ LIVE WHOLE 2026-09-20 with get_metadata and CLASSIFIED for the first time: the wave-39 row had the box only and vverify.trade.tsv:188 filed it as an artifact layer, which it is not. It is a SCREEN, the 375 Spot page's chart panel on its own, the Chart tab of the phone trade shell, and the same Frame 1341 the 375 board 9500-163410 holds (375x926 there with the ticket under it, 664 here without). It is a Spot surface, not a perp one, so the fix is the trade-spot lane's: HAND-OFF, no edit. Numbers, top to bottom. Frame 6 375x110, the pair header: Frame 1223 343x36 at (16,16) with the pair group 130x24 (a 24 coin, BTC/USDT 22 tall 32 after it, a 16 chevron) and a 36x36 CTA at x=307; Frame 1224 343x30 at (16,68) with three stat columns, a 12-tall label over a 16-tall value, Price at x=0, 24h Change at x=83 (+0.084 with +0.32% 47 after it), Market Cap at x=202. Frame 11 375x94 at y=114, the AI band: a 438 ellipse bleeding in at (-299,60), Frame 1 343x70 at (16,12) holding 'AI confidence level' 14 tall with a 51x14 '2 reports' tag at x=99, then 88% 16 tall at y=20 beside five 57.8x6 bars on a 4 gap in a 305 track at x=38, then at y=52 an 18-tall row with 'Skai sentiment', a 57x18 Bullish pill at x=84 and a 16 chevron at 149, and at x=233 BTC/USDT with a 48x18 labels/tag; a 375 hairline closes the band at y=94. Frame 1221 375x452 at y=212: the tab strip Frame 299 375x36 (bottom menu 343x32 at (16,4); four 14-tall tabs at x=0/54/135/195 of widths 30/57/36/20, their labels instance text not in this read, a 24x24 control at x=319, the active underline Vector 1 30 wide at (16,36)); then TradingView 375x416 at y=36: Nav of chart 343x27 at (16,12), a 44-wide timeframe (30m and a 16 chevron) then 27-tall dividers at x=52/92/132/279 between 24 graphical icons at 60/100/287/319; Row 2 343x322 at (16,47), a 24-wide TV tools column of ten 24 icons on a 32 pitch, the plot 265x295 at x=30, the Tool grip 8x29 at (26,186), a 42-wide price axis at x=301 with ten 12-tall labels on a 31.44 pitch and the 44x16 price tag at y=42, the date row 343x16 at y=303 with seven 30-wide labels on a 39.5 pitch from x=28 and a 16 control at 307; then the lower Nav of chart 343x27 at (16,377): a 24 icon, 'Date range' 58 wide with a 16 chevron at 90, the clock 16:45:24 (UTC +1) at x=145, a divider at 246, and the %/Log/Auto group 89 wide at x=254. Spot.tsx mounts this stack under MobileTradeShell at Spot.tsx:281 as MarketHeader (Spot.tsx:308) over AIConfidenceStrip (Spot.tsx:326) over the chart; whether each number lands is for the spot lane to measure against those files, and nothing here was edited. The figure with no source on this rail is the band's 88% and its '2 reports' count, which is the strip's to draw or to mark unavailable; the rest is chart chrome and the pair's own stats.	1440=n-a 768=n-a 375=partial @2026-09-20/wave54-trade-perp
2005-35369	furniture	-	-	CLASSIFIED from the Trade 1 page's top-level node list on disk, not opened on the seat: a FRAME named Directory, 13769x352, the banner that runs the width of a whole board row, which is SCHEMA.md's first example of furniture. Not a screen, nothing to build; recorded so nobody opens it again.	1440=n-a 768=n-a 375=n-a @2026-09-20/wave54-trade-perp
3903-26337	furniture	-	-	CLASSIFIED from the Trade 1 page's top-level node list on disk, not opened on the seat: a FRAME named Directory, 10750x352, the second of the page's three directory banners. Canvas chrome, not a screen.	1440=n-a 768=n-a 375=n-a @2026-09-20/wave54-trade-perp
3931-88028	furniture	-	-	CLASSIFIED from the Trade 1 page's top-level node list on disk, not opened on the seat: a FRAME named Directory, 6340x352, the third directory banner. Canvas chrome, not a screen.	1440=n-a 768=n-a 375=n-a @2026-09-20/wave54-trade-perp
3899-7250	furniture	-	-	CLASSIFIED from the Trade 1 page's top-level node list on disk, not opened on the seat: a WIDGET node named Notes, 342x250, a sticky-note widget beside the boards. An annotation to the designer's own team, not spec; vverify.trade.tsv:157 had already filed it as an artifact layer and this row records the verdict where the denominator reads it.	1440=n-a 768=n-a 375=n-a @2026-09-20/wave54-trade-perp
3903-26850	furniture	-	-	CLASSIFIED from the Trade 1 page's top-level node list on disk, not opened on the seat: a WIDGET node named Notes, 342x268, a sticky-note widget. Annotation, not spec.	1440=n-a 768=n-a 375=n-a @2026-09-20/wave54-trade-perp
3931-86058	furniture	-	-	CLASSIFIED from the Trade 1 page's top-level node list on disk, not opened on the seat: a WIDGET node named Notes, 342x268, a sticky-note widget. Annotation, not spec.	1440=n-a 768=n-a 375=n-a @2026-09-20/wave54-trade-perp
