# key	status	primaryFile	route	reason	bp
Bet panel - option 1 [4725-55110]	partial	modules/skai-gaming/src/components/play/sportsbook/BetPanel.tsx	/play/sportsbook	Re-measured off get_design_context emitted CSS plus node data. MATCHING on all three axes for every node except the slider: shell 316x621 radius 6 gap 32 pad 16 fill 122524 stroke 123F3C w1 shadow 0/10/80 rgba(0,0,0,.25); inner column gap 16 items-center; label block gap 4; card 4725-55113 radius 12 pad 12 fill 001615 stroke 56C7F3 w1 shadow 0/4/12 rgba(0,0,0,.24); label Manrope 12/16/-0.48 opacity 64; amount Mulish 14/18/-0.56 white; chip group gap 2, chips px6 py2 fill 123F3C first radius-left 8 last radius-right 8 Mulish 11/14/-0.44 opacity 64; balance row Manrope 12/16/-0.48 + Mulish 12/16/-0.48 both opacity 64, gap 8 and 6, icons/action 12.75; fiat Mulish 12/16/-0.48 opacity 64; CTA 4725-55158 fill 56C7F3 radius 16 px40 py20 gap 10 icon 24 Manrope 16/22/-0.64 on 001615. STILL DIVERGENT: slider 4725-55130 - see that row. Also the frame draws 0.01 SKAI as ONE 14/18 text run while code renders an editable input plus a separate unit span, and the currency default is sUSD not SKAI by the POINTS-and-sUSD ruling.	desktop=partial @2026-09-01
Bet panel option1 slider card 4725-55130 [4725-55110]	partial	modules/skai-gaming/src/components/play/sportsbook/BetPanel.tsx	/play/sportsbook	Measured child by child. Card 284x48 radius 12 fill 001615 pad 12/12/8/12 VERTICAL - code rounded-[12px] bg-green-coal-300 px-3 pb-2 pt-3 MATCHES. Inner Frame 356 260x28 gap 4 - code gap-1 MATCHES. Track row Frame 33 is 260x10 and holds SIX vectors code does not draw: rail 4725-55133 w257 stroke 123F3C weight 1; FILLED bar 4725-55136 w65 stroke 046447 weight 6; ticks 4725-55134/55137/55138/55139 each h8 weight 1 stroke 95A09F at x 193/65/130/260; a short h4 123F3C tick at x0.5; thumb Ellipse 4725-55140 10x10 fill 17F9B4. Code renders a bare range input at h-1 (4px) with accent-alien-green-bright, so the row is 4 tall not 10, the filled bar is 17F9B4 not 046447, and all five ticks are missing. Card height therefore computes 42 in code against the frame 48. Tick labels DO match: Mulish 11/14/-0.44 white, active full opacity, inactive opacity 44 (4725-55142/44/45/46), row SPACE_BETWEEN so its itemSpacing 9 is inert.	desktop=partial @2026-09-01
Bet panel - option 2 [4725-54861]	partial	modules/skai-gaming/src/components/play/sportsbook/BetPanel.tsx	/play/sportsbook	Shell re-measured: the 316x621 radius-2 gap-24 outer is a canvas wrapper; the panel is Frame 270 4725-54863 at 316x621 radius 6 gap 32 pad 16 fill 122524 stroke 123F3C w1 shadow 0/10/80 rgba(0,0,0,.25) - byte-identical to option 1 and option 3, which is why one shared shell in code is right. Content Frame 355 284x186 VERTICAL gap 16 align MIN|CENTER; CTA 4725-54925 284x64 radius 16 pad 20/40 gap 10 fill 56C7F3. Code matches shell, inner gap and CTA. Inherits the slider divergences at 4725-55130 since option 2 renders the slider. Amount ramp for this layout is 22/26/-0.88 in code and is still not checked against node data.	desktop=partial @2026-09-01
Bet panel - option 3 [4725-55198]	partial	modules/skai-gaming/src/components/play/sportsbook/BetPanel.tsx	/play/sportsbook	Shell 4725-55200 at 316x621 radius 6 gap 32 pad 16 fill 122524 stroke 123F3C w1 shadow 0/10/80 - identical to options 1 and 2. Content Frame 356 4725-55201 284x98 VERTICAL gap 16 align MIN|CENTER, label-to-card gap 8; CTA 4725-55230 284x64 radius 16 pad 20/40 gap 10 fill 56C7F3, label Start game. All of that matches code. STILL DIVERGENT and deliberately not restructured: the frame's left cluster 4752-56254 is a fixed w122 carrying a 16px token raster and the amount as STATIC text, while code puts an editable input on the right - replacing it would delete the only way to type a stake.	desktop=partial @2026-09-01
Bet button - active [8526-132080]	partial	modules/skai-gaming/src/components/play/shared/BetControls.tsx	/play/blackjack	356x621 and this is the GAME bet-panel shell, not the sportsbook one. Frame 270 8526-132082 measures 356x621 radius 16 fill 122524, NO stroke and NO shadow, VERTICAL pad 16 gap 32, inner column 324. Three children: Frame 356 324x98 gap 16 (label 16 + gap 8 + input row 42 = 66, plus 16 gap, plus the 16-tall balance row = 98); Frame 659 324x96 gap 8 (two 44-tall action rows); CTA 324x64 radius 16 pad 20/40 gap 10 fill 56C7F3. The shipped game panel is BetControls, which draws a generic Input plus outline Buttons on bg-black/20 with border-white/10 and carries none of this geometry, so the frame is built in the loosest sense only.	desktop=partial @2026-09-01
Bet button - active - original [8974-140706]	frame-defect	modules/skai-gaming/src/components/play/sportsbook/BetPanel.tsx	/play/sportsbook	356x621. DUPLICATE confirmed: 8975-140874 carries the identical name and the identical 356x621, and both resolve to the same shell numbers (radius 16 fill 122524 pad 16 gap 32 column 324). Two frames one title, and live/*.tsv truncation hides it. Recorded against the frame pair, not the code. The treatment itself - 1/2 2X Max INSIDE a full-width 324x42 radius-12 001615 card, label above at Manrope 12/16/-0.48 opacity 64 with an 8px gap - is what the sportsbook BetPanel ships.	desktop=n-a @2026-09-01
Bet button - active - original [8975-140874]	frame-defect	modules/skai-gaming/src/components/play/sportsbook/BetPanel.tsx	/play/sportsbook	356x621. Duplicate of 8974-140706 - same name, same size, same shell numbers. See that row.	desktop=n-a @2026-09-01
Bet button - active - updated 2X triggers [8975-140792]	not-started	-	/play/blackjack	356x621, PROPOSAL 1 of 3 for the 2X control and annotated as such by 8976-140993, "2X buttons have been increased for Play, still within the input fields". Shell identical to the original: Frame 270 8975-140794 radius 16 fill 122524 pad 16 gap 32 column 324, Frame 356 324x98 gap 16, Frame 659 324x96 gap 8, CTA 8975-140865 324x64 radius 16 pad 20/40 gap 10 fill 56C7F3 - so the CTA numbers are now measured on two independent frames, not inferred. The variant itself keeps the chips inside the card but enlarges them to px12 py10 in a fixed w100 group at full opacity, with the card at pl12 pr4 py4. Nothing in code implements an enlarged-2X branch and nothing should until the three-way is ruled on.	desktop=n-a @2026-09-01
Bet button - active - updated isolated 2X triggers 1 [8976-140995]	not-started	-	/play/blackjack	356x621, PROPOSAL 2 of 3, annotated by 8976-140994, "2X buttons have been removed from the input fields and made to stand alone". Measured: the input row 8976-141100 becomes HORIZONTAL gap 8 holding a 160x42 radius-12 001615 card (pad 4/4/4/12) beside a 156x42 chip group 8976-141091 at gap 4; chips are 48/45/55 x42, pad 8/14, outer corners 12, fill 123F3C, Mulish 14/18/-0.56 white at FULL opacity. FRAME DEFECT inside the proposal: the amount text 8976-141090 (0.01 SKAI, Mulish 14/18) is absolutely placed at x224 w59, so it lands on top of the 2X chip (220-265) and the Max chip (269-324). Not built.	desktop=n-a @2026-09-01
Bet button - active - updated isolated 2X triggers 2 [8976-141101]	not-started	-	/play/blackjack	356x621, PROPOSAL 3 of 3. Measured against proposal 2 node for node: the geometry is IDENTICAL (input row gap 8, card 160x42 radius 12 pad 4/4/4/12, chip group 156x42 gap 4, chips 48/45/55 x42 pad 8/14 outer corners 12, Mulish 14/18/-0.56). The ONLY difference is colour - chips fill 56C7F3 with 001615 text here against 123F3C with white text in 8976-140995. It carries the same absolute-amount collision at x224. So proposals 2 and 3 are one layout in two colourways, which reduces the open question from three layouts to two.	desktop=n-a @2026-09-01
