# key	status	primaryFile	route	reason	bp
Boost status [13006-252687]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	FRAME SPECIFIES A DIFFERENT FEATURE. Node: card 391x94 r=16 fill #122524 pad 16/16/16/16 gap 12; title "Boost status" Manrope Regular 14/18px ls -4% #FFFFFF; "100%" Mulish Regular 14/18px #FFBD16; progress Rectangle 34624568 359x6 r=8 GRADIENT_LINEAR; body "BOOST Mode automatically executes a buyback over five minutes... permanently burned". Code BoostStatusBlock renders DexScreener paid-listing order status (approved/rejected) in rounded-lg (12) bg #052D2D px-2.5 py-2 with no bar, no percent, no tags. Different subject, and BoostStatusBlock is mounted by nothing (only its own tests). BOOST Mode buyback grep over src/ returns only FeeDistributor tokenomics.	desktop=missing @2026-08-31
Boost status ALT [13006-252664]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	Sibling of 13006-252687, 391x94. Same BOOST Mode subject; nothing in src/ builds it. See that row for the measurement.	desktop=missing @2026-08-31
Boost status 50% [13006-252710]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	Sibling of 13006-252687, 391x94 - the half-filled progress state. No progress bar exists in code at all.	desktop=missing @2026-08-31
Boost status - more info. [13006-252735]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	Node: 391x254 r=16 fill #122524 pad 16 gap 12; header "Boost mode" Manrope Regular 18/24px ls -4% #FFFFFF + Tag 25x18 r=4 fill #56C7F3 + 16x16 icons/action; nested "Boost status" card 359x94 r=16; footnote block Frame 1132 359x80 gap 8, body 14/18px #FFFFFF, note 14/18px #95A09F. Code expansion shows order/boost HISTORY LISTS, not this copy. Not built.	desktop=missing @2026-08-31
Boost status ALT [13006-347983]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	768 tier of 13006-252664: 391x90 (desktop 94). Same unbuilt BOOST Mode subject.	tablet=missing @2026-08-31
Boost status [13006-348006]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	768 tier of 13006-252687: 391x90. Same unbuilt BOOST Mode subject.	tablet=missing @2026-08-31
Boost status 50% [13006-348029]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	768 tier: 391x90. Same unbuilt BOOST Mode subject.	tablet=missing @2026-08-31
Boost status - more info. [13006-348054]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	768 tier of 13006-252735: 391x242 (desktop 254). Same unbuilt BOOST Mode subject.	tablet=missing @2026-08-31
Boost status ALT [13006-348856]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	375 tier: 354x86. Same unbuilt BOOST Mode subject.	mobile=missing @2026-08-31
Boost status [13006-348879]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	375 tier measured: card 354x86 r=12 fill #122524 pad 16 gap 12; title Manrope Regular 12/14px ls -4% #FFFFFF; "100%" Mulish Regular 12/14px #FFBD16; bar 322x6 r=8 gradient. Type ramp drops 14/18 to 12/14 and radius 16 to 12 vs the 1440 tier. Nothing in code renders any of it.	mobile=missing @2026-08-31
Boost status 50% [13006-348902]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	375 tier: 354x88. Same unbuilt BOOST Mode subject.	mobile=missing @2026-08-31
Boost status - more info. [13006-348927]	not-started	src/components/trench-redesign/trade/BoostStatus.tsx	/trench/trade	375 tier of 13006-252735: 354x224 r=12; header "Boost mode" Manrope 14/18px (desktop 18/24); nested card 322x86 r=16; footnote body 12/14px #FFFFFF, note 12/14px #95A09F. Not built.	mobile=missing @2026-08-31
Skai > Trench > Trade 1VH (1440 x 900px) [13006-210576]	partial	src/components/trench-redesign/trade/TradeTerminal.tsx	/crypto/:symbol	SHELL GEOMETRY RE-MEASURED AND CONFIRMED: frame 1440x900 fill #001615; sidebar 58; header 56; main 1382 wide at x=58 y=56; Frame 443 x=8 w=1047 gap 6; Multi-panel - combined x=1061 w=313 gap 6; right edge 1374 leaves 8. Code lg:grid-cols-[1fr_313px] lg:gap-1.5 (6) lg:p-2 (8) and rail lg:gap-1.5 (6) reproduce all four numbers exactly. NOT done: type and colour are spread over TradeHeader/TradeChart/PanelTabs/OrderPanel and were not measured screen-wide, and the rail COMPOSITION diverges - see 13006-212076.	desktop=renders @2026-08-31
