# key	status	primaryFile	route	reason	bp
Skai > Wallet > continue on web > home > bridge 1VH (1440 x 900px) [13008-29589]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	MIS-FILED, NOT A BRIDGE FRAME. registry.json attributes this to BridgeModal.tsx on the strength of the TITLE. Read off node data the frame is the BACKUP screen: breadcrumb text node 29607 reads "Backup" (not Bridge) and the body is "Backup your wallet / Export your Solana wallet private key / CRITICAL SECURITY WARNING / MPC wallets cannot export a single private key". Real impl is WalletBackup.tsx - ZERO rows anywhere in registry.json name that file. Geometry MEASURED: two columns, Main container 738 wide at x90 and a 432 column at x860 = 32px gutter, 738+32+432=1202; WalletBackup.tsx:212 already ships lg:max-w-[1202px] lg:grid-cols-[minmax(0,738px)_minmax(0,432px)] lg:gap-x-8 - EXACT on all four numbers. Frame 270 card r24 p16 gap40 #122524; CTA pair 348x64 r16 p20/40 gap10. TYPE DEFECT: heading 29607 is Manrope Light 32/36 ls-4%, code ships text-lg font-bold = 18/28 bold (:230). RADIUS DEFECT: CTAs are rounded-xl=16 flat at :329/:340, correct here at 1440 but wrong at the two smaller widths - see 13008-54309. Held partial on the outer-panel divergence: the frame draws ONE #122524 r24 panel around label+chip+warning+checkbox+CTAs, code renders them as separate glass-cards on the page ground.	desktop=partial
Skai > Wallet > continue on web > home > bridge 1VH (768 x 1024px) [13008-49184]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	SAME MIS-FILING as 13008-29589 - this is the BACKUP screen at 768, not bridge. MEASURED: Main container 580 wide at x94 (768-580-94=94, symmetric); heading 49190 Manrope Light 24/28; Frame 270 r12 p12 gap32 #122524; wallet chip 49203 r12 p8/16/8/8 #052d2d; warning card 49215 r12 p12/20/12/12 fill #fb3324@0.16; CTA pair 49227/49228 273x50 r12 p20/40 gap10 HORIZONTAL, secondary #001615 stroke #56c7f3 w1.5 / primary #56c7f3; checklist 49257-49269 Mulish Regular 16/20 #ffffff, 5 lines gap12; Your Wallet Type 49272 Manrope Regular 18/22, body 49274 Manrope Regular 14/18 #e0e0e0 op0.64. Code ships rounded-xl (16px) on both CTAs at every width - r12 is what this frame draws, so 768 is 4px over. Heading ships 18/28 bold against Light 24/28.	tablet=partial
Skai > Wallet > continue on web > home > bridge 1VH (375 x 812px) [13008-54309]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	SAME MIS-FILING - BACKUP screen at 375. MEASURED: Main container 346 at x15 (375-346-15=14, the boards 15/14 gutter); heading 54314 Manrope Light 20/24; Frame 270 r12 p12 gap24; wallet chip 54327 r12; warning 54339 r12 p12/16/12/12 #fb3324@0.16; ack row 54347 gap14 with a 24x24 r8 checkbox 54348 #000000 stroke #123f3c w1.333; CTA pair 54351/54352 322x44 r12 p20/40 gap6 label Manrope Regular 14/16, stacked VERTICAL gap10. THIRD INDEPENDENT CORROBORATION OF THE 12/12/16 CTA RADIUS RAMP measured in wave 7 off 13008-54215 / 13008-49183 / 13008-29836: this family reads r12 (54351) / r12 (49227) / r16 (29644). WalletBackup.tsx:329,:340 ship rounded-xl = 16px FLAT, so mobile and tablet are 4px over - same defect class wave 7 fixed in BridgeSettingsPanel.tsx and TokenApprovals.tsx, third site.	mobile=partial
Skai > Wallet > continue on web > home > bridge 1VH (375 x 812px) [13008-54216]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	SAME MIS-FILING - BACKUP at 375. TITLE ALSO LIES ABOUT HEIGHT: it says 812, node height is 950 (54309 is the 812 crop of the same screen with Your Wallet Type collapsed; here it is expanded). MEASURED: identical ramp to 54309 - heading 54221 Manrope Light 20/24, Frame 270 r12 p12 gap24, CTAs 54258/54259 322x44 r12 stacked gap10. Expanded card 54260 346x238 r12 p12 #122524 holding Your Wallet Type 54263 Manrope Regular 18/22, body 54266 Manrope Regular 14/16 #e0e0e0 op0.64, and the 5-line checklist 54267 gap12 with 16px rows. Code renders the same checklist at :374-:390 but as text-sm (14/20) not 14/16 and inside a rounded-2xl (24px) glass-card against this frames r12.	mobile=partial
Normal [13008-32486]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	GEOMETRY+TYPE MEASURED AND FIXED THIS PASS; COLOUR IS AN ESCALATION. Frame 392 506x506 r24 #122524 flat, plus Ellipse 24 714x714 at -93,378 = centre 52.2%/145.3% of the card, fill #17f9b4 op0.19, LAYER_BLUR 108.07 (CSS 54px, the 2x rule). Type: Net worth 33136 Manrope Regular 16/22 #95a09f; balance 33137 Mulish Light 42/48 #56c7f3; handle 33141 Manrope Regular 24/28 140x28; address 33142 Mulish Regular 22/26 133x26; count 33145 Mulish 22/26; Achievements 33146 Manrope 16/22; footer 33149 Manrope 12/16 in a 117x24 pill, 33150 Mulish 12/16. QR plate 33151 198x198 r17.86 p5.955, backing rect 186x186, module art Layer_1 167x167. Code shipped 44/52, text-sm, text-base and a 24px plate radius - FIXED to 42/48, 16/22, 24/28 + Mulish 22/26 and QR_PLATE_RADIUS 18. ESCALATION: the bloom is rgba(45,237,173,0.38) in code vs #17f9b4@0.19 here, and this frame paints the BALANCE Sky Blue #56c7f3 while bug 017d15e9 was closed by making it #ffffff on the authority of 3044:17483. Two live frames, two answers - Casey call, not mine.	desktop=partial
Night [13008-33202]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	Same 506x506 r24 geometry and the same type ramp as 13008-32486, verified node by node: 33852 Manrope 16/22 #95a09f, 33853 Mulish Light 42/48 #ffffff, 33857 Manrope 24/28, 33858 Mulish 22/26, 33861 Mulish 22/26, 33862 Manrope 16/22, 33865/33866 12/16. Both fixed with the shared runs. COLOUR: frame base is FLAT #000000 with a #ffffff@0.19 bloom; code ships linear-gradient(160deg, #0a0f1c 0%, #000000 80%) - a blue-black ramp the frame does not draw. Balance #ffffff agrees here. QR plate 33867 r17.86 #95a09f. Held partial on the base fill, same escalation as Normal.	desktop=partial
Light [13008-33918]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	Same geometry and type ramp (34568 16/22, 34569 Mulish Light 42/48, 34573 Manrope 24/28, 34574 Mulish 22/26, 34577 22/26, 34578 16/22, 34581/34582 12/16); both fixed. COLOUR, TWO SEPARATE DIVERGENCES: base is FLAT #ffffff here, code ships linear-gradient(160deg,#ffffff,#e2f2ec) - a mint tint the frame has no node for; and the BALANCE is #999966, an olive that matches no token in design-tokens.ts, where code paints t.text = #001615. Deliberately NOT applied: painting a user balance olive is the kind of change that needs Casey, and a colour outside the token set on one skin of four reads as a frame slip. Also NOTE FOR THE NEXT LANE - ShareCard.tsx says "13008:34634 draws it near-black on the light one"; 34634 is GRADIENT, this is Light. QR plate 34583 r17.86 #001615.	desktop=partial
Gradient [13008-34634]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	Same geometry and type ramp (35284 16/22, 35285 Mulish Light 42/48 #001615, 35289 Manrope 24/28, 35290 Mulish 22/26, 35293 22/26, 35294 16/22, 35297/35298 12/16); both fixed. COLOUR: frame 34635 is a RADIAL gradient, stops #ffffff@0.00 -> #00ffcc@0.50 -> #56c7f3@0.78. Code ships a 4-stop LINEAR 180deg #56C7F3 -> #01FDCC -> #89FFE7 -> #D8FDF8 plus a white radial lift, i.e. the ramp runs the other way (frame is light at the centre, code is cyan at the top). The existing oracle in ShareCard.figmaParity.test.tsx asserts x0===x1 for a VERTICAL linear, so promoting this would mean rewriting that test against a radial - a deliberate reversal of bug f11e1d61 fix. Casey call. QR plate 35299 r17.86 #001615@0.08, badge 35348 32x32 r8 #001615@0.08.	desktop=partial
Skai > Wallet > continue on web > home > share 1VH (768 x 1024px) [13008-45556]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	FALSE-WIDTH DEFECT FOUND AND FIXED. Frame 768x1177 (title says 1024). Main container 580 at x94, 768-580-94=94 symmetric. Card 45565 is 580x580 - SQUARE at the column width. Code capped the card column at max-w-[400px] until lg (1024), so at 768 it rendered a 400px card against the frame 580 - a 180px miss, the largest single geometry error on this screen. FIXED at ShareCard.tsx:1657 with md:max-w-[580px]. Controls panel 46281 580x448 r12 p12 gap24 #122524 - code ships rounded-[12px] p-3 bg-[var(--skai-bg-secondary)], and styles.css:86 resolves that token to #122524, so radius, padding and fill are exact at this width. Held partial: the panel internal rows are not yet measured run-by-run, and the card-face colour escalation from 13008-32486 applies here too.	tablet=partial
Skai > Wallet > continue on web > home > share - 2nd combination 1VH (768 x 1024px) [13008-46361]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	768x1177. Byte-identical container geometry to 13008-45556 measured independently: Main container 46362 580x1080 at x94, card 46370 Normal 580x580, controls panel 47086 580x448 r12 p12 gap24 #122524, breadcrumb row 46363 580x28 gap10. The only difference from 45556 is which include-toggles are on, so it corroborates the 580 column rather than adding a new number. Same md:max-w-[580px] fix covers it. Same colour escalation.	tablet=partial
Skai > Wallet > continue on web > home > share - 3rd combination 1VH (768 x 1024px) [13008-47166]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	768x1250 (title says 1024). Same container ramp again - Main container 47167 580 at x94, controls panel 47175 580x448 r12 p12 gap24 #122524 - but the card here is the GRADIENT skin (47229 580x580), which is what makes it the 3rd combination. Third frame agreeing on the 580 column. Same fix, same colour escalation as 13008-34634.	tablet=partial
Skai > Wallet > continue on web > home > share - Expand 1VH (768 x 1024px) [13008-47971]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card) -> expand	TWO GEOMETRY DEFECTS FOUND AND FIXED. Frame 768x1024 with Overlay 48776 768x1024 #001615@0.44 over the share sheet. Header row 48779 sits at x24,y24, 720x36, gap10 - code had inset-x-8 top-8 = 32; FIXED to inset-x-6 top-6 (h-9 gap-2.5 already matched 36/10). CTA 48787 158x36 r8 p6/40 #56c7f3 - code shipped rounded-md, which IS 8px in this module but 10px one directory over, so it is now the pixel literal rounded-[8px] and the oracle asserts the VALUE. Active image 48778 640x640 r16 - code ships max-w-[640px]. Held partial on ONE colour: the fullscreen scrim is bg-black/90 where the frame draws #001615@0.44. Not changed because this dialog sits ABOVE ModalScrim own 0.44 veil, so the composite is 1-(0.56^2)=0.69, not 0.44, and WAVE5 s2 is explicit that ancestor opacity has to be composited before a fill is called wrong. Needs a render, or Casey call.	tablet=partial
Skai > Wallet > continue on web > home > share 1VH (375 x 812px) [13008-51352]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	375x932 (title says 812). Main container 51353 346x446 at x15 - the 15/14 gutter this page uses, already cited in ShareCard.tsx and shipped as p-[15px] giving 345 against 346. NOTE THIS FRAME HAS NO CARD: Group 16 holds only the controls panel 52077 346x402 r12 p12 gap24 #122524, so it is the collapsed/controls-only state, not the default share screen its title implies. Code: rounded-[12px] p-3 bg-[var(--skai-bg-secondary)] = 12/12/#122524, exact. Held partial: the panel rows are not measured individually.	mobile=partial
