# key	status	primaryFile	route	reason	bp
# ROUTE COLUMN CORRECTED 2026-09-01 — 53 rows read "/trade/trench (desktop only)", a path no route table serves (it fell through to path="*" -> NotFound). Same file already spelled the sibling surface "/trench" on 33 rows and "/crypto/:symbol" on 16, so the two spellings were the same lane disagreeing with itself. MEASURED against src/App.tsx + the import graph: TradeChart / TransactionsPanel / KOLsPanel / TokenInfoPanel / SimilarTokensPanel are children of TradeTerminal (directly, or via PanelTabs.tsx:39/43/46), TradeTerminal is wrapped by src/pages/trench/TrenchTradeTerminal.tsx, and TradeRouteBranch mounts that at path="/crypto/:symbol" under flag REDESIGN_TRENCH -> corrected to /crypto/:symbol. AlphaTrackerModal corrected to /home instead: its only non-test mount is HomeSidebarExpanded.tsx:233/:3143 and TradeTerminal.tsx:58-62 records its removal from the trade header (report 50ca68be). DEPTH: route table + import graph only. Nothing was re-rendered; status and bp cells untouched.
Trench 1VH [13006-134301]	partial	src/pages/trade/TrenchRedesign.tsx	/trench	Trade 2 page 13006:134300 node data: shell is Header-desktop 1440x56 @(0,0) + sidebar 58x844 @(0,56) + content 1382x844 @(58,56) + Trench scroller 1382x22 @(58,878). Code TrenchShell.tsx wraps content in mx-auto max-w-[1440px] py-3 -> adds 12px top AND bottom padding the frame does NOT have (frame content y starts at exactly 56 = header height, 56+844=900 exact). max-w 1440 also exceeds the frames 1382 content width; it only renders 1382 because the 58px rail already consumed the rest, so the cap is inert rather than correct.	desktop=partial @2026-08-31
Trench - hover 1VH [13006-207638]	partial	src/pages/trade/TrenchRedesign.tsx	/trench	Same shell geometry as 13006-134301 (header 56, rail 58, content 1382x844 @58,56, scroller 1382x22 @58,878) plus a hover state. Shell padding divergence identical (TrenchShell py-3 = 12px absent from frame). Hover treatment not measured.	desktop=partial @2026-08-31
Trench > Alerts - toggle off 1VH [13006-185849]	done	src/components/trench-redesign/discover/AlertsModal.tsx	/trench	Measured off Trade 2 page 13006:134300 node data vs code. Frame: Overlay 1440x900 fill #001615@0.44; modal 564x308 @(438,296) VERTICAL gap 40 pad 24/24/24/24 radius 32 fill #122524; inner Frame 480 516 wide gap 24; footer Frame 203 516x62 gap 8. Code AlertsModal.tsx:112 lg:max-w-[564px]=564, lg:gap-10=40, lg:p-6=24, lg:rounded-[32px]=32, bg-[#122524]; scrim TRENCH_MODAL_OVERLAY_CLASS = bg-[#001615]/[0.44] = exact. Only divergence is the decorative shine ellipse y offset (frame -436, code -top-[190px]); the frame itself is inconsistent there (see 13006-188690 row).	desktop=renders @2026-08-31
Trench > Alerts - toggle on 1VH [13006-188690]	done	src/components/trench-redesign/discover/AlertsModal.tsx	/trench	Same node-data measurement as 13006-185849 with the list expanded: modal 564x572 @(438,164), gap 40, pad 24, radius 32, fill #122524; Frame 480 516x422 gap 24; footer 516x62. All four code values match (564/40/24/32). FRAME INCONSISTENCY, not a code defect: the decorative shine ELLIPSE is 484x484 op 0.19 fill #17f9b4 at y=-342 here but y=-436 in 13006-185849 - a 94px disagreement between two frames of the same modal, so the single code offset -top-[190px] cannot satisfy both. Not worth a change.	desktop=renders @2026-08-31
Trench > Blacklist 1VH [13006-191789]	partial	src/components/trench-redesign/discover/BlacklistModal.tsx	/trench	Measured off 13006:134300 node data. Frame: Overlay 1440x900 #001615@0.44; modal 796x624 @(322,138) VERTICAL gap 16 pad 24/16/24/16 radius 32 fill #122524; body Frame 570 764x248 gap 16; footer Frame 470 764x34 gap 20 pinned to the bottom (566+34=600=624-24 pad). Code BlacklistModal.tsx:193 matches shell exactly: lg:max-w-[796px]=796, lg:gap-4=16, lg:px-4=16 with py-6=24 (24/16/24/16), lg:rounded-[32px]=32, bg-[#122524], scrim bg-[#001615]/[0.44]. ONE measured miss: footer row height 34 matches (py-2 + leading-18) but its gap is 8 (gap-2, BlacklistModal.tsx:306) where the frame reads 20.	desktop=partial @2026-08-31
Trench > Filters 1VH [13006-176980]	done	src/components/trench-redesign/discover/FiltersPanel.tsx	/trench	FIXED THIS WAVE. Measured live off Trade 2 page 13006:134300 node data 2026-08-31: Right menu FRAME x=990 y=8 442x884, VERTICAL itemSpacing 32, padding 24/24/24/24, cornerRadius 24, fill SOLID #122524@0.8; frame has NO Overlay child so it draws no scrim. Shipping code was SheetContent side=right className="bg-[#001615] border-[#123F3C] overflow-y-auto" - the stock right variant, inset-y-0 right-0 h-full sm:max-w-sm = a square-cornered 384px slab welded to three edges (58px narrower than the frame) under Radix bg-black/80. Six sibling panels already used the shared RIGHT_MENU_SHEET_CLASS/RIGHT_MENU_OVERLAY_CLASS; Filters was the only one that did not. Now floats 8px (990+442=1432=1440-8; 8+884=892=900-8), radius 24 (rounded-2xl on OUR scale, not Figmas 2xl=16), padding 24, fill rgba(18,37,36,0.8)+blur 20, scrim transparent. New oracle FiltersPanel.figma.test.tsx: 11 tests, mutation kills 9.	desktop=renders @2026-08-31
Trench > Discover 1VH [13006-168043]	partial	src/components/trench-redesign/discover/DiscoverScreen.tsx	/trench	Measured 13006:134300 node data. Frame: header 1440x56, sidebar 58x844 (padding 12/11/12/11, inner rail 36 wide), major 1382x844 @(58,56) VERTICAL gap 0; inside it a TOP Trench scroller 1382x20 fill #001615, then main 1382x802 whose Frame 521 is 1318 wide @(32,24) VERTICAL gap 24, then a BOTTOM Trench scroller 1382x22 fill #122524. So the frame has TWO scroller strips, top and bottom, with DIFFERENT heights (20 vs 22) and DIFFERENT fills (#001615 vs #122524). Code ships one TrenchScroller with neither fill and a 20px ticker. Content inset 32/24 not verified against DiscoverScreen.	desktop=partial @2026-08-31
Trench > Discover > Trending 1VH [13006-173270]	partial	src/components/trench-redesign/discover/TokenTable.tsx	/trench	Measured 13006:134300 node data. Same shell as 13006-168043. Bottom Trench scroller 1382x22 @(58,878) fill #122524, HORIZONTAL gap 24; its Frame 1 is padding 0/16/0/16 gap 28; the inner scroller frame is 1350x22 padding 2/0/2/0 gap 16. Code TrenchScroller.tsx:78 is flex w-full items-center gap-4 (16, frame says 24 at the root and 28 one level in) with the ticker at h-[20px] py-[2px] (20, frame says 22) and NO bg-[#122524] and NO px-4. Four measured misses on the scroller alone.	desktop=partial @2026-08-31
Trench > Trade 1VH [13006-210576]	partial	src/components/trench-redesign/trade/TradeTerminal.tsx	/crypto/:symbol	Measured live 2026-08-31 off 13006:134300. CONFIRMS the wave-5 grid fix is still correct: main 1382x1429 @(58,56); chart column Frame 443 x=8 w=1047; rail Multi-panel - combined x=1061 w=313 -> outer padding 8, column gap 1061-1047-8=6. Code TradeTerminal.tsx:116 lg:grid-cols-[1fr_313px] lg:gap-1.5 lg:p-2 = 313/6/8 exact. NEW MISS, structural: the frame draws the chart column as THREE SEPARATED radius-16 cards with 6px gaps - Frame 6 header 1047x58 pad 16/16/16/11 fill #122524, Frame 10 stats 1047x58 pad 8/16 fill #001615, TradingView 1047x544 pad 12 gap 8 fill #122524. Code builds one continuous surface: TradeHeader.tsx:222 px-4 py-3 border-b (no radius, no fill, py 12 vs 16, pl 16 vs 11) and TradeChart.tsx:29+48 border-b with lg:h-[420px] against the frames 544 (520 inside its 12px padding).	desktop=partial @2026-08-31
Trench > Trade - layout 2 1VH [13006-212781]	partial	src/components/trench-redesign/trade/TradeTerminal.tsx	/crypto/:symbol	Same main 1382x1429 @(58,56) and same 1047/313/gap-6/pad-8 column geometry as 13006-210576, measured 2026-08-31; grid matches code exactly. Layout-2 difference (order-book placement) not separately measured - in 13006-210576 the Order book node is 277x672 at x=778, i.e. an OVERLAY on the chart column, not a third grid track. Same three-cards-vs-one-surface miss as 13006-210576.	desktop=partial @2026-08-31
