7727-14937	match	-	Unlock WalletUnlock/UnlockForm; WelcomeBackground art, skai-short lockup
2999-19674	match	-	Unlock WalletUnlock desktop; geometry logo y260 form y372 per frame
7675-51350	match	-	Unlock WalletUnlock tablet
3012-15180	match	-	Unlock-password UnlockForm password factor, desktop
7727-14974	partial	-	Unlock-password UnlockForm mobile - RE-SCOPED wave 57, 2026-09-21 from a bare match reading "Unlock-password UnlockForm mobile", which is a whole-frame claim on a board that has one number open. Wave 55 read it live whole and this pass re-checked the build at HEAD: WalletUnlock.tsx:137 mb-9 is the board 36 under the 87x36 lockup, :128 px-6 leaves 327 of 375 against the board 328, and pt-[calc(50vh-120px)] is half the 240 block that actually renders. OPEN, AND NOT THIS LANE FILE: the last child is a 328x16 instance on the board against a 14-tall run at UnlockForm.tsx:196 - a 14 run inside a 16 box is the likely reading, and get_metadata cannot tell a box from a leading. If the box is meant to be 16 that button takes h-4 md:h-auto. Cost is 2px of column height and one pixel of centring.
7675-51418	match	-	Unlock-password UnlockForm tablet
3026-16563	match	-	Create-new-wallet Google auth = thirdweb inAppWallet modal, wired via handleSignIn
7676-51711	match	-	Create-new-wallet tablet - READ LIVE WHOLE wave 55, 2026-09-20 (get_metadata 7676:51711) for the second wave running, and CLOSED on the ruling that governs it. main 418x398 at (175,313), centred on 768; logos/skai-short 116x48 at (151,0), centred in the 418; inputs opening at y=96, so 48 clear under the lockup; every block inside 20 apart - a 418x74 field at 0, a CTA at 94 whose 254 half is hidden so one full-width 418x50 draws, Frame 168 at 164 as a 182 rule, OR at x=201 and a second 182 rule at x=236, CTA-grouped at 200 as two 205x50 halves on an 8 gap, and a 418x32 notice at 270. MATCHED: the 418 column (md:max-w-[418px]), the 116x48 medium lockup with 48 under it (md:mb-12), 50-tall CTAs at 14/18, and the 20 the column itself sets. The 116x48 corroborates Casey's 2026-09-19 short-logomark ruling from a second board. The board is an ACCOUNT-CREATION FORM and this screen draws two CTAs because the 2026-07-03 thirdweb-only ruling moves that form one step in, into EmailAuthFlow.tsx - a ruling removing frame elements, which the 2026-09-20 ruling counts as closing the row. Wave 53 (0040580) built the one thing the ruling did not supersede: main's last child, the 418x32 notice, Manrope 12/16 at -0.48px, centred, Accents/Gray 100 with Terms and Privacy alone in Sky Blue 300. It stamps nothing; the attestation is recorded at the step that creates the row. Re-scoped from match wave 52; notice built wave 53; closed on the ruling wave 55.
7683-7930	match	-	Forgot-password ForgotPasswordFlow tablet; email input replaced by explain+handoff (deliberate security)
7473-130910	match	-	Forgot-password ForgotPasswordFlow desktop; disconnects live session first
7727-15699	match	-	Forgot-password ForgotPasswordFlow mobile
3023-11938	match	-	Create-new-wallet = thirdweb email/OTP modal (confirmed via screenshot), wired
7727-15482	match	-	Create-new-wallet thirdweb modal mobile
7728-59766	match	-	Reset-password ResetPasswordScreen mobile; new+confirm, min-length, bridged session
7728-59382	match	-	Forgot>OTP = thirdweb email OTP, SKAIAuth recovery handoff to login step
7473-133033	match	-	Reset-password ResetPasswordScreen desktop
7683-34510	match	-	Reset-password ResetPasswordScreen tablet
7473-131013	match	-	Forgot>OTP thirdweb OTP desktop, recovery re-auth wired
7683-33892	match	-	Forgot>OTP thirdweb OTP tablet
9685-101103	match	-	Remove-wallet WalletActionsMenu remove modal (warning+row+Cancel/Remove)
