# key	status	primaryFile	route	reason	bp
Dropdown - Indicator (favorite) [3972-25561]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED at the desktop cut. Panel 375x450, inner column 359 so padding is 8 every side, section gap 8, radius 12 - the frame binds rounded-xl, which is 12 there and not the 12 our rounded-lg happens to be, so it is matched by pixel. Header row 359x36: Indicators in Manrope 18/24 at -0.72px = -4% white, close icon 16 sitting 8 off the right. Search 359x34 on green-coal-300 with a green-coal-100 hairline, radius 8, pl 16 pr 24 py 8, 10px gap, hint Manrope 14/18 in Ash 300 #95A09F at node opacity 74 - a node opacity, not a lighter fill, so the code carried 75 and now carries 74. Divider 359 wide, column header Script name Manrope 12/16 white at 44 inset 32. Scripts block 359x316, rows 359x28 on a 32 pitch = 4 gap, icon 16 at 8, label at 32 in Mulish 12/16. Ten rows alphabetical from 52 week High/Low. Everything matched except the row leading, which shipped 16 at all widths and is 16 only here.	desktop=done
Dropdown - Indicator (favorite) [9050-212389]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED, and this is the board that carried the defects. Panel 300x450 - not 375 - inner column 280, pl 8 pr 12 py 8, radius 8. Header Indicators Manrope 14/18.05 at -0.56px, where the code shipped 18/24 off the desktop board: 4px too large on 6px too much leading, on every tablet. Search hint Manrope 12/16 against a shipped 14/18. Script name Manrope 12/16 white at 44, correct as shipped. Row label Mulish 12/14 against a shipped 12/16, and the row still measures 28 because the 16px icon sets the height, so that error was invisible in a screenshot. Search box, gaps, radii and row pitch all matched. Panel width now steps 375 / 300 / 375 and the radius 8 / 8 / 12. The 12px right pad is the frame gutter for a 4px painted scrollbar we do not draw, so p-2 stands and that is a deliberate 4px.	tablet=done
Dropdown - Indicator (favorite) [9777-107807]	partial	src/components/trade/native-chart/CandleChart.tsx	/spot	TYPE CLOSED, BOX IS A CASEY CALL. Panel 375x440 on a 375 board - the full width of the board - inner column 355 with a 4px scrollbar at 367, and it binds rounded-none, so on the phone this is an edge-to-edge sheet with square corners. Type all fixed: header Manrope 14/18, search hint Manrope 12/14, Script name Manrope 12/14, row Mulish 12/14, against a shipped 18/24, 14/18, 12/16 and 12/16. Rows 355x28 on a 32 pitch, icon 16 at 8, label at 32 - unchanged and correct. Not closed: we still draw a floating popover clamped to calc(100vw-2rem) with an 8px corner. Edge-to-edge with a 0 corner is a different control, not a width, so it is a Casey call with two options rather than a guess.	mobile=partial
dropdown-3 - grouped timeframes [9777-109249]	partial	src/components/trade/native-chart/CandleChart.tsx	/spot	TYPE CLOSED, BOX IS A CASEY CALL. Panel 375x528 on a 375 board, inner column 355, padding 8, 4px scrollbar at 367, binds rounded-none. Three collapsible sections - Minutes, Hours, Days - each a 355x16 heading carrying a 16px chevron at 339, then 5, 5 and 4 rows of 355x28 on a 32 pitch, a 355-wide rule 4px under each block and the next heading 4px below that. Headings Manrope 12/14 white at 44 and rows Mulish 12/14, both shipped at 12/16 off the desktop board. Row label at 8, trailing icon 16 at 331. Content, grouping and spacing all matched. Open like its Indicators twin: a 375-wide square-cornered sheet against our 199-wide floating popover.	mobile=partial
dropdown-3 - grouped timeframes [3972-34149]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED at the desktop cut, and the board that fixes the top end of the ramp. Panel 199x528, inner column 183, padding 8, radius 12 (binds rounded-xl), 6px scrollbar. Headings Manrope 12/16 white at 44 with a 16px chevron at 167; rows 183x28 on a 32 pitch, label at 8 in Mulish 12/16, trailing icon 16 at 159; a 183-wide rule between blocks. Same 14 resolutions in the same order as the phone board. Everything matched here, which is exactly why the phone board went unnoticed: one value was shipped and it was this one.	desktop=done
dropdown-time - chart timezone list [7679-71196]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED, and the earlier deferred was stale - the picker exists and opens off the clock. Frame 199x524, inner column 183, padding 8, radius 12 (binds rounded-xl; its 6px scrollbar is the only rounded-lg in the node), rows 183x28 on a 32 pitch = 4 gap, label at 8 in Mulish 12/16, no trailing glyph. 16 rows: UTC, Exchange, then (UTC-10) Honolulu through (UTC-4) New York, verbatim. Two real deltas fixed: the box shipped 190 wide against 199, and capped its scroll at 260 against a frame that draws the full 524 with its own scrollbar - the 260 was never measured off anything. Row leading joins the 12/14 to 12/16 ramp. Local time is an extra row we add for the viewer's own zone and is deliberate.	desktop=done
Skai > Trade > Spot - chart tools collapsed [9772-80915]	partial	src/components/trade/native-chart/CandleChart.tsx	/spot	CHART CARD AND NAV TYPE CLOSED, TWO CONTENT COLLAPSES ARE CASEY CALLS. Card 375x416 edge to edge on the board, nav rows inset 16 across and 12 down, 343 wide and 27 tall, 8px between nav, plot and nav, plot inset radius 8, card binds rounded-none. Nav labels are Mulish 12/14 at -0.48px here against 14/16 on the tablet board and 14/18 on the desktop one; all three shipped 14/18, so a phone drew the whole nav 2px large on 4px too much leading. Fixed, size stepping at md and leading again at lg. TV tools 24x312 carries hidden true on this board and no rail is mounted, which agrees. Not closed: the top nav draws ONE resolution, 30m, plus a 16px chevron on a 4px gap where we draw four pills, and the bottom nav replaces the seven ranges with a single icon plus Date range plus chevron. Both take reachable controls off a phone, so they are Casey calls, not silent edits.	mobile=partial
Chart - Line [7746-211720]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED. Chart card 764x544, fill Green Coal 200 #122524, no stroke on any board, radius 16 (binds rounded-2xl; the code shipped 12, read off a corner arc on a PNG export, which is 4px short of what the frame states), padding 12 every side, three rows on an 8px gap, nav rows 740x27. The plot inset states its radius as a literal 8 and the code shipped rounded-md, which is 10 here. Price column 53 wide sitting 8 off the plot, labels Mulish 12/16 white at node opacity 64. Nav labels Mulish 14/18, Indicators label Manrope 14/18 in a 92-wide group = 24 + 8 + 60. TV tools hidden true. Line and Area are real lightweight-charts series behind the chart-type menu, so the type this frame names renders.	desktop=done
Chart - Area [7746-212704]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED, same 1440 chart-card family as Chart - Line and identical on all three axes: card binds rounded-2xl = 16 on Green Coal 200 #122524, padding 12, gaps 8, nav Mulish 14/18 with the Indicators label Manrope 14/18, rows Mulish 12/16, Sky Blue 300 #56C7F3 for the selected label, Green 300 #17F9B4 and Red 300 #FF574A on the plot. Area is a real AreaSeries in the canvas reached from the chart-type menu, so the variant this frame draws is renderable rather than a picture. Radius and plot inset corrected with the Line frame.	desktop=done
Chart - Area [7746-212008]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED, second Area cut, and it agrees with the first on every value: rounded-2xl = 16 card on Green Coal 200 #122524, padding 12, gaps 8, 1px and 2px stroke widths, nav Mulish 14/18, Indicators Manrope 14/18, rows Mulish 12/16, drop shadow 0/4 radius 12 at #0000003D. Two independent Area boards reading the same numbers is what makes the 16 safe to ship against a PNG arc that said 12.	desktop=done
Chart sample 2 - SOL [3927-56677]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED for the chart card, which is the part of this frame in this partition. The TradingView group is 764x544 at y=128 with the same geometry as the Line and Area cuts - nav 740x27 inset 12, Row 2 740x450 8px below it, second nav 8px below that, TV tools hidden true, Frame 474 92 wide = 24 + 8 + 60 with the Indicators label at Manrope 14/18. The two bands above it, the SOL/USDT header and the AI-confidence strip, are MarketHeader and AIConfidenceStrip and are outside this partition, so they are not claimed here. The frame carries no chart value that differs from its BTC siblings; it is the same card with a different symbol.	desktop=done
Skai > Trade > Spot > Chart settings [3931-88039]	done	src/components/trade/ChartSettingsPanel.tsx	/spot	RE-MEASURED AND IT HOLDS. The previous reason described what was and was not built rather than any dimension, and part of it had gone stale. Drawer node 442x884 at x=990 y=8 on a 1440x900 page, so 8 clear of the top and the right; content column 394 at 24,24 = 24 inset every side; corner 24. Title Adjust chart settings Manrope 24/28 at -0.96px = -4% white, close icon 16 at 378. Group heading Manrope 18/24 white over a Manrope 12/16 line in Accents Gray 100 #E0E0E0, 8 apart, 16 above the rows. Rows an 18px box on a 6px corner, black fill, Green Coal 100 hairline, 8 to a Manrope 12/16 white label, 34px pitch = 16 gap. Groups 24 apart. Footer CTA 394x62. Every value matched as shipped. The width is the fragile part and now has an oracle: SheetContent caps side panels at md max-w-sm = 384 and tailwind-merge only resolves within a variant chain, so this caller's own cap must be md or the panel silently draws 58px narrow from 768 up.	desktop=done
TradingView chart card [7710-91579]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED. 764x544, card binds rounded-2xl = 16 on Green Coal 200 #122524 with no stroke, padding 12, three rows on an 8px gap. Top nav 7710:91580: resolutions Mulish 14/18 at -0.56px on a 12px gap, white at rest and Sky Blue 300 #56C7F3 selected, no fill, no border, no radius; a 1x27 Green Coal 100 rule between groups on 8px gaps; chart-type and Indicators icons 24; Indicators label Manrope 14/18 in a 92-wide group. Bottom nav 7710:92571 uses the same ramp for the ranges, the clock and % / Log / Auto. TV tools 24x312 hidden true. The card radius and the plot inset were the two misses and both are fixed; the nav type was right at THIS width and wrong at the two below it.	desktop=done
TradingView chart card [9002-157082]	done	src/components/trade/native-chart/CandleChart.tsx	/spot	CLOSED, and the middle rung the ramp was missing. Card 708x544, binds rounded-xl = 12, padding 12 every side, nav rows 684x27 8px apart. Nav labels Mulish 14/16 at -0.56px - a THIRD pair, not the 14/18 that shipped - on a 12px gap, selected Sky Blue 300. Indicators group 83 = 24 + 8 + 51 with the label Manrope 12/16, which the label oracle already held. The bottom nav draws the full seven ranges here, so the phone board's Date range collapse is phone-only. Note, and it is a real cross-board contradiction: TV tools 24x312 with ten icons is NOT hidden on this board, while the 375 and 1440 boards hide it. The rail is unmounted because lightweight-charts ships no drawing engine, so reinstating it is a Casey call rather than a build.	tablet=done
