# key	status	primaryFile	route	reason	bp
# Lane wallet-social-predict, wave 43, 2026-09-14. 47 frames re-measured against source at HEAD. NOTHING WAS EDITED.
#
# FIGMA READ LIVE THIS RUN — 38 get_metadata calls, no seat refusal, largest board per screen first:
#   swap        13008:28765 (1440)  13008:41206 (375)
#   notif-set   13008:28216 (1440)  13008:44069 (375 card)
#   streaks     13008:28453 (1440)  13008:42628 (768 tile)  13008:43475 (375 tile)
#   currency    13008:27743 (1440)  13008:43100 (768)       13008:44161 (375)
#   quick-acts  13008:39237 (1440)  13008:41128 (375)
#   receive     13008:38053 (1440)  13008:42213 (375)
#   share       13008:51352 (375)   nft-import 7871:20688 (375)
#   add-wallet  7797:71630  7774:71414  7774:71454  7774:71260   scan-qr 7717:14311
#   accounts    7713:15130  7713:15656  7713:16123
#   dropdowns   5523:103268 (1440 app)  13008:43114 (768 wallet)
#   bottom-nav  9002:158175  10657:218076  6795:30736
#   predict     10657:217698  10657:218029  10657:217898  10657:232076  8610:164278
#   social      5534:92868  5534:92972  5110:187519  5198:50416
#
# NINE FRAMES WERE NOT REOPENED and keep their prior verdict, marked NOT RE-READ in the reason:
#   13008-39596  13008-43295  13008-40363  7804-74178  10657-234836  5110-187509  9002-163721
#   7712-29439   14180-115254
#
# PEER STATE. modules/skai-wallet is a submodule whose working tree was CLEAN at 22:10; its files are measured
# at submodule HEAD cbc29ad, which is AHEAD of the superproject gitlink (`M modules/skai-wallet` in git status).
# src/components/layout/AccountDropdown.tsx is session 08's and was measured with `git show HEAD:` per the brief —
# it happened to be clean in the snapshot, but the row is keyed to HEAD d88ca8890 either way.
# src/components/trench-redesign/** IS dirty, which is why 14180-115254 was not opened.
#
# ★ THE DEFECT CLASS THIS RUN KEPT FINDING: a value measured on ONE board and shipped flat. Three examples, all
# live: the quick-actions tile ORDER (Request 3rd at 375, 4th at 1440 — the source's own docblock says "all three
# 375 boards", and the build applied that reading to 1440 too); the bottom-nav cell's 2px left bias (built as an
# `md:` inset when both the phone and the tablet board carry it); and the add-wallet CTA row (44 at 375, 50 at 768,
# 62 at 1440 — the source has only a base rung and an `lg:` rung, so the phone draws the tablet's 50).
#
# ★ AND A DOCBLOCK CAN BE A SECOND-HAND READING. NotificationSettings.tsx names its three boards with numbers and
# every one of them checked out live; QuickActionsBar.tsx names three 375 boards and is right about all three, and
# wrong about the 1440 board it also ships to. Re-read the board the value lands on, not the one it came from.
13008-28765	partial	modules/skai-wallet/src/components/SwapModal.tsx	/ -> openModal('swap')	READ LIVE. Board: main card 680x616 at (380.5,104), header row 680x36 (24 back mark, "Swap crypto" 167x36 = 28/36, 28px gear at the right inset), card pad 16 -> 648, Sell and Buy cards 648x132 on a 4 gap, the reverse control 40x40 centred at x=304 y=114, percent chips 38/38/38/37 on a 2 gap with 8px text insets, the "Swap summary" rule row 648x18 with 259-wide vectors either side of a 92x18 label, three 18-tall summary rows on 26-pitch dividers, CTA 648x64 at (16,484). Source at cbc29ad (w23 4d149fb) CONFIRMED on the type ramp only, and it is exact: SwapModal.tsx:2823/:2889 run Balance: at 12/14 -> 12/16 -> 14/18 and :2930 runs the summary label the same way, which is what the 14-tall 375 rows and 18-tall 1440 rows state. NOT ASSERTED against source this pass: the card geometry above (648/132/64/40) — the file is 3,024 lines and its Figma card shares it with the legacy review/error sheets at :1762-:2031, which no swap board in this assignment draws. Catalog and w23 both said done; partial is the honest rung until the geometry is read.	1440=partial 768=unknown 375=unknown @2026-09-14/wave43-wallet-social-predict
13008-39596	done	modules/skai-wallet/src/components/SwapModal.tsx	/ -> openModal('swap')	NOT RE-READ — the seat budget went to the 1440 and 375 cuts, and inferring the middle rung from the outer two is exactly the two-rung error this wave exists to catch. Prior verdict (catalog done, bpStatus done) carried unchanged. The 1440 row above records what the type ramp does state about this width: SwapModal.tsx:2823 gives 768 its own `md:leading-[16px]` rung, so the ladder is built, not flat.	1440=unknown 768=done 375=unknown @2026-09-14/wave43-wallet-social-predict
13008-41206	partial	modules/skai-wallet/src/components/SwapModal.tsx	/ -> openModal('swap')	READ LIVE. Board 375x812 with a 48-tall Header-mobile; main 346 at (15,64), header 346x28 ("Swap crypto" 105x24 = 20/24, 28px gear), card at y=44 346x448 pad 12 -> 322; Sell card 322x120 over a Buy card 322x116 on a 4 gap, reverse control 40x40 centred at x=141; chips 37/37/37/36 on a 2 gap; amount 14/16 right-aligned; Balance row 14 tall on a 4 gap; summary rule row 322x14 with 102.5 vectors and a 79x14 label; summary rows 14 tall on 22-pitch dividers; CTA 322x44. Type ramp confirmed exact in source (see the 1440 row). Geometry not asserted, same reason. Was done in both catalog and w23.	1440=unknown 768=unknown 375=partial @2026-09-14/wave43-wallet-social-predict
13008-28216	partial	modules/skai-wallet/src/components/NotificationSettings.tsx	/ (header bell -> gear)	READ LIVE and EVERY MEASURED VALUE MATCHES w23 cbc29ad: card Frame 337 442x884 at (990,8) against `@[640px]:right-2 top-2 bottom-2 w-[442px]` with `@[1024px]:rounded-2xl` (24 on this module's remapped scale); pad 24 = `@[1024px]:p-6`; controls row 28 with the title 368x28 (24/28) and a 16px close, gap to the first row 32 = `@[1024px]:mb-8`; row title 140x24 (18/24) over a 16-tall description on a 2 gap = `gap-0.5`; toggle 60.89x36 = `@[640px]:h-9 w-[61px]`; CTA 394x62 at y=798, i.e. the 24 pad clear of the foot, radius 16 = `@[1024px]:rounded-xl`, label "Save settings". NOT done for ONE reason, and it is content not geometry: the card renders a "Quick Settings" glass-card holding Sound Effects and Vibration (:553-573) that NO board draws and no ruling covers — the file declares it as a deliberate divergence, which is a build decision, not an override. The Market updates row beside it IS ruled (Casey 2026-09-14, report a6fabea7) and is not counted against the row.	1440=partial 768=unknown 375=unknown @2026-09-14/wave43-wallet-social-predict
13008-43295	done	modules/skai-wallet/src/components/NotificationSettings.tsx	/ (header bell -> gear)	NOT RE-READ. Prior verdict (catalog done) carried. The 1440 and 375 cuts were both opened and both matched, and the source's own table for this width (442x1008 at (318,8), r12, pad 20, CTA 402x50 labelled "Close") is expressed as `@[640px]` tiers that the 375 read confirms the lower end of — but the middle board itself was not opened, so this stays carried rather than promoted. The Quick Settings block named on the 1440 row renders at this width too.	1440=unknown 768=done 375=unknown @2026-09-14/wave43-wallet-social-predict
13008-43905	partial	modules/skai-wallet/src/components/NotificationSettings.tsx	/ (header bell -> gear)	READ LIVE via 13008:44069, and note the FRAME IS MIS-NAMED: its layer name says "1VH (768 x 1024px)" and it measures 375x812. Card 359x796 at (8,8) = `inset-2` + `rounded-lg` (12 here); pad 12 = `p-3`; controls 335x22 with the title 309x22 (18/22) and a 16px close at x=319; 24 to the row = `mb-6`; "Push notifications" 109x18 over a 14-tall description on a 2 gap; toggle 40.59x24 = `h-6 w-[41px]`; CTA 335x44 at (12,740), i.e. exactly 12 clear of the 796 foot, labelled "Close". Every one of those matches. Partial for the same single reason as the 1440 row: the unruled Quick Settings block. Catalog and w23 both said done.	1440=unknown 768=unknown 375=partial @2026-09-14/wave43-wallet-social-predict
13008-51352	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	READ LIVE (the response exceeded the tool's inline cap and was read back from the saved artefact, so the depth-2 structure below is measured, not the leaf type). The board is 375x932, NOT the 812 its title claims. Main 346 at (15,64); a 346x28 header row; the share sheet is "Frame 346" 346x402 inside Group 16, pad 12 -> 322, holding a 322x68 block, a 322x84 block at y=88 and a 322x118 `input/primary-inputs` at y=192; the action row is 322x44 at y=346 with TWO 157x44 CTAs on an 8 gap. A sibling "Normal" 346x346 is hidden. Not compared to ShareCard.tsx numerically this pass; w23 a5f7daa reports the phone sheet now opens on its options and shows the card after a choice, which is a flow claim this reading neither confirms nor contradicts. Partial in catalog and in w23; unchanged.	1440=unknown 768=unknown 375=partial @2026-09-14/wave43-wallet-social-predict
7871-20688	partial	modules/skai-wallet/src/components/NftDisplay.tsx	/ (home NFT tab) -> Import NFT	READ LIVE. The board carries a full-bleed `Overlay` 375x812 with the modal inside it at (11,124) 354x564 — so w23's 362b171 claim that Import NFT now draws the veil is the frame's own structure. Modal pad 12 -> 330: title 330x22, body 330x32, an Important card 330x88 whose inner block is 294x64 at (16,12) with a 16px warnings mark and "Important:" at x=22, THREE `input/primary-inputs` 330x70 at y=238/328/418 (a flat 20 gap), and a 330x44 action row at y=508 holding two 161x44 CTAs on an 8 gap. The home board behind it also draws quick actions in the 375 order (Chart Insights Request Spending Share at 58 wide on a 66 pitch) plus a second row of Bridge Backup Batch Approvals — see 13008-41128. Field-by-field comparison to NftDisplay.tsx not done. Catalog bpStatus partial; w23 partial; unchanged.	1440=unknown 768=unknown 375=partial @2026-09-14/wave43-wallet-social-predict
13008-28453	partial	modules/skai-wallet/src/components/wallet/dashboard/StreakBanner.tsx	/	READ LIVE in full. The opened card is Frame 172 680x254: heading block at (24,16) 640x50 ("You started a new streak!" 202x24 over a 640x18 line at a 32 seam), then Frame 405 at (24,90) 640x148 = a two-up stat row of 315x64 tiles on a 10 gap, then the badge row at a 16 seam 640x68 (64x64 badge, content at x=74, title row 566x22, an 8-tall track whose fill is 48.6 of 566, and an 18-tall accredited row reading "Next reward: 3 days ( 55 SKAI )" with a 125x18 CTA at x=441). ✅ THE TILE IS EXACT AT ALL THREE WIDTHS — 13008:28474/42628/43475 are 315/273/156 x64, each padded 12 with a FLAT 14 disc gutter, a flat 40 disc round a flat 24 mark, 4 between the lines, the count line 16 at every width and the note stepping 16/14/12; StreakBanner.tsx ships `gap-3.5`, `size-10`, `size-6`, STAT_COUNT_TYPE 12/16->14/16->16/16 and STAT_NOTE_TYPE_STEPPED 10/12->12/14->12/16, which is that table. STILL PARTIAL: the badge, the progress track and the accredited row above were not compared to source. w23 said done.	1440=partial 768=unknown 375=unknown @2026-09-14/wave43-wallet-social-predict
13008-42620	partial	modules/skai-wallet/src/components/wallet/dashboard/StreakBanner.tsx	/	Its TILE was read live — 13008:42628 is 273x64, pad 12, disc gutter 14, disc 40 round a 24 mark, count 16, note 14 — and matches source exactly (see the 1440 row for the ladder). The BOARD itself was not reopened, so the badge/track/accredited block at this width is unmeasured and the row stays partial, as it was in the catalog. w23 said done.	1440=unknown 768=partial 375=unknown @2026-09-14/wave43-wallet-social-predict
