# key	status	primaryFile	route	reason	bp
Multi-panel - live chat [5025-182851]	done	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01, and the panel was rebuilt against it this lane. SHELL MEASURED AND CORRECTED. Frame 429 313x662 VERTICAL gap0 carries NO fill, NO stroke and cornerRadius 0 - true of itself. Frame 299 313x50 pad4/16/0/16 fill #122524 stroke #123F3C w0/0/1/0 CENTER and corners 16/16/0/0; Frame 300 313x612 pad16/16/16/16 gap36 SPACE_BETWEEN fill #122524 stroke #123F3C w1/0/0/0 and corners 0/0/16/16, plus DROP_SHADOW blur80 offset 0,10 #000000@0.25. * THE RADIUS WAS MISSED BY THE PREVIOUS PASS AND THE MISS IS INSTRUCTIVE: a band whose four corners differ reports cornerRadius === figma.mixed, so reading that one property finds nothing on the bands AND nothing on the wrapper, and the honest conclusion from that reading is a square slab. Re-read per-corner on SIX cards spanning both rail occupants - 5025:182853, 5026:183373, 11529:292427, 11529:293406 and the viewers cards 10025:229669 / 11529:300271 / 11529:301652 - and every one of them rounds the outer pair. Shipped as rounded-t-[12px] lg:rounded-t-[16px] on the header band and rounded-b-* on the body, so the seam between them stays square. The code had shipped bg-background border rounded-lg on Frame 429 - an #001615 slab, a stock border and a radius on the one node in the card that paints nothing. HEADER. bottom menu 281x46 VERTICAL gap12 pad8/0/6/0 and Frame 1 281x32 HORIZONTAL pad4/0/4/0 SPACE_BETWEEN CENTER, so the band is 4+8+32+6 = 50 = px-4 pt-3 pb-1.5 around an h-8 py-1 row. Frame 336 167x18 gap6 = gap-1.5 holding CTA/button 70x18 (Live chat, Manrope REGULAR 14/18 ls-4pct #FFFFFF, then a 16x16 chevron at x=54 so itemSpacing is 0) and labels/tag 91x18 r9999 pad2/8/2/8 gap4 fill #FFFF16@0.24 with a 10x10 #FFFF16 glyph and Gift streamer in Mulish Regular 11/14 #FFFF16. Right slot CTA/button 5025:182867 24x24 r8 pad4/4/4/4 no fill stroke #123F3C w1 INSIDE around a 16x16 three-dot glyph, which StreamChatSettingsTrigger now draws instead of a bare ghost icon. The title had been font-semibold and the pill rounded-[8px] at bg-sun-yellow/15 with a font-medium 11px at every width; both corrected. BODY. Frame 355 281x270 VERTICAL gap12 = gap-3, and the code had shipped space-y-2. Each Chat row is VERTICAL gap2 over Frame 737 HORIZONTAL gap8 CENTER = [time 32x16 Mulish Regular 12/16 ls-4pct #FFFFFF at node opacity 0.44] [Frame 738 gap4 = images/circle 16x16 then the handle at x=20, Manrope Regular 12/16 #56C7F3] [the first line of the message, Manrope Regular 12/16 #FFFFFF], with the remainder a sibling TEXT 281 wide 2px below. * THE 2px IS AN AUTHORING ARTIFACT, NOT A SPEC, and saying so is the whole reason this ships as one paragraph: inside the continuation node the pitch is exactly its own line-height (32 for two lines at 16, 28 for two at 14 on the 375 card), so the 2px exists only where the author split the paragraph by hand to get the timestamp inline. A real wrap cannot reproduce a container gap, and the type is the part that is stated. Shipped as one paragraph with the two 8px itemSpacings as mr-2 on the timestamp and on the author group. Composer Frame 464 281x42 HORIZONTAL gap8 CENTER: card 233x42 r12 pad12/12/12/12 fill #001615 stroke #123F3C w1 INSIDE holding a 16x16 emote glyph at opacity 0.44 then gap4 then Write a message... in Mulish Regular 14/18 #95A09F, and CTA/button 40x40 r8. 12+18+12 = 42 is asserted as a SUM rather than as three separate paddings. * AND THE DEFAULT MESSAGE SIZE WAS ONE STEP TOO LARGE AT EVERY WIDTH. Every message text node in all sixteen frames is 12px, and all sixteen are drawn with the chat-settings Small card selected, so the default and the drawn size have to be the same number. CHAT_TEXT_SIZE_PX.small was 14, deliberately set equal to text-sm on the reasoning that the settings drawer must not change what the chat already did - which was true of the drawer and wrong about the frames. Now 12. * THE SEND KEY'S TWO STATES ARE BOTH DRAWN AND THE PAIR IS THE POINT. On this frame and 5000-162336 the composer is empty and CTA/button is fill #001615 with a #123F3C glyph; on 5000-163102, 10025-230712 and 5000-162965 the composer has text and the SAME node is fill #56C7F3 with an #001615 glyph. Read as one design that is a send button nobody can see; read as a pair it is disabled/enabled, which is what shipped - bg-sky-blue text-[#001615] with disabled:bg-[#001615] disabled:text-[#123f3c]. * ALSO FIXED, not cosmetic: the emote toggle, the send key and every hover chip are 16, 40 and 22 tall, all under the 44px floor src/index.css applies to buttons at and below 768, so each carries no-min-size with its measured height. The emote toggle also moved INSIDE the composer card, which is where the frame's 16x16 icons/action sits - it had been a separate size=icon Button beside it. MOUNT. StreamChat is rendered at src/pages/social/Streaming.tsx:1555 in the right rail and again at :1534 inside StreamChatPopout; STREAMING_PUBLIC is live at rollout 100, so /streaming is reachable. Localhost cannot drive it (WS Origin 403 and a mock DEV wallet), so this is node data on both sides and not a photograph. ORACLE StreamChat.figma.test.tsx, 17 tests, mutation-verified four ways: dropped the lg radius step -> header test red; font-semibold title -> title test red; 24px square chips in place of the 22px round ones -> chip test red; disabled:opacity-50 in place of the send key's disabled fill -> send test red. All four mutants grep -F confirmed gone afterwards and 17/17 restored, with the four streaming oracles green together at 59/59 and the whole directory at 70/70.	desktop=done @2026-09-01
Multi-panel - live chat [5000-162336]	done	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01. The second desktop copy of the same card, and it agrees with 5025-182851 on every value checked: Frame 299 313x50 pad4/16/0/16 r16/16/0/0 #122524 with the bottom-only #123F3C hairline, Frame 300 313x612 pad16 gap36 r0/0/16/16 with the top hairline and DROP_SHADOW 80 at 0,10 #000000@0.25, all 28 text nodes matching character for character down to Live chat Manrope Regular 14/18, Gift streamer Mulish Regular 11/14 #FFFF16 on #FFFF16@0.24, timestamps Mulish Regular 12/16 at opacity 0.44, handles Manrope Regular 12/16 #56C7F3 and the body Manrope Regular 12/16 #FFFFFF, and the composer card 233x42 r12 #001615 with CTA/button 40x40 r8 #001615 behind a #123F3C glyph. One builder covers both, so the full measurement is written once on 5025-182851 and this row records that the two agree. MOUNT. StreamChat is rendered at src/pages/social/Streaming.tsx:1555 in the right rail and again at :1534 inside StreamChatPopout; STREAMING_PUBLIC is live at rollout 100, so /streaming is reachable. Localhost cannot drive it (WS Origin 403 and a mock DEV wallet), so this is node data on both sides and not a photograph.	desktop=done @2026-09-01
Multi-panel - live chat [11529-292610]	done	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01. 708x396. GEOMETRY as the desktop card on every structural value, and the radius steps DOWN: Frame 299 708x50 pad4/16/0/16 r12/12/0/0 #122524 with a bottom-only #123F3C w1 hairline; Frame 300 708x346 pad16/16/16/16 gap36 r0/0/12/12 top hairline w1 with the same DROP_SHADOW 80 at 0,10 #000000@0.25; bottom menu 676x46 gap12 pad8/0/6/0; Frame 1 676x32 pad4/0/4/0 SPACE_BETWEEN; Frame 336 162x18 gap6; right-slot CTA/button 11529:292626 24x24 r8 pad4 stroke #123F3C w1; Frame 355 676x238 gap12; rows gap2 over Frame 737 gap8; Frame 738 gap4 with a 16x16 avatar and the handle at x=20; composer Frame 464 676x40 gap8, card 628x40 r12 pad12 #001615 stroke #123F3C w1, CTA/button 40x40 r8 #001615. 12+16+12 = 40 is the card's height as a sum. TYPE this is where three of the ramps step: title Manrope Regular 14/18 = md:leading-[18px]; gift label Mulish Regular 10/14, which is the 375 value and NOT the 1440 one, so the pill ships text-[10px] with lg:text-[11px]; timestamp Mulish Regular 12/14 = leading-[14px] with lg:leading-4, so it steps at 1440 ONLY and diverges from the handle here; handle and message body Manrope Regular 12/16 = md:leading-4; composer placeholder Mulish Regular 14/16 = md:text-[14px] md:leading-4. COLOUR identical to the desktop card on every node checked. MOUNT. StreamChat is rendered at src/pages/social/Streaming.tsx:1555 in the right rail and again at :1534 inside StreamChatPopout; STREAMING_PUBLIC is live at rollout 100, so /streaming is reachable. Localhost cannot drive it (WS Origin 403 and a mock DEV wallet), so this is node data on both sides and not a photograph.	tablet=done @2026-09-01
Multi-panel - live chat [11529-293265]	done	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01. 343x406, and this is the width the whole ramp is anchored on. GEOMETRY Frame 299 343x50 pad4/16/0/16 r12/12/0/0; Frame 300 343x356 pad16 r0/0/12/12 with the same hairlines and shadow but itemSpacing 24 rather than 36 - the ONE structural value not shared with 768, shipped as gap-6 md:gap-9; bottom menu 311x46 gap12 pad8/0/6/0; Frame 336 162x18 gap6; right-slot CTA/button 11529:293281 24x24 r8 stroke #123F3C w1; Frame 355 311x260 gap12; composer Frame 464 311x40 gap8 with card 263x40 r12 pad12 and CTA/button 40x40 r8. TYPE title Manrope Regular 14/16 = the base text-[14px] leading-4; gift label Mulish Regular 10/14; timestamp Mulish Regular 12/14; handle Manrope Regular 12/14 = the base leading-[14px]; message body Manrope Regular 12/14, and its two-line continuation node is 28 tall, which is 2 x 14 exactly and is the evidence that the 2px between a row's two nodes is a split artifact and not a leading. Composer placeholder Mulish Regular 12/14 = the base text-[12px] leading-[14px]. COLOUR identical to the other two. * THIS IS THE WIDTH THE OLD CODE MISSED WORST: three controls under the 44px floor (the 16px emote glyph, the 40px send key, the 22px hover chips), a square #001615 slab where the frame draws a rounded #122524 band, and a message body one size step too large. MOUNT. StreamChat is rendered at src/pages/social/Streaming.tsx:1555 in the right rail and again at :1534 inside StreamChatPopout; STREAMING_PUBLIC is live at rollout 100, so /streaming is reachable. Localhost cannot drive it (WS Origin 403 and a mock DEV wallet), so this is node data on both sides and not a photograph.	mobile=done @2026-09-01
Multi-panel - live chat [11529-292890]	partial	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01. 708x404 - the base 708 card plus the hovered row's floating action bar, and the bar is now MEASURED and SHIPPED. GEOMETRY Frame 1218 74x22 HORIZONTAL gap4, layoutPositioning ABSOLUTE at x=594 y=-11 inside a 676-wide Chat row, so 594+74=668 and 676-668=8: the bar sits 8 in from the row's right edge and is centred on its top edge (22/2=11) = absolute right-2 top-0 -translate-y-1/2. Three chips at x=0/26/52, so 22x3 + 4x2 = 74 exactly - asserted as that SUM in the oracle rather than as three separate widths. Chips 22x22 fully round, fill #122524, stroke #123F3C at strokeWeight 0.6111 - which is 1px x 22/36, i.e. the whole CTA/button instance is a 36px control scaled to 22, so 1px is its renderable weight and not a hairline the design asked for. Glyph 9.78 square = h-2.5 w-2.5. The bar node itself has NO fill, NO stroke and NO padding; the code had drawn a rounded-[8px] bg-popover tray with a border, px-1 py-0.5 and a shadow around three 24px square ghost buttons. The washed row underneath is 10018:198710's treatment, recorded on that row. Everything else on this frame is the 11529-292610 card, measured there. * WHY NOT done, and it is ONE residual with a number on it: the frame draws THREE chips and the app can only ever draw ONE. Report and react each render solely when a caller supplies a handler, and no caller can - public.stream_chat has no reactions column, there is no reactions table, and moderation_cases is the Discord bot's own action log with nothing in src/ writing it. So the live bar is 22 wide against the frame's 74. That is a real visible difference and it is caused by two missing sinks, not by the chrome, which now matches. TWO OPTIONS: (a) build the two sinks - a reactions table and a user-facing report row - and the bar reaches 74 with no further UI work; (b) rule two of the three chips out of scope and record the frame as drawing capability we are not shipping. * SECOND CAVEAT, which is reachability and not parity: with zero rows in public.stream_chat there is no row to hover in production either. MOUNT. StreamChat is rendered at src/pages/social/Streaming.tsx:1555 in the right rail and again at :1534 inside StreamChatPopout; STREAMING_PUBLIC is live at rollout 100, so /streaming is reachable. Localhost cannot drive it (WS Origin 403 and a mock DEV wallet), so this is node data on both sides and not a photograph.	tablet=partial @2026-09-01
Multi-panel - live chat [11529-293126]	partial	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01. 343x414. Frame 1218 74x22 gap4 ABSOLUTE at x=229 y=-11 inside a 311-wide Chat row: 229+74=303 and 311-303=8, the same 8px right inset and the same -11 vertical centring as 11529-292890 and 10025:227950, so right-2 top-0 -translate-y-1/2 reproduces all three widths with one rule. Chips at x=0/26/52. Chips 22x22 fully round, fill #122524, stroke #123F3C at strokeWeight 0.6111 - which is 1px x 22/36, i.e. the whole CTA/button instance is a 36px control scaled to 22, so 1px is its renderable weight and not a hairline the design asked for. Glyph 9.78 square = h-2.5 w-2.5. The rest of the card is 11529-293265, measured there, including the itemSpacing 24 on Frame 300 that this width alone carries. * SAME ONE RESIDUAL as 11529-292890: three chips drawn, one reachable, because react and report have no sink to write to and each control renders only when a caller supplies one. 22 wide against the frame's 74. Same two options. MOUNT. StreamChat is rendered at src/pages/social/Streaming.tsx:1555 in the right rail and again at :1534 inside StreamChatPopout; STREAMING_PUBLIC is live at rollout 100, so /streaming is reachable. Localhost cannot drive it (WS Origin 403 and a mock DEV wallet), so this is node data on both sides and not a photograph.	mobile=partial @2026-09-01
Multi-panel - live chat > selected sample [10018-198650]	partial	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01, and this frame is the sole source for the row's selected treatment. GEOMETRY the washed row is 10018:198710, 281x42 at y=208, fill #123F3C, cornerRadius 6/6/6/6, padding 4/8/4/8; the other six Chat rows on the same frame carry no fill, no radius and no padding. Its action bar 10025:227950 is 74x22 gap4 ABSOLUTE at x=199 in a 281 row, so 199+74=273 and 281-273=8 - the third independent confirmation of the 8px right inset. Chips 22x22 at x=0/26/52 fill #122524. The code had drawn hover:bg-primary/10 with a hover:ring-1, which is neither the colour nor the shape. * WHY NOT done, and it is the padding: 4/8/4/8 appears ONLY on the washed row. Applied as a hover padding it would reflow the message under the pointer, which is a worse screen than the one it fixes. Shipped as -mx-2 -my-1 px-2 py-1 so the text column stays at the 281 every base frame draws in every state and the wash bleeds 8 out and 4 out around it. The painted box is therefore 297x50 where the frame draws 281x42 with a 265 content column. TWO OPTIONS: (a) accept the outward bleed as the correct interaction reading and record the frame as drawing a static mock; (b) inset the column to 265 at all times, which contradicts the six base frames. * AND A FRAME INCONSISTENCY WORTH RECORDING SEPARATELY, because it is the kind that quietly becomes a spec: this frame's body band (Frame 270, 10018:198668) is r0/0/8/8 where the same band on the other five desktop copies - 5025:182851, 5000:162336, 5000:163102, 10025:230712, 5000:162965 - is r0/0/16/16. One of six. We ship 16.	desktop=partial @2026-09-01
Multi-panel - live chat - typing [5000-163102]	done	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01, PROMOTED FROM not-started, AND THE EARLIER READING OF THIS FRAME WAS WRONG ABOUT WHAT IT DRAWS. The wave-2 row called it a typing-indicator state and marked it not-started because StreamChat has zero matches for typing/isTyping. There is no typing-indicator node on it. Diffed node by node against the base 5000-162336: 28 text nodes on both, identical character for character except ONE - Write a message... in Mulish Regular 14/18 #95A09F becomes The name in Mulish Regular 14/18 #FFFFFF - and one filled node changes, CTA/button 40x40 r8 from fill #001615 with a #123F3C glyph to fill #56C7F3 with an #001615 glyph. Every band, row, avatar, handle and timestamp is unchanged. So this frame is the composer with something typed into it, which is a state the component has always had and now paints correctly: the input's text colour is #FFFFFF against a #95A09F placeholder, and the send key is bound to disabled so the two fills cannot ship apart. GEOMETRY as 5025-182851 throughout - Shell as 5025-182851 and re-checked on this card: Frame 429 bare, Frame 299 r16/16/0/0 #122524 with the bottom-only #123F3C w1 hairline, Frame 300 r0/0/16/16 pad16 gap36 with the top hairline and DROP_SHADOW 80 at 0,10 #000000@0.25. Composer card 233x42 r12 pad12 #001615 stroke #123F3C w1, CTA/button 40x40 r8. TYPE typed text Mulish Regular 14/18 ls-4pct, which is the same node and the same step as the placeholder it replaces. COLOUR the pair above, both shipped. MOUNT. StreamChat is rendered at src/pages/social/Streaming.tsx:1555 in the right rail and again at :1534 inside StreamChatPopout; STREAMING_PUBLIC is live at rollout 100, so /streaming is reachable. Localhost cannot drive it (WS Origin 403 and a mock DEV wallet), so this is node data on both sides and not a photograph.	desktop=done @2026-09-01
Multi-panel - live chat - style alternate [10025-230712]	partial	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01, AND THE DIFFERENCE IS NOW NAMED. The wave-2 row said identical item list, different visual treatment, an unresolved design A/B - true, but it did not say in what. Diffed node by node against 5000-163102: this frame carries 117 nodes to that one's 111, and the six extra are a Frame 1220 / Frame 1219 pair wrapping each message, 238 wide inside a 278-wide Frame 737. So the alternate HANGS THE MESSAGE UNDER THE HANDLE at a 238 column - 281 less a 43 indent - where every base frame wraps the continuation to the full 281. Row heights follow: 48/64/32 here against 50/34/16 on the base. Composer, header, bands, avatars, handles and timestamps are identical to 5000-163102 including the typed #FFFFFF text and the #56C7F3 send key. * PARTIAL BECAUSE THE TWO READINGS CANNOT BOTH SHIP AND THE ARTWORK DOES NOT RANK THEM. FIVE desktop frames wrap to 281 (5025-182851, 5000-162336, 5000-163102, 5000-162965 and the with-rewards 5026-183371) and ONE hangs to 238, and the one that hangs is the one whose name says it is an alternate. We ship the majority reading, so this frame's own geometry is not matched. TWO OPTIONS: (a) keep the full-width wrap - five frames, and the wider column is the better use of a 313 rail; (b) adopt the hanging indent, which reads better in a busy chat and costs 43px of every line. Casey's call, not a code defect either way.	desktop=partial @2026-09-01
Multi-panel - live chat - multicolour ALT [5000-162965]	partial	src/components/streaming/StreamChat.tsx	/streaming/:streamId	NODE DATA BOTH SIDES 2026-09-01. 27 text nodes against the base's 28, and the two differences are both real product questions rather than styling. FIRST, the handles are tinted PER AUTHOR: @CryptosTraderX #FF7E50, John Carpenter #56C7F3, Coin Bureau #FFFF16, @ErikVoorhees #FF7E50, @SatoshiLite #17F9B4 - four accents drawn from the token set (coral, sky-blue, sun-yellow, alien-green-bright, per design-tokens.ts) where every other frame paints all five handles #56C7F3. SECOND, the labels/tag reading Gift streamer is GONE from the header, which is the missing 28th text node. Everything else matches 5000-162336 exactly, including the r16/16/0/0 and r0/0/16/16 bands, the composer card 233x42 r12 #001615, and the typed state's #56C7F3 send key with an #001615 glyph. * PARTIAL, AND ON THE SAME GROUND AS 10025-230712: five frames say one colour, one says five, and the one that differs is named ALT. There is also no source for a per-author colour - public.users has no handle_colour column - so shipping it would mean deriving a hue from a hash of the username, which is a real pattern but is an invention rather than a measurement. TWO OPTIONS: (a) keep the single #56C7F3, which five frames draw and which no data has to support; (b) hash the username into the four-accent set, which needs a ruling because it is the app inventing a colour for a person. The dropped Gift streamer pill is NOT treated as an instruction - it is a money control and the giftControl slot renders it only when the stream accepts tips, so its absence here is already a state the component has.	desktop=partial @2026-09-01
