# node	verdict	evidence	what was measured
# Lane slots-gem, wave 41, 2026-09-14. NO MATCH ROWS YET, ON PURPOSE. Every frame in this section is either
# the game canvas - which cannot mount while gem_slots has no certified config, vectors or SLOT_GAMES entry,
# so nothing renders to measure - or the page cut, whose stage is a pending still and whose "What to expect"
# figures have no source. A page that prints the honest note where the frame prints 10,000x is not a match,
# and the card on the info card sits at bottom 16 against the frame's 18. Verdicts and measurements are in
# status.wave41.slots-gem.tsv; this file gains rows the day a frame measures whole.
11150-2335	partial	-	Sugar rush's readout bar, built in part 2026-09-16 (wave46-play-slots, b1f51430) against the numbers FRAME_FACTS records off the node; not read live this pass. BUILT: GEM_SKIN.readoutFace {Cherry Bomb One, flat, 16, portrait 16}, since the facts table gives `font-display` every readout, caption and win amount and palette.win is plain white (11210:2925 “$0.52”), so no gradient. Wave 45's pill paint stands: rgba(3,17,16,.64) through fillAlpha, 2px solid white, r24, no drop, coin 11150:2315. NOT BUILT, gap 1: the frame draws NO autoplay control on desktop and HudScene draws one. Deleting it would remove the only way to start autoplay at desktop on this game, and this repo already writes the rule down in rockPaperScissorsFigmaParity, that an omitted control on one frame is not an instruction to remove it. A ruling, not a lane call. NOT BUILT, gap 2: barMetrics derives every offset and size from a 502 box; this bar is 373 panel px holding pad 24, a 24 menu glyph, three readouts and an 18px coin and nothing else, because its carets and spin live in a separate pill 11150:2295 (155.17x42.657 at panel x 217, centre y 472.33) that only the portrait path draws. So the menu glyph draws at 24 x 0.6765 and three controls draw inside a bar with none. The fix is a per-skin bar recipe, and 11150:2335's children were never read individually, so it needs a live node read. PARTIAL also on the unfetched Cherry Bomb One. No browser ran.
11150-2335	partial	-	Sugar rush HUD. Ruling item 1 is CLOSED here too - GEM_SKIN.readoutFace {Cherry Bomb One, flat, 16, portrait 16}, palette.win plain white (11210:2925 "$0.52") so no gradient, and Re-measured 2026-09-17 (wave48-play-slots, 7e1c9b4f) and the wave 46 residual is CLOSED, though not by the thing that was expected to close it. index.html does now link all six display families, and that was necessary and not sufficient: a linked Google Fonts stylesheet DECLARES an @font-face, and the browser fetches the file only when a RENDERED ELEMENT asks for the family. Phaser draws this bar on a canvas, and a canvas pulls no webfont, so the readouts still resolved the stack's next entry on a cold load. slots/engine/fonts.ts now asks document.fonts for the four kind-stack families plus the running skin's face, inside the same Promise.all as the engine's dynamic imports and raced against a 1200ms deadline, BEFORE the game is constructed - a Phaser Text renders once and keeps its bitmap, so a face that lands after a readout is drawn never reaches the player. Nothing blocks on it; a face that misses the window falls through the CSS stack. fonts.test.ts pins both ends, including that index.html links every family the engine names. No browser ran. Wave 45's pill paint stands: rgba(3,17,16,.64) through fillAlpha, a 2px solid white border, r24, coin 11150:2315, no drop. STILL PARTIAL on the two items the brief says to carry, neither of which is the face: the frame's landscape bar draws NO autoplay control while HudScene draws one at metrics.autoplay.x, and removing it takes away the only way to start autoplay at desktop on this game; and this bar's 373 recipe. Both wait on Casey, and neither was touched.
10758-20783	partial	-	"Sugar rush - Mobile ALT". READ LIVE 2026-09-21 (wave 56, this lane): the node is 76.2680435x108 and exposes NO children, so its box is the whole of what it states. GemSlotsPageSections.tsx:476 draws the info card at h-[108px] w-[76px] on GameArtCard with the committed gem-slots-sugar-rush.webp, the 41.8%-to-78.7% fade on #FA546A and both shadows - the node box to 0.27 across and exactly on the height. The 375 page embeds this master as `11982:13338` at the same 76.27x108. PARTIAL and not match for a thing this node cannot settle: its desktop sibling 10758-20774 was read WITH children and puts the text column at bottom 18 against the card's 16, and whether that 2px rung holds at 76x108 cannot be read off a node with no children. The rung sits on this page's own GameArtCard (line 376, `bottom-4`), which also draws the 130x184 and 195x277 cards, so moving it is a three-size change. The hub tile 10758-20774 also names is playGameArt.ts and Play.tsx, the play-hub lane's. Verdict owed since wave 56, whose brief did not permit this section file; written 2026-09-21 by wave57-slots-sugar-starbound-vegas. No browser ran.
10758-20778	partial	-	"Sugar rush - Tablet ALT". READ LIVE 2026-09-21 (wave 56, this lane): the node is 120.0257721x169.9635010 and exposes NO children. GemSlotsPageSections.tsx:476 draws md:h-[170px] md:w-[120px] on the same GameArtCard, which is the node box to within 0.04 either way - confirming what the wave 54 row could only presume, having read neither node and written "presumed the same card at the 768 page's size". PARTIAL for the same reason as 10758-20783: the bottom-18 text column its desktop sibling 10758-20774 was read for cannot be checked on a node with no children, and the rung is the shared `bottom-4` on GameArtCard that three card sizes draw. Verdict owed since wave 56, whose brief did not permit this section file; written 2026-09-21 by wave57-slots-sugar-starbound-vegas. No browser ran.
# The thirteen Sugar rush sprite masters, read 2026-09-21 by wave59-slots-sugar-starbound-vegas. These are the
# section's FIRST match rows: the 2026-09-14 header above says "NO MATCH ROWS YET, ON PURPOSE" because the game
# canvas cannot mount without a certified config, and that is still true of the canvas. It is NOT true of the reel
# art, which is committed and wired, so the ten masters that ARE the ten committed sprites are match rows on the
# art alone. No browser ran; nothing here claims the canvas mounts.
11146-1930	not-wired	-	"Safari A 30", a loose 57x60 RECTANGLE at depth 1 on page 10266:7 (not a grid instance). get_screenshot on the node: a purple-and-yellow STRIPED CANDY BALL with a twisted wrapper nub, a 3D sphere. It is none of the ten sprites committed at gem-slots/assets/sym-01..10.png, all ten of which were read locally this pass and compared as pictures. CORRECTED LATER THE SAME PASS: a full-size get_screenshot of the board 11146-1937 shows this master IS THE MULTIPLIER ART - the six multiplier cells draw a purple striped candy-bomb with a lit fuse and their figure in gold over it, and what read as a "twisted wrapper nub" at 57x60 is the fuse. So it is not a plain reel symbol. NOT-WIRED rather than partial because the art is absent by DECISION, not by oversight, and the decision is now a bigger one than the symbol set: skin.ts:255 maps GEM_SYMBOL_KEYS to build the reel strip, and wiring this master would be drawing a MULTIPLIER FEATURE the engine neither implements nor pays. A lane never touches that. No asset exported.
11146-1931	match	-	"Safari A 31", loose 57x60 RECTANGLE at depth 1 on page 10266:7. get_screenshot: the BANANA - curved, yellow, stem upper right, brown tips - the same picture as committed assets/sym-06.png, compared locally rather than matched on the old export-order note. Wired at skin.ts:26 and :75 as texture "gem-sym-banana" and reaching the reel through GEM_SYMBOL_KEYS at :255. The art the master states is the art the game draws.
