# key	status	primaryFile	route	reason	bp
# Lane ai-chat, wave 47, 2026-09-16. 11 rows: the 7 frames in BRIEF-ai-chat.md plus 4 frames a
# ruling item touched that the brief does not list.
#
# THE HEADLINE FINDING: A GAP WRITTEN DOWN AS FLAT ACROSS BREAKPOINTS IS WORTH RE-READING, BECAUSE
# THE BOARD IT IS WRONG ON IS USUALLY THE ONE WHERE IT COLLIDES WITH A SECOND GAP.
#
#   6715-35126  AssistantBody's section box was written down as a flat 12. Read at all three boards
#   6715-34899  this pass it is 8 / 12 / 12 (6715:35283, 6715:35068, 2733:18650 and again 2736:26085).
#               At 375 the transcript's own block gap is ALSO 12, so a section title sat exactly as
#               far from its own body as from the unrelated block above it and the grouping stopped
#               reading as grouping. Wave 46 named 768 as the miss; 768 was already right.
#
#   6736-41729  the listening waveform is anchored on a baseline BELOW the card - 20 under it for the
#               near layer, 89 for the far one - so only the tips of the bars show. The build centred
#               them on the card's middle and stretched a fixed 120 with justify-between, which put
#               the frame's flat 3.686 pitch at 2.9 on the phone board and 5.6 on the desktop one.
#
#   13008-127063  the two chart boards carry the 1440 board's boxes. At 768 the Date strip is 1432
#   13008-128626  wide on a 165.25 label pitch while the plot beside it is 764, so one frame draws its
#                 time axis and its price plot at two different scales. At 375 the same containers are
#                 stale but every LEAF was re-laid to the phone board, so that cut is usable.
#
# Every reason below is this lane's own reading of the file at HEAD plus, where it says READ LIVE, a
# get_metadata or get_screenshot this pass. No browser ran: nothing here is a DOM measurement.
#
# ONE MEASURED AND DELIBERATELY NOT BUILT: two 375 frames of the transcript disagree on the turn-to-
# turn gap. 6715:35126 draws a uniform 32 (children at y=0/64/444/556 against heights 32/348/80);
# 7303:77763 to 7303:77774 draws 24, which is what ConversationView ships as space-y-6. A ruling.
#
# ONE THING THIS LANE COULD NOT PIN: AskComposer.waveform.test.tsx is outside the owns list, so the
# waveform's frame contract above has no test of its own. All six AskComposer suites were run green.
2736-25840	frame-defect	src/components/home-redesign/conversation/AssistantBody.tsx	/ (RedesignHome, conversation surface)	RE-READ LIVE THIS PASS, so the frame-defect verdict is judged rather than carried, and the read ADDS a second reason. Still hidden=true on the canvas. Frame 188 (2736:25844) is still 680x150 holding two 150x150 cards at x=364 and x=530, flush to the column's right edge, and still draws no avatar, which no live sibling does. NEW: its own composer 2736:25868 is 680x106 - 20 of padding, a 22 prompt, a 12 seam, a 32 control row, 20 - where the live 1440 composer the build is measured against is 680x126 on a 32 seam, and 2736:25855 hangs its body block at y=-8 inside its parent. A node that is hidden, avatar-less and 20 out on the composer that three live boards agree about is not a spec, and measuring against it would move the build AWAY from the frames that do agree. One thing was taken from it, as corroboration only: its content box 2736:26085 puts the title at 0..24 with the body at y=36, a 12 gap, which is the 1440 rung this lane built to. DECISION FOR CASEY: is this node meant to be a spec at all. No browser: source-vs-node.	1440=partial 768=n-a 375=n-a @2026-09-16/wave47-ai-chat
6715-35126	partial	src/components/home-redesign/conversation/ConversationView.tsx	/ (transcript)	READ LIVE THIS PASS - the first reading this node has had - AND BUILT (e2f588cec). Matched value for value: transcript column 328 at x=24; the user bubble inset 10 across and 8 down on a 16 line with a 24 avatar 8 clear of it (ConversationView.tsx:955, :882, :978); the assistant run body, then the stamp at +16, then the six-icon action row at +16 on a 28 pitch (:516, :555, :584); the message column's own block seams all 12, which is gap-3 at base; the docked composer 360x112 at x=8 with the 16/16/32/32/16 rungs and a 7px mic-to-send gap, and the footnote 8 below it (mt-2). BUILT FROM IT: the content box 6715:35283 puts its title at 0..18 with the body at y=26, an 8 gap, where the build held a flat 12 - and 12 is also this board's block gap, so a section title sat exactly as far from its own body as from the unrelated block above it. Now gap-2 md:gap-3. ONE MEASURED CONFLICT, NOT BUILT: turn to turn is a uniform 32 here (children at y=0/64/444/556 against heights 32/348/80) where the build ships 24 at this board off 7303:77763 h48 to 7303:77774 y72. Two 375 frames of one surface, two numbers - a ruling, not a fix. NAMED, NOT THIS FILE'S: Frame 186 at (88,16) is a 200x32 pair of 92x24 pills, which the 1440 render of 2736:26122 shows as AI Chat / AI Feed - chrome above the transcript. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-16/wave47-ai-chat
6736-41729	done	src/components/home-redesign/AskComposer.tsx	/ (AiHome voice)	READ LIVE THIS PASS AND BUILT (710d49efa) - the waveform this row was held open for is measured. Frame 41 (6736:41733) is 588x114 at x=90 and every composer rung it states was already shipped: the Listening run at (16,16) 18 tall, the control row at y=66 32 tall, a 32 plus-button with its 16 glyph at an 8 inset, a 71-wide right pair whose stop and send boxes sit 7 apart, and the stop glyph a 16x16 rounded rectangle at an 8 inset of its 32 box. THE WAVEFORM, node by node: two superposed layers of thin stroke bars running edge to edge, bar width 1.31 to 1.64 on a flat 3.686 pitch - 160 bars per 587.5 tile, the tile laid down twice so the strip always overflows and clips. Inside the card's x range the near layer is 158 bars sharing a baseline at y=134.4 with heights 20.2 to 77.9, and the far layer 161 bars sharing a baseline at y=202.8 with heights to 214.8. The card's bottom edge is y=114, so both baselines sit BELOW it, by 20 and by 89, and only the tips show - the dense low band with occasional full-height spikes that the 1440 render of 2736:26122 draws the same way. The build centred the bars on the card's middle, inset them by the card padding and spread a fixed 120 of them with justify-between, so the pitch came out 2.9 at 375 and 5.6 at 1440. Now anchored 20 below the card, edge to edge, held at 3.7 with the count following the card width; the live mic level still drives the heights. No browser: source-vs-node.	1440=n-a 768=done 375=n-a @2026-09-16/wave47-ai-chat
13008-127063	frame-defect	src/components/home-redesign/conversation/chart/CandlestickFullscreen.tsx	/ (RedesignHome, full-screen chart overlay)	OPENED AND JUDGED THIS PASS - the verdict is no longer carried, and this is what the defect is. main is a correct 768x920, but Row 2 (13008:127066) inside it is 1432 wide, Frame 160 is 1432x888, and the Date strip (13008:128053) is 1432 wide with its labels on a 165.25 pitch running out to x=1338, which is 570 off the board. The plot in the SAME frame is not: Center is 764 with the candle image 701 wide and the price axis at x=709..764. So one frame draws its time axis and its price plot at two different scales, and neither is the 768 board. There is no 768 composition to take from it. What IS consistent, and is already pinned as numbers at eight viewports: the price chip 13008:128063 at 76x20, x=26, with a 68x16 run at a 4/2 inset, and the exit pill 13008:127118 at 135x24 on an 8 radius with 16/4 padding. PRIMARY FILE CORRECTED: wave 46 cited ConversationView.tsx, which only opens the overlay - the axis, date strip, chip, header and exit pill this frame is measured on are all drawn in CandlestickFullscreen.tsx. And a note for the next reader: the header row and the exit pill do NOT appear in a get_metadata dump of this board. Their ids sit between the image leaf 13008:127093 and Price 13008:128036, so they are nested inside the image frame the tool returns childless - they need a probe, and are not missing controls. No browser: source-vs-node.	1440=n-a 768=partial 375=n-a @2026-09-16/wave47-ai-chat
13008-128626	partial	src/components/home-redesign/conversation/chart/CandlestickFullscreen.tsx	/ (RedesignHome, full-screen chart overlay)	READ LIVE THIS PASS and the composition question this row was held open for is answered: at 375 the LEAVES are laid out at phone scale and only the container boxes are stale. The candle image is 302 wide, the price axis 55 at x=310 with its labels 42 wide at a 13 inset on 12-tall runs, the date strip 373 wide and 12 tall sitting 10 under the chart with its first label at x=16 on a 33.5 pitch, and the current-price chip 13008:129626 is 76x18 at x=24 with a 68x14 run. Stale, with no visible consequence: Center is 764 wide inside a 373 column, Frame 160 is 888 tall inside a 711 Row 2 inside a 709 main, and main is 374 wide on a 375 board. That is the same disease as the 768 cut, half-cured - here the date strip WAS re-laid to the board and there it was not. The one rung this lane's files can express, the chip at 76x18 with left-6 and a 14 line box, ships and is green at eight viewports in CandlestickFullscreen.priceChip.figma.test.ts. NAMED AND NOT EDITED: the axis width, its label inset and the date strip are lightweight-charts options in src/lib/chart/lightweightChartsTheme.ts, which is outside this lane's owns list. PRIMARY FILE CORRECTED from ConversationView.tsx for the same reason as the 768 cut. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-16/wave47-ai-chat
13008-130123	done	src/components/home-redesign/conversation/backtest/SearchStrategiesModal.tsx	/ (RedesignHome + BacktestScreen, backtest history dialog)	READ LIVE AT ITS OWN MODAL NODE THIS PASS AND IT MATCHES VALUE FOR VALUE - the row was carried on a transfer from the desktop parent and is now closed on its own reading. 13008:130171 is 708x518 at x=30, which is (768-708)/2, and y=253, which is (1024-518)/2. Card padding 16. The search run starts at x=24 on an 18 line, its row 24 deep with 16 of clearance to the rule at y=58; the rule runs x=16..692; the close glyph is 16 square with its right edge 24 in. New backtest at y=74, 50 tall, glyph at 32 and label at 62, 14 apart. Group labels 16 tall at x=24, 8 above their first row and 16 below the group before. Rows 50 tall with the same 32/62/14, a 402-wide title run, then 90 at x=462 and 94 at x=566, each 14 apart and the last ending 16 short of the right edge. Bottom padding 24. SearchStrategiesModal.tsx ships every one of those at md - px-6 pt-6 pb-4 on the search row, mx-4 on the rule, px-4 py-4 on the rows, gap-[14px], w-[90px] and w-[94px], mt-4 between groups, pb-6 - and the overlay's md:px-[30px] resolves to exactly 708. The sums agree: 24+18+16=58, +16+50=124, +16+74=214, +16+174=404, +16+74=494, +24=518. No browser: source-vs-node.	1440=n-a 768=done 375=n-a @2026-09-16/wave47-ai-chat
13008-130217	done	src/components/home-redesign/conversation/backtest/SearchStrategiesModal.tsx	/ (RedesignHome + BacktestScreen, backtest history dialog)	READ LIVE AT ITS OWN MODAL NODE THIS PASS AND IT MATCHES VALUE FOR VALUE. 13008:130908 is 360x462 at x=8, y=175, which is (812-462)/2. Card padding 12. The search run starts at x=20 on a 16 line, its row 16 deep with 12 of clearance to the rule at y=44; the rule runs x=12..348; the close glyph is 16 square with its right edge 20 in. New backtest at y=56, 40 tall, glyph at 24 and label at 54, 14 apart. Group labels 14 tall at x=20, 8 above their first row and 12 below the group before. Rows are 48 tall as 8 of padding round a 32-tall block - the title 16 over a 12-tall meta line on a 4 seam, the count and the date 8 apart - with the glyph at 24 and the block at 54. Bottom padding 16. SearchStrategiesModal.tsx ships all of it at base: px-5 pt-4 pb-3, mx-3, px-3 py-3 on a 40-tall action row, px-3 py-2 on a 48-tall session row, gap-1 for the 4 seam, gap-2 for the 8, mt-3 between groups, pb-4. The sums agree: 16+16+12=44, +12+40=96, +12+70=178, +12+166=356, +12+78=446, +16=462. Two differences stated rather than hidden: the frame's rule is a zero-height line where the build draws 1px, and the overlay's p-2 gives 359 against the frame's 360 at x=8 - the frame is 1px asymmetric and 359 is what the columns test pins. No browser: source-vs-node.	1440=n-a 768=n-a 375=done @2026-09-16/wave47-ai-chat
6750-43675	done	src/components/home-redesign/ChatHistoryModal.tsx	shell (HomeSidebarExpanded historyOpen)	ADDED BY A RULING ITEM; not in the frames-to-build list. Wave 46 measured this board's hairline at 12 a side (6750:44461, x=12 of a 360 card) and deliberately did not build it, because ChatHistoryModal.figma.test.tsx pinned expect(left).toBe(16) and that file was outside its owns list. Both files are this lane's this wave and both are done (c4e833a6d): the rule is mx-3 md:mx-4, and the test now resolves the inset AT A WIDTH instead of reading one leg of a class list. Its helper matched a bare mx-N only, so it ignored every md: and lg: leg - a ladder read as its smallest rung at all three boards, and a rule right on one board and wrong on the other two would have passed rather than failed. It now asserts 12 / 16 / 16 at 375 / 768 / 1440, and that 639 and 641 agree, since sm: is 640 and no board is cut there. Confirmed independently the same pass by the dialog next door: 13008:130908 draws ITS rule x=12..348 in a 360 card at 375 and 13008:130171 draws x=16..692 in a 708 card at 768 - the same two rungs, from a different frame family. No browser: source-vs-node.	1440=n-a 768=n-a 375=done @2026-09-16/wave47-ai-chat
6750-43337	done	src/components/home-redesign/ChatHistoryModal.tsx	shell (HomeSidebarExpanded historyOpen)	ADDED BY THE SAME RULING ITEM, to state that the hairline change did NOT move this board. The rule is 16 a side here - wave 46's live read of 6750:43563, corroborated this pass by the sibling backtest modal 13008:130171 drawing its own x=16..692 inside a 708 card - and mx-3 md:mx-4 resolves to 16 from 768 up, because the ladder only adds a smaller rung BELOW md. Everything else wave 46 closed on this node is untouched: 708x518 at x=30, padding 16, the search run at 24 on 18 with the rule at y=58, New backtest 50 tall with its glyph at 32 and label at 62, rows 50 tall with a right-flush 90 and 94 meta pair, 24 of bottom padding. What is new is only that the assertion now covers this board explicitly rather than by implication - the old one read the base leg and so never tested any board but the smallest. No browser: source-vs-node.	1440=n-a 768=done 375=n-a @2026-09-16/wave47-ai-chat
6715-34899	done	src/components/home-redesign/conversation/AssistantBody.tsx	/ (transcript)	ADDED BY A RULING ITEM. Wave 46 read this board live and left one thing stated rather than built: a section title sits 12 above its own body here while block to block is 16. Its content box was opened this pass - 6715:35068, title 0..19, body at y=31 - and the 12 is confirmed. The correction that note needs is that the 12 was ALREADY BUILT at this board and always had been: a heading and its body are not siblings in ConversationView's gap-3 md:gap-4 lg:gap-6 column, AssistantBody wraps them in a section box of its own, and that box was a flat gap-3. So 768 was never 4 too wide. The board that WAS is 375, where the same box draws 8 (6715:35283) and the flat 12 is also the block gap; that is what e2f588cec fixed, with the upper rung read at 2733:18650 (title 0..24, body y=36) and again at 2736:26085, so the 12 above md rests on two frames rather than one. Also re-confirmed here and unchanged: the sparkle sits 8 off its title, the words opening at x=24 beside a 16 glyph on all three boards, so THAT gap is genuinely flat and stays gap-2. No browser: source-vs-node.	1440=n-a 768=done 375=n-a @2026-09-16/wave47-ai-chat
