# key	status	primaryFile	route	reason	bp
Creator rewards [13006-198946]	done	src/components/trench-redesign/charity/CreatorRewardsCard.tsx	/trench/charity	BUILT and mounted. 220 wide, three bands 36 + 54 + 52 = 142. Head radius 12 top pad 10 holding the title and no glyph; body radius 0 pad 8/10 holding Locked with a 12px information glyph and Fee authority with a 20px chip radius 9999 on a 0.5px hairline around a 12px accent glyph, then the address and its 12px copy glyph; foot radius 12 bottom pad 10 holding Shares over one address row and a percentage. itemSpacing 4 down every band and between an address and its copy glyph, 10 between the Locked label and its state. Colour: bands #122524 on a 1px #123F3C stroke, labels and share address #95A09F, authority address and percentage #FFFFFF, chip glyph #17F9B4, every node at opacity 1 with no ancestor opacity. Type: title Manrope 12/16 at -4%, small print Mulish 11/14 at -4%. The oracle rebuilds each band height from the shipped padding and the resolved line box at 375/639/641/767/769/1024/1440 and compares it to the frame. No fee-authority index or share registry exists, so with nothing to read the card shows a dash for the lock state and named placeholders, never the frame's example wallet.	desktop=done
Creator rewards [13006-347585]	done	src/components/trench-redesign/charity/CreatorRewardsCard.tsx	/trench/charity	Tablet twin, identical in geometry to the 1440 card: 220x142 = 36 + 54 + 52, band pads 10 / 8-10 / 10, itemSpacing 4 throughout, chip 20 radius 9999 on a 0.5px hairline, copy glyphs 12. The only divergence is type, and it is the small print: Mulish 10/14 here against 11/14 at 1440. The shipped ramp is base 10 rising to 11 above 1024, so this board draws 10 and the desktop board 11. Title unchanged at Manrope 12/16.	tablet=done
Creator rewards [13006-348458]	done	src/components/trench-redesign/charity/CreatorRewardsCard.tsx	/trench/charity	Mobile card 220x140, 2px shorter than both twins, and the whole difference is the head band: 34 rather than 36, because the title's line box is 14 here against 16 and the head band holds nothing else to prop it open. Bands two and three are unchanged at 54 and 52 with the same 8/10 and 10 pads. Small print Mulish 10/14 at -4%. The title ramp hinges at 768 so the entire 375-767 band draws 14; a 640 hinge would have drawn 16 across 640-767, a value no board specifies, and the oracle asserts the resolved leading at 639 and 641 to hold that line.	mobile=done
Charity [13006-198914]	done	src/components/trench-redesign/charity/CharityAllocationCard.tsx	/trench/charity	Re-measured on all three axes. Geometry 220x152 = 36 + 54 + 62, band pads 10 / 8-10 / 10, itemSpacing 4, icon slot 16, wallet chip 20 radius 9999 on a 0.5px hairline, recipient logo 24 radius 4, outer radius 12. Colour bands #122524 on 1px #123F3C, labels and address #95A09F, values and names #FFFFFF, heart #F075B4 at node opacity 1. Type title and recipient Manrope 12/16 at -4%, small print Mulish 11/14 at -4%. This board sits above the title ramp's 768 hinge, so the leading step added for the 375 card leaves it drawing 16, and the height arithmetic is asserted from the shipped padding rather than restated.	desktop=done
Charity 768 [13006-347553]	done	src/components/trench-redesign/charity/CharityAllocationCard.tsx	/trench/charity	Same three bands as the desktop card and the same 220x152 = 36 + 54 + 62, pads 10 / 8-10 / 10, itemSpacing 4, chip 20 radius 9999 on a 0.5px hairline, logo 24 radius 4. Small print Mulish 10/14 against the desktop 11/14, which the base-10 ramp already draws. Title and recipient Manrope 12/16: this board is on the 16 side of the 768 hinge, so the title leading step is a no-op here and the card is unchanged.	tablet=done
Charity 375 [13006-348426]	done	src/components/trench-redesign/charity/CharityAllocationCard.tsx	/trench/charity	RESOLVED the leading divergence this row was held open on. The two Manrope 12 nodes here are line-height 14 against 16 on both larger boards, and the card still measures 220x152 = 36 + 54 + 62 because the 16px heart holds the head row open and the 24px recipient logo holds the foot row. That is why the step looked like text-box rounding. The sibling Creator rewards card settles it: its head band carries the title alone, and at this width it measures 34 rather than 36 with the card at 140 rather than 142. So the 14 is a design step the family shares, and both cards now draw 14 below 768 and 16 above. Small print Mulish 10/14 at -4% unchanged; geometry and colour unchanged.	mobile=done
Skai > Trench - actual 1VH (1440 x 900px) [13006-135613]	partial	src/components/trench-redesign/TrenchShell.tsx	/trench	Content box measured, and one defect fixed. The container is 1382x844 at 58,56 inside a 1440x900 board filled #001615 - the viewport less the 58 rail and the 56 header - with padding 0 on all four sides, itemSpacing 0 and no fill of its own. It stacks three children with no slack: the top scroller band 20 tall at the very top, the body 802, the bottom band 22 ending flush at 844. The container shipped 12px of vertical padding, so both bands floated off the edges they are drawn against on every Trench screen at every width; it now contributes none, and the 1440 cap only centres the column past the widest board. Padding is asserted as the value resolved at 375/639/641/767/769/1024/1440 rather than as an absent class, so a hinge-mounted pad fails at the width it starts drawing. partial because the body of this frame is the Discover screen, which is not this container.	desktop=partial
Skai > Trench - actual + With left float scrollable 1VH [13006-138367]	partial	src/components/trench-redesign/TrenchShell.tsx	/trench	Same shell as the plain 1440 board and measured identically: container 1382x844 at 58,56, padding 0, itemSpacing 0, top band 20, body 802, bottom band 22, page fill #001615, header 56 with an 8/19 pad, rail 58 with a 12/11 pad. The float state changes the body, not the container. Container padding removed and asserted at seven widths; the body is the Discover screen's.	desktop=partial
Skai > Trench - actual + With left float ALT 1VH [13006-141502]	partial	src/components/trench-redesign/TrenchShell.tsx	/trench	Third 1440 state, same container numbers: 1382x844 at 58,56, padding 0, itemSpacing 0, bands 20 and 22 flush top and bottom, page fill #001615. Only the body differs between this board and its two siblings. Container padding removed and asserted at seven widths.	desktop=partial
Skai > Trench - hover 1VH [13006-207638]	partial	src/components/trench-redesign/TrenchShell.tsx	/trench	Hover state of the 1440 board. The container is again 1382x844 at 58,56 with padding 0 and itemSpacing 0; this board additionally repeats the bottom band as a page-level child at 58,878 measuring 1382x22 with a 16/16 inner pad, which is the same band at the same coordinates. Container padding removed and asserted at seven widths; the hover treatment itself belongs to the Discover screen.	desktop=partial
