# key	status	primaryFile	route	reason	bp
Skai > Social > Discover - search 1VH (1440 x 900px) [5110-187509]	partial	src/pages/social/Discover.tsx	/discover	MEASURED 3 axes, NOT at parity so stays partial. GEOMETRY: frame 1440x900 fill #001615; rail 58 + top nav 56 leave main 1382x1665 at x58/y56; content column Frame 520 x=119 w=1144 vertical gap 32. App ships container max-w-4xl = 896px, so the column is 248px narrower than the frame 1144. Header row Frame 629 1144x66 = h1 36 + 8 + sub 22. TYPE: heading Manrope Light 32/36 ls -4% #FFFFFF vs app text-2xl font-bold = 24/32 weight 700 (size -8, lh -4, weight +400); subtitle Manrope Regular 16/22 ls -4% #95A09F vs app <p class=text-muted-foreground> = 16/24 no tracking. COPY: frame Search social / Find and invest in your favorite creators. vs app Discover Creators / Find and invest in your favorite traders and creators. COLOUR: frame body #001615 opaque, tiles #122524 opaque, CTA #56C7F3 with #001615 label. STRUCTURE MISSING: header CTA/button Create token 158x36 pad 6/40 r8 #56C7F3 has no counterpart (app ships a dismissible Rocket card to /account instead of a header button to /launchpad/create); table Frame 445 1144x674 not built (app renders CreatorCard list); bottom Frame 619 1144x235 (content tab row 1144x28 + six 240x183 cards gap 16) has no counterpart at all.	desktop=partial @2026-08-31
Skai > Social > Discover - search (1440 x 900px) [5110-188367]	partial	src/pages/social/Discover.tsx	/discover	MEASURED 3 axes; same surface as 5110-187509 unrolled - frame is 1440x1737 not 900 (full-scroll redraw of the 1VH crop). Frame 520 1144x1320 vs 1282 and Frame 628 1144x1222 vs 1184 - the extra 38px is one more table row. Adds Ellipse 24 1799x1799 at x=-179 y=1619 fill #17F9B4 @ opacity 0.19 = composited #0A3229 over #001615; app paints no such glow anywhere on /discover (grep: no radial/blur ellipse in Discover.tsx). All other divergences identical to 5110-187509 - column 896 vs 1144, heading 24/32 bold vs 32/36 Manrope Light, no header Create token CTA, card list instead of the 1144x674 table.	desktop=partial @2026-08-31
Skai > Social > Discover - search > Favourite (1440 x 900px) [5111-189292]	blocked-on-backend	src/pages/social/Discover.tsx	/discover	MEASURED and status CONFIRMED, not promoted. Frame is 1440x1737 (title says 900 - the 1VH sibling 5110-187509 is the 900 crop). Chrome identical to 5110-187509: main 1382x1665 at x58/y56, Header-desktop 1440x56, sidebar 58x844, Ellipse 24 1799x1799. Tab strip nav 308x22 gap 24 inside bottom menu 1112x52 (pad 4/0/6/0 gap 12) on Frame 299 1144x56 pad 4/16/0/16 fill #122524; active pill is Favorite, box fill #123F3C, label #FFFFFF - correct tab for the title. NOT BUILT and cannot be: no favourite/watchlist/bookmark table or RPC exists in prod, 0 matching CREATE TABLE in supabase/migrations, and every favourites feature in src/ is localStorage-only; feedMenus.ts:614-621 ships the Favorites row disabled by design with disabledReason MENU_REASON.favorites. Blocked on a store, not on layout.	desktop=missing @2026-08-31
Skai > Social > Discover - search > Posts (1440 x 900px) [5111-190761]	not-started	src/pages/social/Discover.tsx	/discover	DEMOTED FROM blocked-on-backend - the backend is NOT missing. MEASURED: frame 1440x1737, chrome as 5110-187509; active pill Posts at x=350 with box fill #123F3C, labels Manrope Regular #FFFFFF, inactive pills no box fill. The registry called this blocked-on-backend, but a live post source exists and is already consumed: feedSource.ts FEED_SOURCE = indexer:/api/v1/social/feed returns FeedPost[] | Offline and DiscoverFeed is mounted at /social by SocialFeed.tsx:221. So nothing about this tab is backend-blocked - it is simply not built on /discover, where the tab strip does not exist at all (Discover.tsx ships five SORT tabs Trending/Newest/Market Cap/Holders/Volume, not the four CONTENT tabs). If server-side post SEARCH is wanted that is a separate ask; the Creators tab already filters client-side (Discover.tsx:618-631) and Posts could do the same. not-started is the honest status.	desktop=missing @2026-08-31
Skai > Social > Discover - search > Top 20 trends (1440 x 900px) [5111-192551]	blocked-on-backend	src/pages/social/Discover.tsx	/discover	MEASURED and status CONFIRMED. Frame 1440x1737, 183 text nodes - the densest of the six. Active pill is Top 20 at x=409 box fill #123F3C, so this 1440 redraw marks the CORRECT tab (unlike its 768 and 375 siblings, see 11461-188711 / 11461-199709). Rows carry an N posts count with no endpoint behind it, and holder_count is hardcoded 0 at socialTokenService.ts:1220-1221 because BondingCurveInfo carries neither holders nor volume (Discover.tsx:270-272 turns both into Offline rather than 0). ESCALATION for Casey, two options: (a) ship it as Top 20 by market cap - the one figure the curve endpoint really returns - and relabel the tab, or (b) leave it unbuilt until a trends source exists. Do not ship it labelled trends against a market-cap sort.	desktop=missing @2026-08-31
Skai > Social > Discover - search > Creators - empty (1440 x 900px) [5111-190017]	partial	src/pages/social/Discover.tsx	/discover	MEASURED 3 axes, stays partial. Frame 1440x1737, 109 text nodes vs 133 on the Favourite sibling - the delta is the emptied table body, the chrome is byte-identical. Active pill Creators at x=201 box #123F3C, correct. The app DOES ship an empty state, so this is genuinely partial not not-started: EmptyState No Creators Yet with a Sparkles icon and a Create Your Token button (Discover.tsx:458-471) plus a distinct search-miss state No creators found for X (:907-912) and a third WifiOff Creator list unavailable state (:889-904) that the frame has no counterpart for. Divergences are the whole-page ones: content column 896 vs 1144, heading 24/32 bold vs Manrope Light 32/36 ls -4%, stat tiles 12px pad / 12px gap / text-xl 20-28 Manrope 700 values vs frame 16px pad / 16px gap / Mulish Light 32/38 values in 274x113 r16 #122524 tiles, and the empty state sits inside a card list rather than inside the 1144x620 r-none #122524 table body (Frame 270, pad 8 gap 8).	desktop=partial @2026-08-31
Skai > Social > Discover - search 1VH (375 x 812px) [11461-195806]	partial	src/pages/social/Discover.tsx	/discover	MEASURED 3 axes. GEOMETRY: frame 375x812 fill #001615; Header-mobile 375x48, Bottom-navigation-mobile 375x54, content Frame 521 343x1150. App container mx-auto px-4 below sm = 375 - 32 = 343 - CONTENT WIDTH MATCHES EXACTLY (343 = 343). App header is a single h-[56px] at every width (Header.tsx:380) vs frame 48 here, so the mobile band is 8px too tall and there is no responsive header height in the code at all. TYPE: heading Manrope Light 20/24 ls -4% #FFFFFF vs app text-2xl font-bold = 24/32 Manrope 700, i.e. 4px too LARGE at this width and 8px too small at 1440 off the same unqualified class - the frame ramp is 32/36 desktop, 24/28 tablet, 20/24 mobile and the code has one size. Tab strip present (Creators active, pill box #123F3C, labels #FFFFFF); app ships no content tab strip. Card list where the frame draws the table.	mobile=partial @2026-08-31
Skai > Social > Discover - search (375 x 812px) [11461-197022]	partial	src/pages/social/Discover.tsx	/discover	MEASURED; the unrolled sibling of 11461-195806 - frame is 375x1309 not 812, same Frame 521 343x1150, same Header-mobile 375x48 / Bottom-navigation-mobile 375x54, 105 text nodes in both so the content set is identical. Active pill Creators box #123F3C. Same three divergences as 11461-195806: content width 343 MATCHES, header band 56 vs 48 (+8), heading 24/32 Manrope 700 vs 20/24 Manrope Light. Stat tiles at this width: app grid-cols-2 gap-3 pad p-3; frame tiles are 274x113 r16 #122524 pad 16 gap 16 with Mulish Light 32/38 values.	mobile=partial @2026-08-31
Skai > Social > Discover - search > Favourite (375 x 812px) [11461-197684]	blocked-on-backend	src/pages/social/Discover.tsx	/discover	MEASURED and CONFIRMED. Frame 375x1103, Frame 521 343x942, 89 text nodes; active pill is Favorite at x-offset 85 from Creators, box #123F3C - correct tab for the title, unlike the 768 Top 20 sibling. Blocked for the same reason as 5111-189292: no favourite/watchlist/bookmark table or RPC in prod, 0 matching CREATE TABLE in migrations, all src/ favourites are localStorage-only, and feedMenus.ts:614-621 disables the row by design. A store, not a layout, is the blocker.	mobile=missing @2026-08-31
Skai > Social > Discover - search > Creators - empty (375 x 812px) [11461-198346]	partial	src/pages/social/Discover.tsx	/discover	MEASURED. Frame 375x1097, Frame 521 343x936, 76 text nodes - the lightest of the six 375 redraws, consistent with an emptied table body. Active pill Creators box #123F3C. App ships three distinct empty states where the frame draws one (No Creators Yet at Discover.tsx:458-471, No creators found for X at :907-912, Creator list unavailable at :889-904); the frame has no offline variant, so this is a case where the code is AHEAD of the frame and the no-mock-data rule says keep all three. Layout still diverges: card list not the 1144-scaled table, heading 24/32 vs 20/24.	mobile=partial @2026-08-31
Skai > Social > Discover - search > Posts (375 x 812px) [11461-199116]	not-started	src/pages/social/Discover.tsx	/discover	DEMOTED FROM blocked-on-backend, same correction as 5111-190761. MEASURED: frame 375x1120, Frame 521 343x958, 89 text nodes, active pill Posts box #123F3C at x-offset 157 from Creators - correct tab for the title (its 768 and 1440 siblings differ, see below). The post source is live and already consumed: feedSource.ts FEED_SOURCE = indexer:/api/v1/social/feed, DiscoverFeed mounted at /social by SocialFeed.tsx:221. Nothing here is backend-blocked; the tab is simply not built on /discover.	mobile=missing @2026-08-31
Skai > Social > Discover - search > Top 20 trends (375 x 812px) [11461-199709]	frame-defect	src/pages/social/Discover.tsx	/discover	CONFIRMED frame-defect by measurement, not inherited. Frame 375x1325, Frame 521 343x1158, 120 text nodes. The frame is titled Top 20 trends but the ACTIVE pill - the only one carrying box fill #123F3C - is POSTS, at the same x-offset as the active pill on 11461-199116 which really is the Posts frame. Top 20 carries no box fill. So the 375 redraw of Top 20 shows the Posts tab selected. Its 768 sibling 11461-188711 has the same class of defect marking Favourite; the 1440 original 5111-192551 marks Top 20 correctly, so 2 of the 3 Top 20 redraws are wrong and the 1440 is the trustworthy one. Separately the underlying tab has no trends source (see 5111-192551) - both facts hold and neither cancels the other.	mobile=n-a @2026-08-31
Skai > Social > Discover - search (768 x 1024px) [11459-185505]	partial	src/pages/social/Discover.tsx	/discover	MEASURED 3 axes. GEOMETRY: frame 768x1424 fill #001615; Header-tablet 768x52, Bottom-navigation-tablet 768x52, content Frame 521 708x1257 = 30px side margins. App container is below max-w-4xl at this width so it renders 768 - 32 (px-4) = 736, i.e. 28px WIDER than the frame 708 - the app has no 30px tablet gutter. App header h-[56px] fixed vs frame 52 (+4). TYPE: heading Manrope Light 24/28 ls -4% #FFFFFF vs app text-2xl font-bold = 24/32 Manrope 700 - size matches at THIS width only, line-height +4 and weight +400 still wrong, and the match is accidental because the class is unqualified. 132 text nodes, active pill Creators box #123F3C. Table (Frame 429 scaled) not built; card list ships instead.	tablet=partial @2026-08-31
