9433-12175	Directory
9433-12181	Breakpoint
9433-12183	Breakpoint
9433-12185	Breakpoint
9433-12187	Skai > Play > Casino > Scratchers (1440 x 900px)
9433-14563	Skai > Play > Casino > Blackjack (375 x 812px)
9433-14989	Frame 1000003780
9433-15057	Frame 1000003781
9481-20645	Desktop Selection
9481-20950	Starting
9481-21797	Desktop win
9494-6995	Vector 359
9494-6994	Vector 358
9494-6999	Vector 360
9679-1296	Group 306
9680-3956	Frame 1000004044
9680-5126	Frame 1000004107
9680-5236	Frame 1000004108
9680-6277	Auto Advanced Displayed
9683-8908	Desktop loss
9687-9363	Frame 1000004188
9687-9370	image 6
9690-9391	Frame 1000004188 (3) 1
9690-9544	Starting
9690-9912	Starting
9690-10413	Starting
9690-10777	Starting
9433-15177	Mobile
9481-20647	8
9481-20834	Frame 1000003949
9481-20845	Frame 1000003950
9481-21772	Frame 1000003947
9481-21774	Frame 1000003996
9481-21777	Screenshot 2026-08-03 at 8.31.39 PM 1
9481-21778	Frame 1000003986
9481-21885	Mines all features
9494-2150	Frame 1000004044
9494-4466	Frame 1000004105
9494-4467	Frame 1000004103
9494-7002	GEM 2 KENO 1
