# key	status	primaryFile	route	reason	bp
dropdown-tokens [9636-208873]	done	src/components/social/menus/socialRowMenus.tsx	/:username	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY panel 250x168 VERTICAL gap8 pad8/8/8/8 r12 = width={250} rounded-[12px] p-2 gap-2; row 234x30 HORIZONTAL gap8 pad6/8/6/8 r4 = rounded-[4px] px-2 py-1.5 gap-2 (6+18+6=30); glyph 16x16 at x=8 so the label starts at x=32 = size-4 then gap-2; the line VECTOR sits at y=46 in its own 8px slot = an h-px div inside the gap-2 column. TYPE all four rows Manrope Regular 14/18 ls-4pct = SIZE.md text-[14px] leading-[18px] font-manrope tracking-[-0.04em]. COLOUR panel #122524 fill / #123F3C stroke w1 INSIDE = bg-green-coal-200 border-green-coal-100 (greenCoalColors 200/100 read off design-tokens.ts:39-42); DROP_SHADOW r12 offset 0,4 #000000@0.24 = shadow-[0px_4px_12px_0px_rgba(0,0,0,0.24)]; labels #FFFFFF = text-white; row 0 alone carries #123F3C = the activeIndex wash, which starts at 0. Row order verbatim Add to favorites / rule / Trade token PIT / Report token PIT / View on Skaiscan = buildTokenRowMenu's order. MOUNT VERIFIED 2026-09-01, correcting my own first reading and the wave-4 rows: buildTokenRowMenu is called at CreatorTokensTab.tsx:270 and rendered at :396 inside a menuOpen block behind the kebab at :385; CreatorTokensTab is lazy-imported at src/pages/account/UserProfile.tsx:92-93 and mounted at :1881, pinned by creatorProfileMounts.test.ts. My first pass reported ZERO mounts because the grep that produced it ended in `| head` and the fourteen hits in the tab's own test file filled all ten lines before src/pages was reached - absence read out of a truncated search. Credit to lane w10-social-profile, who owns UserProfile.tsx and flagged it. CAVEATS, neither a parity gap: the kebab renders only when at least one row is enabled (CreatorTokensTab.tsx:381), and /:username cannot be driven from localhost, so this is reachable in prod and not photographable locally. RESIDUAL, and it is a glyph identity rather than one of the three measured axes: the Report row uses a lucide Flag where the frame draws a traced vector; favourites, trade and Skaiscan use the Figma-derived icons.	desktop=done @2026-09-01
dropdown-tokens [9640-214077]	done	src/components/social/menus/socialRowMenus.tsx	/:username	NODE DATA BOTH SIDES 2026-09-01. Identical panel to 9636-208873 - 250x168, gap8/pad8/r12, rows 234x30 r4 pad6/8, glyph 16x16 at x=8, label x=32, Manrope Regular 14/18 ls-4pct, #122524 on #123F3C w1 INSIDE, DROP_SHADOW r12 0,4 #000000@0.24, row 0 washed #123F3C. The ONLY difference is the sample symbol - Trade token ANAL 106px wide against PIT 92px, and Report token ANAL 112 against 99 - which is DATA, so one builder covers both frames and the text width is not a spec. MOUNT VERIFIED 2026-09-01, correcting my own first reading and the wave-4 rows: buildTokenRowMenu is called at CreatorTokensTab.tsx:270 and rendered at :396 inside a menuOpen block behind the kebab at :385; CreatorTokensTab is lazy-imported at src/pages/account/UserProfile.tsx:92-93 and mounted at :1881, pinned by creatorProfileMounts.test.ts. My first pass reported ZERO mounts because the grep that produced it ended in `| head` and the fourteen hits in the tab's own test file filled all ten lines before src/pages was reached - absence read out of a truncated search. Credit to lane w10-social-profile, who owns UserProfile.tsx and flagged it. CAVEATS, neither a parity gap: the kebab renders only when at least one row is enabled (CreatorTokensTab.tsx:381), and /:username cannot be driven from localhost, so this is reachable in prod and not photographable locally. This is the /:username copy of the family, so it is the one the mount evidence lands on most directly.	desktop=done @2026-09-01
dropdown-tokens [11530-303143]	done	src/components/social/menus/socialRowMenus.tsx	/:username	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY panel 220x160 gap8 pad8 r12 = width={220} via socialRowMenuWidth(768); row 204x28 r4 pad6/8/6/8 gap8 - and the 28 is ICON-DRIVEN, not type-driven: icons/action is y=6 h=16 so 6+16+6=28 while the text node is only 16 tall. TYPE Manrope Regular 12/16 ls-4pct = SIZE.sm text-[12px] leading-4, exactly right at this width. COLOUR unchanged from the desktop frame - #122524 / #123F3C w1 INSIDE / DROP_SHADOW r12 0,4 #000000@0.24 / #FFFFFF labels / row 0 washed #123F3C. MOUNT VERIFIED 2026-09-01, correcting my own first reading and the wave-4 rows: buildTokenRowMenu is called at CreatorTokensTab.tsx:270 and rendered at :396 inside a menuOpen block behind the kebab at :385; CreatorTokensTab is lazy-imported at src/pages/account/UserProfile.tsx:92-93 and mounted at :1881, pinned by creatorProfileMounts.test.ts. My first pass reported ZERO mounts because the grep that produced it ended in `| head` and the fourteen hits in the tab's own test file filled all ten lines before src/pages was reached - absence read out of a truncated search. Credit to lane w10-social-profile, who owns UserProfile.tsx and flagged it. CAVEATS, neither a parity gap: the kebab renders only when at least one row is enabled (CreatorTokensTab.tsx:381), and /:username cannot be driven from localhost, so this is reachable in prod and not photographable locally.	tablet=done @2026-09-01
dropdown-tokens [11530-303208]	done	src/components/social/menus/socialRowMenus.tsx	/:username	NODE DATA BOTH SIDES 2026-09-01. Same 220x160 panel / 204x28 rows / Manrope Regular 12/16 ls-4pct / same fill, stroke, shadow and row-0 wash as 11530-303143, ANAL sample instead of PIT (Trade token ANAL 91px against 79). MOUNT VERIFIED 2026-09-01, correcting my own first reading and the wave-4 rows: buildTokenRowMenu is called at CreatorTokensTab.tsx:270 and rendered at :396 inside a menuOpen block behind the kebab at :385; CreatorTokensTab is lazy-imported at src/pages/account/UserProfile.tsx:92-93 and mounted at :1881, pinned by creatorProfileMounts.test.ts. My first pass reported ZERO mounts because the grep that produced it ended in `| head` and the fourteen hits in the tab's own test file filled all ten lines before src/pages was reached - absence read out of a truncated search. Credit to lane w10-social-profile, who owns UserProfile.tsx and flagged it. CAVEATS, neither a parity gap: the kebab renders only when at least one row is enabled (CreatorTokensTab.tsx:381), and /:username cannot be driven from localhost, so this is reachable in prod and not photographable locally.	tablet=done @2026-09-01
dropdown-tokens [11530-303164]	frame-defect	src/components/social/menus/socialRowMenus.tsx	/:username	NODE DATA BOTH SIDES 2026-09-01, and this row was PARTIAL earlier in this lane on a leading I have since shown the code cannot be blamed for. GEOMETRY panel 200x160 gap8 pad8 r12 = width={200}; four rows 184x28 r4 pad6/8 gap8, each carrying a 16x16 glyph at x=8 with the label at x=32 - all matched. COLOUR matched: #122524 on #123F3C w1 INSIDE, DROP_SHADOW r12 0,4 #000000@0.24, #FFFFFF labels, row 0 washed #123F3C. TYPE the frame says Manrope Regular 12/14 ls-4pct and SocialMenu SIZE.sm ships text-[12px] leading-4 = 12/16; the ROW BOX is 28 either way here because the 16px glyph floors it. * THE 12/14 IS NOT A BREAKPOINT STEP AND NO CODE CHANGE FIXES IT. Reported by lane w10-social-profile, who owns SocialMenu.tsx, and RE-MEASURED HERE rather than taken on trust: dropdown-time 11530:302910 and 11530:302923 are BOTH 120 wide and differ only in leading (12/16 at boardX 6819, 12/14 at 11752), so the leading cannot be a function of frame width; and dropdown - tridots - reply assigns it the OTHER WAY ROUND - 11530:303366 is 200 wide at boardX 37398 and 12/16 while 11530:303337 is 200 wide at boardX 40187 and 12/14. So the file contains TWO full redraws of the same menu set with different leading, and at 200 wide it says both. SocialMenu SIZE.sm = 12/16 reproduces one of the two drawings exactly. A width-keyed third size would fix this frame by breaking its equally authoritative twin, which is why it is filed against the FRAME and not the code. * AND THE ROW-BOX RULE, corrected: it is 6 + max(lineHeight, 16 when the row carries a glyph) + 6, not 6 + lineHeight + 6. Measured across the mobile board - 12/14 with a glyph gives 28 (11530:303164, 11530:303236), 12/14 without one gives 26 (11530:303293), 12/16 without one gives 28 (11530:303287), 14/18 without one gives 30 (9646:214871). CORRECTING MYSELF: I first wrote that SocialRowMenus.figma.test.tsx:308 is missing the max() term and is therefore wrong on every menu in this family. IT IS NOT, and the reason is structural. ROW_BASE (SocialMenu.tsx:101-102) is `flex ... items-center ... py-1.5` and MenuGlyph (:335) renders a `flex size-4 shrink-0` span, so in a flex row with items-center the content box IS max(line box, 16) - flexbox applies the floor for free, and the frames' rule is already the rule the DOM follows. At both shipped sizes the max never binds: md is 6+max(18,16)+6=30 and sm is 6+max(16,16)+6=28, which is why the helper's leading+2*pad reproduces every frame in the family, glyph-bearing or not. The floor is a LATENT term, not a missing one. * AND THAT IS THE SECOND, INDEPENDENT REASON AN xs SIZE WOULD HAVE BEEN WRONG: a sub-16 leading is exactly when the max starts binding, so an xs at 12/14 would compute 26 in code against the 28 every glyph-bearing frame draws - unsound on the DOM alone, before the twin-frame evidence is even reached. Credit to lane w10-social-profile, who read the source rather than the formula and corrected their own row too; verified here at SocialMenu.tsx:89-90, :101-102, :335 and at the helper's `return leading + 2 * pad`. Nothing to change in any of the three copies of the helper. So: the code is right, the frame set is self-contradictory, and per SCHEMA that is a frame-defect rather than an implementation verdict. Mount is live - see 9636-208873.	mobile=partial @2026-09-01
dropdown-tokens [11530-303259]	frame-defect	src/components/social/menus/socialRowMenus.tsx	/:username	NODE DATA BOTH SIDES 2026-09-01. Same 200x160 panel, same four 184x28 glyph-bearing rows, same fills, ANAL sample instead of PIT, and the same Manrope Regular 12/14 against a shipped 12/16. Filed frame-defect for the reason set out in full on 11530-303164: the file draws this menu at 200 wide with BOTH leadings on two different boards, dropdown-time proves the leading is not a function of width at all, and the shipped value reproduces one of the two drawings exactly.	mobile=partial @2026-09-01
dropdown-balances [9640-213620]	partial	src/components/social/menus/socialRowMenus.tsx	-	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY panel 250x206 VERTICAL gap8 pad8 r12 fill #122524 stroke #123F3C w1 INSIDE DROP_SHADOW r12 0,4 #000000@0.24; five rows 234x30 r4 pad6/8/6/8 gap8 with the line VECTOR after the FIRST row only (y=46), which is what ruleBetween draws; glyph 16x16 at x=8, label x=32. TYPE Manrope Regular 14/18 ls-4pct #FFFFFF. Row order verbatim View on Skai wallet / rule / Trade SOL/USDT / Swap / Deposit / Withdraw = buildBalanceRowMenu's order. Row 0 washed #123F3C = the activeIndex wash. * BUILT AND FRAME-EXACT, NEVER MOUNTED: grep of src/ for buildBalanceRowMenu returns socialRowMenus.tsx, the barrel index.ts:16 and SocialRowMenus.figma.test.tsx - and nothing else. There is no host, so no user reaches this menu at any width.	desktop=partial @2026-09-01
dropdown-balances [11530-303185]	partial	src/components/social/menus/socialRowMenus.tsx	-	NODE DATA BOTH SIDES 2026-09-01. 220x196 panel, rows 204x28, same fill / stroke / r12 / gap8 / pad8 / shadow as 9640-213620, type Manrope Regular 12/16 ls-4pct = SIZE.sm. Same never-mounted finding: buildBalanceRowMenu has zero callers outside its own module, barrel and test.	tablet=partial @2026-09-01
dropdown-balances [11530-303236]	partial	src/components/social/menus/socialRowMenus.tsx	-	NODE DATA BOTH SIDES 2026-09-01. 200x196 panel gap8 pad8 r12; five rows 184x28, every one carrying a 16x16 glyph, so the row box is 28 whichever leading is applied. TYPE Manrope Regular 12/14 against the shipped 12/16 - the same two-redraw split recorded on 11530-303164, which is a frame question and not a code one. THIS ROW STAYS partial ON A STRONGER AND INDEPENDENT GROUND: buildBalanceRowMenu has no production caller at all (untruncated grep of src/ returns only socialRowMenus.tsx, the barrel index.ts:16 and SocialRowMenus.figma.test.tsx), so no user reaches this menu at any width and the leading question never arises for anybody.	mobile=partial @2026-09-01
dropdown-followers/following [9646-214871]	partial	src/components/social/menus/socialRowMenus.tsx	-	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY panel 250x92 VERTICAL gap8 pad8 r12; item 234x30 at y=8, line VECTOR at y=46, item 234x30 at y=54, so 8+30+8+1+8+30+8 lands the 92 exactly. NO GLYPH on either row - both text nodes sit at x=8, not the x=32 every iconed row in this family uses, which the builder already encodes as a measurement rather than an omission. TYPE Recent / Oldest Manrope Regular 14/18 ls-4pct #FFFFFF. COLOUR panel #122524 / #123F3C w1 INSIDE / DROP_SHADOW r12 0,4 #000000@0.24. * THE OPEN PANEL IS NEVER RENDERED. CreatorFollowListModal.tsx:43-45 imports FOLLOW_LIST_SORT_OPTIONS and FOLLOW_SORT_OLDEST_UNAVAILABLE and builds a select from them; buildFollowListSortMenu itself has no caller anywhere in src/. So the OPTIONS the frame names are live and the PANEL the frame draws is not - a partial in the precise sense.	desktop=partial @2026-09-01
dropdown-followers/following [11530-303287]	partial	src/components/social/menus/socialRowMenus.tsx	-	NODE DATA BOTH SIDES 2026-09-01. 220x88 panel - items 204x28 at y=8 and y=52 with the line at y=44, so 8+28+8+1+8+28+8=89 against a declared 88 (the line VECTOR has height 0 and is drawn on the boundary). Type Manrope Regular 12/16 ls-4pct, no glyphs, same fill / stroke / shadow. Same finding as 9646-214871: buildFollowListSortMenu has no caller, only its option list is consumed.	tablet=partial @2026-09-01
