9220-26176	match	scratchpad/wave50-play-hub/dice-frame.png	Dice - Desktop 1440px, 195x277 leaf, no children. THE ONE FRAME IN THIS SECTION COMPARED BY EYE: a render of this node was pulled and set beside the shipped raster, and both are the same two white-and-grey dice tumbling on mint green - not the orange dice on fire the hub drew before the 2026-08-19 sweep. Shipped dice-alt.webp, sized on disk this pass at 1856x2304; playGameArt.ts:827 wires it with accent #138462, the stop this node declares at 78.7%, and /play/dice draws the same file. Drawn at lg:w-[195px] on aspect-[274/388] = 195x276.13 against the node's 277, and exactly at lg:h-[277px] lg:w-[195px] on the game page's hero card. No browser ran.
9220-26181	match	-	Dice - Mobile 375px, 76.268x108 leaf, no children, and the width is exactly 274:388 - 108 x 274 / 388 = 76.268. ONE ASSET COVERS BOTH FRAMES AND IT IS MEASURED: playGameArt.ts:42-46 records this node's rawImage as md5-identical to its Desktop partner 9220:26176, so the pair differs in frame size only. Same dice-alt.webp at 1856x2304, same #138462. Drawn at w-[130px] on aspect-[274/388] = 130x184.09 on the 375 rail and h-[108px] w-[76px] on the game page's hero card. Verdict carried from the Desktop render, not re-shot at this size.
9222-26203	match	-	Crash - Desktop 1440px, 195x277 leaf, no children. This node is pinned BY ID in playGameArtCovers.test.ts's REDRAWN table - import, portrait floor, 2.5x-of-317 floor, byte budget and accent - and that suite is 99/99 green this pass. Shipped crash-alt.webp, 1080x1626 on disk, accent #044BC7, which the card declares and which deliberately did NOT move with the redraw. Trap recorded: this frame returns two rasters and the 340x512 one is the cloud bank drawn again as a foreground layer. AviatorGamePro.tsx draws the same file as its 32px header tile.
9222-26328	match	-	Blackjack - Mobile 375px, 76.268x108 leaf, no children, and this frame is the section's own tie-breaker rather than a follower: when the Desktop node Casey's 2026-08-19 ruling named was deleted, playGameArt.ts:340 records THIS node as carrying a raster md5-identical to the replacement Desktop card 10404:3412 (9ec04ce999c8fbb83d307f69d15a71aa), so both breakpoints say crimson. Shipped blackjack-cover.webp, 1080x1800 on disk, accent #881C1C at 78.7%, artPosition "50% 22%" solved from the frame's own h-[117.33%] top-[-4.77%].
9222-26334	match	-	Coinflip - Desktop 1440px, 195x277 leaf, no children. Shipped coin-flip-alt.webp, 1080x1350 on disk and 19,610 bytes committed, which is this frame's own rawImage downscaled to 1080w - never a screenshot, never redrawn. playGameArt.ts:829, accent #AB581E, no artPosition, which is the plain-fill case. CoinflipPageSections has no PAGE_ART override, so the game page and the hub read one map and cannot drift. Drawn at lg:w-[195px] on aspect-[274/388] = 195x276.13 against 277.
9222-26339	match	-	Coinflip - Mobile 375px, 76.268x108 leaf, no children. Same coin-flip-alt.webp as its Desktop partner on the file's measured md5-identity rule for these pairs. Drawn at w-[130px] on aspect-[274/388] = 130x184.09 on the 375 rail and h-[108px] w-[76px] on the game page's hero card.
9222-26345	match	-	Scratchers - Desktop 1440px, 195x277 leaf, no children, and its accent is cited off THIS node: playGameArt.ts:814 names scratch-card-pro (9222:26345) as one of three cards that declare #123F3C, Green Coal 100, which is also PlayGameCard's no-accent default - written out so "measured and equals the default" cannot read as "nobody supplied one". Shipped scratchers-alt.webp, 1080x1610 on disk, downscaled from a 2748x4096 source to 81 KB, the largest source on the page and the one the byte budget exists for.
9222-26350	match	-	Scratchers - Mobile 375px, 76.268x108 leaf, no children. Same scratchers-alt.webp as its Desktop partner, 1080x1610 on disk, accent #123F3C declared by the frame rather than defaulted. Drawn at w-[130px] on aspect-[274/388] = 130x184.09 on the 375 rail, which is the closest of the three boards to the component's ratio, and h-[108px] w-[76px] on the game page's hero card.
10296-3772	match	-	Baccarat - Desktop 1440px, 195x277 leaf at (587,553), first read in any wave. Declares to-[#952433] at 78.7% and fill h-[145.29%] left-0 top-[-1.92%] w-full - the SAME declaration playGameArt.ts records for the game page 9873:4052 and solved artPosition "50% 4%" from, character for character. Shipped baccarat.webp, 1080x2229 on disk, accent #952433. Two frames on two pages agreeing on a placement is the oracle; nothing moved. No browser ran.
10296-3777	match	-	Baccarat - Mobile 375px, 76.268x108 leaf at (3347,215). Its fill is named `1a11b.png`, the same content hash the Desktop partner returns, which is the pair rule proved without an export. Desktop shell at 0.391 - radius 6.254 = 16 x 76.268/195, caption 51.506 at (12.1,83.11), Manrope ExtraBold 9.365/9.365 over Mulish Regular 4.292/5.463. Fill h-[147.22%] top-[-2.78%] w-[101.01%], hidden-above 1.89% against the Desktop's 1.32%, the gap being this cut's 1.01% width overscan; both resolve to the shipped 4%.
