# key	status	primaryFile	route	reason	bp
Chart settings 1VH 1440 [8909-133735]	partial	src/components/predict-redesign/futures/ChartSettingsModal.tsx	/predict/all?type=futures	MEASURED this lane off the panel's own nodes rather than carried across. Panel 442x884 at (990,8) on a 1440 board, so an 8px float (990+442 = 1432), padding 24, over a 394-wide content column. Title row 28 tall; the header block opens 24 under it and the list opens 24 under the block (controls end at 28 and the next child starts at 52; the block ends at 42 and the list starts at 66). Six rows 24 tall at y 0/36/72/108/144/180 for a 204-tall list at a 12px gap and no divider. Label 16 line box over an 18 description at an 8px gap. Footer 394x62 at y=798, ending 860 = 884-24, two 193 halves at an 8px gutter. Every one of those is what the panel draws and what the screen renders. TWO RESIDUALS AND BOTH SIT OUTSIDE THIS PARTITION. (1) THE TOGGLE: input/toggle is 40.59 x 24 in every row - a 37.93 x 21.33 body inside a 1.33px track - and the shared Switch is 24 x 44 with a 20px thumb travel welded into the primitive, so narrowing the track from a call site walks the thumb 3.4px past the end of it. The width has to move in the primitive. (2) THE CLOSE AFFORDANCE: the panel draws a 16x16 glyph inset 24 from its right edge and 30 from its top, i.e. on the title's own line inside the panel padding, and the Sheet primitive pins its close at 16/16 with no class passthrough, so it sits 8 left and 14 high of the frame and cannot be reached from a caller. The 44px button floor does not reach this width, so the rows already draw the frame's 24-on-36 here.	desktop=partial
Chart settings 1VH 768 [10657-212636]	partial	src/components/predict-redesign/futures/ChartSettingsModal.tsx	/predict/all?type=futures	MEASURED this lane on the panel node's own emitted values, and the radius is FIXED. This cut draws radius 12 while the shared right-menu chrome stepped to 16, so 768-1023 was drawing 4px over; the pixel value is 12 even though the variable prints under Figma's xl name, which is 16 on our scale. Panel 442x1008 at (318,8), padding 20, fill #122524 at 0.8 over a 20px backdrop blur with a 1px #123F3C stroke and a 0/10/80 black-at-25% shadow, laid out SPACE_BETWEEN. Title Manrope Regular 18/22 at -4% white; Customise layout 12/16 #E0E0E0 at 0.64 node opacity; description 12/16 #E0E0E0 opaque; row label 12/16 white; list gap 12 over 24-tall rows; footer halves 197 wide at radius 12 with 16/0 and 16/24 padding and a 14/18 label, so 16+18+16 = 50 exactly. TOGGLE FLOOR FIXED: the toggle is 40.59 x 24 and the Switch is a Radix button, which the global 44px min-height floor at 768 and below inflated to 44 tall inside a 24-tall row; centred, that reached 10px into a 12px gap and put each toggle 8px inside its neighbour, so a tap near a row boundary landed on the wrong control. It now opts out and keeps the switch's full 44px width. Held on the same two residuals as the desktop cut: 3.4px of track width welded to the primitive's thumb travel, and a close glyph the panel insets 20 from its own padding where the primitive pins 16.	tablet=partial
Chart settings 1VH 375 [10597-72437]	partial	src/components/predict-redesign/futures/ChartSettingsModal.tsx	/predict/all?type=futures	MEASURED this lane. Panel 359x796 at (8,8), so 8+359+8 = 375 and 812-16 = 796, padding 12 and radius 12, both of which the base classes already drew. Controls row 22 tall carrying a 16x16 glyph at x=319, i.e. inset 12 from the panel padding and 15 from its top. Header block 36 tall - a 14 label over a 14 description at an 8px gap - opening 24 under the title, and the list opening 24 under the block at y=60: six 24-tall rows at a 36 pitch for 204, no divider. Footer 335 wide at y=740, ending 784 = 796-12, two 163.5 halves 44 tall on 14/16 padding with a 14/16 label and a 12px icon gap. TOGGLE FLOOR FIXED, the same defect as the tablet cut: the 44px min-height floor drew a 24-tall switch 44 tall and overlapped the neighbouring row by 8 inside a 12px gap. Residual is the toggle's 3.4px of width, which belongs to the primitive.	mobile=partial
Parameter settings 1VH 1440 [8909-132564]	partial	src/components/predict-redesign/futures/ParameterSettingsModal.tsx	/predict/all?type=futures	The shell is the chart panel's, and that is measured rather than assumed - the two panels' Right menu nodes carry identical geometry at every cut. What was read first-hand on THIS component this lane is its 375 instance: 359x796 at (8,8), padding 12, radius 12, fill #122524 at 0.8 with a 1px #123F3C stroke, a 20px backdrop blur and a 0/10/80 black-at-25% shadow under a SPACE_BETWEEN layout; title Manrope Regular 18/22 at -4% white; label and description both 12/14 #E0E0E0 with the 0.64 node opacity on the label only; four candidate rows 24 tall at a 36 pitch, each a Manrope Regular 12/14 white label against a 40.59 x 24 toggle; footer two 163.5 halves at 14/0 and 14/16 padding with a 12px icon gap. At 1440 the panel is 442x884 at (990,8) with padding 24 and radius 24, and the class ramp draws both. Held on the two residuals its sibling records: 3.4px of toggle width welded to the primitive's thumb travel, and a close glyph the panel insets 24 right and 30 down against the primitive's 16/16. The coloured swatch beside each candidate is a deliberate addition and not a parity miss - the panel draws the name alone, and the dot is the only thing that says which chart line a toggle hides.	desktop=partial
Parameter settings 1VH 768 [10657-211823]	partial	src/components/predict-redesign/futures/ParameterSettingsModal.tsx	/predict/all?type=futures	RADIUS FIXED with its chart sibling: both 768 settings panels read 12 where the shared chrome stepped to 16, so this surface has no radius step at the tablet cut at all, and the override states that inside the same variant group rather than beside it - spelled at any other breakpoint it would have sat next to the shared value and left 16 drawn across 768-1023. TOGGLE FLOOR FIXED: the global 44px min-height floor at 768 and below drew the 24-tall switch 44 tall, which overlapped the neighbouring row by 8 inside a 12px gap. Panel 442x1008 at (318,8), padding 20; title 18/22; label and description 12/16; rows 24 tall on a 36 pitch at a 12px gap; footer halves 197 wide at 16/0 and 16/24 padding, 50 tall. Same two residuals as every other cut of this pair.	tablet=partial
Parameter settings 1VH 375 [10597-71622]	partial	src/components/predict-redesign/futures/ParameterSettingsModal.tsx	/predict/all?type=futures	MEASURED first-hand on this cut, on all three axes. Panel 359x796 at (8,8), padding 12, radius 12 read off the panel's own emitted value, fill #122524 at 0.8 with a 1px #123F3C stroke, a 20px backdrop blur and a 0/10/80 black-at-25% shadow, laid out SPACE_BETWEEN. Controls 22 tall with a 16x16 glyph inset 12 from the padding; header block 36 = 14 + 8 + 14; the list opens 24 under it; four candidate rows 24 tall at a 36 pitch, each a Manrope Regular 12/14 white label at -4% against a 40.59 x 24 toggle; footer two 163.5 halves 44 tall at 14/0 and 14/16 padding, radius 12, label 14/16, icon gap 12. TOGGLE FLOOR FIXED, the same 44-in-a-24 overlap the tablet cut carried. Residual is the toggle's 3.4px of width.	mobile=partial
Skai > Predict > sports > Futures > Sample futures (1440 x 900px) [3471-7251]	partial	src/components/predict-redesign/futures/FuturesDetail.tsx	/predict/all?type=futures	CHART BLOCK MEASURED AND TWO OF ITS THREE ROWS FIXED. The block is a 738x313 card at 16 padding holding three rows at 27px gaps - an 18-tall legend, a 187-tall chart and a 22-tall volume-and-range row - and the screen draws those three as siblings with no card around them, which is the one geometry item still open on this cut. LEGEND FIXED: four pills at a 2px gap, each 8/2 padding with a 4px inner gap, a 10px marker and a Mulish Regular 11/14 white label at -4%; it shipped Manrope 12 in ash on an 8px dot at a 6px gap with no pill at all. RANGE ROW FIXED: strip gap 20, active pill green-coal-100 at radius 4 with 4/2 padding, every label white whether active or not because the fill carries the state, Mulish Regular 14/18 at -4%, the volume and close-time groups 14 apart with a 16px glyph opening each at a 4px gap, and no rule anywhere in the row; it shipped Manrope 13 in ash, a 12px pill at 10/4, a 4px strip gap, ash inactive labels and a 1px separator no cut draws. STILL OPEN AND UNCHANGED: the 432-wide right column holding the buy panel over a related-events list is not rendered, because the screen puts trading in a modal, and the chart is not wrapped in the card above.	desktop=partial
Skai > Predict > sports > Futures > Sample futures 1VH (1440 x 900px) [8864-48712]	partial	src/components/predict-redesign/futures/FuturesDetail.tsx	/predict/all?type=futures	The above-the-fold crop of the tall 1440 cut, and its own nodes carry the same numbers rather than being assumed to. Everything fixed there lands here: the legend's 2px pill gap, 8/2 pills, 10px markers and Mulish Regular 11/14 white labels; the range strip's 20px gap, radius-4 pill at 4/2 padding and white labels throughout; the 14px gap between the volume and close-time groups with a 16px glyph opening each at 4. Held for the same two: no 432-wide right trade column, and the 738x313 card at 16 padding that groups legend, chart and range at 27px gaps is not drawn.	desktop=partial
Skai > Predict > sports > Futures > Sample futures - with resolved (1440 x 900px) [3531-21220]	partial	src/components/predict-redesign/futures/FuturesDetail.tsx	/predict/all?type=futures	The same screen with the resolved candidates revealed, not a second screen, and its chart block measures identically to the default state - an 18-tall legend of 8/2 pills at a 2px gap, a 187-tall chart, and a 22-tall row at a 20px strip gap - so it takes both of this lane's fixes unchanged: Mulish Regular 11/14 white legend labels on 10px markers, and a radius-4 range pill at 4/2 with white labels and a 14px gap between the two meta groups. Held for the same two structural items as its default twin: no 432-wide right trade column, and no 738x313 card at 16 padding around the chart block.	desktop=partial
Skai > Predict > sports > Futures > Sample futures - full (375x812px) [10597-69175]	partial	src/components/predict-redesign/futures/FuturesDetail.tsx	/predict/all?type=futures	THE ORDERING ITEM THIS ROW WAS HELD ON IS FALSIFIED, and it was a layer-name misread. The 38-tall block above the chart is named Timeframe, but its children are four labels/tag reading a candidate and a percentage - it is the LEGEND - while 1D/1W/1M/1Y/ALL and both settings glyphs sit in the 22-tall row BELOW the chart, exactly as at 1440. So the order the screen already shipped is the frame's, and the legend is drawn by the frame rather than added by the code. MEASURED: the column runs at a 16px gap - header 62 tall, legend at y=78 and 38 tall (two columns 16 apart, each holding two 18-tall pills at a 2px row gap), the chart 187 tall at y=132 inside a wrapper that carries no padding, and the meta row 22 tall at y=335. LEGEND FIXED to 4/2 pills at a 2px inner gap with a 10px marker and a Mulish Regular 10/14 white label at -4%, from Manrope 12 in ash on an 8px dot at a 6px gap. RANGE ROW FIXED to a 16px strip gap, a radius-4 pill at 4/2 padding, white labels and Mulish Regular 12/14 ash meta opening on a 16px glyph at a 4px gap, from Manrope 13 on a 12px pill at 10/4 with a 4px gap and a separator no cut draws. HELD ON ONE THING AND IT IS GLOBAL: every range control is a button, and the app floors buttons at 44px min-height AND min-width at 768 and below, so the frame's 24x18 pills and 16px glyphs render 44 square and the 227-wide strip cannot fit inside a 343-wide column.	mobile=partial
