# Lane social-post, wave 30. Partition src/components/social/post/** and
# src/components/social/profile/**.
#
# TWO FAMILIES, BOTH TAKEN TO THE BOTTOM, AND NEITHER PROMOTED. Every node
# below was opened first hand through the Plugin API on 2026-09-06 and no
# number here is carried from an earlier row. `get_metadata` was not used for
# any of it: it reports a text node's line BOX, and the single largest defect
# this pass found is a component built against the box (14) instead of the
# face (12).
#
# TWO FIXES LANDED, each with its oracle in the same commit and each value
# proved red by a mutation applied ALONE from a pristine copy and restored by
# copying that copy back - never by a reverse string replace, because several
# of these tokens also appear in the comment explaining them:
#   1939a90bd  the comments panel, its composer and its rows (15 cases,
#              17 mutations, all RED)
#   e5472d9f9  the trade sheet's colours and boxes (16 cases, 20 mutations,
#              all RED)
# 124 checks pass across src/components/social/post at 15:55 on 2026-09-06,
# tsc clean. A green is a moment, not a state.
#
# THE FINDING THAT DECIDES EVERY POST/TOKEN ROW BELOW, AND IT IS NOT A PARITY
# ONE. `src/components/social/post/**` IS NOT MOUNTED. Grepped over `src/` on
# 2026-09-06: the only importers of TokenPostDetail, TradePanelSheet,
# PostDetailTabs, PostCommentList, PostCommentComposer, PostTokenChartCard and
# TokenStatStrip are the partition's own barrel `post/index.ts` and its own
# tests. `src/App.tsx` declares no `/post/...` path; `/token/:symbol` is a
# REDIRECT to `/crypto/:symbol` (App.tsx:1854). So these seven files draw the
# frames correctly and draw them on NO SCREEN. Every post row here therefore
# stays `not-started`, which is the catalogue's own rule for a component
# nothing renders, and the reason column now says what is actually left: a
# route and a container, not a build. A parity suite cannot see this - it
# renders the component itself, so it is green either way.
#
# THE MEASUREMENT THAT DROVE THE FIRST FIX. A line box is not a face, and the
# comment row is 12px at every board with only the leading stepping:
#
#                      375              768              1440
#   node               11474:205668     11474:202325     5115:197992
#   row height         50               56               56
#   name               Manrope Bold     12/16            12/16
#                      12/14 #FFFFFF
#   stamp              Mulish 12/14     12/14            12/16
#   body / Reply       Manrope 12/14    12/16            12/16
#
# The height is the SUM and not a fourth reading: 14+4+14+4+14 = 50 and
# 16+4+16+4+16 = 56. The shipped rows were 11px on a flat 14 at every board.
#
# THE INSTRUMENT NOTE. Three values here are a flat #FFFFFF fill under a NODE
# opacity, and either number alone is the wrong answer: the comment stamp and
# `Reply` at 0.64, the composer's paperclip at 0.44, and `Amount` in the trade
# sheet at 0.64. `--muted-foreground` (#B3B9CC) is none of them, and it is what
# all three shipped as.
#
# key	status	primaryFile	route	reason	bp
Skai > Social > Sample post / token (375 x 812px) [11474-204840]	not-started	src/components/social/post/TokenPostDetail.tsx	-	MEASURED ON ALL THREE BOARDS AND FIXED, AND STILL not-started BECAUSE NOTHING MOUNTS IT. The comments card is the frame's `Frame 429`: strip `11474:205603` over panel `11474:205615`, both #122524 on a #123F3C hairline. FIGMA the panel insets 12 here, 16 at 768 (`11474:202278`) and 16 at 1440 (`5115:197945`), and puts 24 / 24 / 36 between the composer and the list; the list `Frame 355` pads 0 and gaps 16 at every board. CODE BEFORE two nested `p-3` wrappers, so the inset was 12 at every width (delta 4 at 768 and 1440) and the composer-to-list distance was the sum of those two paddings, 24 at every width (delta 12 at 1440). CODE AFTER one panel div `gap-6 p-3 md:p-4 xl:gap-9` and a list that pads nothing. The tab strip above it was re-measured and is DELTA ZERO: `Frame 299` 52 tall, x-inset 12 / 16 / 16 against `px-3 md:px-4`, four labels a uniform 24 apart at 0/92/163/232 against `gap-6`, and the 3px white rule on the strip's bottom edge against `-bottom-[9px]` on a 34px control centred in 52, since 43 + 9 = 52 is the vector's own y in all three frames. WHAT IS LEFT IS NOT PARITY: no route reaches this component and no page composes it - see the block at the top of this file.	desktop=missing tablet=missing mobile=missing
Skai > Social > Sample post / token (768 x 1024px) [11474-201388]	not-started	src/components/social/post/TokenPostDetail.tsx	-	SAME COMPONENT, SAME PASS, MEASURED ON THIS BOARD'S OWN NODES. `11474:202265` / `11474:202266` / `11474:202278`: card 708 wide, panel inset 16, composer-to-list 24, list gap 16, strip 52 tall on a 16 inset with the labels 24 apart. FIGMA vs CODE BEFORE the panel inset was the 12 the phone board draws (delta 4), and the composer field was `bg-white/[0.03]` inside `border-white/10` against a drawn #001615 on a #123F3C hairline (`11474:202280`), with its send button at radius 12 against a drawn 8 (`11474:202289`). Fixed in 1939a90bd. Unmounted, as above.	desktop=missing tablet=missing mobile=missing
Skai > Social > Sample post / token 1VH (1440 x 900px) [5114-194778]	not-started	src/components/social/post/TokenPostDetail.tsx	-	MEASURED AND PART-FIXED; TWO THINGS RECORDED RATHER THAN BUILT. FIXED the comments card on this board (`5115:197932` / `5115:197933` / `5115:197945`): inset 16, composer-to-list 36, field 42 tall, send button radius 8. RECORDED, NOT BUILT (1) this board is TWO COLUMNS - `Main container` 738 wide at x=61 carries the header, the 506px media square `5114:196704` and the centred Post/Chart pill `5115:197689`, while a 506-wide rail at x=815 carries the stat strip `5118:200512`, the trade card `5115:197854` and the comments card. The component draws one column at every width; that is a page-level composition and there is no page. (2) the comments card's own corners DISAGREE on this board - its strip tops at 8 (`5115:197933`) while its panel closes on 16 (`5115:197945`) and the trade card beside it tops at 16 (`5115:197855`). The card ships 16 and the disagreement is recorded here rather than averaged away. Unmounted, as above.	desktop=missing tablet=missing mobile=missing
SRP - bottom - Comments - holder [9636-211487]	not-started	src/components/social/post/PostCommentList.tsx	-	THE ONE FRAME THAT IS ONLY THIS CARD, MEASURED CHILD BY CHILD. `9636:211488` agrees with `5115:197932` node for node - strip 52 on a 16 inset, panel padding 16 gap 36, composer row 42, list gap 16, three 56-tall rows - which makes it two independent reads of the same numbers. FIXED HERE the row's face (12, not 11), its leading (14 at 375, 16 from 768), the author's weight (Manrope BOLD, not semibold), the stamp and `Reply` (#FFFFFF at node opacity 0.64, not #B3B9CC) and both glyphs (#95A09F). RECORDED, NOT BUILT (1) this frame also carries `dropdown-market` `9640:211924`, the open comment menu, which belongs to src/components/social/menus/socialRowMenus.tsx and not to this partition; (2) the 1440 row `5115:197992` draws the heart ALONE with no kebab, and at 375/768 the cluster sets the heart at x=0 with the kebab down and to its right, which the shipped column mirrors. The menu is NOT deleted to match - a frame's silence is not a spec to remove a control.	desktop=missing tablet=missing mobile=missing
SRP - bottom - Holders / Activity / Details [5115-198181, 5116-198982, 5116-199550]	not-started	src/components/social/post/PostDetailTabs.tsx	-	THE STRIP MATCHES ON ALL THREE BOARDS; THE PANELS BEHIND IT HAVE NO SOURCE. STRIP, DELTA ZERO, read on `11474:205603` (375), `11474:202266` (768) and `5115:197933` (1440): 52 tall, #122524 on #123F3C, x-inset 12 / 16 / 16, four labels at 0/92/163/232 with widths 68/47/45/42 - a uniform 24 - and an absolutely-positioned 3px #FFFFFF rule on the strip's bottom edge whose width tracks the selected label (70 under Comments `11474:205614`, 47 under Holders `5115:197865`). `Frame 1` declares SPACE_BETWEEN, which is a SHADOWED input here: it holds only the label group and a `Market` pill at opacity 0, so the 24 that draws is `Frame 336`'s own itemSpacing and not a distribution. PANELS: Holders reads `social_token_holdings` (SELECT `true`, 0 rows live); Activity reads `social_token_transactions`, whose only SELECT policy is `rls_user_select` for `authenticated` with `user_id = auth.uid()` - re-probed 2026-09-06 - so a visitor would see their OWN trades under a heading that reads as the token's public tape; Details reads `social_tokens` (SELECT `true`, 4 rows). All three tabs ship visible and disabled with the reason in the tooltip. Unmounted, as above.	desktop=missing tablet=missing mobile=missing
Skai > Social > Sample post / token - market 1VH (375 x 812px) [11474-206222]	not-started	src/components/social/post/TradePanelSheet.tsx	-	THE SHEET, MEASURED ON BOTH BOARDS IT IS DRAWN AT AND FIXED THROUGHOUT (e5472d9f9). FIGMA `11474:208674`: card #122524 on #123F3C; mode strip 36 tall on a 12 inset, labels Manrope 12/14 separated by COLOUR (#FFFFFF against #95A09F) and never by weight, under a 37-wide #FFFFFF rule of stroke weight 3; close glyph #95A09F; body inset 12 with 24 between the form and the CTA; side toggle 351x48 radius 12 on a #17F9B4 track at 0.24, halves 167.5x40 with radius 8 on the selected one and 4 on the other, labels Manrope Regular 14/16; the amount card and the percent rail are ONE card split across a shared edge - `11474:208691` radius 12/12/0/0 over `11474:208719` radius 0/0/12/12, both #001615, `Frame 505` gap 0 - with only the upper half carrying the hairline; CTA 351x44 radius 16 filled #17F9B4 with a #001615 label and a 24px wallet glyph. CODE BEFORE `bg-background` under `border-white/10`; a 2px rounded `--primary` rule; a `bg-white/[0.04]` toggle with 10px corners on both halves and 13px semibold labels; two separate boxes 16 apart, the upper `bg-white/[0.03]` inside `border-white/10`; a 12px-corner CTA on the default #2DEDAD with no glyph. RECORDED, NOT BUILT the frame marks the selected percentage on a track (`Frame 33`, 327x10) and draws all five labels identically - this rail has no track, so the pressed stop keeps a weight of its own rather than shipping a control whose state is invisible. Unmounted, as above.	desktop=n-a tablet=missing mobile=missing
Skai > Social > Sample post / token - market 1VH (768 x 1024px) [11474-202779]	not-started	src/components/social/post/TradePanelSheet.tsx	-	THE SAME SHEET ON ITS SECOND BOARD, READ ON ITS OWN NODES `11474:209057`: mode strip 40 tall on a 16 inset with the labels at 12/16; body inset 16, gap 24; side toggle 698x50, halves 341x42, labels 14/18; amount card `11474:209074` 698x100 over rail `11474:209102` 698x52 on the same shared-edge corners; CTA 698x50 radius 16. CODE BEFORE every one of those was the 375 value - the strip 36 on a 12 inset, the toggle 48 with 40 halves, the CTA 44 - because the component carried one ramp for both boards. Fixed in e5472d9f9, and the whole ramp is asserted at 767 and 769 so a green cannot come from a class that never applies. AT 1440 THIS IS NOT A SHEET: `5115:197854` draws the same content as a rail card under the page's own four-tab strip, which is a different composition and belongs to the page. Unmounted, as above.	desktop=n-a tablet=missing mobile=missing
Skai > Social > Sample creator profile > Creator overview (375 x 812px) [11474-215821]	blocked-on-backend	src/components/social/profile/CreatorOverviewTab.tsx	/:username	OFF partial AND ONTO THE HONEST VALUE. WHAT IS DRAWN MATCHES, re-measured this pass on `11474:216312` rather than cited: `Frame 304` 319x270 radius 12 padding 16 gap 16 on #001615; the heading accent a 3x18 RECTANGLE at radius 6 filled #17F9B4 at paint opacity 0.24, held 8 off its text; the rule a VECTOR stroked #122524 at weight 2; the two tiles STACKED (`Frame 279` VERTICAL, gap 8) at 287x90, radius 8, padding 12, label-to-figure 16, on #122524. The code resolves 18/8/12/16 here and its md and lg rungs carry the 19/8/16/12 and 24/16/16/12 the other two boards draw. WHAT IS NOT DRAWN CANNOT BE, and that is why this is not partial: the frame's area chart, its 1D/1W/1M/1Y/ALL pills and its `+0.94%` delta all need a market-cap SERIES. Probed live 2026-09-06 - `public` holds exactly two market-cap columns, `social_tokens.market_cap` (current, SELECT `true`, 4 rows) and `social_token_transactions.market_cap_after`, whose ONLY SELECT policy is `rls_user_select` for `authenticated` with `user_id = auth.uid()`, on a table holding 0 rows. A visitor can never read another creator's series - not today at 0 rows and not later at a million. Backfilling would not fix it; only a new readable source would. The card renders the current cap over an explicit unavailable state rather than five dead controls or a flat-at-zero chart.	desktop=unknown tablet=unknown mobile=unknown
Skai > Social > Sample creator profile > Creator overview (768 x 1024px) [11474-214610]	blocked-on-backend	src/components/social/profile/CreatorOverviewTab.tsx	/:username	SAME VERDICT, MEASURED ON THIS BOARD'S OWN NODES. `11474:215137`: `Frame 304` 676x195, radius 12, padding 16, gap 16; accent 3x19 held 8 off the heading; rule #122524 at weight 2; the tiles turn SIDE BY SIDE here (`Frame 279` HORIZONTAL, gap 8) at 318x112 with padding 16 and a label-to-figure 12. Delta zero against `md:h-[19px]`, `md:flex-row`, `md:p-4` and `md:mt-3`. The chart, its range pills and the delta are blocked by the same policy re-probed on the 375 row; nothing in this file can unblock them.	desktop=unknown tablet=unknown mobile=unknown
Skai > Social > Sample creator profile > Creator overview (1440 x 900px) [4972-150250]	blocked-on-backend	src/components/social/profile/CreatorOverviewTab.tsx	/:username	SAME VERDICT ON THE DESKTOP BOARD, AND IT SUPERSEDES A `done` NOBODY MEASURED. `4975:151467`: `Frame 304` 729x200, radius 12, padding 16, gap 16; accent 3x24 held 16 off the heading - the one gap that changes on this board; tiles side by side at 342.5x112, padding 16, 12 between them and 12 from label to figure. Delta zero against `lg:h-6`, `lg:gap-4`, `lg:gap-3` and `md:mt-3`. status.social.tsv carried this node as `done` against src/pages/account/UserProfile.tsx on the strength of four figures existing somewhere on the page; that row predates the component and never looked at the chart the frame spends half its height on. The chart is unbuildable for a visitor - see the 375 row for the policy and the row counts, both re-probed 2026-09-06.	desktop=unknown tablet=unknown mobile=unknown
