# key	status	primaryFile	route	reason	bp
Fortune Wheel Starting board [9733-7000]	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	RE-MEASURED off node data 2026-09-01 and FIXED on two more axes. Board 954x621 r16 #001615 + 1px #FFFFFF@0.10 unchanged from wave 10. THE POINTER WAS WRONG AND THE ORACLE AGREED WITH IT: FW_POINTER was read off a 1:1 screenshot as 56 tall with a 16.94 overhang, and fortuneWheelWheelChrome.test.ts restated those same render numbers as its independent oracle, so the two agreed at exactly the moment they were both wrong. Node data: the pin GROUP 10249:14232 and its vector 10249:14233 are 26.46x63 at (464,60); the disc 9733:7002 is 446.06 at (253.9694,85.9392). So height 63/446.06 = 0.141237 against 0.1253 -- 13 percent short -- and overhang 25.9392/446.06 = 0.058152 against 0.0379, i.e. the pin sat 9.0px too low. Pin centre 464+13.23 = 477.23 against the wheel centre 253.9694+223.03 = 476.9994, so left-1/2 is right to 0.23. THE PATH WAS ALSO STALE: the exported outline came from 9733:7057, a retired pin, and drew a round-shouldered teardrop whose tip stopped at 46.4646/49.4646 = 0.939 of its box. 10249:14233 vectorPaths is five straight lines -- M 13.23 63 L 26.46 14.3804 L 13.23 0 L 0 14.3804 L 13.23 63 Z -- an apex at top centre, shoulders at 14.3804/63 = 0.22826 and a tip on the bottom edge, with the grey core 10249:14234 16.38 across centred at (13.23,18.2698). The mobile pin 9736:9371 normalises to the same five points, so it is the shape at both widths. FIXED (skai-gaming b88009a): viewBox is now the vector's own 26.46x63, so width and height both come from node data with no stretch. PAYOUT STRIP re-measured: 9733:7060 954x42 @0,567 gap 8 pad 0/12, five 179.6 chips r8 border 1 #FFFFFF@0.10 shadow 0 3 0 tier, Manrope Bold 14 ls 0 -- 12 + 5x179.6 + 4x8 + 12 = 954 EXACT. HISTORY STRIP 9733:7071 954x30 @0,12 gap 12 pad 0/12 right-aligned, chips 61x30 r8.3077 border 1.0385 #FFFFFF@0.30 Manrope SemiBold 12. FIXED: HISTORY_CHIP.radius was rounded to 8, which is also this app's rounded-sm, so the literal read as a token that happened to agree; it is now 8.3077 with the 1.0385 stroke. STILL PARTIAL on two items. (1) The wheel cap holds at 384 against 446.06 -- the height term binds on desktop and needs a rendered board height. (2) THE PAYOUT-STRIP CONFLICT IS RESOLVED AGAINST THE FRAME, and it needs no ruling. The rails settle NINE segments -- 0x, 0.5x, 1x, 1.5x, 2x, 3x, 5x, 10x and BONUS, byte-identical in game-settlement's DEFAULT_WHEEL_SEGMENTS and _shared/paytables.ts WHEEL_SEGMENT_MULT_BPS, with weights 32/23/20/12/5/3/2/1/2. This frame's five chips are 0.00 / 1.50 / 2.00 / 3.00 / 5.00, so drawing one chip per tier would OMIT FOUR OF THE NINE PAYOUTS, including the top rung (10x) and the bonus, and would tell a player the ceiling is 5.00x on a wheel that pays double that. That is a money-information omission, not a styling difference, so the strip stays one chip per rail segment and the frame's ladder is filed as incomplete. The other two board frames make the same point from the other side: 9691:14020 and 9733:6371 draw a THREE-chip ladder (0.00 / 1.20 / 1.50) whose 1.20x is on no rail and in no other frame, and whose top is a third of this one's. Two ladders, neither complete. THE CAP IS THE ONE ITEM LEFT AND IT IS A SMALL RULING. The frames give diameter = min(0.73775 x boardW, 0.71829 x boardH), which reproduces 446.06 on this 954x621 board and 256 on the 347x410 one, each bound by a different term. The app has no fixed-height board, so the height term has no analogue and the cap is a leftover 384 from the retired sm:w-96. OPTION A: raise it to 446.06, the largest wheel the design draws; it binds only where the column is wider than 446.06/0.73775 = 604.6px and is otherwise inert, but it grows the wheel 16 percent on wide screens with no render behind the change. OPTION B: keep 384. Either way the width term is already exact.	desktop=partial
Fortune Wheel Mobile board [9736-9149]	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	RE-MEASURED off node data 2026-09-01 and FIXED on the strips. Board 347x410 r12 #001615 + 1px #FFFFFF@0.10. THE PAYOUT STRIP IS THE DESKTOP STRIP TIMES ONE NUMBER, verified on six independent scalars rather than the one wave 10 checked: 9736:9301 against 9733:7061 gives height 42->38, radius 8->7.2381, stroke 1->0.9048, gap 8->7.2381, shadow offset 3->2.7143 and label 14->12.6667, every one equal to 38/42 = 0.904762 to 4dp, while the strip's own side padding stays 12 at both widths. THE HISTORY STRIP IS 0.8 ON FIVE SCALARS AND NOT ON THE SIXTH: 9736:11236 against 9733:7072 gives 61->48.8, 30->24, 8.3077->6.6462, 1.0385->0.8308 and 12->9.6, all exactly 0.8, but 9736:11235's gap is 7.24 where 0.8 would give 9.6 -- and 7.24 is 9736:9300's PAYOUT gap 7.2381 to 3dp, which is what a copied container looks like. Wave 10 recorded this strip as 0.8 throughout; the gap is the exception and is now carried as its own number. FIXED (skai-gaming b88009a): both strips carry their 375 sizes through a scale on the container, so a change to a desktop value cannot leave mobile behind, and the oracle asserts the PRODUCTS rather than a second table. Wheel 9736:9313 256 across at x=45.5 = (347-256)/2 EXACT, top 74; pin 9736:9370 15.82x37.6666 at (166,59), a uniform 0.5979 of the desktop pin, which is NOT the wheel's own 256/446.06 = 0.5739 -- so the pin does not scale with the wheel and the desktop ratio lands 36.2 here against 37.67, where the render-derived 0.1253 landed 32.1. STILL PARTIAL on the wheel cap only -- see 9733:7000 for the two options. THE PAYOUT-STRIP CONFLICT IS RESOLVED AGAINST THE FRAME, and it needs no ruling. The rails settle NINE segments -- 0x, 0.5x, 1x, 1.5x, 2x, 3x, 5x, 10x and BONUS, byte-identical in game-settlement's DEFAULT_WHEEL_SEGMENTS and _shared/paytables.ts WHEEL_SEGMENT_MULT_BPS, with weights 32/23/20/12/5/3/2/1/2. This frame's five chips are 0.00 / 1.50 / 2.00 / 3.00 / 5.00, so drawing one chip per tier would OMIT FOUR OF THE NINE PAYOUTS, including the top rung (10x) and the bonus, and would tell a player the ceiling is 5.00x on a wheel that pays double that. That is a money-information omission, not a styling difference, so the strip stays one chip per rail segment and the frame's ladder is filed as incomplete. The other two board frames make the same point from the other side: 9691:14020 and 9733:6371 draw a THREE-chip ladder (0.00 / 1.20 / 1.50) whose 1.20x is on no rail and in no other frame, and whose top is a third of this one's. Two ladders, neither complete. On this frame the omission is the same four payouts: 9736:9300's chips are 0.00 / 1.50 / 2.00 / 3.00 / 5.00 and the rails pay 0.5x, 1x, 10x and BONUS besides.	mobile=partial
Fortune Wheel Win board [9733-6371]	frame-defect	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	MEASURED off node data 2026-09-01, and THE PAGE HOLDS TWO INCOMPATIBLE PAYOUT LADDERS. This frame's strip 9733:6432 is 954x42 @0,567 with THREE chips of 304.6667 -- 0.00x, 1.20x, 1.50x -- and 12 + 3x304.6667 + 2x8 + 12 = 954 EXACT, so it is a deliberate three-chip layout and not a truncation. 9733:7000 and 9736:9149 draw FIVE chips (0.00 1.50 2.00 3.00 5.00) at 179.6 and 58.8095, closing to 954 and 347 just as exactly. The two sets share only 0.00x and 1.50x; 1.20x appears in no other frame and on no rail, and 2.00/3.00/5.00 appear in no frame on this side. Both pairs are equally current -- all three desktop boards carry the same 10249-family pin, the newest edit on the page -- so neither is a stale copy. Its history strip 9733:6439 is at least SELF-consistent (1.50/1.20/0.00 repeating in tier colours), unlike 9691:14020's. Everything else here equals 9733:7000 to the digit: board 954x621 r16 #001615 + 1px #FFFFFF@0.10, disc Ellipse 201 446.0606 at (253.9696,85.9391) #123F3C, pin 26.46x63 at (464,60), history chips 61x30 r8.3077 border 1.0385 Manrope SemiBold 12, payout labels Manrope Bold 14 ls 0. TWO INTERNAL DIFFERENCES from 9733:7000 worth recording: the inner disc here is Ellipse 92 408.8889 = 0.916667 of the wheel where 9733:7000 and the mobile board both draw 0.895833, and this pair adds an Ellipse 203 ring at 408.8889 with a #000000@0.10 3.7172 stroke that neither of the others has. Filed frame-defect rather than partial because the divergence is frame-versus-frame, not code-versus-frame: no implementation can satisfy both ladders.	desktop=partial
Fortune Wheel Starting board three-tier twin [9691-14020]	frame-defect	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	MEASURED off node data 2026-09-01. Carries the same three-chip ladder as 9733:6371 (0.00x 1.20x 1.50x at 304.6667) against 9733:7000's five, and adds a second defect its twin does not have: its history strip 9733:5276 is a HIDDEN layer printing 1.99x 3.40x 1.53x 203.27x, values from another game's strip. 203.27x is unreachable on a wheel whose own top tier this frame states as 1.50x, and 1.53x/1.99x are not tiers of either ladder. FortuneWheelPro already refuses to transcribe them (see the FIGMA_UNBUILT block); this row is the node-data confirmation. Chrome measured and matching: 954x621 r16 #001615 + 1px #FFFFFF@0.10; disc 446.0606 at (253.9696,85.9391) #123F3C; readout ring Ellipse 202 185.8586 with a #FFFFFF@0.10 1.8586 stroke -- 185.8586/446.0606 = 0.416667 = 5/12 == READOUT_DIAMETER_RATIO, and the hairline 1.8586 is 0.01 of the readout; pin 26.46x63 at (464,60) == the fix landed this wave. Unlike 9733:7000 this frame's readout is a bare ELLIPSE with no label, where 9733:7000 draws Frame 1000004188 carrying 5.00x in Manrope Bold 15. Filed frame-defect for the same reason as 9733:6371: two ladders, one page.	desktop=partial
Fortune Wheel bet panel manual [9733-5405]	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	MEASURED off node data 2026-09-01. Panel 356x621 VERTICAL gap 16 pad 16 fill #122524 r16, content column 324 == FW_BET_PANEL.content 324. Five blocks and every y is the running sum: 16 (mode row 324x42 r12 #001615), 74 (bet block 324x90), 180 (324x66), 262 (324x66), 344 (CTA/button 324x52 r16 #56C7F3) -- 16+42+16 = 74, 74+90+16 = 180, 180+66+16 = 262, 262+66+16 = 344 EXACT, and the block ends at 396 in a 621 frame, i.e. 225 of trailing slack. THIS IS THE SHORTEST OF THE THREE DESKTOP PANEL STATES and the only one with no Advanced row at all: 9733:6654 adds a fourth 66 block plus the 21.3333 Advanced row and pushes the CTA to 463.3333; 9733:6835 adds the four disclosed rows and pushes it to 791.3334. So Fortune Wheel is drawn in THREE panel states, not the two Towers gets. The 42 row height and the 12 card radius equal FW_BET_PANEL.rowHeight and .radius; the CTA's 16 radius is the panel radius, not the card radius, which is the trap this app's scale sets (Figma rounded-xl 12 is our rounded-lg). BET BLOCK WALKED CHILD BY CHILD 2026-09-01, and it is NOT the shared game bet-panel model. 9733:5421 is 324x90 VERTICAL gap 8 holding Frame 464 324x66 (label 16 + gap 8 + card 42) and Frame 275 324x16 at y=74. Inside it 9733:5424 is 324x42 HORIZONTAL gap 8 with the amount card 9733:5426 at 160x42 r12 #001615 pad 12 and the chip group 9733:5438 at 156x42 starting x=168 -- 160 + 8 = 168 EXACT -- so THE 1/2 . 2X . MAX CHIPS SIT OUTSIDE THE CARD, not inside it, and they are full 42-tall cards rather than 18-tall chips. That is the unruled outside variant, so it is left alone. Frame 275 is SPACE_BETWEEN, which makes its reported itemSpacing 4 INERT; the balance group is 135.75 at x=0 and the fiat readout 37 at x=287. CTA 9733:5473 is 324x52 r16 #56C7F3 pad 20/40 gap 10 with ONE child, the Manrope Medium 16/22 label on #001615 -- no glyph. AGAINST THE SHARED PLAY_BET_BLOCK_CLASS MODEL measured on 8526:132082 and its four siblings, this panel differs on FIVE numbers: panel gap 16 not 32, bet block 90 not 98, its inner gap 8 not 16, CTA 52 not 64 and no CTA glyph, and there is no quick-action grid (Frame 659) at all -- this game puts a Manual/Auto row and a Difficulty select where that grid sits. Towers 10130:13736 is identical to this block on every one of those numbers, so the two zero-parity games form their own pair rather than following the five. Recorded so a later lane does not apply the shared class here and call it a fix. STILL PARTIAL: 225px of trailing slack means the frame states no vertical distribution, and the app's panel is a flex column in a route grid, so that is where a rendered comparison has to happen and this lane could not run one.	desktop=partial
Fortune Wheel bet panel advanced off [9733-6654]	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	MEASURED off node data 2026-09-01. Panel 356x621 gap 16 pad 16 #122524 r16, content 324. Seven blocks: mode row 42 at 16, bet 90 at 74, 66 at 180, 66 at 262, 66 at 344, Advanced row 324x21.3333 r12 at 426, CTA 324x52 at 463.3333 -- content ends 515.3333 in 621, 105.67 slack. THE ADVANCED ROW IS 21.3333 TALL IN EVERY FRAME THAT HAS ONE, on both games and both breakpoints, and 21.3333 is the input/toggle's own height, not a text row. Its OFF twin is 9733:6835 at 859.3333, so the Fortune Wheel disclosure grows the frame by 238 where Towers' grows by 156.33 -- the two games do NOT share the disclosure delta even though they share the row component. PARTIAL: field contents unmeasured this pass, and the auto-bet block behind the toggle is listed in FIGMA_UNBUILT for the same reason Towers' is.	desktop=partial
Fortune Wheel bet panel advanced on [9733-6835]	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	MEASURED off node data 2026-09-01. Panel 356x859.3333 gap 16 pad 16 #122524 r16, content 324. Eleven blocks, every gap 16: mode 42 at 16, bet 90 at 74, 66 at 180, 66 at 262, 66 at 344, Advanced 21.3333 at 426, then FOUR disclosed 66-blocks at 463.3333 / 545.3334 / 627.3334 / 709.3334, CTA 52 at 791.3334 -- content ends 843.3334 in 859.3333, 16 slack. The disclosed block is 4x66 + 4x16 = 328, the same 328 Towers discloses; the FRAME grows 859.3333-621 = 238.3333 because this state keeps only 16 of trailing slack against the collapsed frame's 105.67, and 105.67-16 = 89.67 = 328-238.33. Two numbers, two things -- the same trap Towers' panel header records, and it is worth restating because the Towers pair grows 156.33 for the identical 328 block. BLOCKED ON A RULING, not on build: the four rows are On Win / On Loss / Stop on Win / Stop on Loss, and a Fortune Wheel autobet has no policy problem the way Towers does, so this one is buildable IF the round count and the on-win/on-loss deltas reach a rail. Neither game-settlement nor points-game accepts them today, so the form would collect values nothing consumes.	desktop=partial
Fortune Wheel mobile bet panel [9736-11354]	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	MEASURED off node data 2026-09-01, and THE MOBILE PANEL REVERSES THE DESKTOP BLOCK ORDER. 347x523.3333 gap 16 pad 12 r12 #122524. The CTA is FIRST at y=12 and the Manual/Auto row is LAST at y=469.3333; on desktop 9733:6654 the mode row is first and the CTA last. Towers does the same thing on 10130:14946 and 10130:14802, so it is a mobile pattern across two games and four frames rather than one frame's accident. Blocks: CTA 323x52 at 12, bet 323x90 at 80, 323x66 at 186, 324x66 at 268, 324x66 at 350, Advanced 323x21.3333 at 432, mode row 323x42 at 469.3333 -- content ends 511.3333 in 523.3333, 12 slack, exactly the pad. TWO FRAME SLIPS: pad is 12 so the column is 347-24 = 323, but three blocks are 324 wide (9736:11400, 9736:11646, 9736:11455), a 1px overflow; and the panel radius drops to 12 from the desktop 16 while the CTA keeps 16, so on mobile the button corner is LARGER than the panel corner it sits in. PARTIAL: the app does not reorder the panel at 375 -- the block order is a real, measured divergence and reordering it is a layout change, not a token change.	mobile=partial
Fortune Wheel mobile bet panel advanced [9736-11469]	partial	modules/skai-gaming/src/components/play/games/instant/FortuneWheelPro.tsx	/play/fortune-wheel	MEASURED off node data 2026-09-01. 347x851.3333 gap 16 pad 12 r12, the disclosed twin of 9736:11354 and reversed the same way: CTA 323x52 FIRST at y=12, mode row 323x42 LAST at y=797.3334. Blocks between: bet 90 at 80, 66 at 186, 66 at 268, 66 at 350, Advanced 21.3333 at 432, four disclosed 66-blocks at 469.3333 / 551.3334 / 633.3334 / 715.3334. Content ends 839.3334 in 851.3333, 12 slack. The disclosed block is again 4x66 + 4x16 = 328 and the frame grows 851.3333-523.3333 = 328 EXACTLY here -- unlike the desktop pair, which grows 238.33, because this frame keeps the same 12px slack in both states. So the SAME disclosure produces three different frame deltas across this page and Towers (328, 238.33, 156.33), and only the 328 is the block. PARTIAL for the same two reasons as 9736:11354 plus the unbuilt autobet.	mobile=partial
Towers Medium board [10120-10815]	frame-defect	modules/skai-gaming/src/components/play/games/crash/tower/TowerBoard.tsx	/play/towers	RE-MEASURED off node data 2026-09-01 and RECLASSIFIED from wave 10's partial. Geometry confirmed unchanged: card 454x516.4249 @250,53 r7.5667, grid 10120:10817 423.7333x486.1583, 3 columns of 136.2 at gap 7.5667 -- 3x136.2 + 2x7.5667 = 423.7333 EXACT -- 9 tiles per column of 47.2917. TWO FRAME DEFECTS, and neither is a code gap. (1) THE NINE-FLOOR CONFLICT, SETTLED BY ITS OWN ARITHMETIC AND FILED AS A FRAME DEFECT. Re-counted this wave rather than inherited: every board card is a HORIZONTAL grid of columns and each column holds exactly 9 tiles of 47.2917 at gap 7.5667 -- 9x47.2917 + 8x7.5667 = 486.1583 EXACT, which is the grid frame's own height -- on 10120:10817, 10120:10861, 10120:13195, 10120:13229, 10120:13282, 10130:13629 and 10130:13861. Nine is not a number either rail has: TOWER_KEEPER_SHAPES and TOWER_POINTS_SHAPES cap at 10/10/10/8/6. OPTION A, make the frames right: cap all five tiers at 9 on BOTH rails. That is a money change, not a UI change, because every rung is 0.95x(N/S)^k. Nightmare (4 tiles, 1 safe) goes from 0.95x4^6 = 3891.2x to 0.95x4^9 = 249036.8x, i.e. 64 TIMES today's ceiling on the tier the cap exists for; extreme goes 6232.95x to 18698.85x; and the three safe tiers are CUT at the top -- easy 16.87x to 12.65x, medium 54.7817x to 36.5212x, hard 972.8x to 486.4x. Two edge-function deploys, every published payout changes, and a max-bet review on a tier that would pay a quarter of a million times the stake. OPTION B, built and recommended: the rails keep 10/10/10/8/6 and the card height follows the tier, so the app draws 351.85 at 6 floors to 571.289 at 10 against the frame's 516.4249. Zero money change, zero deploy, and it is what ships today. A UI lane cannot take option A, so this row is frame-defect rather than partial: the app is at parity on everything the frame states EXCEPT a row count no tier can produce. (2) THE CARD BORDER SPLITS 5-3 ACROSS THE SIBLINGS: this frame, 10120:10859 and 10120:13193 draw #233C3F at 3.7833, while 10120:13227, 10120:11748, 10120:13280, 10130:13627 and 10130:13859 draw #FFFFFF@0.10 at 2 -- which is what TOWER_BOARD.cardBorder and TOWER.border ship. Five frames against three, and the majority is the one the code already draws. #233C3F is also not the flattened form of the minority reading: white at 10 percent over the card's own #122524 composites to #2A3B3A, not #233C3F, so the two are different colours and not a render artifact.	desktop=partial
