# key	status	primaryFile	route	reason	bp
Live preview card - normal [13006-277275]	done	src/components/trade/LaunchLiveBoard.tsx	/trade/live	CLOSED. 320x280 (8:7), cornerRadius 16, padding 12, itemSpacing 16, ZERO visible texts, NO stroke - strokes read by name and the array is empty, so the absence is a measurement. One DROP_SHADOW, offset 0/10, radius 80, spread 0, #000000 at 0.25. Fills are a single IMAGE with no gradient over it, which is what separates this cut from its 622 twin. Node opacity 1 on the frame and on every child. Code drew a 1px hairline here that the frame does not have and is re-keyed to the desktop step; radius already read 16 at this width. The card is fluid to 351 inside a 12px gutter and paints no text at rest, both correct.	mobile=done
Live preview card - normal [13006-278954]	done	src/components/trade/LaunchLiveBoard.tsx	/trade/live	CLOSED. 530x298 (16:9), cornerRadius 16 - NOT 24, which is the value the code was shipping at this width after reading the Figma class name instead of the pixel. Padding 16, itemSpacing 16, ZERO visible texts, NO stroke (read by name, array empty), one DROP_SHADOW 0/10/80 spread 0 #000000 at 0.25, fills a single IMAGE with no gradient. Node opacity 1 throughout. Both misses fixed: the corner steps 16/16/24 across the three cuts and the hairline now belongs to the widest cut alone. Ceiling also re-keyed - the card had a 622 cap in the base group beside a 530 hung at the tablet step, so it painted 622 from a 622px viewport to 767 and dropped to 530 at 768.	tablet=done
Live preview card - normal [13006-150345]	partial	src/components/trade/LaunchLiveBoard.tsx	/trade/live	622x350 (16:9), cornerRadius 24, padding 16, itemSpacing 16, ZERO visible texts, stroke #123f3c at weight 1 align CENTER - the ONLY member of the family carrying one, and the code was drawing it at all three widths. Shadow 0/10/80 spread 0 #000000 at 0.25. Radius, stroke and the 622 ceiling all fixed. PARTIAL on one axis: fills here are IMAGE plus a GRADIENT_LINEAR, where both narrower normals carry the IMAGE alone. The code paints its scrim only under hover or focus, so at rest on a fine pointer this cut is missing a gradient the frame draws at rest. Read as a fills array by name on all three normals, so the difference is measured, not inferred.	desktop=partial
Live preview card - on:hover [13006-277256]	partial	src/components/trade/LaunchLiveBoard.tsx	/trade/live	320x280, radius 16, padding 12, itemSpacing 16, no stroke, shadow 0/10/80 at 0.25. Info block: avatar 76x76 at radius 8 on a #123f3c 1px inside stroke, 8 across to the text column, text column stacking at 8. Type all measured as pairs - LIVE label Mulish Regular 10/14, viewers Mulish Regular 10/14 #17f9b4, title and subtitle Manrope Regular 12/14 (#FFFFFF and #95a09f), description Manrope Regular 12/14 #95a09f, every string at -4% and every node opacity 1. Code shipped a 74 avatar, Manrope where the numeric strings are Mulish, and the desktop 14/18 from the tablet step up; all fixed. PARTIAL: the LIVE chip is a shared primitive outside this file (pill radius, padding 2/8/2/8, itemSpacing 2, #ff7e50 1px stroke, white Mulish 10/14) and was not verified against the shipped badge, and the 86x40 sparkline is deliberately not drawn - a stream has no time series in the rail, so the slot cannot be filled without inventing one.	mobile=partial
Live preview card - on:hover [13006-278938]	partial	src/components/trade/LaunchLiveBoard.tsx	/trade/live	530x298, radius 16, padding 16, itemSpacing 16, no stroke, shadow 0/10/80 at 0.25. Avatar 58x58 radius 8 - the SMALLEST of the three cuts, sitting between a 76 phone and a 68 desktop, so the ramp is not monotonic and a two-step base/tablet ramp cannot express it; the code was drawing 68 here. 16 across to the text column, column stacking at 8. Type: LIVE Mulish Regular 12/14, viewers Mulish Regular 10/14 #17f9b4, title Manrope Regular 12/16 #FFFFFF, subtitle 12/16 #95a09f, description 12/16 #95a09f, all at -4%, node opacity 1. The code carried 14/18 and 11px here - the desktop values, one board early. All fixed. PARTIAL for the same two residuals as the phone cut: the shared LIVE chip is unverified and the 144x50 sparkline is deliberately absent.	tablet=partial
Live preview card - on:hover [13006-150329]	partial	src/components/trade/LaunchLiveBoard.tsx	/trade/live	622x350, radius 24, padding 16, itemSpacing 16, stroke #123f3c weight 1 CENTER, shadow 0/10/80 at 0.25. Avatar 68x68 radius 8 on a #123f3c 1px inside stroke, 16 across, text column at 8. Type: LIVE Mulish Regular 11/14 white, viewers Mulish Regular 11/14 #17f9b4, title Manrope Regular 14/18 #FFFFFF, subtitle 14/18 #95a09f, description 14/18 #95a09f, all -4%, node opacity 1 everywhere. This cut is the one the code already matched, which is exactly how it went unnoticed that the same values were being painted two boards early. PARTIAL: the shared LIVE chip (pill, padding 2/8/2/8, gap 4, #ff7e50 1px, white Mulish 11/14) is a primitive outside this file and unverified, and the 144x50 sparkline is deliberately not drawn.	desktop=partial
Live preview card - on:hover ALT [13006-277239]	frame-defect	src/components/trade/LaunchLiveBoard.tsx	/trade/live	320x280, radius 16, padding 12, itemSpacing 16, no stroke, shadow 0/10/80 at 0.25 - geometry identical to its sibling at this width in every property read. The ALT differs ONLY in how the five strings are stacked: here the avatar column carries the RIGGED title pair beneath the 74x74 thumbnail and the text column leads with a 214x50 sparkline, where the sibling puts LIVE and the viewer count above the title pair and drops the sparkline to 86x40. Both are marked visible, neither supersedes the other, and the two orderings cannot both ship. Type and colour are identical across the pair (Mulish 10/14 for the numerics, Manrope 12/14 for the label strings, #FFFFFF and #95a09f, node opacity 1), so nothing here is a code delta - the frame set states two answers to one question.	mobile=frame-defect
Skai > Launch > Live 1VH (375 x 812px) [13006-277844]	partial	src/components/trade/LaunchLiveBoard.tsx	/trade/live	SPOTLIGHT AND RAILS MEASURED AND FIXED at this cut. Content column 346 at a 15px inset; the carousel bleeds to 366 at a 5px inset so the neighbours peek, and the active card fills the 346 column at 280 tall. Page title Manrope Light 20/24 against a shipped 24/28. Rail heading Manrope Regular 18/22 against 18/24 - the size was right and the leading was a step high, which is what happens when a size is stated without its leading. Rails 24 apart, heading to first card 12, cards 16 apart. Card column 160 wide with an 8 stack, tile 160x90 at radius 12 - the code drew 146 on a 12 stack. Carousel nav row 346 wide on an 8 gutter with 32x32 controls and 5x5 dots 4 apart; the code drew a 476 row on a 16 gutter with 36 controls. Flanking counts Mulish Regular 12/14 #95a09f, shipped as Manrope 12/16 - wrong family before the size mattered. WHAT KEEPS IT PARTIAL: the page container. The frame insets 15 a side, the code insets 12 under a 1268 ceiling that six sibling screens share, so the gutter is a cross-surface call rather than this screen's.	mobile=partial
Skai > Launch > Live (375 x 812px, 1370 tall) [13006-278391]	partial	src/components/trade/LaunchLiveBoard.tsx	/trade/live	The full-scroll twin of the 812-tall phone cut, and every content box sits at identical coordinates: tab row 346x68 at a 15px inset, carousel 366x322 at a 5px inset, main container 346x780 stacking at 16, bottom nav pushed to the foot of the scroll. Same measurements therefore apply and the same fixes land - title 20/24, rail heading 18/22, rails 24 apart, heading to first card 12, card column 160 with an 8 stack, tile 160x90 at radius 12, nav row 346 on an 8 gutter with 32 controls, flanking counts Mulish 12/14. One component, two cuts of the same page. PARTIAL on the same container gutter as its twin: 15 measured against 12 shipped, under a ceiling shared with six sibling screens.	mobile=partial
Skai > Launch > Live (768 x 1024px) [13006-277276]	partial	src/components/trade/LaunchLiveBoard.tsx	/trade/live	THE BOARD THAT WAS DRAWING DESKTOP NUMBERS. Content column 708 at a 30px inset, no carousel bleed here unlike the phone cut. Every value re-read at this width and every one differed from what shipped: page title Manrope Light 24/28 against 32/36; rail heading Manrope Regular 18/22 against 24/28; rails 24 apart against 40; heading to first card 16 against 20; card column 200 against 240 with a 12 stack; tile 200x112.5 at radius 12; cards 16 apart, correct already. Carousel nav row 350 on a 10 gutter with 32x32 controls against a 476 row on a 16 gutter with 36 controls. Flanking counts Mulish Regular 14/16 against Manrope 14/18. Spotlight card 530x298 at radius 16 - the code drew 24 here. All fixed by re-keying the desktop step to the breakpoint the 622 ceiling already used, so one hinge carries every desktop value. PARTIAL: container inset measures 30 a side against 24 shipped, and that gutter is shared with six sibling screens.	tablet=partial
