# Lane social-feed, wave 29. Partition src/components/social/feed/**.
#
# THREE COMMITS, each carrying its own oracle and each value proved red by a
# mutation applied ALONE from a pristine copy and restored by copying that copy
# back - never by a reverse string replace, because a token in the code also
# appears in the comment explaining it. That trap fired once this pass: the
# desktop-gutter mutation came back AMBIGUOUS because `xl:px-8` occurs in the
# block comment above the class it names.
#   43d2754fd  the upload card at its three drawn sizes (15 tests, 14 mutations,
#              all RED)
#   75ae86a07  the Discover page gutter (3 tests, 6 mutations, all RED)
#   e9cd8c767  the three 1440 dropdowns the width table was guessing at
#              (3 new fixtures + 3 tests, 5 mutations, proved with a NEGATIVE
#              CONTROL rather than a green - see below)
#
# Suite over src/components/social/feed at 16:05 on 2026-09-06: 19 files /
# 304 tests green, tsc clean. A green is a moment, not a state.
#
# THE NEGATIVE CONTROL, because a green that cannot go red is not evidence.
# Three cells of FEED_MENU_WIDTH had no frame behind them - the 250 shared by
# post select, posts and creators at 1440 was carried from a different pair of
# menus, with only a monotonicity bound under it, which any value above the
# tablet 220 satisfies. Each was mutated 250 -> 300 and the suite run TWICE:
# once against the new oracle and once against the oracle exactly as it stood
# at HEAD. RED here, GREEN there, on all three. Two rule-position mutations
# came back RED against BOTH, which is what says the control measures coverage
# rather than an old file that always passes.
#
# THE INSTRUMENT NOTE. `get_metadata` was not used for any value here. Every
# number came off the Plugin API, the only reader that enumerates a node's
# fills, its NODE opacity and its text segments separately. That distinction
# decided one of the upload card's fixes: the meta heading has a flat #FFFFFF
# fill AND a node opacity of 0.64, and either number alone is the wrong answer.
#
# WHAT THIS LANE FOUND THAT IS NOT A PIXEL. Four of the five feed dropdowns are
# exported from the barrel and imported by NOBODY - `buildPostSelectMenu`,
# `buildCreatorsMenu`, `buildTimeframeMenu` and `buildContentFilterMenu` have
# zero callers in `src/` outside `feed/index.ts`. Only `buildPostsMenu` is
# mounted, at PostCard's tridots panel (`PostCard.tsx:306`). So twelve of the
# fifteen dropdown frames measure clean on every axis and still are not `done`:
# a menu nothing opens is not shipped, and marking it done would put the
# catalog's dominant defect class behind a green row.
#
# key	status	primaryFile	route	reason	bp
dropdown-posts [9626-208767]	done	src/components/social/feed/feedMenus.ts	/social	MEASURED THIS PASS ON ALL THREE FRAMES OF THE TRIO AND MATCHING ON EVERY AXIS, AND IT IS THE ONE FEED DROPDOWN THAT IS ACTUALLY MOUNTED. FIGMA `9626:208767` (1440) 250 wide, `11530:303089` (768) 220, `11530:303116` (375) 200; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C; rows 30 / 28 / 28 tall carrying Manrope Regular #FFFFFF at 14/18, 12/16 and 12/14; the six items in order Follow creator, [rule], Add to favorites, Trade token BonkCoin, Report token BonkCoin, View on Skaiscan, with the `line` vector above Add to favorites on every board. CODE `buildPostsMenu` emits those five rows in that order with `separatorBefore` on Add to favorites, and the panel is `SocialMenu.tsx:269` - `rounded-[12px] border border-green-coal-100 bg-green-coal-200 p-2 gap-2`, which resolves to radius 12, #123F3C at 1px, #122524 and 8/8 (`design-tokens.ts:39-43`). Delta 0 on all of it. MOUNT `PostCard.tsx:306` builds it and `:445` passes `FEED_MENU_WIDTH.posts[menuBreakpoint]`, so the width table is read at the render rather than admired in a comment. THE 1440 CELL WAS NOT A MEASUREMENT UNTIL THIS PASS - see the negative control in this file's header. NOT ASSERTED: the row's own radius and padding. `SocialMenu` ships `rounded-[4px] px-2 py-1.5` and the 30/28/28 heights are consistent with 6 above and below, but the row frames' radius was not read this pass and is not claimed. This row is the 1440 draw.	desktop=done tablet=done mobile=done
dropdown-posts [11530-303089]	done	src/components/social/feed/feedMenus.ts	/social	MEASURED THIS PASS ON ALL THREE FRAMES OF THE TRIO AND MATCHING ON EVERY AXIS, AND IT IS THE ONE FEED DROPDOWN THAT IS ACTUALLY MOUNTED. FIGMA `9626:208767` (1440) 250 wide, `11530:303089` (768) 220, `11530:303116` (375) 200; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C; rows 30 / 28 / 28 tall carrying Manrope Regular #FFFFFF at 14/18, 12/16 and 12/14; the six items in order Follow creator, [rule], Add to favorites, Trade token BonkCoin, Report token BonkCoin, View on Skaiscan, with the `line` vector above Add to favorites on every board. CODE `buildPostsMenu` emits those five rows in that order with `separatorBefore` on Add to favorites, and the panel is `SocialMenu.tsx:269` - `rounded-[12px] border border-green-coal-100 bg-green-coal-200 p-2 gap-2`, which resolves to radius 12, #123F3C at 1px, #122524 and 8/8 (`design-tokens.ts:39-43`). Delta 0 on all of it. MOUNT `PostCard.tsx:306` builds it and `:445` passes `FEED_MENU_WIDTH.posts[menuBreakpoint]`, so the width table is read at the render rather than admired in a comment. THE 1440 CELL WAS NOT A MEASUREMENT UNTIL THIS PASS - see the negative control in this file's header. NOT ASSERTED: the row's own radius and padding. `SocialMenu` ships `rounded-[4px] px-2 py-1.5` and the 30/28/28 heights are consistent with 6 above and below, but the row frames' radius was not read this pass and is not claimed. This row is the 768 draw.	desktop=done tablet=done mobile=done
dropdown-posts [11530-303116]	done	src/components/social/feed/feedMenus.ts	/social	MEASURED THIS PASS ON ALL THREE FRAMES OF THE TRIO AND MATCHING ON EVERY AXIS, AND IT IS THE ONE FEED DROPDOWN THAT IS ACTUALLY MOUNTED. FIGMA `9626:208767` (1440) 250 wide, `11530:303089` (768) 220, `11530:303116` (375) 200; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C; rows 30 / 28 / 28 tall carrying Manrope Regular #FFFFFF at 14/18, 12/16 and 12/14; the six items in order Follow creator, [rule], Add to favorites, Trade token BonkCoin, Report token BonkCoin, View on Skaiscan, with the `line` vector above Add to favorites on every board. CODE `buildPostsMenu` emits those five rows in that order with `separatorBefore` on Add to favorites, and the panel is `SocialMenu.tsx:269` - `rounded-[12px] border border-green-coal-100 bg-green-coal-200 p-2 gap-2`, which resolves to radius 12, #123F3C at 1px, #122524 and 8/8 (`design-tokens.ts:39-43`). Delta 0 on all of it. MOUNT `PostCard.tsx:306` builds it and `:445` passes `FEED_MENU_WIDTH.posts[menuBreakpoint]`, so the width table is read at the render rather than admired in a comment. THE 1440 CELL WAS NOT A MEASUREMENT UNTIL THIS PASS - see the negative control in this file's header. NOT ASSERTED: the row's own radius and padding. `SocialMenu` ships `rounded-[4px] px-2 py-1.5` and the 30/28/28 heights are consistent with 6 above and below, but the row frames' radius was not read this pass and is not claimed. This row is the 375 draw.	desktop=done tablet=done mobile=done
dropdown-post select [10256-135335]	partial	src/components/social/feed/feedMenus.ts	-	MEASURED THIS PASS ON ALL THREE FRAMES AND MATCHING ON EVERY AXIS READ. FIGMA `10256:135335` (1440) 250 wide, rows 30, 14/18 / `11530:302842` (768) 220 wide, rows 28, 12/16 / `11530:302866` (375) 200 wide, rows 28, 12/14; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C, labels Manrope Regular #FFFFFF. Items in order: Copy address, Download file, [rule], Skaiscan, Basescan, DEXscreener; the `line` vector sits above Skaiscan on every board. CODE `buildPostSelectMenu` emits exactly those rows in that order, and `SocialMenu.tsx:269` resolves the panel to radius 12, `border-green-coal-100` = #123F3C at 1px, `bg-green-coal-200` = #122524 and `gap-2`/`p-2` = 8/8 (`design-tokens.ts:39-43`). Delta 0. The row heights follow `12 + max(16, leading)` at every width, which is why the two glyphless menus draw 26 at 375 where the iconed three draw 28, and why all five draw one 30 at 1440 - desktop leading 18 is taller than the 16px glyph, so the glyph stops deciding. NOT MOUNTED, WHICH IS WHY THIS IS NOT `done`. The builder is exported from `src/components/social/feed/index.ts` and imported by nothing: a grep of every .ts/.tsx under `src/` finds the barrel re-export and no other caller, so no surface in the running app can open this menu. The catalog's dominant defect class is code that exists and is never called, and a `done` row here would hide exactly that. It becomes `done` the day a caller renders `SocialMenu` with these items; nothing in `feedMenus.ts` has to change for that. This row is the 1440 draw.	desktop=unknown tablet=unknown mobile=unknown
dropdown-post select [11530-302842]	partial	src/components/social/feed/feedMenus.ts	-	MEASURED THIS PASS ON ALL THREE FRAMES AND MATCHING ON EVERY AXIS READ. FIGMA `10256:135335` (1440) 250 wide, rows 30, 14/18 / `11530:302842` (768) 220 wide, rows 28, 12/16 / `11530:302866` (375) 200 wide, rows 28, 12/14; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C, labels Manrope Regular #FFFFFF. Items in order: Copy address, Download file, [rule], Skaiscan, Basescan, DEXscreener; the `line` vector sits above Skaiscan on every board. CODE `buildPostSelectMenu` emits exactly those rows in that order, and `SocialMenu.tsx:269` resolves the panel to radius 12, `border-green-coal-100` = #123F3C at 1px, `bg-green-coal-200` = #122524 and `gap-2`/`p-2` = 8/8 (`design-tokens.ts:39-43`). Delta 0. The row heights follow `12 + max(16, leading)` at every width, which is why the two glyphless menus draw 26 at 375 where the iconed three draw 28, and why all five draw one 30 at 1440 - desktop leading 18 is taller than the 16px glyph, so the glyph stops deciding. NOT MOUNTED, WHICH IS WHY THIS IS NOT `done`. The builder is exported from `src/components/social/feed/index.ts` and imported by nothing: a grep of every .ts/.tsx under `src/` finds the barrel re-export and no other caller, so no surface in the running app can open this menu. The catalog's dominant defect class is code that exists and is never called, and a `done` row here would hide exactly that. It becomes `done` the day a caller renders `SocialMenu` with these items; nothing in `feedMenus.ts` has to change for that. This row is the 768 draw.	desktop=unknown tablet=unknown mobile=unknown
dropdown-post select [11530-302866]	partial	src/components/social/feed/feedMenus.ts	-	MEASURED THIS PASS ON ALL THREE FRAMES AND MATCHING ON EVERY AXIS READ. FIGMA `10256:135335` (1440) 250 wide, rows 30, 14/18 / `11530:302842` (768) 220 wide, rows 28, 12/16 / `11530:302866` (375) 200 wide, rows 28, 12/14; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C, labels Manrope Regular #FFFFFF. Items in order: Copy address, Download file, [rule], Skaiscan, Basescan, DEXscreener; the `line` vector sits above Skaiscan on every board. CODE `buildPostSelectMenu` emits exactly those rows in that order, and `SocialMenu.tsx:269` resolves the panel to radius 12, `border-green-coal-100` = #123F3C at 1px, `bg-green-coal-200` = #122524 and `gap-2`/`p-2` = 8/8 (`design-tokens.ts:39-43`). Delta 0. The row heights follow `12 + max(16, leading)` at every width, which is why the two glyphless menus draw 26 at 375 where the iconed three draw 28, and why all five draw one 30 at 1440 - desktop leading 18 is taller than the 16px glyph, so the glyph stops deciding. NOT MOUNTED, WHICH IS WHY THIS IS NOT `done`. The builder is exported from `src/components/social/feed/index.ts` and imported by nothing: a grep of every .ts/.tsx under `src/` finds the barrel re-export and no other caller, so no surface in the running app can open this menu. The catalog's dominant defect class is code that exists and is never called, and a `done` row here would hide exactly that. It becomes `done` the day a caller renders `SocialMenu` with these items; nothing in `feedMenus.ts` has to change for that. This row is the 375 draw.	desktop=unknown tablet=unknown mobile=unknown
dropdown-creators [9626-39285]	partial	src/components/social/feed/feedMenus.ts	-	MEASURED THIS PASS ON ALL THREE FRAMES AND MATCHING ON EVERY AXIS READ. FIGMA `9626:39285` (1440) 250 wide, rows 30, 14/18 / `11530:303043` (768) 220 wide, rows 28, 12/16 / `11530:303066` (375) 200 wide, rows 28, 12/14; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C, labels Manrope Regular #FFFFFF. Items in order: Remove from favorites, [rule], Block user @Riverivey999, Report user @Riverivey999, View on Skaiscan; the `line` vector sits above Block user on every board. CODE `buildCreatorsMenu` emits exactly those rows in that order, and `SocialMenu.tsx:269` resolves the panel to radius 12, `border-green-coal-100` = #123F3C at 1px, `bg-green-coal-200` = #122524 and `gap-2`/`p-2` = 8/8 (`design-tokens.ts:39-43`). Delta 0. The row heights follow `12 + max(16, leading)` at every width, which is why the two glyphless menus draw 26 at 375 where the iconed three draw 28, and why all five draw one 30 at 1440 - desktop leading 18 is taller than the 16px glyph, so the glyph stops deciding. NOT MOUNTED, WHICH IS WHY THIS IS NOT `done`. The builder is exported from `src/components/social/feed/index.ts` and imported by nothing: a grep of every .ts/.tsx under `src/` finds the barrel re-export and no other caller, so no surface in the running app can open this menu. The catalog's dominant defect class is code that exists and is never called, and a `done` row here would hide exactly that. It becomes `done` the day a caller renders `SocialMenu` with these items; nothing in `feedMenus.ts` has to change for that. This row is the 1440 draw.	desktop=unknown tablet=unknown mobile=unknown
dropdown-creators [11530-303043]	partial	src/components/social/feed/feedMenus.ts	-	MEASURED THIS PASS ON ALL THREE FRAMES AND MATCHING ON EVERY AXIS READ. FIGMA `9626:39285` (1440) 250 wide, rows 30, 14/18 / `11530:303043` (768) 220 wide, rows 28, 12/16 / `11530:303066` (375) 200 wide, rows 28, 12/14; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C, labels Manrope Regular #FFFFFF. Items in order: Remove from favorites, [rule], Block user @Riverivey999, Report user @Riverivey999, View on Skaiscan; the `line` vector sits above Block user on every board. CODE `buildCreatorsMenu` emits exactly those rows in that order, and `SocialMenu.tsx:269` resolves the panel to radius 12, `border-green-coal-100` = #123F3C at 1px, `bg-green-coal-200` = #122524 and `gap-2`/`p-2` = 8/8 (`design-tokens.ts:39-43`). Delta 0. The row heights follow `12 + max(16, leading)` at every width, which is why the two glyphless menus draw 26 at 375 where the iconed three draw 28, and why all five draw one 30 at 1440 - desktop leading 18 is taller than the 16px glyph, so the glyph stops deciding. NOT MOUNTED, WHICH IS WHY THIS IS NOT `done`. The builder is exported from `src/components/social/feed/index.ts` and imported by nothing: a grep of every .ts/.tsx under `src/` finds the barrel re-export and no other caller, so no surface in the running app can open this menu. The catalog's dominant defect class is code that exists and is never called, and a `done` row here would hide exactly that. It becomes `done` the day a caller renders `SocialMenu` with these items; nothing in `feedMenus.ts` has to change for that. This row is the 768 draw.	desktop=unknown tablet=unknown mobile=unknown
dropdown-creators [11530-303066]	partial	src/components/social/feed/feedMenus.ts	-	MEASURED THIS PASS ON ALL THREE FRAMES AND MATCHING ON EVERY AXIS READ. FIGMA `9626:39285` (1440) 250 wide, rows 30, 14/18 / `11530:303043` (768) 220 wide, rows 28, 12/16 / `11530:303066` (375) 200 wide, rows 28, 12/14; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C, labels Manrope Regular #FFFFFF. Items in order: Remove from favorites, [rule], Block user @Riverivey999, Report user @Riverivey999, View on Skaiscan; the `line` vector sits above Block user on every board. CODE `buildCreatorsMenu` emits exactly those rows in that order, and `SocialMenu.tsx:269` resolves the panel to radius 12, `border-green-coal-100` = #123F3C at 1px, `bg-green-coal-200` = #122524 and `gap-2`/`p-2` = 8/8 (`design-tokens.ts:39-43`). Delta 0. The row heights follow `12 + max(16, leading)` at every width, which is why the two glyphless menus draw 26 at 375 where the iconed three draw 28, and why all five draw one 30 at 1440 - desktop leading 18 is taller than the 16px glyph, so the glyph stops deciding. NOT MOUNTED, WHICH IS WHY THIS IS NOT `done`. The builder is exported from `src/components/social/feed/index.ts` and imported by nothing: a grep of every .ts/.tsx under `src/` finds the barrel re-export and no other caller, so no surface in the running app can open this menu. The catalog's dominant defect class is code that exists and is never called, and a `done` row here would hide exactly that. It becomes `done` the day a caller renders `SocialMenu` with these items; nothing in `feedMenus.ts` has to change for that. This row is the 375 draw.	desktop=unknown tablet=unknown mobile=unknown
dropdown-time [10302-184748]	partial	src/components/social/feed/feedMenus.ts	-	MEASURED THIS PASS ON ALL THREE FRAMES AND MATCHING ON EVERY AXIS READ. FIGMA `10302:184748` (1440) 140 wide, rows 30, 14/18 / `11530:302910` (768) 120 wide, rows 28, 12/16 / `11530:302923` (375) 120 wide, rows 26, 12/14; all three cornerRadius 12, padding 8 all round, itemSpacing 8, fill #122524, 1px INSIDE stroke #123F3C, labels Manrope Regular #FFFFFF. Items in order: 1 month, 24 hours, 4 hours, 1 hour, 30 mins, 5 mins; no rule and no glyph is drawn on any board, and the FILLED row is the SECOND one (24 hours), not the first. CODE `buildTimeframeMenu` emits exactly those rows in that order, and `SocialMenu.tsx:269` resolves the panel to radius 12, `border-green-coal-100` = #123F3C at 1px, `bg-green-coal-200` = #122524 and `gap-2`/`p-2` = 8/8 (`design-tokens.ts:39-43`). Delta 0. The row heights follow `12 + max(16, leading)` at every width, which is why the two glyphless menus draw 26 at 375 where the iconed three draw 28, and why all five draw one 30 at 1440 - desktop leading 18 is taller than the 16px glyph, so the glyph stops deciding. NOT MOUNTED, WHICH IS WHY THIS IS NOT `done`. The builder is exported from `src/components/social/feed/index.ts` and imported by nothing: a grep of every .ts/.tsx under `src/` finds the barrel re-export and no other caller, so no surface in the running app can open this menu. The catalog's dominant defect class is code that exists and is never called, and a `done` row here would hide exactly that. It becomes `done` the day a caller renders `SocialMenu` with these items; nothing in `feedMenus.ts` has to change for that. This row is the 1440 draw.	desktop=unknown tablet=unknown mobile=unknown
