# key	status	primaryFile	route	reason	bp
# Lane governance-explorer, wave 39, 2026-09-09. Owns src/pages/explorer/**, src/pages/defi/**, src/components/learn/**.
# Page "Governance and Utilities" (3sSzw1KewMtUbeLAv7uW0r, page 5210:118077) entered scope today; 428 of these 569
# frames had never been triaged. This file is a FIRST PASS over the whole assignment plus a measured build of the
# explorer dashboard cluster. Every row states which of the two it is. Sizes are read from live/ (harvest of 2026-09-09).
#
# NO BROWSER WAS USED. Column 6 is present only on rows this lane measured against the frame from source; a verdict
# there is a SOURCE verdict, never a render verdict. Rows marked FIRST PASS carry no column 6, so they read unknown at
# every width, which is the truth.
#
# Frames whose implementing file belongs to another lane (governance-account: src/components/governance, src/components/
# account, src/pages/account, src/components/notifications; and everything under src/pages/vault, src/pages/sports,
# src/pages/social, src/pages/rewards, src/pages/Airdrop.tsx, src/pages/GaugeVoting.tsx, src/pages/YieldVault*.tsx,
# src/pages/learn/index.tsx, src/components/home-redesign) are rowed with their carried status and NOT edited.
Account > Account settings > Security > 2FA > SMS [11301-127843]	not-started	src/services/security/twoFactorService.ts	/account?tab=security (would be the dialog's second tab)	TOTP-only service; no SMS rail exists (1440x900). Lane governance-account's file.
Airdrop - not eligible 1VH [5481-50934]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (1440x900, 1440 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop 1VH [5480-32393]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (1440x900, 1440 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop [5481-49179]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (1440x1968, 1440 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop 1VH [11664-305643]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop 1VH [11705-320608]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop - not eligible [11667-311059]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (768x1120, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop - not eligible [11667-311323]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (375x1110, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop [11667-309312]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (768x1716, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Airdrop [11667-309576]	partial	src/pages/Airdrop.tsx	/airdrop (App.tsx:1120)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/Airdrop.tsx renders this surface (375x1700, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Earn 1VH [5220-10996]	partial	src/pages/defi/Earn.tsx	/earn	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (1440x900, 1440 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn [5243-69438]	partial	src/pages/defi/Earn.tsx	/earn	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (1440x1237, 1440 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - with pagination [10517-38187]	partial	src/pages/defi/Earn.tsx	/earn	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (1440x1237, 1440 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - Liquidity only [5243-73398]	blocked-on-backend	src/pages/earn/	/earn	Carried from the section file: built or buildable but no source exists. NOT this lane's file (measure and row only). FIRST PASS, NOT OPENED THIS WAVE.
Earn - Liquidity only - liquidity added [10838-362076]	blocked-on-backend	src/pages/earn/	/earn	Carried from the section file: built or buildable but no source exists. NOT this lane's file (measure and row only). FIRST PASS, NOT OPENED THIS WAVE.
Earn 1VH [11972-149758]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - Liquidity only 1VH [11973-153636]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - Liquidity only - liquidity added 1VH [11973-154184]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn [11972-150945]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1062, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - with pagination [11972-151493]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1084, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn [12003-382685]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x1093, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn 1VH [12136-432663]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - Liquidity only 1VH [12003-384627]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - Liquidity only - liquidity added 1VH [12003-385486]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn - with pagination [12003-383100]	partial	src/pages/defi/Earn.tsx	/earn (App.tsx:1209)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x1116, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
