Trench sentiment card - Frame 11 on the Trade 2 nav-bar screen [13006-350159]	partial	src/components/trench-redesign/trade/ChartSentimentBar.tsx	/crypto/:symbol	RE-MEASURED ON THREE TIERS, two independent boards per width, so the ramp rests on six nodes not one: 375 Frame 11 13006:350159 (bearish) and 13006:291163 (bullish) 343x94 pad 12 all round r 12; 768 Frame 1231 13006:265833 and 13006:267238 584x52 pad 6/12 r 12; 1440 Frame 10 13006:210663 and 13006:233445 1047x58 pad 8/16 r 16. Fill #001615 at all three, over a 1px ring TINTED BY THE READING - bearish rgba(251,51,36,0.34), bullish rgba(23,249,180,0.24) - and the inner Frame 1 runs VERTICAL gap 16 at 375, HORIZONTAL gap 32 at 768 and 1440. Pill Frame 236/237: r 6, FILLED with the tint, ZERO stroke paints, pad 2/14 at 375 and 4/14 above, label Mulish Regular ls -4% 10/14 at 375, 12/14 at 768, 11/14 at 1440, bearish #FF574A and bullish #17F9B4. LIVE labels/tag 13006:350180 / 13006:265853: r 9999, NO fill, 1px #FF7E50 ring, pad 2/8, inner gap 2 at 375 and 4 above, a 3.75px ELLIPSE named dot in the same #FF7E50 inside a 10x10 box, label Mulish Regular #FFFFFF 10/14 at 375 and 12/14 at 768. Ash labels Manrope Regular 12 ls -4% #95A09F on a leading of 14 at 375 and 16 at 768 and 1440. FIXED THIS WAVE, all of it resolved at 375/639/641/767/769/1023/1025/1440 rather than asserted as class membership: the card is now the closed box (fill, ring, pad 12 / 6-12 / 8-16, radius 12/12/16) where it shipped as a transparent px-3 py-2 strip closed by a bottom rule; the two ash labels and the pair label carry the 14-to-16 leading ramp where all three shipped skai-para-3, a flat Manrope 12/16, and the pair label shipped white; the pill is a filled r-6 chip on the measured tints where it shipped a 9999 ring with a #2DEDAD bullish hue that is on no board; LIVE carries the coral ring, coral 3.75px dot and white label where it shipped a 6px amber #FFBD16 dot beside amber text and no ring. STILL PARTIAL for one reason: the frame Frame 6 is a TWO-line group 129x36 - AI Audit plus a 16-reports tag over a warning glyph and Marked as very risky - and no AI-audit source exists, so the code builds the label and an explicit unavailable chip on ONE line 14 tall. The card cannot reach the board 94 until that verdict line has something true to say.	mobile=partial
Skai > Trade > Trench > Chart - Market 1VH (768x1024px) [13006-272489]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:272592: 708x466 at x=0 y=40, pad 12/12/12/12, gap 8, radius 0/0/12/12, fill #122524, strokes ONE paint #123F3C with per-side weights read BY NAME - strokeTopWeight 1, right 0, bottom 0, left 0, so the card carries a TOP HAIRLINE ONLY at this width. Internal stack Nav of chart 684x27, Row 2 684x372, Nav of chart 684x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. THE TWO REAL BOX MISSES, both owned by src/components/trade/native-chart/CandleChart.tsx and therefore OUTSIDE this lane: the top corners are 12 in code against 0 on the board, and the #123F3C top hairline is absent (the file comment at :1304 states the card carries no border on any board, which holds at 1440 where strokes is an EMPTY array on all sixteen cuts, but not here). The four toolbar controls Display options / Hide all bubbles / USD-SOL / Mkt. cap-Price are also CandleChart’s. FIXED THIS WAVE from inside this lane: the desktop rung of CHART_SHELL_H, which was lg:h-[420px] against the 544 that 13006:210684, 13006:227963 and 13006:233466 all draw; the 768 rung md:h-[466px] is unchanged and matches this frame exactly.	tablet=partial
Skai > Trade > Trench > Chart - Limit 1VH (768x1024px) [13006-273876]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:273979: 708x412 at x=0 y=40, pad 12/12/12/12, gap 8, radius 0/0/12/12, fill #122524, strokes ONE paint #123F3C with per-side weights read BY NAME - strokeTopWeight 1, right 0, bottom 0, left 0, so the card carries a TOP HAIRLINE ONLY at this width. Internal stack Nav of chart 684x27, Row 2 684x318, Nav of chart 684x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. THE TWO REAL BOX MISSES, both owned by src/components/trade/native-chart/CandleChart.tsx and therefore OUTSIDE this lane: the top corners are 12 in code against 0 on the board, and the #123F3C top hairline is absent (the file comment at :1304 states the card carries no border on any board, which holds at 1440 where strokes is an EMPTY array on all sixteen cuts, but not here). The four toolbar controls Display options / Hide all bubbles / USD-SOL / Mkt. cap-Price are also CandleChart’s. FIXED THIS WAVE from inside this lane: the desktop rung of CHART_SHELL_H, which was lg:h-[420px] against the 544 that 13006:210684, 13006:227963 and 13006:233466 all draw; the 768 rung md:h-[466px] is unchanged and matches this frame only for the Market cut - this one is 412.	tablet=partial
Skai > Trade > Trench > Chart - Instant - buy 1VH (768x1024px) [13006-267296]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:267399: 708x490 at x=0 y=40, pad 12/12/12/12, gap 8, radius 0/0/12/12, fill #122524, strokes ONE paint #123F3C with per-side weights read BY NAME - strokeTopWeight 1, right 0, bottom 0, left 0, so the card carries a TOP HAIRLINE ONLY at this width. Internal stack Nav of chart 684x27, Row 2 684x396, Nav of chart 684x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. THE TWO REAL BOX MISSES, both owned by src/components/trade/native-chart/CandleChart.tsx and therefore OUTSIDE this lane: the top corners are 12 in code against 0 on the board, and the #123F3C top hairline is absent (the file comment at :1304 states the card carries no border on any board, which holds at 1440 where strokes is an EMPTY array on all sixteen cuts, but not here). The four toolbar controls Display options / Hide all bubbles / USD-SOL / Mkt. cap-Price are also CandleChart’s. FIXED THIS WAVE from inside this lane: the desktop rung of CHART_SHELL_H, which was lg:h-[420px] against the 544 that 13006:210684, 13006:227963 and 13006:233466 all draw; the 768 rung md:h-[466px] is unchanged and matches this frame only for the Market cut - this one is 490.	tablet=partial
Skai > Trade > Trench > Chart - Instant - sell 1VH (768x1024px) [13006-275283]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:275386: 708x490 at x=0 y=40, pad 12/12/12/12, gap 8, radius 0/0/12/12, fill #122524, strokes ONE paint #123F3C with per-side weights read BY NAME - strokeTopWeight 1, right 0, bottom 0, left 0, so the card carries a TOP HAIRLINE ONLY at this width. Internal stack Nav of chart 684x27, Row 2 684x396, Nav of chart 684x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. THE TWO REAL BOX MISSES, both owned by src/components/trade/native-chart/CandleChart.tsx and therefore OUTSIDE this lane: the top corners are 12 in code against 0 on the board, and the #123F3C top hairline is absent (the file comment at :1304 states the card carries no border on any board, which holds at 1440 where strokes is an EMPTY array on all sixteen cuts, but not here). The four toolbar controls Display options / Hide all bubbles / USD-SOL / Mkt. cap-Price are also CandleChart’s. FIXED THIS WAVE from inside this lane: the desktop rung of CHART_SHELL_H, which was lg:h-[420px] against the 544 that 13006:210684, 13006:227963 and 13006:233466 all draw; the 768 rung md:h-[466px] is unchanged and matches this frame only for the Market cut - this one is 490.	tablet=partial
Skai > Trade > Trench > Chart - Instant > AI Bullish 1VH (768x1024px) [13006-265891]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:265994: 708x490 at x=0 y=40, pad 12/12/12/12, gap 8, radius 0/0/12/12, fill #122524, strokes ONE paint #123F3C with per-side weights read BY NAME - strokeTopWeight 1, right 0, bottom 0, left 0, so the card carries a TOP HAIRLINE ONLY at this width. Internal stack Nav of chart 684x27, Row 2 684x396, Nav of chart 684x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. THE TWO REAL BOX MISSES, both owned by src/components/trade/native-chart/CandleChart.tsx and therefore OUTSIDE this lane: the top corners are 12 in code against 0 on the board, and the #123F3C top hairline is absent (the file comment at :1304 states the card carries no border on any board, which holds at 1440 where strokes is an EMPTY array on all sixteen cuts, but not here). The four toolbar controls Display options / Hide all bubbles / USD-SOL / Mkt. cap-Price are also CandleChart’s. FIXED THIS WAVE from inside this lane: the desktop rung of CHART_SHELL_H, which was lg:h-[420px] against the 544 that 13006:210684, 13006:227963 and 13006:233466 all draw; the 768 rung md:h-[466px] is unchanged and matches this frame only for the Market cut - this one is 490.	tablet=partial
Skai > Trade > Trench > Chart - Instant > AI Bearish 1VH (768x1024px) [13006-264486]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:264589: 708x490 at x=0 y=40, pad 12/12/12/12, gap 8, radius 0/0/12/12, fill #122524, strokes ONE paint #123F3C with per-side weights read BY NAME - strokeTopWeight 1, right 0, bottom 0, left 0, so the card carries a TOP HAIRLINE ONLY at this width. Internal stack Nav of chart 684x27, Row 2 684x396, Nav of chart 684x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. THE TWO REAL BOX MISSES, both owned by src/components/trade/native-chart/CandleChart.tsx and therefore OUTSIDE this lane: the top corners are 12 in code against 0 on the board, and the #123F3C top hairline is absent (the file comment at :1304 states the card carries no border on any board, which holds at 1440 where strokes is an EMPTY array on all sixteen cuts, but not here). The four toolbar controls Display options / Hide all bubbles / USD-SOL / Mkt. cap-Price are also CandleChart’s. FIXED THIS WAVE from inside this lane: the desktop rung of CHART_SHELL_H, which was lg:h-[420px] against the 544 that 13006:210684, 13006:227963 and 13006:233466 all draw; the 768 rung md:h-[466px] is unchanged and matches this frame only for the Market cut - this one is 490.	tablet=partial
Skai > Trade > Trench > Chart - Instant trade settings 1VH (768x1024px) [13006-263046]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:263149: 708x490 at x=0 y=40, pad 12/12/12/12, gap 8, radius 0/0/12/12, fill #122524, strokes ONE paint #123F3C with per-side weights read BY NAME - strokeTopWeight 1, right 0, bottom 0, left 0, so the card carries a TOP HAIRLINE ONLY at this width. Internal stack Nav of chart 684x27, Row 2 684x396, Nav of chart 684x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. THE TWO REAL BOX MISSES, both owned by src/components/trade/native-chart/CandleChart.tsx and therefore OUTSIDE this lane: the top corners are 12 in code against 0 on the board, and the #123F3C top hairline is absent (the file comment at :1304 states the card carries no border on any board, which holds at 1440 where strokes is an EMPTY array on all sixteen cuts, but not here). The four toolbar controls Display options / Hide all bubbles / USD-SOL / Mkt. cap-Price are also CandleChart’s. FIXED THIS WAVE from inside this lane: the desktop rung of CHART_SHELL_H, which was lg:h-[420px] against the 544 that 13006:210684, 13006:227963 and 13006:233466 all draw; the 768 rung md:h-[466px] is unchanged and matches this frame only for the Market cut - this one is 490.	tablet=partial
Skai > Trade > Trench > Chart - Market 1VH (375 x 812px) [13006-292285]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:292521: 375x316 at x=0 y=36 - FULL BLEED, no side inset - pad 12/16/12/16, gap 8, radius 0/0/0/0, fill #122524, one stroke paint #123F3C with strokeTopWeight 1 and right/bottom/left 0, so again a TOP HAIRLINE ONLY. Internal stack Nav of chart 343x27, Row 2 343x222, Nav of chart 343x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. REAL MISSES, both CandleChart’s and outside this lane: rounded-[12px] against the board’s square 0 on all four corners at this width, and the missing #123F3C top hairline. The 375 rung h-[316px] matches the Market cut.	mobile=partial
Skai > Trade > Trench > Chart - Limit 1VH (375 x 812px) [13006-293274]	partial	src/components/trench-redesign/trade/TradeChart.tsx	/crypto/:symbol	RE-MEASURED at the card node 13006:293538: 375x252 at x=0 y=36 - FULL BLEED, no side inset - pad 12/16/12/16, gap 8, radius 0/0/0/0, fill #122524, one stroke paint #123F3C with strokeTopWeight 1 and right/bottom/left 0, so again a TOP HAIRLINE ONLY. Internal stack Nav of chart 343x27, Row 2 343x158, Nav of chart 343x27. STALE CLAIM CORRECTED: earlier rows on this frame read "card chrome unbuilt - TradeChart renders a bare border-b div plus a sized inner div, no fill, no radius, no padding, no stroke". That is false. The card is CandleChart inline (CandleChart.tsx:1314) and it already paints bg-green-coal-200, which design-tokens.ts:41 defines as #122524, with px-4 py-3 md:px-3 (16/12 at 375, 12 at 768, matching the boards exactly), gap-2 = 8, rounded-[12px] lg:rounded-[16px]. Four of the six card properties were already right. REAL MISSES, both CandleChart’s and outside this lane: rounded-[12px] against the board’s square 0 on all four corners at this width, and the missing #123F3C top hairline. The 375 rung h-[316px] matches the Market cut but not this one, which is 252.	mobile=partial
