9061-10499	partial	-	DESKTOP START 1440x3294 (the title says 900px; it is a full scrolling page). Built and routed at /play/hilo - HiLoPage mounts the same HiLoGame the casino grid opens, at variant=fullscreen, with HiLoPageSections rendering the column beneath. PARTIAL, and it can be nothing else: the frame draws a CARD game and the rail deals a 0-9999 roll, so the board itself - 3-of-hearts over a deck, King/Ace ghost rails, Skip Card, split Profit Higher / Profit Lower fields, drawn-cards strip - has no rail behind it and was deliberately not skinned over the number game. See status.hilo.tsv for the decision this needs from Casey. ★ CORRECTING THE EARLIER VERDICT ON THIS FRAME: the recorded claim that Start is "INVERTED and would be house-negative if built as drawn" is WRONG, and I checked the arithmetic rather than repeating it. Start's MULTIPLIERS are exactly right for the card it draws, at exactly the 1% edge the live rail runs: face-up 3, Higher-or-Same = 11/13 = 84.62% -> 0.99/0.8462 = 1.17x (frame prints 1.17x), Lower-or-Same = 3/13 = 23.08% -> 0.99/0.2308 = 4.29x (frame prints 4.29x). What is wrong is the two PERCENTAGE labels, 30.77% and 76.92%: those are 4/13 and 10/13, the values for a face-up 10, left over from the Loss variant (9061-9472), which does draw a 10 and is fully self-consistent. So this is a stale-label copy-paste on two text nodes, not an inverted paytable and not a house-negative price. Nothing on the page reproduces either number - the widget computes its own from live config - so no player ever saw them.
9061-9472	partial	-	DESKTOP LOSS 1440x3294. Same route, same widget, same card-vs-roll gap as 9061-10499. ★ THIS FRAME IS THE ARITHMETICALLY CLEAN ONE and it independently confirms the design's intended house edge. Read off its own metadata: face-up card 10 of spades (top of the stack, node 9061:9650), Higher or Same 30.77% = 4/13, Lower or Same 76.92% = 10/13, Profit Higher (3.22x) = 0.99/0.3077, Profit Lower (1.29x) = 0.99/0.7692. Every number closes at a 1.00% edge - the SAME edge the live POINTS rail runs (points-game index.ts:5474 multiplier = 99/wc) and the same the client asserts (HiLoGame.tsx HILO_RAIL_EDGE = 0.01). The card design is therefore fully costed and does not need an economics negotiation; only a rail that deals cards. Drawn-cards strip carries 3 (Start Card), then 10, 9, 4, 7, K, A, 2, 5.
9058-4372	partial	-	TABLET 768x1627 - MIS-TITLED, RE-FILED INTO Hi-Lo. Its layer name AND its own rendered breadcrumb both read "Skai > Play > Casino > Scratchers", and it is Hi-Lo: 3-of-hearts over a deck, "King Being The Highest" / "Ace Being The Lowest" ghost cards, Profit Higher (1.17x) / Profit Lower (4.29x), drawn-cards strip with a Start Card chip, and a bet panel whose CTA stack is Bet then "Lower Or Same" then the two odds rows. Verified by rendering the frame, not by trusting the title. Served by the same responsive /play/hilo page rather than a second implementation. Carries the same stale 30.77% / 76.92% labels as the Start frame against a 3 (see 9061-10499). Its game-details card is another leftover - titled "Scratchers" with PLINKO cover art over Hi-Lo body copy.
9351-4708	partial	-	MOBILE 375x1605 - MIS-TITLED "Blackjack (375 x 812px)" and it is neither Blackjack nor 812 tall. Rendered: breadcrumb "Hi-Lo", 3-of-hearts, K/A rails, the 53.58% pair, Profit Higher/Lower, Bet, Manual/Auto, Provably fair, a game-info card correctly reading "Hi-Lo  Skai Originals" with CARDS + CASINO tags, and Community wins. A genuine SKAI Hi-Lo mobile page under a copy-pasted title. Served by /play/hilo responsively. ★ This is also the frame whose real defect was found and FIXED in a browser this cycle by the prior wave: below 1024px the desktop column painted on top of the mobile block, giving a phone player two boards and two live BET LO / BET HI pairs. Fixed at HiLoGame.tsx (hidden col-span-6 lg:flex) and re-measured at 390px.
9332-27320	partial	-	MOBILE BOARD 347x410, the board-only component of the 375 page. ★ THE WORST OF THE FRAME NUMBER DEFECTS and reported rather than built: it prints ONE probability, 53.58%, against BOTH arrows at once - the mint up-chevron and the red down-chevron each read "53.58% Lower or Same" - while still carrying the 1.17x / 4.29x profit pair, which belongs to an 84.62/23.08 split. Two opposite outcomes cannot share a probability, and 53.58% is not a k/13 value at all. None of it is reproduced: the page renders no odds or profit figures and the widget computes its own from live config.
9351-3397	match	-	HI-LO COVER ART 1080x1350 - a real SKAI asset, and the one Hi-Lo frame that is unambiguously shipped. 6-of-hearts over 10-of-spades with the HIGHER (mint up) / LOWER (red down) arrow pair on Green Coal. Present in the app as modules/skai-gaming/src/assets/games/figma/hilo.webp, wired in playGameArt.ts (hilo: art figmaHilo, accent #19A16B), and it is the tile the casino grid, the "More games from Skai" carousel and the game-info card all draw. Confirmed against the desktop frame 9061-10499, whose own game-details thumbnail is this artwork.
9058-6701	partial	-	NEITHER GAME - the SHARED stats/fairness sub-bar, 698x54, that every casino detail page draws: help, Practice mode off toggle, refresh, favourite, sound, fullscreen, the Skai mark, Provably fair. Re-filed out of the Hi-Lo family. It IS built on /play/hilo (HiLoPageSections renders the strip, with the verifier fed from the widget's roundProof - the four fields the settlement response returns together - never the legacy secure-session store, whose hash/clientSeed/bet-count belong to no real round). PARTIAL not match: the Practice-mode toggle it draws is deliberately absent app-wide (no Skai title has a practice/fun/demo mode), and the strip was not pixel-measured this pass.
9058-1833	deferred	-	NOT HI-LO - RE-FILED TO Casino > Scratchers. 708x461: a 3x3 match-3 symbol grid (money bag, star, slot machine, gem, clover, trophy) under a "Match 3 to Win!" header with a six-symbol paytable, every symbol at 1.98x. Rendered and read, not inferred from the title. Deferred here because its parity belongs to the Scratchers surface (status.skratch.tsv is `done`), not to the Hi-Lo worklist; it was being counted as an unbuilt Hi-Lo screen.
9058-7261	deferred	-	NOT HI-LO - RE-FILED TO Casino > Scratchers. The paytable row of 9058-1833: six symbol chips at 1.98x with the star chip selected. Same re-filing as its parent.
9058-2367	deferred	-	NOT HI-LO - RE-FILED TO Casino > Scratchers. 516x781, named "Card out" but it draws no card: a bare Manual/Auto bet panel - Bet amount 0.01 SKAI, 1/2 | 2X | Max, Balance 100.11 SKAI, $21.00, a full-width Bet CTA - with NO higher/lower control, no odds rows, no profit fields. It cannot be a Hi-Lo state; it is the shared instant-game panel the Scratchers frames use.
9058-5154	deferred	-	NOT HI-LO, and the one frame on this page whose title was already right: 768x1607 "Skai > Play > Casino > Scratchers" drawing Scratchers - match-3 board, Manual/Auto, Bet/Target. Re-filed to Casino > Scratchers.
