Token image - with input	partial	src/components/launchpad/create/TokenImageUploader.tsx	13006:148299	component: token-image upload + ticker/name inputs on the Launch create-token step; uploader exists, v2 composition unverified [13006:148687; Trade > Launch; desktop 1440; 680x1151]
Live preview card - on:hover	not-started	-	13006:149613	component: Launch Live-feed media card, hover state (gradient scrim + overlay controls over an image fill) [13006:150329; Trade > Launch; desktop 1440; 622x350]
Live preview card - normal	not-started	-	13006:149613	component: Launch Live-feed media card, resting state. NOT a placeholder despite 0 children - artwork is an IMAGE fill [13006:150345; Trade > Launch; desktop 1440; 622x350]
Right menu - Afjust filters	not-started	-	13006:150346,13006:154151	component: Launch list filter drawer (Market cap + 24h volume range sliders, Save settings). Layer name misspells the artwork, which reads "Adjust filters". Trench FiltersPanel.tsx is a different surface [13006:155570; Trade > Launch; desktop 1440; 442x884]
Notes	not-started	-	-	furniture: FigJam-style sticky, empty widgetSyncedState. NOT work [13006:155623; Trade > Launch; desktop 1440; 342x325]
Notes	not-started	-	-	furniture: FigJam-style sticky, empty widgetSyncedState. NOT work [13006:155647; Trade > Launch; desktop 1440; 342x249]
Right menu - layout with text size ALT	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:308399	component: Trench display-settings drawer, Layout tab with text-size control (alt) [13006:158618; Trade > Trench; mobile 375; 359x968]
Right menu - layout	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:308399	component: Trench display-settings drawer, Layout tab [13006:158772; Trade > Trench; mobile 375; 359x884]
Right menu - metrics	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:308399	component: Trench display-settings drawer, Metrics tab [13006:158914; Trade > Trench; mobile 375; 359x884]
Right menu - row	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:308399	component: Trench display-settings drawer, Row tab [13006:159069; Trade > Trench; mobile 375; 359x884]
Right menu - extras	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:308399	component: Trench display-settings drawer, Extras tab [13006:159189; Trade > Trench; mobile 375; 359x1270]
Frame 1358	partial	src/components/trench-redesign/discover/TokenTable.tsx	13006:317563	component: full-width crop of the Discover > Trending table for the adjacent screen - defines the mobile 375 column set. Duplicate of screen content, NOT separate work [13006:169068; Trade > Trench; mobile 375; 1061x664]
Frame 1360	partial	src/components/trench-redesign/discover/TokenTable.tsx	13006:316862	component: full-width crop of the Discover > Top table for the adjacent screen - defines the mobile 375 column set. Duplicate of screen content, NOT separate work [13006:169857; Trade > Trench; mobile 375; 1061x664]
Frame 1367	partial	src/components/trench-redesign/discover/TokenTable.tsx	13006:340306	component: full-width crop of the Discover > Top table for the adjacent screen - defines the tablet 768 column set. Duplicate of screen content, NOT separate work [13006:170646; Trade > Trench; tablet 768; 1053x666]
Frame 1371	partial	src/components/trench-redesign/discover/TokenTable.tsx	13006:341272	component: full-width crop of the Discover > Trending table for the adjacent screen - defines the tablet 768 column set. Duplicate of screen content, NOT separate work [13006:171435; Trade > Trench; tablet 768; 1053x666]
Frame 1368	partial	src/components/trench-redesign/discover/TokenTable.tsx	13006:342238	component: full-width crop of the Discover > DEX Scanner table for the adjacent screen - defines the tablet 768 column set. Duplicate of screen content, NOT separate work [13006:172224; Trade > Trench; tablet 768; 1053x666]
Frame 1359	partial	src/components/trench-redesign/discover/TokenTable.tsx	13006:318264	component: full-width crop of the Discover > DEX Scanner table for the adjacent screen - defines the mobile 375 column set. Duplicate of screen content, NOT separate work [13006:172747; Trade > Trench; mobile 375; 1061x664]
Right menu - General	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:180340	component: Trench tracker settings drawer, General tab [13006:181094; Trade > Trench; desktop 1440; 442x884]
Right menu - Toasts - display	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:180340	component: Trench tracker settings drawer, Toasts/display tab [13006:181191; Trade > Trench; desktop 1440; 442x884]
Right menu - Toasts - display	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:180340	component: Trench tracker settings drawer, Toasts/display tab [13006:181307; Trade > Trench; desktop 1440; 442x884]
Right menu - Toasts - misc	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:180340	component: Trench tracker settings drawer, Toasts/misc tab [13006:181430; Trade > Trench; desktop 1440; 442x884]
Right menu - Toasts - one click	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:180340	component: Trench tracker settings drawer, Toasts/one-click tab [13006:181546; Trade > Trench; desktop 1440; 442x884]
Right menu - General	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:320736	component: Trench tracker settings drawer, General tab [13006:181656; Trade > Trench; mobile 375; 359x796]
Right menu - Toasts - display	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:320736	component: Trench tracker settings drawer, Toasts/display tab [13006:181753; Trade > Trench; mobile 375; 359x796]
Right menu - Toasts - display	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:320736	component: Trench tracker settings drawer, Toasts/display tab [13006:181869; Trade > Trench; mobile 375; 359x796]
Right menu - Toasts - misc	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:320736	component: Trench tracker settings drawer, Toasts/misc tab [13006:181991; Trade > Trench; mobile 375; 359x796]
Right menu - Toasts - one click	partial	src/components/trench-redesign/discover/TrackerSettingsMenu.tsx	13006:320736	component: Trench tracker settings drawer, Toasts/one-click tab [13006:182106; Trade > Trench; mobile 375; 359x796]
Frame 1361	partial	src/components/trench-redesign/discover/TrenchTrackers.tsx	13006:319762	component: full-width crop of the Trackers > Live trades table for the adjacent screen - defines the mobile 375 column set. Duplicate of screen content, NOT separate work [13006:183297; Trade > Trench; mobile 375; 538x620]
X accounts - My list	partial	src/components/home-redesign/whales/XAccountsPanel.tsx	13006:179860	component: Trench Trackers > X accounts, My list tab. Reached from TrenchTrackers.tsx via home-redesign/whales/ActivityView.tsx - no Trench-local copy [13006:184365; Trade > Trench; desktop 1440; 448x674]
X accounts - My list > Add handle	partial	src/components/home-redesign/whales/XAccountsPanel.tsx	13006:179860	component: add-handle entry state. "Add handle +" exists (XAccountsPanel.tsx:5); its expanded entry form is unverified against this frame [13006:184420; Trade > Trench; desktop 1440; 448x674]
Right menu - Audit	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:176980	component: Trench filters drawer, Audit tab [13006:185060; Trade > Trench; desktop 1440; 442x1463]
Right menu - Protocols	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:176980	component: Trench filters drawer, Protocols tab [13006:185140; Trade > Trench; desktop 1440; 442x884]
Right menu - Metrics	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:176980	component: Trench filters drawer, Metrics tab [13006:185256; Trade > Trench; desktop 1440; 442x1154]
Right menu - Audit	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:338795	component: Trench filters drawer, Audit tab [13006:185323; Trade > Trench; tablet 768; 442x1463]
Right menu - Protocols	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:338795	component: Trench filters drawer, Protocols tab [13006:185403; Trade > Trench; tablet 768; 442x1008]
Right menu - Metrics	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:338795	component: Trench filters drawer, Metrics tab [13006:185519; Trade > Trench; tablet 768; 442x1154]
Right menu - Audit	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:315650	component: Trench filters drawer, Audit tab [13006:185586; Trade > Trench; mobile 375; 359x1359]
Right menu - Protocols	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:315650	component: Trench filters drawer, Protocols tab [13006:185666; Trade > Trench; mobile 375; 359x796]
Right menu - Metrics	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:315650	component: Trench filters drawer, Metrics tab [13006:185781; Trade > Trench; mobile 375; 359x1068]
Right menu - hotkeys expanded	partial	src/components/trench-redesign/discover/HotkeysMenu.tsx	13006:162230	component: Trench hotkeys drawer, expanded state [13006:191571; Trade > Trench; desktop 1440; 442x998]
Right menu - hotkeys expanded	partial	src/components/trench-redesign/discover/HotkeysMenu.tsx	13006:310854	component: Trench hotkeys drawer, expanded state [13006:191680; Trade > Trench; mobile 375; 359x918]
Right menu - Layout	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:155671	component: Trench display-settings drawer, Layout tab [13006:194655; Trade > Trench; desktop 1440; 442x953]
Right menu - Layout with text size ALT	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:155671	component: Trench display-settings drawer, Layout tab with text-size control (alt) [13006:194784; Trade > Trench; desktop 1440; 442x1068]
Right menu - Metrics	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:155671	component: Trench filters drawer, Metrics tab [13006:194925; Trade > Trench; desktop 1440; 442x997]
Right menu - Row	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:155671	component: Trench display-settings drawer, Row tab [13006:195080; Trade > Trench; desktop 1440; 442x884]
Right menu - Row	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:155671	component: Trench display-settings drawer, Row tab [13006:195199; Trade > Trench; desktop 1440; 442x1369]
CTA/button	done	modules/skai-ui/src	-	furniture: loose instance of the shared CTA/button design-system component ("Remove all"), dropped on canvas. Already a built primitive [13006:195422; Trade > Trench; desktop 1440; 144x34]
Pulse card - Intel	partial	src/components/trench-redesign/discover/IntelPanel.tsx	13006:134301	component: Intel token row card, base state [13006:198241; Trade > Trench; desktop 1440; 419x94]
Pulse card - Intel ALT	partial	src/components/trench-redesign/discover/IntelPanel.tsx	13006:134301	component: Intel token row card, alt (taller, extra metric row) [13006:198364; Trade > Trench; desktop 1440; 419x118]
Pulse card - Intel - cashback coins	partial	src/components/trench-redesign/discover/IntelPanel.tsx	13006:134301	component: Intel token row card with cashback-coin cluster [13006:198500; Trade > Trench; desktop 1440; 419x118]
Pulse card - Intel - Boost status expanded	partial	src/components/trench-redesign/trade/BoostStatus.tsx	13006:134301	component: Intel token row card, boost bar expanded. SEE ESCALATION - feature mismatch [13006:198638; Trade > Trench; desktop 1440; 419x118]
icons/action	done	modules/skai-ui/src	-	furniture: stray fragment of the shared icons/action component, detached between cards. NOT separate work [13006:198774; Trade > Trench; desktop 1440; 38x12]
Pulse card - Intel - Boost status	partial	src/components/trench-redesign/trade/BoostStatus.tsx	13006:134301	component: Intel token row card carrying the boost bar. SEE ESCALATION - the built BoostStatus is a different feature from the v2 boost bar [13006:198778; Trade > Trench; desktop 1440; 419x118]
Charity	done	src/components/trench-redesign/charity/CharityAllocationCard.tsx	13006:134301	component: "Charity coin allocation" popover (created-by + donation split). Built, with CharityScreen.tsx and route /trench/charity [13006:198914; Trade > Trench; desktop 1440; 220x152]
Creator rewards	not-started	-	13006:134301	component: "Creator rewards" popover (Locked / Fee authority / Shares). Only an unrelated copy string at src/pages/LaunchpadCreate.tsx:217 [13006:198946; Trade > Trench; desktop 1440; 220x142]
One click trade settings - Init selected	partial	src/components/trench-redesign/trade/OneClickTradeModal.tsx	13006:204666	component: one-click trade modal, Off/Buy/Sell + per-bucket %/Init toggle rows. Modal exists; the %/Init toggle state needs checking against artwork [13006:207555; Trade > Trench; desktop 1440; 564x510]
Frame 1373	partial	src/components/trench-redesign/trade/DevTokensPanel.tsx	13006:302072	component: full-width crop of the Tables > Dev tokens table for the adjacent screen - defines the mobile 375 column set. Duplicate of screen content, NOT separate work [13006:233145; Trade > Trench; mobile 375; 432x226]
Frame 1363	partial	src/components/trench-redesign/trade/DevTokensPanel.tsx	13006:270826	component: full-width crop of the Tables > Dev tokens table for the adjacent screen - defines the tablet 768 column set. Duplicate of screen content, NOT separate work [13006:233224; Trade > Trench; tablet 768; 801x228]
Percentage bigger	partial	src/components/trench-redesign/trade/DevTokensPanel.tsx	13006:230793	component: dev-tokens stats side panel, alternate treatment with a larger migrated-percentage figure [13006:233331; Trade > Trench; desktop 1440; 298x474]
Unrecommended edit	not-started	-	-	furniture: a design the author explicitly labelled unrecommended - a rejected alternative for the trade tables panel. NOT work [13006:236023; Trade > Trench; desktop 1440; 1047x670]
Multi-panel - data	partial	src/components/trench-redesign/trade/PanelTabs.tsx	13006:210576	component: Trench trade right rail, data-only panel arrangement [13006:246442; Trade > Trench; desktop 1440; 313x954]
Multi-panel - data	partial	src/components/trench-redesign/trade/PanelTabs.tsx	13006:210576	component: Trench trade right rail, data-only panel arrangement [13006:246726; Trade > Trench; desktop 1440; 313x336]
Multi-panel - trade	partial	src/components/trench-redesign/trade/OrderPanel.tsx	13006:210576	component: Trench trade right rail, trade-only panel arrangement [13006:246910; Trade > Trench; desktop 1440; 313x486]
Multi-panel - combined	partial	src/components/trench-redesign/trade/TradeTerminal.tsx	13006:210576	component: Trench trade right rail, combined stack (order panel + token info + community + similar tokens) [13006:247053; Trade > Trench; desktop 1440; 313x1740]
Hover and clicks	not-started	-	-	furniture: annotation overlay marking hover/click targets on the trade rail. A spec diagram over Multi-panel - trade, not a separate build [13006:247576; Trade > Trench; desktop 1440; 313x1164]
Unpaid dex	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	13006:210576	component: Unpaid / DEX-paid badge pill. The DEX-paid filter exists; a standalone badge component is unverified [13006:247878; Trade > Trench; desktop 1440; 88x44]
Swap - limit - closed warning	blocked-on-backend	modules/skai-wallet/src/components/SwapModal.tsx	13006:248255	component: limit-order panel with a red "Limit notice" bar and a disabled Swap CTA. BLOCKED: /swap in src/ is only SwapDeepLinkRedirect (App.tsx:1204) since TradeUnified.tsx was deleted 2026-08-12; the live Swap surface is SwapModal.tsx in the skai-wallet submodule, which this lane must not edit [13006:248443; Trade > Swap; desktop 1440; 506x592]
Bridge screen - error	partial	src/pages/trade/Bridge.tsx	13006:248696	component: bridge error state (red-outlined Send field, "Insufficient funds to bridge", Across/Stargate alternatives). Bridge.tsx has a txState==="error" block (~:1342) and bridgeService.ts:73-82 has the provider list; the per-field invalid styling and this copy do not exist [13006:248871; Trade > Swap; desktop 1440; 506x714]
Breakpoint	not-started	-	-	furniture: canvas breakpoint marker (Desktop 1440 / Tablet 768 / Mobile 375). NOT work [13006:250420; Trade > Trench; desktop 1440; 1450x164]
Breakpoint	not-started	-	-	furniture: canvas breakpoint marker (Desktop 1440 / Tablet 768 / Mobile 375). NOT work [13006:250422; Trade > Launch; desktop 1440; 1450x164]
Breakpoint	not-started	-	-	furniture: canvas breakpoint marker (Desktop 1440 / Tablet 768 / Mobile 375). NOT work [13006:250424; Trade > Swap; desktop 1440; 1450x164]
Breakpoint	not-started	-	-	furniture: canvas breakpoint marker (Desktop 1440 / Tablet 768 / Mobile 375). NOT work [13006:250426; Trade > Swap; tablet 768; 1450x164]
Breakpoint	not-started	-	-	furniture: canvas breakpoint marker (Desktop 1440 / Tablet 768 / Mobile 375). NOT work [13006:250428; Trade > Swap; mobile 375; 1450x164]
Directory	not-started	-	-	furniture: section directory header with review dates. NOT work [13006:250430; Trade > Trench; desktop 1440; 12210x352]
Directory	not-started	-	-	furniture: section directory header with review dates. NOT work [13006:250435; Trade > Launch; desktop 1440; 9400x352]
Directory	not-started	-	-	furniture: section directory header with review dates. NOT work [13006:250440; Trade > Swap; desktop 1440; 6340x352]
Rectangle 160	not-started	-	-	furniture: solid-fill section cover block at y=0. NOT work [13006:250445; Trade > Launch; desktop 1440; 720x720]
Rectangle 159	not-started	-	-	furniture: solid-fill section cover block at y=0. NOT work [13006:250446; Trade > Trench; desktop 1440; 720x720]
Rectangle 158	not-started	-	-	furniture: solid-fill section cover block at y=0. NOT work [13006:250447; Trade > Swap; desktop 1440; 720x720]
Colour picker - on:click	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	13006:159412	component: PARITY GAP - the frame is an on:click swatch POPOVER (5 children); AdjustTrenchSettings.tsx:158-160,238 instead CYCLES the swatch to the next palette entry on click. Same trigger, no picker surface [13006:250448; Trade > Trench; desktop 1440; 263x251]
