# key	status	primaryFile	route	reason	bp
dropdown-positions - status [8659-115866]	done	src/components/predict/modules/ModuleFilterSelect.tsx	/predict/market/:marketType/:marketId	GEOM node 200x122 pad s-2=8 rows 184x30 at y=8/46/84 (gap 8) text at (8,6) h18; impl w-[200px] p-2 gap-2 h-[30px] px-2 -> 8+3*30+2*8+8=122 exact. RADIUS node rounded-xl=12 panel / rounded=4 row; impl rounded-[12px] + bare rounded (4 per corrected scale). TYPE node Lg/Paragraph 2 300 = Manrope Regular 14/18 ls -4pct; impl font-manrope text-[14px] leading-[18px] tracking-[-0.04em] exact. COLOUR node Core/White #FFFFFF = text-white; Green Coal 100 #123F3C = border-green-coal-100; Green Coal 200 #122524 = bg-green-coal-200; Input hint (dark) #0000003D (61/255=0.24) offset 0,4 blur 12 = shadow-[0_4px_12px_rgba(0,0,0,0.24)]. Options All/Open/Closed match POSITION_STATUS_OPTIONS 1:1. Only divergence: frame carries a hidden icons/action check slot at (8,7) 16x16 overlapping the text at (8,6) - unlaid-out debris from a token dropdown (its siblings Dev sell / Migration are hidden too); we mark selection with bg-green-coal-100 instead.	desktop=renders @2026-08-31
dropdown-positions - order [8659-115882]	done	src/components/predict/modules/ModuleFilterSelect.tsx	/predict/market/:marketType/:marketId	GEOM node 200x84 pad 8 rows 184x30 at y=8/46 (gap 8) text (8,6) h18; impl 8+2*30+1*8+8=84 exact. Same menu component as 8659-115866 so radius 12/4, Manrope 14/18/-0.04em and the four fills are the SAME measured nodes. Options Descending/Ascending match POSITION_ORDER_OPTIONS 1:1 - node text widths 72 and 64 confirm the labels are not truncated.	desktop=renders @2026-08-31
dropdown-activity - trade [8659-115952]	partial	src/components/predict/modules/ActivityPanel.tsx	/predict/market/:marketType/:marketId	Box is at parity: node 200 wide, pad 8, rows 184x30 at y=8/46/84/122/160 (gap 8), text (8,6) h18, radius 12/4, Manrope 14/18/-4pct - all identical to 8659-115866 which is measured done. NOT promoted: the node authors five FIXED rows (All + March 31 2026 + June 30 2026 + November 30 2026 + December 31 2026) giving 8+5*30+4*8+8=198, and ActivityPanel derives dayOptions from the trades actually present (ActivityPanel.tsx:132-139). Those four dates are sample-market data; hardcoding them would ship fabricated filter values, so total height 198 is deliberately not reproducible. Divergence is a no-mock-data ruling, not a miss.	desktop=renders @2026-08-31
Master module - Positions [8659-72238]	blocked-on-backend	src/components/predict/modules/PositionsPanel.tsx	/predict/market/:marketType/:marketId	RECLASSIFIED from partial. Node 738x386: header 738x44 with tabs at x=0/120/214/294 (w 96/70/56/45) and a 64px underline vector at x=226; body pad 16 -> 706 wide; filter row 706x34 (two controls 120x34 at x=0 and 128x34 at x=128 = gap 8); then a TWO-COLUMN market-wide holder split, cols 337 wide at x=0 and x=369 (gap 32), 6 rows each, row 18 high with a rule at +26 and the next row at +34, avatar 18x18 at x=0, name at x=24, value right-flush at x=247 w90. The filter row IS built at 34px/gap 8 (ModuleFilterSelect h-[34px], gap-2). The two-column split is NOT and cannot be: moduleDataSources.ts:148-157 records kind='not-enumerable' - SKAIOutcomeMarket holds shares in mapping(uint256=>mapping(address=>uint256)), a Solidity mapping cannot be enumerated, and the contract exposes only getMarket/priceYesBps/quoteBuy/quoteSell. PositionsPanel.tsx:125 renders ModuleBlockerNotice in its place and keeps the readable half (the connected wallet's own position). Frame rows are sample data (elyse03 / US $12,345.67).	desktop=missing @2026-08-31
Master module - Positions [10312-17614]	blocked-on-backend	src/components/predict/modules/PositionsPanel.tsx	/predict/market/:marketType/:marketId	Same module, same blocker as 8659-72238 - market-wide Yes/No holder split is not enumerable from chain state (moduleDataSources.ts:148-157) and outcome_trades holds 0 rows. Not a code gap; fix is a SharesBought/SharesSold log backfill plus a net-position aggregate.	desktop=missing @2026-08-31
Master module - Positions [10516-22976]	blocked-on-backend	src/components/predict/modules/PositionsPanel.tsx	/predict/market/:marketType/:marketId	Same module and blocker as 8659-72238.	desktop=missing @2026-08-31
Master module - Positions [10654-202345]	blocked-on-backend	src/components/predict/modules/PositionsPanel.tsx	/predict/market/:marketType/:marketId	Same module and blocker as 8659-72238.	desktop=missing @2026-08-31
Master module - Top holders [3345-31522]	blocked-on-backend	src/components/predict/modules/TopHoldersPanel.tsx	/predict/market/:marketType/:marketId	RECLASSIFIED from partial. moduleDataSources.ts:138-146 kind='not-enumerable': the holder set is not readable from chain state AT ANY PRICE - shares live in a Solidity mapping and the contract returns no holder set - so it can only be accumulated from SharesBought/SharesSold logs into outcome_trades, which currently holds 0 rows. TopHoldersPanel is mounted (MarketModules.holdersMounted.test.tsx) and renders the blocker rather than an empty leaderboard. Fix = log backfill, NOT a credential or code change.	desktop=missing @2026-08-31
Master module - Top holders [10654-202029]	blocked-on-backend	src/components/predict/modules/TopHoldersPanel.tsx	/predict/market/:marketType/:marketId	Same module and blocker as 3345-31522.	desktop=missing @2026-08-31
Master module - Activity [3345-31427]	partial	src/components/predict/modules/ActivityPanel.tsx	/predict/market/:marketType/:marketId	MEASURED, not promoted. Node 738x364: body pad 16 -> 706; filter row 706x34 holding 71x34 at x=0 and 120x34 at x=79 (gap 8) with a 52x18 tag right-flush at x=654; groups at y=50 (gap 16 under the 34px row); six rows 706x18 at y=0/34/68/102/136/170, hairline rule 8px under each. IMPL matches on the filter row (ModuleFilterSelect h-[34px], gap-2=8), the panel gap (gap-4=16) and the right-flush LIVE badge (ml-auto). FIXED THIS WAVE: row padding was py-2.5 -> 10+18+10+1 = 39 pitch against the frame's 34, 5px per row and 30px across the six it draws; now py-2 = 35, the residual 1px being the CSS border against Figma's zero-height vector. STILL DIVERGENT so it stays partial: the node row carries an images/circle avatar 18x18 at x=0, the name at x=24, a relative time "2 mins ago" 77x16 at x=613 and an icons/action 16x16 at x=690. We render a shortened address (no avatar - a market trade's counterparty is an address with no profile source) and an absolute day, and no trailing action icon. Frame content is sample data (EzioAuditore, AltairIbnLaAhad).	desktop=renders @2026-08-31
