9907-7997	Directory
9907-8003	Breakpoint
9907-8005	Breakpoint
9907-8007	Breakpoint
10030-30838	Skai > Play > Casino > Blackjack (1440 x 900px)
9907-8770	Skai > Play > Casino > Blackjack (375 x 812px)
10030-32824	Ellipse 209
10030-32839	Ellipse 224
10030-32854	Ellipse 239
10030-32869	Ellipse 254
10030-32884	Ellipse 269
10030-32899	Ellipse 284
10030-32914	Ellipse 299
10030-32929	Ellipse 314
10030-33518	Group 316
10030-34600	Group 317
10030-36934	Desktop
10030-39086	Skai > Play > Casino > Blackjack (1440 x 900px)
10030-40751	Desktop
10120-8782	Frame 1000004285
