# key	status	primaryFile	route	reason	bp
Game view - not started [9215-17213]	partial	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	★★★ THE MOUNT BLOCKER IS CLOSED, AND THE RAIL IS NOW MEASURED IN A BROWSER. Every one of the 24 rail rows across waves 9 and 10 ended "no route mounts GameViewRail". It is mounted now by GameDetail.tsx - the component /sports/event/:eventId already served - so the fix was a MOUNT, not a routing change: one import, one useState, one element, four edits to one file in this lane and zero outside it. The content column came with it, off 9170-114084. RENDERED at 1440 with zero-width scrollbars: shell x=58 w=1382 (the frame's main, beside its 58 sidebar) with 32 gutters, grid 1318, grid-template-columns 870px 432px, column-gap 16, and 870+16+432 = 1318 closes on the frame's own Frame 694. The page had shipped max-w-4xl = 896 with a 320 right column, so the rail had nowhere to go and the bet slip was 112 narrower than its own 432 artboards. RENDERED RAIL at 1440: 432 x 493.797 = header 50 + body 377.797 + strip 66 against the frame's 493.812 / 50 / 377.812 / 66, i.e. 0.015 of sub-pixel rounding and nothing else. Header radius 16, strip radius 24, body padding 16, strip padding 16, inner row-gap 24, info row 400 x 50.797, pitch wrapper 401 x 271 at body-relative x=-0.5 (the frame's own overhang), body box-shadow 0 10 80 rgba(0,0,0,0.25), overflow clip. Four cells 98.5 x 34 at body-relative 0 / 100.5 / 201 / 301.5. TYPE off the rendered span: Mulish 400, 14px/18px, letter-spacing -0.56px = -0.04em at 14. COLOUR off computed styles: body rgb(18,37,36) = #122524, inactive cells rgb(18,63,60) = #123F3C on white, Gameplay rgb(86,199,243) = #56C7F3 on rgb(0,22,21) = #001615, pitch surround rgb(14,77,35) = #0E4D23. STILL PARTIAL, and now for exactly ONE reason where there were two: the turf carries a soft-light texture PNG at 28% that is a 7-day Figma asset, omitted rather than hot-linked, so the turf is flat #13602C. Oracle: src/pages/sports/__tests__/gameDetailMatchColumn.test.tsx, 11 tests, five mutations checked.	desktop=partial tablet=n-a mobile=n-a @2026-09-01
Game view - not started 2 [9227-16083]	partial	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	MOUNT CLOSED, rendered numbers as 9215-17213: 432 x 493.797 = 50 + 377.797 + 66, radii 16 / 24, cells 98.5 x 34 at 0/100.5/201/301.5, Gameplay #56C7F3. Its divergence from 9215-17213 is entirely data (ENG/ARG not AVL/CHE, 21:06:24 not 1 Day, five 12x10 W/L/D form Tags per side against one). ★ THE WAVE-9 REASON FOR THAT IS NOW FALSE and it was checked, not assumed: "vendor data on a revoked key" - probed odds-proxy directly 2026-09-01 and got 200 on every mapped sport, NFL 272 fixtures, MMA 63, NBA 41, tennis 41, NHL 32, soccer 20, MLB 15, last_update minutes old. The key is live. It does not change the verdict, because what this frame draws is in-play state - crest rows, a clock, form - and the vendor serves fixtures, prices and scores, not that. The rail now says so by name. Partial: the turf texture PNG.	desktop=partial tablet=n-a mobile=n-a @2026-09-01
Game view - not started 3 - tilt [9227-73669]	done	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	PROMOTED from partial. Both wave-9 blockers are gone - the mount exists, and the turf texture does not apply to this tab because the Tilt body draws no turf - and the frame was then re-measured in the browser rather than off class strings. RENDERED at 1440 with the Tilt cell clicked: rail 432 x 493.797, header 50 radius 16, body 377.797 pad 16 inner gap 24, strip 66 radius 24, pitch wrapper 401 x 271 at body-relative x=-0.5, cells 98.5 x 34 at 0 / 100.5 / 201 / 301.5. Against the frame's 493.812 / 50 / 377.812 / 66 and 401 x 271.013, every band closes to 0.015 of sub-pixel rounding. TYPE Mulish 400 14/18 at -0.56px. COLOUR: exactly ONE cell is rgb(86,199,243) = #56C7F3 with rgb(0,22,21) text and it is the SECOND - Tilt - matching this frame's fill and not its layer name; the other three are rgb(18,63,60) = #123F3C on white. ★ The wrapper is rgb(18,37,36) = #122524 here and rgb(14,77,35) = #0E4D23 on Gameplay, which is the frame's own rule and was verified by clicking through all four tabs, not inferred from one. Geometry, type and colour all measured at the frame's own width on the route that serves it. The body's eight-child head-to-head list is a result set with no source anywhere behind this app; per the standing ruling the reserved box states that, which is the accepted build and is what wave 9 already scored against.	desktop=done tablet=n-a mobile=n-a @2026-09-01
Game view - not started 3 - tilt [9227-73828]	done	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	PROMOTED from partial. ★ MISNAMED FRAME: titled "- tilt", highlights EVENTS. RENDERED at 1440 with the Events cell clicked, and the render agrees with the frame's fills rather than its names - the THIRD cell is rgb(86,199,243) on rgb(0,22,21), the other three rgb(18,63,60) on white. The cell frame NAMES also shuffle (362 and 358 swap into positions 2 and 3 here and on 74080) while the labels stay Gameplay / Tilt / Events / Outcome; nothing in the shipped strip reads a layer name, so neither defect can reach the render. Shell measured on this tab state: 432 x 493.797 = 50 + 377.797 + 66, radii 16 / 24, pad 16 / 16, inner gap 24, wrapper 401 x 271 at body-relative -0.5 filled #122524, cells 98.5 x 34 at 0/100.5/201/301.5, labels Mulish 400 14/18 -0.56px. All three axes closed at the frame's own width. The event timeline the frame draws inside the wrapper is in-play state with no source; the reserved box names it.	desktop=done tablet=n-a mobile=n-a @2026-09-01
Game view - not started 3 - outcome [9227-74080]	done	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	PROMOTED from partial. RENDERED at 1440 with Outcome clicked: the FOURTH cell is rgb(86,199,243) on rgb(0,22,21), the rest rgb(18,63,60) on white. 432 x 493.797 = 50 + 377.797 + 66; radii 16 / 24; wrapper 401 x 271 at body-relative -0.5, #122524; cells 98.5 x 34 at 0/100.5/201/301.5; labels Mulish 400 14/18 -0.56px, and the rendered label box sits 8px below the cell top, which is (34-18)/2 - the frame's own y=8. Label widths render 61.563 / 17.781 / 39.75 / 54.5 against the frame's 63 / 19 / 41 / 56, a flat ~1.4px of font-metric difference on all four, and each is still centred: (98.5-61.563)/2 = 18.469 is exactly where the first one starts. That is a glyph-width difference, not a layout one, and it is recorded rather than chased. The frame's body - Frame 1000003807, a 361x204 "Last 5 matches" list of three 46-tall result rows at y 0/92/158 - is a result set with no source; the reserved box states that.	desktop=done tablet=n-a mobile=n-a @2026-09-01
Game view - in play [9227-73346]	partial	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	MOUNT CLOSED, and the in-play cut is now selectable at runtime rather than only by prop: GameDetail passes clock={isLive ? "in-play" : "pre-match"} off the fixture status, so both height families are reachable on the route and the rendered root carries data-clock. 432 x 517.812 against the pre-match 493.812, and the 24 is entirely the info row - Frame 409 400x74.799 (a 400x18 clock and 1/2/R header, gap 6, then the same 400x50.799 crest rows) against Frame 1000003796 400x50.799, and 74.799-50.799 = 24 = 18+6. 50 + (16+74.799+24+271.013+16) + 66 = 517.812 closes. PARTIAL for two honest reasons: the turf texture PNG, and the fixture available on the route today is pre-match, so data-clock rendered "pre-match" and the in-play heights are covered by the oracle's literals rather than by a browser measurement. Naming that rather than claiming a measurement I did not take.	desktop=partial tablet=n-a mobile=n-a @2026-09-01
Game view - in play [9227-73494]	partial	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	MOUNT CLOSED. 432x517.812, body 9227-73506 401.812 pad 16 inner gap 24 with the 74.799 info row and the 401x271.013 #0E4D23 wrapper, strip 9227-73558 66 pad 16 gap 2, Gameplay #56C7F3. Shell-identical to 73346 and 73572; the pre-match shell those three share was measured in the browser and closes exactly. Partial: the turf texture PNG, and the in-play cut not browser-measured (no live fixture on the route today).	desktop=partial tablet=n-a mobile=n-a @2026-09-01
Game view - in play [9227-73572]	partial	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	MOUNT CLOSED - this row carried the escalation, so it carries the resolution and the COST, measured rather than estimated. Wave 9: "NO ROUTE RENDERS GameViewRail.tsx OR MatchViewFigma.tsx ... both files' headers name a composer, MatchViewFigmaMount, which does not exist anywhere in the tree." Re-grepped before the fix and still true. What it actually took: 4 edits to src/pages/sports/GameDetail.tsx (an import, a useState, feedOffline pulled off the hook it was already calling, and the element in the grid's right track), plus one shared CONTENT_SHELL constant replacing four copies of max-w-4xl. ZERO files outside this lane, ZERO changes to App.tsx, ZERO routing changes - /sports/event/:eventId already served GameDetail. Total under an hour including the browser verification. The rail is deliberately OUTSIDE the bet slip's hidden lg:block aside, because nesting it there would have rendered one of its three cuts and left sixteen artboards as unreachable as before; the oracle asserts that ordering and it was mutation-checked by moving the rail inside. 432x517.812 in play, 9227-73584 / 9227-73636. Partial: the turf texture PNG. ★ MatchViewFigma - the 870 half - is a SEPARATE mount and is STILL unmounted; its two options are on the 9170-114084 row.	desktop=partial tablet=n-a mobile=n-a @2026-09-01
Game view - in play [11116-85400]	partial	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	MOUNT CLOSED at the tablet cut and MEASURED THERE. The mount is what makes 708 reachable at all: the rail is w-full below lg and GameDetail's shell is px-4 md:px-[30px] lg:px-8 inside max-w-[1382px], so 768 - 2x30 = 708. RENDERED at a 768 viewport: shell x=0 w=768 padding 30/30, rail x=30 w=708, header 50 radius 12, body 377.797 pad 16 inner gap 24, strip 64 radius 12, info row 676 x 50.797, pitch wrapper 401 x 271 at body-relative 137.5 = (676-401)/2 exactly, four cells 167.5 x 32 at body-relative 0 / 169.5 / 339 / 508.5, labels Mulish 14px/16px -0.56px. Every one of those is the frame's own number, including the 12 radii that are 16 and 24 at 432 and the 16 line-box that is 18 at 432. Wave 10 measured all of it off node data; none of it was reachable in a browser until this wave. Partial: the turf texture PNG.	tablet=partial desktop=n-a mobile=n-a @2026-09-01
Game view - in play [11116-85474]	partial	src/pages/sports/GameDetail.tsx	/sports/event/:eventId	MOUNT CLOSED at 708. 708x513.799 with bands 50 / 399.799 / 64; header 11220-155105 radius top 12 pad 4/16/0/16; body 11116-85486 pad 16 clip true shadow 0 10 80 rgba(0,0,0,0.25); strip 11116-85538 radius bottom 12 pad 16; inner 11116-85539 676x32 gap 2, four 167.5 cells, Gameplay #56C7F3 on #001615. The 708 shell those numbers describe was measured in the browser on the pre-match cut and closes exactly. Partial: the turf texture PNG, in-play heights not browser-measured.	tablet=partial desktop=n-a mobile=n-a @2026-09-01
