# key	status	primaryFile	route	reason	bp
Select pair - USDC [3962-34721]	partial	src/components/trade/MarketSearchModal.tsx	/trade/perps	Measured on the node, both sides. The 796x680 panel (r32, pad 16/24, gap 16, #122524) holds "Frame 465", a VERTICAL 8-gap list of "content" rows: a normal row is pad 8/16, gap 14, r16, no fill and 38 tall; the first row is the selected state, pad 16/16 over #123F3C and 54 tall. Type off the row: pair "BTC / USDC" Manrope 16/22 -4pc with a mixed fill (white base, ash separator and quote); "121,723" / "$20.51B" / "$2,345,678,901.2" Mulish 16/16; "+1.17%" Mulish 14/18 in #17F9B4, which is the alien-green-bright token exactly. Column heads Manrope 12/16 white at 0.44 node opacity. FIXED: the shipped rows were one size on every board - Manrope text-sm for the pair, Mulish text-sm for all four figure columns, py-2.5 - so at 1440 the pair ran 14 against 16 and every figure column 14 against 16, on a 20px line against 16/18/22, and the row measured 10+20+10=40 against 38. Now four named class lists step 14/16 . 14/18 . 16/22 (pair), 12/16 . 14/16 . 16/16 (figures), 12/14 . 14/16 . 14/18 (change) over an 8px inset, putting the row at 32 / 34 / 38. Oracle marketSearchRowFigma.test.ts resolves each named constant to a number at 375/768/1440 and at 639/641, 767/769, 1023/1024, asserts the row height as a SUM of inset and line box, and counts call sites so a constant nothing renders cannot pass; proved red three ways by extending mutations - lg:text-[16px] to xl:lg:text-[16px] (1440 figures fall to 14), md:leading-[18px] to lg:md:leading-[18px] (768 pair falls to 16), py-2 to py-2.5 (the 32 becomes 36). STILL OPEN and named rather than guessed: the frame stacks the rows as separate r16 pills 8px apart, and the shipped table draws flush full-bleed rows with no radius - a border-separate rewrite of the row wash, hover and selected states, not a class swap. Commit be0fdd2e0.	desktop=partial
Select pair - Favorites [3962-34884]	partial	src/components/trade/MarketSearchModal.tsx	/trade/perps	Same panel as 3962-34721 with the Favorites tab active and a two-row list; every row number re-read on this node and identical (r16 pill, pad 8/16, gap 14, pair Manrope 16/22, figures Mulish 16/16, change Mulish 14/18). Fixed and covered by the same four class lists and the same oracle - see 3962-34721 for the deltas and the mutation proof. Residue is the same: the 8px row gap and the row radius are not reproduced by the flush table. Commit be0fdd2e0.	desktop=partial
Selected pair - USDC [9061-240109]	partial	src/components/trade/MarketSearchModal.tsx	/trade/perps	The phone rendition, measured on the node: 354x556 panel at r16, pad 12/24, gap 16, over a 534-wide list that overflows it - the horizontal scroll the shipped table already carries. Rows are pad 8/12 and 32 tall; pair Manrope 14/16, figures Mulish 12/16, change Mulish 12/14. FIXED with 3962-34721 - the shipped rows painted the 1440 type here too, running the figures at 14 against 12 on a 20px line against 16, and the row at 40 against 32. Now 32 exactly, asserted as 2*8 + 16. Oracle and mutation proof as on 3962-34721. NOTE, not guessed: this node is internally inconsistent about the row corner - the selected row is r8 while the two normal rows under it are r16 - so the corner is left unbuilt rather than picking one. Commit be0fdd2e0.	mobile=partial
Selected pair - Favorites [9061-240254]	partial	src/components/trade/MarketSearchModal.tsx	/trade/perps	The phone Favorites twin of 9061-240109, re-read on its own node: same 354x556 panel, same pad 8/12 rows at 32, same Manrope 14/16 and Mulish 12/16 and 12/14. Fixed and covered by the same class lists and oracle; same residue (row gap, row corner). Commit be0fdd2e0.	mobile=partial
Skai > Trade > Perpetual futures > Market > Search pairs 1VH (1440 x 900px) [3962-32706]	partial	src/components/trade/MarketSearchModal.tsx	/trade/perps	The 1440 board in place. Its list is the same "Frame 465" the loose components draw - 8 gap, rows pad 8/16 at 38, pair Manrope 16/22, figures Mulish 16/16, change Mulish 14/18 - and its column heads read Manrope 12/16 with "Open interest" as the fifth title, which the component already switches on the perps tab. The row type and inset are fixed and oracled this wave (see 3962-34721). The panel chrome above the rows - inset, search band, tab rail, coin chips, column titles, rules - was measured and held in marketSearchModalFigma.test.ts before this wave and is untouched. Residue: the 8px row gap and the row corner.	desktop=partial
Skai > Trade > Perpetual futures > Market > Search pairs 1VH (768 x 1024px) [9148-79309]	partial	src/components/trade/MarketSearchModal.tsx	/trade/perps	The 768 board, read on its own nodes: heads Manrope 10/14, rows pad 8/12 at 34, pair Manrope 14/18, figures Mulish 14/16, change Mulish 14/16. This is the board that proves the steps are three sets and not two - the pair leading (18) and the change leading (16) both differ from the 375 and the 1440 numbers. Fixed and oracled with 3962-34721; the class lists resolve to exactly these numbers at 768 and to the 375 numbers at 767. Residue: the 8px row gap and the row corner.	tablet=partial
On:Hover [3931-91943]	partial	src/components/trade/AIConfidenceStrip.tsx	/spot	The overlay is now delta zero, both sides stated. Scrim 3931-92011 is Green Coal 300 #001615 at node fill opacity 0.44; CTA 3931-92012 is 160x34, r8, pad 8/24, gap 8, fill Sky Blue 300 #56C7F3, label I3931:92012;780:133 Manrope 14/18 at -4pc on #001615, glyph 16. Code before: scrim bg-green-coal-300/80 (0.80), CTA rounded-lg which this config emits at 12, px-4 (16), text-xs leading-4 (12/16) - so the button resolved to 8+16+8 = 32 against the frame's 34. Code after: bg-green-coal-300/[0.44], rounded-[8px], px-6 (24), py-2 (8), gap-2 (8), text-sm leading-[18px] - 8+18+8 = 34. Radius is a pixel literal because this config emits rounded-sm at 8 and rounded-lg at 12, so no name carries the frame's number. Oracle figmaGeometry.test.tsx grows spacing, line-box and token-alpha resolvers that read the real tailwind.config plus --radius out of src/index.css, renders the real component and asserts the 34 as a sum; proved red by three extending mutations - /[0.44] to /[0.444], px-6 to px-6.5, leading-[18px] to leading-[18.5px] (which reddens both the line box and the sum). NOT done, because the node is the whole 764x58 card and its stroke is a 1px DASH PATTERN [4,2] at 0.24: CSS border-style dashed has no dash-length control, so that one property cannot be expressed as a border and is left rather than faked with a background image. Commits 443742049, 7f4dc4540.	desktop=partial
AI alert types [3931-86279]	partial	src/components/trade/AIConfidenceStrip.tsx	/spot	Measured, both sides, on the two 764x58 cards this node holds. Card box: r16, fill #001615, pad 8/16, content frame 732x40 at y9 on a 32 gap - shipped rounded-xl resolves to 16 and lg:px-4 lg:py-2 to 16/8, delta zero. FIXED: the bullish stroke and the bullish pill are both App/Green 300 at 0.24 (3931-86249 stroke opacity 0.24, 3931-86266 fill opacity 0.24) and the strip painted /25 off Tailwind's opacity scale, which steps in fives; both now read /[0.24] and figmaGeometry.test.tsx resolves the alpha off the rendered class list, proved red by extending the value to /[0.245]. Bearish is App/Red-O at 0.34 on both, and bg-skai-red/[0.34] already matched the number. Pill box r6 pad 4/14 against rounded-[6px] px-3.5 md:py-1, delta zero. Labels: "Skai sentiment" and "BTC/USDT" Manrope 12/16 ash #95A09F against text-xs md:leading-4, delta zero; "Bullish" and "LIVE" Mulish 11/14 against md:text-[11px] leading-[14px], delta zero; the LIVE tag is r-full pad 2/8 with a #FF7E50 rule against rounded-full px-2 py-0.5 border-[#FF7E50], delta zero. TWO deltas left, named rather than papered over: the stroke's dash pattern is [4,2] and CSS cannot state a dash length; and the stroke COLOUR on the bearish card is #FB3324 while the `skai-red` token this repo carries is #FF574A - a different red, and forking the palette for one pill needs a ruling rather than a literal. Commit 7f4dc4540.	desktop=partial
Expanded - Perp [3886-15109]	partial	src/components/trade/MarketHeader.tsx	/trade/perps	Read on this node and on its 768 twin 9002-157020, both sides stated. 3886-15109 is 850x58, r16, pad 16, gap 16, fill #122524, over a 34-tall content row that sits at y12 - the frame height is fixed at 58, so the effective vertical inset is 12 and not the declared 16. 9002-157020 is 708x58, r12, pad 12, gap 16. Pair Manrope 24/28 at -4pc against 18/22 at 768; stat labels Manrope 12/16 on both; stat values Mulish 16/16 against 14/16 at 768; label-to-value 2, cell-to-cell 32, rule 27 tall, both boards. Cross-checked against every other header on the page: 25 nodes at 1440 all read 764x58 r16 pad 16 pair 24/28, and 30-plus at 768 all read 708x58 r12 pad 12 pair 18/22. FIXED: none of that stepped. The card shipped rounded-2xl, which this config emits at 24; px-4 py-4 all round, making the card 66 rather than 58; text-2xl, which is 24px on Tailwind's 32px default line, with tracking-tight (-0.025em) where the frames state -4 per cent; one text-base value size on both boards; and h-7 (28) for the 27px rule. Now rounded-[12px] lg:rounded-[16px], px-3 py-3 lg:px-4, pair text-[18px]/[22px] lg:text-[24px]/[28px] tracking-[-0.04em], values text-sm lg:text-base, rule h-[27px]. Oracle marketHeaderFigma.test.ts resolves each list at 768 and 1440 and at 639/641, 767/769, 1023/1024, and holds ALL SIX value cells and ALL SIX labels to one pair of numbers with the counts asserted, so a single cell cannot drift; proved red by five extending mutations, including xl:lg:text-base on the funding cell alone, which reddens the set assertion. TWO deltas left: the caret's icons/action box is 24 at 1440 and 16 at 768 while the shipped wedge is 12x6 unprefixed; and this node paints the absolute 24h move WHITE beside a green percentage, while the spot boards 7710-91545 and 7710-99340 paint BOTH in the direction colour - one shared component cannot satisfy both, so the spot reading is kept and the difference is reported rather than guessed. Commit 83b719093.	desktop=partial
Skai > Trade > Nav bar 1VH (375 x 812px) [13006-349299]	partial	src/components/trade/TradeNav.tsx	-	Measured, both sides, and the component is CORRECT AND UNMOUNTED. Sidebar 13006-350290 is 296x812 on #001615 holding a 280-wide column; its "top" list is a VERTICAL 2-gap stack of eight 42x280 rows at r8, each with a 36x36 icon slot at 3,3 and its label at x43 - so a 3px pad, a 36 slot and a 4px slot-to-label gap. Label Manrope 14/16 at -4pc in white; the New-chat slot alone carries a #122524 pill. TradeNav.tsx ships exactly that: gap-[2px], h-[42px], rounded-[8px], p-[3px], w-9 slot, gap-1, font-manrope text-sm leading-4 tracking-[-0.04em]. Delta zero on every one of those. THE ROW IS NOT SATISFIED ANYWAY: `TradeNav` and `TRADE_NAV_ITEMS` have ZERO importers anywhere in src/ or the submodules - the only other mention is a comment in HomeSidebarExpanded.tsx citing a line number - so nothing renders this file and no surface draws the frame. Mounting it is a product call (which Trade shell owns a nav column, and what happens to whatever nav is there now), so it is reported rather than guessed at.	mobile=partial
