# key	status	primaryFile	route	reason	bp
# Lane home-ai, wave 48, 2026-09-17. 30 rows, one per frame in BRIEF-home-ai.md. No extra
# ruling-item rows: all three ruling items landed in wave 47 and already carry rows in
# status.wave47.ai-chat.tsv (6750-43337, 6715-34899, 13008-118798), and the boards the composer
# fix below cites that are not in this brief - 6419:45467, 6415:45278, 2713:5018, 6750:44454 -
# are not registry frames, so a row keyed on one would match nothing.
#
# THE HEADLINE FINDING: A PROP THAT NAMES A BREAKPOINT IS A CLAIM ABOUT THE BOARDS, AND THIS ONE
# HAD IT BACKWARDS. AskComposer's `dense` was documented as the docked follow-up card's tighter
# seam and was being used as a MOBILE switch. Six composer boards were read or re-read this pass:
#
#   home    375  6419:45467     16 + 16 + 32 + 32 + 16 = 112
#   home    768  6415:45278     16 + 18 + 32 + 32 + 16 = 114
#   home   1440  2713:5018      20 + 22 + 32 + 32 + 20 = 126
#   docked  375  6715:35152     16 + 16 + 32 + 32 + 16 = 112
#   docked  768  13008:125658   16 + 18 + 32 + 32 + 16 = 114
#   docked 1440  13008:114523   20 + 22 + 12 + 32 + 20 = 106
#
# The seam is 32 on five of six and closes on ONE card at ONE width. It shipped as a flat gap-3,
# handed to the docked card everywhere and to the home card below md, so BOTH phone cards drew 92
# against their boards' 112 - and 112 is the number report 5ff9f5b0 asked for by name. The
# geometry suite could not see it: it renders AskComposer with no props and so measures a card
# neither surface mounts. A test that asserts a component in isolation says nothing about the
# props its mounts actually pass.
#
# SECOND FINDING: 14113-76027 and 9069-261150 both put a 708 content frame at x=30 on a 768
# artboard. md:px-[30px] was an arithmetic claim below lg with one witness; it now has two boards,
# and the Analysis one also showed that its two header seams are 32 at 768 against 25 at 1440 -
# a step, not one value rounded twice - and that the card's 14px gutter closes on two different
# card widths, which is what makes 14 the frame's number rather than a rounding.
#
# THIRD FINDING: two boards in this brief draw a desktop layout on a phone artboard rather than a
# phone layout - 13006-319525's 745-wide table on a 375 board, and the backtest cuts' 764-wide
# Center. Read as specs they would pull the build away from the widths that do agree. The tell is
# a leaf whose size is IDENTICAL to the desktop board's (this table's 286 left block), against
# 13008-128626, where every leaf was re-laid to 375 and only the container heights are stale.
2736-25840	frame-defect	src/components/home-redesign/conversation/AssistantBody.tsx	/ (RedesignHome, conversation surface)	NOT re-read, by the rule-decided call: a hidden, avatar-less frame is not a spec, so the numbers go in the row instead of into the build. Still hidden=true; Frame 188 (2736:25844) still 680x150 holding two 150x150 cards at x=364 and x=530 flush to the column's right edge with no avatar, which no live sibling does. ONE OF THE THREE REASONS IS WITHDRAWN, and it matters because it was the only one that claimed the frame disagreed with live boards about a number. The carried gap says its composer 2736:25868 is 680x106 where "the live 1440 composer the build is measured against is 680x126 on a 32 seam". It is not: 13008:114523, the follow-up composer on the live 1440 conversation-5 board, is 680x106 on exactly 2736:25868's ladder - 20 of padding, a 22 prompt, a 12 seam, a 32 control row, 20. The 126 belongs to the HOME composer (2713:5018), which is a different card. So this frame's composer agrees with the docked boards, and the build was the thing that was 20 out until 08cbbe9ad. The verdict stands on the two reasons that survive - hidden, and avatar-less against three live siblings that all draw one. No browser: source-vs-node.	1440=partial 768=n-a 375=n-a @2026-09-17/wave48-home-ai
6715-35126	partial	src/components/home-redesign/conversation/ConversationView.tsx	/ (transcript)	RE-READ LIVE and ONE THING BUILT (08cbbe9ad). Everything wave 47 matched still measures true: transcript column 328 at x=24; the user bubble 278 wide with its text inset 10 across and 8 down on a 16 line and a 24 avatar 8 clear; the assistant run, the stamp at +16 and the six-icon row at +16 on a 28 pitch; the message column's own block seams all 12; the content box's title 0..18 with its body at y=26, the 8 that e2f588cec fixed; the footnote 8 under the composer. ADDED: turn to turn on THIS board is 32 - the three turns open at y=0, 64 and 444 against heights 32, 348 and 80 - which is a different number from the 24 the later 375 cut (7303:77774) draws and from the 48 at 1440, so the transcript's turn gap is per-board and this row states its own. THE MISS, and wave 47 recorded this rung as matched: the docked composer here is 360x112 with the prompt at y=16 and the control row at y=64, a 32 seam (6715:35152). ConversationView passed AskComposer a flat "dense", which is gap-3, so the card rendered 92 - 20 short - at this width and at 768. "dense" is now an lg-only tightening and the phone card is 112 again. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-17/wave48-home-ai
13008-127063	frame-defect	src/components/home-redesign/conversation/chart/CandlestickFullscreen.tsx	/ (RedesignHome, full-screen chart overlay)	NOT re-read; wave 47 opened and judged it and that verdict is carried rather than re-asserted - main a correct 768x920, Row 2 1432 wide inside it, Frame 160 1432x888, the Date strip 1432 wide on a 165.25 label pitch running to x=1338 while the plot in the same frame is 764 with a 701 candle image. ADDED FROM THE SIBLING READ: the price chip this board pins at 76x20, x=26 with a 68x16 run on a 4/2 inset is EXACT in the build, and the arithmetic is worth writing down because it looks wrong in the source. The chip ships px-[3px] py-px with a 1px alien-green stroke, so its box is 1+3+68+3+1 = 76 across and 1+1+16+1+1 = 20 down; the frame's 4/2 inset is measured from the box edge, which includes the stroke. md:left-[26px] and md:leading-[16px] place it. Nothing on the stale half is buildable and nothing was built. No browser: source-vs-node.	1440=n-a 768=partial 375=n-a @2026-09-17/wave48-home-ai
13008-128626	partial	src/components/home-redesign/conversation/chart/CandlestickFullscreen.tsx	/ (RedesignHome, full-screen chart overlay)	READ LIVE and the composition question is closed: there is nothing further this lane's files can move on this board. What is laid to 375: the candle image 302 wide, the price axis 55 at x=310 (an 8 gutter) with 42-wide labels at a 13 inset on 12-tall runs, the date strip 373x12 sitting 10 under the plot with its first label at x=16 on a 33.5 pitch, and the current-price chip 13008:129626 at 76x18, x=24, with a 68x14 run. The chip is exact - left-6 plus px-[3px] py-px plus the 1px stroke is 76x18 on a 14 line - and the axis and the date strip are drawn by lightweight-charts from the data, not by classes this file sets. What is stale, with no visible consequence: Center 764 wide inside a 373 column, Frame 160 373x888 inside a 711 Row 2, main 374 on a 375 board. ONE CORRECTION to the carried gap, which called this "the same disease as the 768 cut, half-cured": the WIDTHS here are re-laid throughout - Frame 160 is 373, not the 768 board's 1432 - and only the heights are stale, so the phone cut is further along than the tablet one rather than half of it. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-17/wave48-home-ai
13008-114473	partial	src/components/home-redesign/whales/whalesShared.tsx	/ (RedesignHome, conversation surface)	READ LIVE and it carried the whole 1440 rung of this lane's conversation ladder. Matching: the turn chip 13008:114479 628x52 with a 40 tile at (6,6) and its label column at x=56, which is WhaleContextChip's turn variant at lg to the pixel; the column Frame 262 680 wide at x=322 of the 1382 main; the response body's blocks 24 apart (paragraph 0..88, rule at 112, content at 136, follow-up question at 262), its content box title 0..24 with the body at y=36 - the 12 that AssistantBody's md:gap-3 draws - the stamp at +16 and the six-glyph action row at +16 on a 28 pitch. BUILT FROM IT: the follow-up composer Frame 41 is 680x106, the prompt at y=20 and the control row at y=54, so the seam is 12 HERE and 32 on both smaller boards; AskComposer's "dense" was a flat gap-3 and is now gap-8 lg:gap-3 (08cbbe9ad). Turn to turn is 48 on this board. Still partial for the half that is not this lane's: the 1382x16 ticker is HomeBottomTicker.tsx and the 58 rail HomeSidebarRail.tsx. whalesShared.tsx was clean at read time and was not edited. No browser: source-vs-node.	1440=partial 768=n-a 375=n-a @2026-09-17/wave48-home-ai
13008-125612	partial	src/components/home-redesign/whales/whalesShared.tsx	/ (RedesignHome, conversation surface)	READ LIVE - the first opening of this node by any wave, and it settles two rungs that were being carried on other boards' authority. THE CHIP: Frame 248 is 532 wide at x=8 holding a 508 content row at (8,8), with the 36 avatar at x=552 of a 588 column - the 8-left / 16-right asymmetry the md rung was re-measured for on 7303:77710 in August, now witnessed a second time on its own board. THE COLUMN: 588 at x=90 of a 768 main, which is the third board to state it (6715:34557 and 13008:126991 are the two the file already cites). THE COMPOSER: Frame 41 is 588x114, the prompt at y=16 and the control row at y=66 - a 32 seam - which is the middle rung of the composer ladder that was an interpolation until this read (a285ed325); and the footnote sits 16 under the card here against 8 at both other widths, which md:mt-4 already pays. The body blocks are 16 apart and its content title 0..19 with the body at y=31, both matching. Still partial for the mobile header and bottom nav, which are other lanes'. No browser: source-vs-node.	1440=n-a 768=partial 375=n-a @2026-09-17/wave48-home-ai
13008-125682	partial	src/components/home-redesign/whales/whalesShared.tsx	/ (RedesignHome, conversation surface)	NOT REACHED as a board; wave 46's live read stands, including the chip 13008:125691 as a 296x48 box holding a 276 content row at (10,8) with a 32 tile, which is WhaleContextChip's base column exactly. THE ONE THING THAT CHANGED HERE WITHOUT THE BOARD BEING OPENED, said plainly because a reader will otherwise assume a phone row under a composer commit is untouched: this board draws the same docked follow-up composer as its 375 sibling 6715-35126, and that card was rendering 92 tall against the sibling board's measured 112 because "dense" was flat. 08cbbe9ad fixes it at every 375 mount, so this board's composer moved 20px without this board being read. Everything else - response body, mobile header, bottom nav - belongs to other lanes and is carried. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-17/wave48-home-ai
14178-143359	frame-defect	src/components/home-redesign/screens/SentimentScreen.tsx	/?tab=sentiment (NOT the backtest surface the node's name implies)	NOT re-read; the title still lies (the node is named Agentic support - Backtesting and draws Sentiment) and wave 47's live read of the header stands verbatim - Frame 1138 343x64 as a 259-wide title block (a 24 glyph at x=0, the title 225 wide at x=34 on a 24 line, a 259x32 subtitle of two 16 lines 8 under it), an 8 seam, then Frame 1016 76 wide flush at 343 holding two 32x32 on a 12 gutter. ADDED FROM THE TABLET SIDE, which is new evidence rather than a re-reading: the 768 intel header (14113:75606) carries THREE controls in the same slot - a 32 round CTA, a 133-wide Display settings pill at x=44 and an 88.59-wide Live toggle at x=189, 277.59 in all - so this board's collapse to two 32s is a real phone step and not an omission on the frame. The 24-glyph back mark with the title opening at x=34 is still recorded and still not flipped. SentimentScreen.tsx was not edited this pass. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-17/wave48-home-ai
13006-319384	partial	src/components/home-redesign/whales/ActivityView.tsx	/trade/trench	NOT REACHED as a board; wave 44's verdict carries (cited at ActivityView.tsx:446 for the 12/12/14 cell padding ramp and :1423 for the pane-tab set, pinned by trenchTrackersPhone.figma.test.tsx). ADDED: the phone shell this board shares with :319525 - pane tabs 36, sub-tabs 36 at a 16 inset, toolbar 40 with 4 above and below, body 470 - was re-read live on the sibling this pass and measures true frame for frame (13006:319529, :319539, :319545, :319553 inside a 375x582 stack at y=154), so the four-bar shell this row depends on is now measured at HEAD rather than carried. The only change to ActivityView.tsx this pass is a docblock paragraph; nothing on this cut moved. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-17/wave48-home-ai
13006-319525	partial	src/components/home-redesign/whales/ActivityView.tsx	/trade/trench	READ LIVE and THE OPEN HAND-OFF IS CLOSED (e8e31b74a). Wave 46 left the question of how this phone board's table collapses against the 1440 one. It does not collapse: Frame 591 and Frame 357 are 745 wide at x=16 of a 375 artboard - 386 off the board - and each row's left block is the same 286 the 1440 sibling 13006:183651 draws, so the desktop table was pasted onto a phone artboard unchanged, the same shape as the backtest cuts' 764-wide Center inside a 373 column. There is therefore no phone column set to take from it, and the 692 track the file carries from 7290:60582 is not contradicted here. WHAT IS LAID TO 375, and measures true: the 36/36/40/470 shell; the pane tabs 39 and 58 at x=0 and x=63 in a 343 menu at (16,10) with the underline 39 wide at x=16, equal to the active tab; the type row Frame 1206 228x18 at (16,9) with a 97x18 box holding an 81x14 pill at (8,2); the toolbar's 132x32 search at (16,4) and Frame 1404 190x32 at x=169 as 32 + 4 + 32 + 4 + 118, which the file already cites by name. AND ONE PHONE-ONLY ELEMENT UNDER THE TABLE: Frame 1101, a 343-wide scrollbar at x=16 with a 97x4 thumb - the board asks for sideways scroll, which is the affordance this file ships. No browser: source-vs-node.	1440=n-a 768=n-a 375=partial @2026-09-17/wave48-home-ai
