# key	status	primaryFile	route	reason	bp
# Wave 57, 2026-09-21, lane `onboarding-landing` (modules/skai-landing/src/, modules/skai-landing/public/,
# src/pages/auth/, src/components/onboarding/, src/pages/oauth/). `src/components/auth/` was WITHDRAWN
# from this lane at 06:1x and is the peer fleet's; a row whose fix lands there is a hand-off.
# Rows here are the frames this pass REACHED; every other row of the slice stands on its earlier reading.
# Column 3 is one bare path; a second witness file and the mount site go in the reason.
#
# READS. Every row names what was opened for it and with which tool. Nothing is marked from memory,
# and the wave 52-53 note that the 768 and 375 hero boards read the shipped counter suffix was
# re-opened rather than carried - see the three hero rows, where it is corrected again with the
# strings quoted off the nodes.
10767-307473	partial	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE 2026-09-21 with get_metadata (the whole board) and get_design_context (the CRO 10767:308129). Board, value for value: mark 154x64 at 643,100 so the headline clears 80; content 621x172 at 409,244 with the headline 547x98 and the sub frame at y=124, a 26 gap; the CTA at y=464, a 48 gap; button 332x70; CRO 262x18 at 35,102, so 32 under the button and centred in the 332; line 49x18 holding a 16 glyph with 200k 31x18 at x=18 (a 2 gap) and the suffix at x=55 (a 6 gap); legal nav 117x18 at 32,32 with Terms 38 and Privacy 43 at x=70; pair nav 193x38 at 1215,22, two buttons 99 and 86 eight apart, right edge 1408. NO social row on this board, confirmed by grepping the whole node list rather than by assumption. ALL OF THAT MATCHES AT HEAD: the 80/26/48 rhythm is lg:mb-[80px] / lg:mb-[26px] / lg:mb-[48px], the button lg:h-[70px], the CRO lg:gap-8 under it, the line gap-0.5 and the suffix lg:gap-1.5, and HeaderNavigation.tsx draws the pair at lg:right-8 lg:top-[22px] on a gap-2 with the socials suppressed whenever the pair is handed in. BUILT THIS PASS (skai-landing 242b2f5): the CRO type, which had shipped flat at this board's own rung and was therefore right here and wrong at the other two - the count is Mulish Regular 14/18 at -0.56 and the suffix Manrope Regular 14/18 at -0.56, both confirmed off the node, and styles.css now reaches those values on the lg step instead of asserting them everywhere. PARTIAL for ONE thing, and it is a string, not a number: this board's suffix reads `Traders are already winning with us` (10767:308133) where 11189:3296 and 11225:182317 both read `Users are already winning with us` and the app ships `Users are already on this list`. THREE readings, no two alike, and the shipped one is on no board at all - this CORRECTS the wave 52-53 record a second time, read off the nodes this pass. The fix is one string at modules/skai-ui/src/lib/content.ts:217, which is not this lane's file, and the comment sitting above it there states that 11189:2629 and 11225:181650 read the shipped string, which they do not. HAND-OFF to the skai-ui lane, and the wording is Casey's call because one constant cannot be two boards. The count itself is NOT a gap: the board's 200k is a design literal and the app draws the live waitlist figure through useWaitlistCount (LandingWaitlist.tsx:127), which is the real source and stays.	1440=partial 768=n-a 375=n-a @2026-09-21/wave57-onboarding-landing
11189-2629	partial	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE 2026-09-21 with get_metadata (the whole board) and get_design_context (the CRO 11189:3292). Board: legal nav 117x16 at 30,30 with Terms 33 and Privacy 37 at x=65; pair nav 183x34 at 555,21, buttons 93 and 82 eight apart, right edge 738; NO social row, confirmed off the node list; mark 116x48 at 326,280; content 467x142 at 150,376 with the headline 415x81 and the sub frame at y=105, a 24 gap; CTA 332x90 at 218,558, a 40 gap under the content; button 332x50; CRO 222x16 at 55,74, so 24 under the button and centred in the 332; line 49x16 with a 16 glyph and 200k 31x16 at x=18, and the suffix 169x16 at x=53, a 4 gap. MATCHING AT HEAD: md:mb-12 / md:mb-6 / md:mb-10 for the 48/24/40 rhythm, md:h-[50px] on the button, md:gap-6 under it, gap-0.5 in the line and gap-1 to the suffix, and HeaderNavigation's md:right-[30px] md:top-[21px] with px-[30px] py-[30px] on the legal row. BUILT THIS PASS (skai-landing 242b2f5): the CRO type, and this rung is where the flat shipped value was most wrong - the board splits the two halves, count Mulish Regular 14/16 at -0.56 and suffix Manrope Regular 12/16 at -0.48, so the count reaches 14px a rung before the suffix does. styles.css now carries that split in a 768 media query. PARTIAL for the same single string as 10767-307473: this board reads `Users are already winning with us` (11189:3296) against the 1440 board's `Traders...` and the app's `Users are already on this list`. HAND-OFF, modules/skai-ui/src/lib/content.ts:217, wording is Casey's.	1440=n-a 768=partial 375=n-a @2026-09-21/wave57-onboarding-landing
11225-181650	partial	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE 2026-09-21 with get_metadata (the whole board) and get_design_context (the CRO 11225:182313). Board: legal nav 111x16 at 24,24 with Terms 40 and Privacy 47 at x=64, a 24 gap; NO social row - the August board drops the three-icon row its May twin 2005-21410 draws; pair nav 153x32 at 199,16, buttons 75 and 70 eight apart, right edge 352 so the right inset is 23 and not 24; mark 87x36 at 144,246; content 329x131 at 23,314 (the mark clears 32); headline 329x61 with the sub frame at y=77, a 16 gap; CTA 328x76 at 24,477, a 32 gap; button 328x44; CRO 218x16 at 55,60, so 16 under the button and centred in the 328; line 45x16 with a 16 glyph and 200k 27x14 at x=18, the suffix 169x14 at x=49, a 4 gap. MATCHING AT HEAD: mb-8 / mb-4 / mb-8, h-[44px], gap-4 under the button, gap-0.5 and gap-1, and HeaderNavigation's right-[23px] top-4 with px-6 pr-[23px] py-6 - the asymmetric right inset is the board's 23 and is deliberate. BUILT THIS PASS (skai-landing 242b2f5): the CRO type. This board is the smallest rung, Mulish Regular 12/14 at -0.48 and Manrope Regular 12/14 at -0.48 for both halves, and the page had been drawing 14/18 at -0.56, which ran the line 2px over the frame's 14px box on the narrowest screen. The 44px touch floor does not reach either run: neither is a control. PARTIAL for the same single string, quoted here off 11225:182317 as `Users are already winning with us`. HAND-OFF, modules/skai-ui/src/lib/content.ts:217, wording is Casey's.	1440=n-a 768=n-a 375=partial @2026-09-21/wave57-onboarding-landing
2005-21410	done	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE 2026-09-21 with get_metadata and CLOSED BY SUPERSESSION, with the delta list measured rather than carried. This is the MAY 375 hero; its August twin 11225-181650 is the governing board under Casey's ruling of 2026-09-19, and the two disagree on exactly six things, every one of them read off the nodes this pass: the mark sits at 144,248 here and 144,246 there (so the clearance is 40 against 32); content opens at 23,324 against 23,314; the CTA at 24,487 against 24,477; the subhead 2005:22092 reads `Tap into our brave new world of perpetual trading, swaps, prediction, memes, launchpads, and our catalog of casino style gaming.` where August reads `Discover the new world of...`; this board draws a THREE-icon social nav 117x16 at 235,25 (discord x=5, twitter x=53, instagram x=101) where August draws none at all; and the CRO is 184x16 at x=72 holding `800` and `Users are already on this list` (2005:22101, 2005:22102) where August draws 200k and the winning-with-us line. On all six the app follows August and is correct. ★ THE SIXTH IS THE FIND OF THIS PASS: `Users are already on this list` is EXACTLY the string shipping at modules/skai-ui/src/lib/content.ts:217, and 800 is exactly its defaultCount - so the shipped copy is the MAY copy, which Casey's ruling has already superseded, and the wave 52-53 note that a 768 or 375 August board reads it is corrected at the root. Everything the two boards share is matched at HEAD and was re-derived here, not carried: nav 111x16 at 24,24 with Terms 40 and Privacy 47 at x=64, headline 329x61, sub 295x54 at x=17 sixteen under it, CTA 328x76, button 328x44, CRO 16 under the button and centred in the 328, line gap 2, suffix gap 4. DONE on the wave 54 precedent that a ruling settling a frame element closes the row; the open items belong to the governing August board and are written up there rather than counted twice.	1440=n-a 768=n-a 375=done @2026-09-21/wave57-onboarding-landing
2005-22826	partial	modules/skai-landing/src/pages/UsernamePage.tsx	/username	READ LIVE 2026-09-21 with get_metadata, whole board. Board: legal nav 111x16 at 24,24 (Terms 40, Privacy 47 at x=64); social nav 117x16 at 235,25 with icon16/discord at x=5, icon16/twitter at x=53 and icon16/instagram at x=101, a 32 gap between boxes and NO telegram; mark 87x36 at 144,202; content 329x64 at 23,278 with the title 329x30 and the sub frame at y=46, so a 16 gap, and the sub 295x18 at x=17; Frame 173 328x128.5 at 24,374, a 32 gap under the content. Frame 173 opens on Frame 172 328x60.5 - input 328x36.5 whose text group is 198x24 centred at x=65 (URL 178 = a 89 prefix abutting an 89 name, then 4 to a 16 check in a 20 box), with Vector 361 328x24.5 riding at y=12 - then the availability line 213x16 centred at x=57.5, 8 under the field, reading `skai.trade/artofofiare` 136 and `is available!` 73 at x=140, a 4 gap; then Button/large 328x44 at y=84.5, 24 under the line, its `Claim @artofofiare` label 119x16 centred at x=104.5. MATCHING AT HEAD, re-derived this pass: the 328 column (the container's 16 plus pl-2, closing on 352 with pr-[7px] - skai-landing 8160be7), the 16 title-to-sub as mb-[16px], the 8 field-to-line as the form's gap-2 and the 24 line-to-button as that gap plus the button's mt-4, h-[44px] and w-full on the button, the 4 URL-to-tick as gap-1 and the 4 inside the availability line as pr-1, and the social nav, which HeaderNavigation draws whenever a page hands in no Sign up / Login pair and which UsernamePage does not. TWO of this board's numbers are SUPERSEDED rather than matched, and the ruling is already in the file: the 36.5 open-rule field becomes the August set's closed 48-tall box at a 12 inset (11225:184789), and the 32 content-to-form gap becomes August's 26.25 - both read live in wave 55 and both correct under Casey's 2026-09-19 ruling; likewise the 40 mark clearance, where August draws 32 and mb-8 ships. PARTIAL FOR ONE THING AND IT IS A CASEY CALL, NOT A MISS: this board anchors the mark absolutely at y=202, and the page hangs off .main-content-container (styles.css:1246), which is justify-content:center - so the column is CENTRED and the mark lands where the viewport puts it. The sibling ExternalWallet.tsx:305 does it the other way and reaches 202 exactly by arithmetic (16 container + 8 card + pt-[178px]), so both idioms are live in one flow. No browser ran, so no rendered y is claimed here either way. The call is whether the onboarding column is centred or anchored; it reaches 2005-23529, 2005-24244 and the hero boards identically.	1440=n-a 768=n-a 375=partial @2026-09-21/wave57-onboarding-landing
2005-23529	partial	modules/skai-landing/src/pages/CompletionPage.tsx	/complete then /dashboard	READ LIVE 2026-09-21 with get_metadata, and its AUGUST TWIN 11225:185493 was opened beside it so the copy question could be settled rather than raised. Board (Congratulations slide 1): legal nav 111x16 at 24,24; social nav 117x16 at 235,25, three icons at x=5/53/101; mark 87x36 at 144,202; content 329x64 at 23,278 - title 329x30 reading `@artofofiare is yours!` and the sub frame at y=46, a 16 gap, holding 295x18 at x=17; then Frame 174 220x32 at 77.5,390.25, centred in the 375 and opening 48.25 under the content block. Inside it the reward is a ROW and not a column: a 32 skai token at x=0 and `+500 SKAI Points` 176x28 at x=44 y=2, so the gap is 12. A hidden 332x66 Claim button trails it and is not drawn. BUILT THIS PASS (skai-landing 7a26231): the reward block now opens on the board's own 48.25 at 375 rather than a rounded 48, on both the wrapper's padding and the absolute row that rides on it, so the two slides keep the single shared anchor wave 56 gave them and land on the frame's value exactly. MATCHING AT HEAD, re-derived: the 16 title-to-sub as mb-4, the 12 row gap as gap-3, the 32 token as h-[32px], the title's 24/30 at -1.12 with the handle on a 165deg Sky Blue to App Green ramp, the 12/18 subtitle in #E0E0E0, and the social nav, which HeaderNavigation draws because this page hands in no auth pair. TWO of this May board's terms are SUPERSEDED, and I checked rather than assumed: it clears the mark by 40 where August's 11225:186337 sits at y=210 and clears 32 (mb-8 ships), and its subtitle reads `Welcome Skai Pioneer!` (2005:24232) where August 11225:186153 reads `Welcome to Skai!` - which is EXACTLY the string shipping at modules/skai-ui/src/lib/content.ts. So the copy is right and needs no hand-off; the comment above it in content.ts is accurate. PARTIAL for one thing only, the same open call as 2005-22826: the board anchors the mark absolutely at 144,202 (August at 144,210) and the page hangs off .main-content-container, which is justify-content:center, so the column is CENTRED and the mark's y follows the viewport. No browser ran and no rendered y is claimed. Centred or anchored is Casey's; it reaches every 375 onboarding board at once.	1440=n-a 768=n-a 375=partial @2026-09-21/wave57-onboarding-landing
2005-24244	partial	modules/skai-landing/src/pages/CompletionPage.tsx	/complete then /dashboard	READ LIVE 2026-09-21 with get_metadata, with the August twin 11225:185493 opened beside it. Board (Congratulations slide 2): the same navs, mark and content block as 2005-23529 - content 329x64 at 23,278, title `@artofofiare is yours!`, sub at +46 - then Frame 172 176x138 at 99.5,390.25, centred in the 375 and on the SAME 390.25 anchor as slide 1, which is what makes the cross-fade sit still. Inside it a COLUMN: skai token 64x64 at x=56 (centred in the 176), `+500 SKAI Points` 176x28 at y=80 so 16 under it, and the gift line 70x14 at y=124, another 16 under the amount. Two further runs in that line are HIDDEN on the board (`+500` and `SKAI tokens!`), so the visible note is one phrase and the page drawing one phrase is correct. BUILT THIS PASS (skai-landing 7a26231): the shared 48.25 anchor, written up on 2005-23529. MATCHING AT HEAD, re-derived off this node: the 64 token, the 16 column gap as gap-4 (md:gap-[18px] lg:gap-4 above), the amount in Mulish Light 24/28 at -0.96 through font-numbers, and the note in Manrope 12/14 at -0.48. The May gift string `We gifted you` (2005:24939, 70 wide) is SUPERSEDED by August's `We gifted you!` (11225:186164, 74 wide), which is what content.ts already ships - checked, not assumed, so there is no copy hand-off on this pair. PARTIAL for the single open call named on 2005-23529 and 2005-22826: the absolute mark anchor against .main-content-container's centring. Nothing else on this board is open.	1440=n-a 768=n-a 375=partial @2026-09-21/wave57-onboarding-landing
2005-25112	partial	modules/skai-landing/src/pages/DashboardPage.tsx	/dashboard	READ LIVE 2026-09-21 with get_metadata, whole board, and the wave 41 figures reproduce to the pixel rather than being carried: mark 58x24 at 24,39; Frame 182 180x36.025 at 172,24, right edge 352, a 12/14 label over a 14/16 value on a 6.025 gap; bento 343x796 at 16,79, so the mark clears 16. The bento is ONE COLUMN of four boxes with every seam a flat 8 - card 343x132 (content 327x54 at 8,8 over a 327x46 Button/large at 8,78), card group 343x376 at y=140 holding the badge 343x80 and the referral 343x288 at y=88, and modal 343x272 at y=524. This board draws NO footer navs; its scrolling twin 2005-26526 does. MATCHING AT HEAD: px-6 pt-[39px] puts the mark on 24,39 and SkaiLogo size small stands it 24 tall; pb-4 closes the header on 79 so the 16 is structural rather than a magic number; px-4 opens the bento on 16 at 343 wide; gap-2 is the 8 seam; and the stat block is the frame's 180x36 with gap-[6px]. PARTIAL FOR ONE THING, AND IT IS A CASEY CALL RATHER THAN A MISS - the 375 CARD ORDER. The board's column runs welcome, badge, referral, agent modal. The page's grid is grid-cols-1 at this width, so the column is right, but its FIRST cell is DailyStreakMini, a card no frame on this board draws, which puts the welcome card second and pushes every box below it down one slot. The card is live and carries real streak data, so it is not deleted on a frame's silence; the call is whether it is dropped at 375, moved below the modal, or folded into the welcome card. The page's own comment at DashboardPage.tsx:1216 already states the same problem at 1440, where it holds back a 564/448 column split for exactly this reason. Nothing else on this board is open.	1440=n-a 768=n-a 375=partial @2026-09-21/wave57-onboarding-landing
2005-26526	partial	modules/skai-landing/src/pages/DashboardPage.tsx	/dashboard	READ LIVE 2026-09-21 with get_metadata. 375x1006, the scrolling cut of 2005-25112, and the two agree exactly where they overlap: mark 58x24 at 24,39, Frame 182 180x36.025 at 172,24, bento 2005:27209 343x796 at 16,79 with the same four boxes in the same order on the same flat 8 seams. What this cut adds: the scroll indicator Frame 184 6x291 at 365,223 - the mock's own scrollbar rail, furniture, not built - and the two footer navs, legal 111x16 at 24,965 (Terms 40, Privacy 47 at x=64) and social 117x16 at 235,966 on a 32 step. MATCHING AT HEAD for the geometry, as on its twin, and LandingFooter is mounted at DashboardPage.tsx:1565. PARTIAL FOR TWO CALLS, both Casey's, neither a measurement gap. (1) The 375 card order, written up on 2005-25112: DailyStreakMini leads a column the board opens with the welcome card. (2) ★ THE FOOTER SOCIAL ORDER, and the two boards contradict each other rather than the code: this one draws icon16/discord at x=5, icon16/INSTAGRAM at x=53 and icon16/TWITTER at x=101, while 2005:16658 - the 768 board the component was built against - draws discord, twitter, instagram, which is what modules/skai-ui/src/components/landing/landing-footer.tsx:56-63 ships and what its own comment cites. One footer cannot be two orders unless the order is made width-conditional, which is a design decision and not a defect. HAND-OFF to the skai-ui lane for the file, and the order is Casey's to rule. Read off the nodes this pass; no order was changed on a guess.	1440=n-a 768=n-a 375=partial @2026-09-21/wave57-onboarding-landing
2005-20686	partial	modules/skai-ui/src/components/overlays/wallet-choice-modal.tsx	/ (WalletChoice, skai-landing)	READ LIVE 2026-09-21 with get_metadata (the whole 768 board) and get_design_context on the content block 2005:21385. The skai-landing file the catalog names is a 30-line adapter, so the geometry is skai-ui's and this is a HAND-OFF. Board: modal 2005:21380 468x317 at 150,354; controls 436x16 at 16,16 with close 16x16 at x=420; content 436x63 at 16,56 - title 436x28 over a 436x19 line at +44; Frame 167 436x158 at 16,143, two rows 436x70 on an 88 step so the gap is 18, each row's content 404x38 at 16,16. MATCHING AT HEAD: the 468 box (md:max-w-[468px]), the 436 column (md:px-4), the 16/24 controls rhythm (md:pt-4 then md:mb-6), the 18 row gap (md:gap-[18px]), the 70 row (md:p-[14.5px] over md:border-[1.5px] = a 16 inset around a 38-tall content), the 404x38 content, and the 31.41x32 logo (md:h-8 md:w-[31.41px]). ★ THIS RETRACTS WAVE 56'S ONE REMAINING TERM ON THIS BOARD, and the retraction is the find: wave 56 recorded the logo-to-text gap as md:gap-4 against a board drawing 32, and that reading MISSED A NODE. Frame 170 opens at x=63.405670166015625, but the run is not one gap - the frame's zero-width Vector 360 (2005:21397, 2005:21406) sits at x=47.405670166015625, so the board draws 16, a rule, then 16. wallet-choice-modal.tsx:195-197 and :220-222 already ship exactly that, a w-0 box carrying a dashed left border, on md:gap-4 either side, and 31.40567 + 16 + 0 + 16 = 63.40567 lands on the board's value to five decimals. Nothing to change; the term is closed. PARTIAL FOR ONE NEW TERM, measured this pass and NOT previously recorded: the subtitle TYPE. The board's 2005:21388 is Manrope Regular 14/18.048309 at -0.56 (the Md/Sub-headline 2 300 token), which is why its line box is 19 and the content block is 63. wallet-choice-modal.tsx:162 ships md:text-[16px] md:leading-[22px] with no tracking, so the block stands 66 and pushes Frame 167 from the board's 143 to 146 - a 3px shift on everything below it. The value is not in doubt and is not new to the repo: the sibling email-verification-modal.tsx:330 already ships md:leading-[18.05px] for the same token. HAND-OFF to the skai-ui lane, one declaration at modules/skai-ui/src/components/overlays/wallet-choice-modal.tsx:162. Not a Casey call - the board and the design token agree.	1440=n-a 768=partial 375=n-a @2026-09-21/wave57-onboarding-landing
