10272-3822	Directory
10272-3828	Breakpoint
10272-3830	Breakpoint
10272-3832	Breakpoint
11930-43441	Breakpoint
10272-3834	Skai > Play > Casino > Safari slots (768 x 1024px)
10354-877	Load screen - tablet
10354-3115	Load screen > features > home - tablet
10354-3935	Load screen > features > home > menu - tablet
10354-2840	Load screen > features > home > all key items - tablet
10354-1754	Load screen > features - tablet
10354-1555	Load screen ALT - tablet
10272-4179	Skai > Play > Casino > Safari slots (1440 x 900px)
10359-10003	Skai > Play > Casino > Safari slots - screen type 2 (1440 x 900px)
10359-11133	Skai > Play > Casino > Vegas fortune > Load screen - screen type 2 1VH (1440 x 900px)
10285-15783	Load screen - desktop
10295-732	Load screen - desktop - normal size with sidebar - (w 954px)
10285-15821	Load screen ALT - desktop
10285-16306	Load screen > features - desktop
10320-2623	Load screen > features > home - desktop
10353-1058	Load screen > features > home > menu - desktop
10329-11088	Load screen > features > home - desktop
10341-11586	Load screen > features > home > combo - desktop
10353-829	Load screen > features > home > combo > combo end frame - desktop
10341-11509	Safari A 1
10341-11513	Safari A 5
10341-11510	Safari A 2
10341-11514	Safari A 6
10341-11511	Safari A 3
10341-11515	Safari A 7
10341-11517	Safari A 9
10341-11512	Safari A 4
10341-11516	Safari A 8
10272-4933	Skai > Play > Casino > Safari slots (375 x 812px)
10354-4819	Load screen - mobile
11930-46622	Load screen - mobile
10354-5242	Load screen - mobile
11930-46727	Load screen - mobile
10354-6256	Load screen - refresh screen - mobile
11930-46841	Load screen - refresh screen - mobile
10354-5365	Load screen > features > home - mobile
11930-46945	Load screen > features > home - mobile
10354-6074	Load screen > features > home > all key items - mobile
11930-47126	Load screen > features > home > all key items - mobile
10354-7028	Load screen > features > home > menu - docked - mobile
11930-47313	Load screen > features > home > menu - docked - mobile
10354-7459	Load screen > features > home > menu - mobile
11930-47489	Load screen > features > home > menu - mobile
10354-5137	Load screen ALT - mobile
11930-47699	Load screen ALT - mobile
10354-4269	Skai > Play > Casino > Safari slots 1VH (375 x 812px)
10359-8316	Skai > Play > Casino > Safari slots 2 1VH (375 x 812px)
10329-11023	Safari manager body 1
10329-11025	Safari manager body 2
10329-11027	Safari manager body 3
10329-11024	Safari manager head 1
10329-11026	Safari manager head 2
10329-11028	Safari manager head 3
10329-11029	Notes
10359-9369	Safari slots - Card visual
10359-9167	Safari slots - Card visual
10359-9488	Mines Desktop
10359-9493	Safari slots - Desktop
10359-9530	Safari slots - Tablet
10359-9535	Safari slots - Mobile
10359-10001	Rectangle 34624566
10359-11109	Notes
10359-12722	Rectangle 155
10359-12723	Rectangle 163
11930-45998	Skai > Play > Casino > Safari slots (375 x 812px)
11930-47944	Skai > Play > Casino > Safari slots 1VH (375 x 812px)
11930-48655	Skai > Play > Casino > Safari slots 2 1VH (375 x 812px)
