# key	status	primaryFile	route	reason	bp
# Lane onboarding, wave 41, 2026-09-14. 116 frames, the open rows of the "Onboarding and Authentication" page of
# 3sSzw1KewMtUbeLAv7uW0r (98 partial, 12 not-started, 3 blocked-on-backend, 3 frame-defect; none was done). One row
# per frame, keyed by node id. Owns nine files in modules/skai-landing: LandingWaitlist.tsx, the three modal adapters,
# HeaderNavigation.tsx, CompletionPage.tsx, DashboardPage.tsx, ExternalWallet.tsx, UsernamePage.tsx.
#
# PROVENANCE @2026-09-14/wave41-onboarding: source-resolved, NO BROWSER (wave rule), so no cell in column 6 says done.
# Seven frames were read live this pass with get_metadata, whole-tree: the four Pre-launch dashboard boards
# 2422-2943, 2005-16658, 2005-25112 and 2005-26526, and the three Temporary landing boards 2065-110, 2065-8549 and
# 2065-16978, which wave 39 could not open when the seat's burst cap closed. Every other row carries wave 39's
# measurement forward, and that carry is checkable rather than assumed: git log on the nine owned landing files shows
# 84b2c95 (2026-09-09) as the last touch before this pass's own commit, and modules/skai-ui/src/components/overlays
# last changed at c767ac5 (2026-09-08) - both before wave 39 measured them, so nothing behind those rows has moved.
#
# BUILT THIS PASS (skai-landing 7125ef3, DashboardPage.tsx, the only file this lane changed):
#  - bento side inset 16 / 30 / centred-1028 against the frames' 16 / 30 / 206-in-1440 (was 16 / 24 / centred).
#  - bento card gaps 8 / 8 / 16, the seams 2005:25780, 2005:17018 and 2422:3299 actually draw (was 12 / 16 / 20).
#  - the header row inset symmetrically 24 / 54 / 24-inside-1028, putting the mark on the frames' x=24 / 54 / 229
#    and the stat block's right edge on 352 / 714 / 1211 (was a flat 24, which is 30px short at 768).
#  - the header mark 24 / 32 / 48, SkaiLogo small / compact / medium, against 58x24, 77.33x32 and 116x48. The 375
#    board had been drawing 32.
#  - mark-to-bento 16 / 21 / 32, the ramp the three frames draw (was a flat 12).
#
# NOT BUILT, and why. The dashboard's column split is 564/448 at 1440 and the frame seats the welcome card left;
# this grid's first cell is the daily-streak card no frame draws, so the welcome card sits RIGHT and a 564/448 split
# would widen the wrong column. Reassigning the cards is a layout change, not a width, and the agent panel ships
# col-span-2 where the frame stacks it at 564x398 under the welcome card. The bento CARDS are all @skai-trade/ui.
#
# THE RULING THIS PASS SHARPENS. Wave 39 asked Casey to choose between the shipped 332x66 hero CTA and the 70-tall
# button in the August v2 set. Reading 2065-110 / 2065-8549 / 2065-16978 live shows the MAY Temporary-landing branch
# - same / and /ref/:code route - ALSO draws 70 at 1440 and 50 at 768, with the same invented 200k counter. So three
# of the four 1440 branches say 70 and only the Onboarding branch says 66, which is what ships. Two frames of one
# route disagree; a lane cannot pick between them. At 375 both branches say 44 and the page already draws 44.
#
# STILL HELD FOR RULING from wave 39, unchanged: the May "Get early access" / "Login" modal set describes
# waitlist-modal, which stopped shipping on 2026-09-08 when AuthModal replaced it. Twelve rows.
#
# OFF LIMITS THIS WAVE, so every gap that lands there is a hand-off, not a deferral: modules/skai-ui/src. That holds
# auth-modal.tsx (26 rows), email-verification-modal.tsx (the 58x58-vs-60x78 OTP box at 1440, 64x54-vs-66x76 at 768,
# 42x46-vs-50x72 at 375, all from the modal's 24px inner padding where the frames use 8), wallet-choice-modal.tsx
# (option rows 90 and 108 tall against a matched 400x88 pair at 1440, 74/82 against 60/60 at 375), badge-card.tsx
# (the three tooltip frames), landing-header.tsx (four socials where every frame draws three, and two below 640) and
# landing-footer.tsx (the y858 / y978 / y965 nav placement, and the social order that flips between boards).
Get early access with input 1440 [2005-10032]	partial	modules/skai-ui/src/components/overlays/auth-modal.tsx	/ (FlowStep "auth")	HELD FOR RULING, as 2005-9301: the filled state of the May modal. AuthModal's filled state is the same field with the Sign up focus ring (1.5px #17F9B4, 10734:74431). [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	1440=partial @2026-09-14/wave41-onboarding
Get early access with input 375 [2005-28687]	partial	modules/skai-ui/src/components/overlays/auth-modal.tsx	/ (FlowStep "auth")	HELD FOR RULING, as 2005-9301. [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	375=partial @2026-09-14/wave41-onboarding
Get early access with input 768 [2005-18495]	partial	modules/skai-ui/src/components/overlays/auth-modal.tsx	/ (FlowStep "auth")	HELD FOR RULING, as 2005-9301. [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	768=partial @2026-09-14/wave41-onboarding
Verification with input 1440 [2005-12217]	partial	modules/skai-ui/src/components/overlays/email-verification-modal.tsx	/ (FlowStep "auth")	As 2005-10763; the filled state has the same geometry (08-05 record). [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	1440=partial @2026-09-14/wave41-onboarding
Verification with input 768 [2005-19956]	partial	modules/skai-ui/src/components/overlays/email-verification-modal.tsx	/ (FlowStep "auth")	As 2005-19226. [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	768=partial @2026-09-14/wave41-onboarding
Congratulations Slide 1 1440 [2005-8588]	partial	modules/skai-landing/src/pages/CompletionPage.tsx	/complete then /dashboard	FROM THE 08-05 RECORD: Slide 1 and Slide 2 are the two phases of one animated page (the small mark + points row, then the large mark, tier line, points row and the We gifted you note), both built. REMAINING at every width: the tier-name line the app adds between the mark and the points row (live badge content, kept) and the DB badge icon standing in for the frame's skai-token circle. Not re-read this run. [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	1440=partial @2026-09-14/wave41-onboarding
Congratulations Slide 1 375 [2005-23529]	partial	modules/skai-landing/src/pages/CompletionPage.tsx	/complete then /dashboard	FROM THE 08-05 RECORD, as 2005-8588 at 375, plus the mark: every 375 frame draws it 87x36 and the page now renders 36 through OnboardingLogo (was 48). Not re-read. [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	375=partial @2026-09-14/wave41-onboarding
Congratulations Slide 1 768 [2005-15075]	partial	modules/skai-landing/src/pages/CompletionPage.tsx	/complete then /dashboard	FROM THE 08-05 RECORD, as 2005-8588 at 768. Not re-read. [wave41 09-14: not re-read this pass (seat budget spent on the dashboard and Temporary-landing boards); the component behind it is unchanged since wave 39 measured it - last touch skai-landing 84b2c95 (09-09), skai-ui overlays c767ac5 (09-08) - so the verdict and the named gaps stand.]	768=partial @2026-09-14/wave41-onboarding
Pre-launch dashboard Live 375 [2424-7715]	partial	modules/skai-landing/src/pages/DashboardPage.tsx	/dashboard	As 2005-25112, read live this pass; this Live cut differs only in the header stat's state. Not re-read. BUILT THIS PASS in DashboardPage.tsx (skai-landing 7125ef3), all three boards at once: bento side inset 16 / 30 / centred-1028 (was 16 / 24 / centred), card gaps 8 / 8 / 16 (was 12 / 16 / 20), header row inset 24 / 54 / 24-inside-1028 (was 24 / 24 / 24), header mark 24 / 32 / 48 through SkaiLogo small / compact / medium (was 32 / 32 / 48) and mark-to-bento 16 / 21 / 32 (was 12 / 12 / 12).	375=partial @2026-09-14/wave41-onboarding
Pre-launch dashboard Tooltip 1440 [2481-11481]	partial	modules/skai-landing/src/pages/DashboardPage.tsx	/dashboard	Dashboard as 2422-2943, read live this pass, plus the tool-tip instance 2537:23630 - 250x194, a 16px connector pointing left and a bubble 234 wide, p16, r8, #123F3C, Manrope 14/18 -0.56 #E0E0E0. STILL NOT BUILT: it hangs off the badge card, which is @skai-trade/ui badge-card.tsx / welcome-card.tsx, and modules/skai-ui/src is off limits to every lane this wave. HAND-OFF skai-ui: a hover/tap tooltip on the badge card with that geometry and the copy recorded on the wave 39 row. BUILT THIS PASS in DashboardPage.tsx (skai-landing 7125ef3), all three boards at once: bento side inset 16 / 30 / centred-1028 (was 16 / 24 / centred), card gaps 8 / 8 / 16 (was 12 / 16 / 20), header row inset 24 / 54 / 24-inside-1028 (was 24 / 24 / 24), header mark 24 / 32 / 48 through SkaiLogo small / compact / medium (was 32 / 32 / 48) and mark-to-bento 16 / 21 / 32 (was 12 / 12 / 12).	1440=partial @2026-09-14/wave41-onboarding
Pre-launch dashboard 375 scrolling [2005-26526]	partial	modules/skai-landing/src/pages/DashboardPage.tsx	/dashboard	READ LIVE. 375x1006, the scrolling cut. Bento 2005:27209 is identical to 2005-25112 (343x796 at 16,79, every seam 8, same four cards in the same order) plus the scroll indicator 2005:27955 6x291 at x365 and the footer navs at y965/966 - Terms/Privacy at x24, three socials at x235 ordered discord, instagram, twitter where the 1440 frame orders them discord, twitter, instagram (skai-ui LandingFooter). BUILT THIS PASS in DashboardPage.tsx (skai-landing 7125ef3), all three boards at once: bento side inset 16 / 30 / centred-1028 (was 16 / 24 / centred), card gaps 8 / 8 / 16 (was 12 / 16 / 20), header row inset 24 / 54 / 24-inside-1028 (was 24 / 24 / 24), header mark 24 / 32 / 48 through SkaiLogo small / compact / medium (was 32 / 32 / 48) and mark-to-bento 16 / 21 / 32 (was 12 / 12 / 12). Remaining as 2005-25112.	375=partial @2026-09-14/wave41-onboarding
Pre-launch dashboard 1440 [2005-7482]	partial	modules/skai-landing/src/pages/DashboardPage.tsx	/dashboard	As 2422-2943, whose bento was read live this pass; the two frames differ only in which state the header slot carries - Days to launch over the countdown (2422:4022) against Total rewards over the balance (2422:4077), both Frame 183 239x52 at 972,76, and the page draws whichever of the two has a real value. Not re-read. BUILT THIS PASS in DashboardPage.tsx (skai-landing 7125ef3), all three boards at once: bento side inset 16 / 30 / centred-1028 (was 16 / 24 / centred), card gaps 8 / 8 / 16 (was 12 / 16 / 20), header row inset 24 / 54 / 24-inside-1028 (was 24 / 24 / 24), header mark 24 / 32 / 48 through SkaiLogo small / compact / medium (was 32 / 32 / 48) and mark-to-bento 16 / 21 / 32 (was 12 / 12 / 12). REMAINING: the column split is still an even two-up. 2422:3299 draws 564 left against 448 right, but this grid's first cell is the daily-streak card the frames do not draw, which seats the welcome card in the RIGHT column and the badge card in the left; splitting 564/448 before the cards are reassigned would widen the wrong one. The agent panel also ships col-span-2 where the frame stacks it under the welcome card at 564x398. The cards themselves are @skai-trade/ui (WelcomeCard, BadgeCard, ReferralCard, MediaSlider) - cross-lane.	1440=partial @2026-09-14/wave41-onboarding
