# key	status	primaryFile	route	reason	bp
# Lane trade, wave 44, 2026-09-15. 21 rows, one per frame in BRIEF-trade.md. Every row's reason column is
# wave 43's measured gap re-tested against the file at HEAD of this pass, and the verdict below is this lane's,
# not a carry.
#
# THE HEADLINE FINDING: TEN OF THE TWENTY-ONE GAPS WERE ALREADY CLOSED IN THE TREE WAVE 43 READ. Wave 43's
# measurements of the FRAMES held everywhere this lane re-read one; what did not hold is several of its readings
# of the SOURCE, and they failed the same way each time — a comment in the past tense, describing the defect a
# commit had already fixed, read as a present-tense gap:
#
#   9770-133755  "the build follows the hidden cut and no drawing rail ships" — commit 29c808b32 ("draw the tool
#                rail on the phone chart") is an ANCESTOR of the 105852ce1 wave 43 read at, and CandleChart.tsx
#                :1580-1587 says "The rail is drawn at every width".
#   9002-158074  "'Auto' goes behind the scroll chevron" — that sentence at :491 is the report the 'no-min-size'
#                opt-out three lines above it was written for. Both, plus 9780-145912 which inherits the second.
#   9050-215425  "Spot.tsx:540 pins the grip lg:flex, so at 768 no grip is drawn at all" — true of that RETURN,
#   9780-113550  and Spot returns MobileTradeShell before reaching it below lg. The shell mounts its own
#                LayoutGrip at left-3 md:left-[9px], which is the 375 board's 12 and the 768 board's 9.
#   9148-79119   "nothing in the shipped row draws" the leverage Tag — MarketSearchModal.tsx:1261 draws it, on
#                the perps tab only, off MARKET_METADATA.
#   9048-192507  three rows reading a nav's x positions as a spec. They are a function of WHICH pill is active,
#   9050-207877  and the active plate is built: px-2 py-0.5 on a 4px radius, which is +16 wide and +4 tall.
#   9148-79119   Every x each frame states falls out of that one rule.
#
# Two commits this pass do nothing but date those notes, so the next pass cannot re-file them: 6c6be307c
# (CandleChart's nav paragraph, Spot's grip) and 0297654a1 (the perps ticket's two).
#
# THE ONE REAL, BUILDABLE GAP IN THE SET WAS THE ORDER-TYPE STRIP, and it is built. Wave 43 found that 768 is
# recorded after all; this lane re-read 9045:170331 live on 2026-09-15 and it is 730x40 with 'bottom menu' at
# x=16 y=0 the full 40, Frame 1 y=8 h24, the label block y=4 h16 and the active rule on the bottom edge. The
# strip shipped 38, its own oracle asserting 768 as "the arithmetic consequence" of the two boards it had.
# Commit 58049492c stands it at 40 — 'pb-1.5 md:pb-2 lg:pb-1.5' on the tab, one pixel off the touch bleed at md
# so the target stays under the 44 index.css asks for — and records the board in FRAME_HEIGHT. Five rows below
# carry it: 9045-170329 / -170453 / -170740 / -170994 / -174360.
#
# Commit 046589f93 is the half of that which was nearly a regression. The Pro trigger is a SECOND underline in
# the same strip, in another file, and it also mounts in the perp ticket's strip, which stands at a different
# height. Stepping its pad where it lives would have moved the perps rule 2px for a spot board's benefit. The
# pad is now TICKET_TAB_RULE_PAD, handed in by whichever strip is hosting, and orderTypeStrip.figma.test.tsx
# holds that the strip passes it.
#
# NOT BUILT, MEASURED AND WRITTEN DOWN — both on the perp ticket, both because ONE of its three boards states
# the numbers and 375 and 1440 state none of them:
#   9104-77776  the strip is 45, not the 38 wave 43 derived from the tab alone. The row is items-center and its
#               tallest child is the 'NNx MAX' chip (py-1 over an 18 line box = 26; the frame draws it 24), so
#               the chip sets the height and both underlines float ~2 above the divider they are pulled onto.
#               Six numbers have to move together; PerpOrderEntry.tsx now carries all six.
#   9104-77795  the card's own box. 698x68 with 'signals' at (12,12) is 12+44+12, so the frame's 2px stroke is
#               NOT in its box where CSS 'border-2' is: shipped 72. Reading the stroke as inside says
#               'border-2 p-[10px]' — and the 375 cut's 64 is 2+12+36+12+2, which needs it ADDED. The two
#               boards disagree about the stroke and no single rule draws both, so nothing was moved.
#
# ONE DECISION IS CASEY'S, on the two cuts of Frame 444 (9002-158102, 9780-157337). They agree at every tab x,
# at the 40 row, the 676x38 menu and the p16/197 body, and they disagree on one thing: the headline is 138x24 on
# the earlier cut and 108x19 on the later one, i.e. 18/24 against 14/18. The build already chose the later cut
# at 768 (PositionsTable.tsx:193, md:max-lg:text-sm md:max-lg:leading-[18px]) and keeps 18/24 at 1440, and the
# block heights corroborate it: 24+4+16+24+32 is the earlier cut's 100 exactly and 19+4+16+24+32 is the later
# cut's 95 exactly. Nothing was changed on that path; if the earlier cut is the spec it is a one-class revert.
#
# TESTS: every oracle under src/components/trade/order/, src/components/trade/parts/, src/pages/trade/,
# src/components/trade/perp-v2/ and the four chart-nav files were run from the superproject root and pass
# (244 + 232 + 345). ONE RED WAS FOUND AND IT WAS NOT MINE: perpsFrameScope.figma.test.ts:90 pinned the perps
# partition at 80 and skai-ui 3afcd3e (the wave 43 catalog fold) took it to 85 by attaching 133 rows, five of
# which route into perp-v2. Opened, read, re-based to 85 with the reason in the file — it is a non-vacuity
# floor, not a fact about the design. ShareTradeModal.figma.test.tsx timed out once at 5s in a full-directory
# run and passes alone in 661ms; that is machine load with ten lanes running, not a defect.
#
# NO BROWSER, no build, no tsc, no dev server, no migrations. No row below claims a DOM-measured render: every
# "done" is the frame's numbers resolved against the classes and constants that ship.
#
9002-158074	done	src/components/trade/native-chart/CandleChart.tsx	/spot	6c6be307c. Bottom Nav of chart 684x27 at (12,505). The row is h-[27px] on gap-2 (:2214) — the frame's 8 between a group and its rule — with the seven ranges in their own gap-3 group (:2230), which is the 12 the frame steps them at (5y 0, 1y 28, 6m 56, 3m 89, 1m 122, 5d 155, 1d 184 = 201 wide), and the % / Log / Auto trio in a second gap-3 group (:2327), which is the frame's Frame 631: % at 0, Log at 24, Auto at 59, 89 wide. THE WAVE 43 GAP WAS A PAST-TENSE COMMENT. NAV_LABEL_BUTTON's paragraph at :485-491 is the REPORT (8ccbb52d / 80a38243) the `no-min-size` on the line below it was written for; off the floor the row's own parts are 201 + 8 + 1 + 8 + 24 + 8 + 109 + 8 + 1 + 8 + 89 = 465 of fixed content in 684, which is what leaves the frame's spacer 213 wide at x=249. A chevron arms on real overflow only (useNavScroll measures scrollWidth against clientWidth, :750-761), so at 768 there is nothing for it to hide Auto behind. The paragraph is now dated in the file.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-trade
9002-158102	partial	src/components/trade/PositionsTable.tsx	/spot	d6ef73242 + 310dd2b13, re-read at HEAD. Frame 444's earlier cut, 708x269. Everything but the headline is built and agrees with the later cut: the 40 row and its five tabs (PortfolioTabs.tsx:157-170), the p16/197 body and its Green Coal 300 at 0.24 on a 12 radius (PositionsTable.tsx:190, md:max-lg:p-4 around md:max-lg:h-[197px] md:max-lg:rounded-lg md:max-lg:bg-green-coal-300/[0.24] md:max-lg:p-3), the 4px description gap and the 24 to the CTA (gap-1 inside gap-6), and the CTA 32 tall (md:max-lg:h-8, :135). THE ONE THING NOT BUILT IS THIS CUT'S HEADLINE: it draws 'No open positions' 138x24 — 18/24 — and the build ships the LATER cut's 14/18 at 768. The two block heights prove the pairing rather than assume it: 24+4+16+24+32 = 100 is this cut's 330x100 at y=48.5 to the pixel, and 19+4+16+24+32 = 95 is 9780-157337's 330x95 at y=51 to the pixel, both centred in the 197 well. So one type choice decides both frames and the frames do not say which. Deliberately not changed; Casey's call, and a one-class revert either way.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-trade
9780-157337	done	src/components/trade/PortfolioTabs.tsx	/spot	d6ef73242, re-read at HEAD. The later cut of Frame 444, 708x269, and the one the build follows at 768. Headline 108x19 = Manrope 14/18 (PositionsTable.tsx:193, md:max-lg:text-sm md:max-lg:leading-[18px]) over a 330x95 middle at y=51: 19 + 4 + 16 + 24 + 32 = 95 against the frame's 95, centred in the 197 well at (197-95)/2 = 51. The row above it is the frame's 40 and not the 1440 band's 44 — PortfolioTabs.tsx:169 steps it md:max-lg: with pt-[14px] and a 12/16 label, which puts the text box at 14..30 and leaves the same 10 down to the rule the 1440 board draws. Band radius 12 top and foot on one root (:168), which is the frame's rounding of the tab row and the body together. CTA 32 (md:max-lg:h-8) and its width a floor, not the frame's 161 box, because the live label carries a price the box clipped (reports d37441a7 / f1a19387). ONE PIXEL NOT MATCHED AND NOT A BUILD GAP: the frame's headline box is 19 where a 14/18 Manrope line box is 18 — Figma's text box, rounded up, and the 95 it sums to is the number this row is held to.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-trade
9050-215425	done	src/pages/trade/Spot.tsx	/spot	6c6be307c. Board 768x1024, and the wave 43 gap was a read of the wrong return. Spot.tsx:160 is `useMobileIA = !isLgUp`, and :267 returns MobileTradeShell for everything under 1024 — the `lg:flex` grip at :540 is the DESKTOP tree's copy and this board never reaches it. The shell mounts its own: MobileTradeShell.tsx:462-467, LayoutGrip on the panel region at `absolute left-3 top-[59.5%] -translate-y-1/2 md:left-[9px]`, so at 768 the grip sits 9 inside the panel's left edge, which is this board's `Tool` at main-x 9 (absolute 39), 8x29. Its onLayoutSettings is wired at :292 behind layoutCustomizable, so the drawer it opens is the one mounted on the same branch. The shell's comment carries the frames' own disagreement on that inset — 12 at 375, 9 at 768, 17 on desktop — which is why none of the three is shared. Everything else on the board was re-measured clean by wave 43 against d1c7c7afb and is unchanged at HEAD: Frame 6 708x58, Frame 1219 708x584 at y=66 (Frame 300 40 + TradingView 544), Frame 1217 730x66 at (19,874). Spot.tsx:540 now names the shell so this return cannot be read alone again.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-trade
9780-113550	done	src/pages/trade/Spot.tsx	/spot	6c6be307c. Board 375x812, same correction as the 768 cut: the mobile IA return at Spot.tsx:267 is what draws this board and it mounts LayoutGrip at `left-3` = 12 (MobileTradeShell.tsx:466). THE FRAME'S x=4 IS A ROTATION ARTEFACT AND THE SOURCE ALREADY RESOLVES IT: the 375 grip node carries `rotation: 180`, so its reported x/y are the transform origin and sit a box away from the pixels — MobileTradeShell.tsx:428-443 measures the same (4,215)-inside-a-295-plot this frame reports and states the visual reading, 12 from the panel's left edge and a centre at 59.5% of the panel region, which the unrotated 768 node independently gives as 59.47%. The 78% that used to ship was that rotated y applied to the wrong box twice. Compact header built (MarketHeaderCompact, MarketHeader.tsx:309); Frame 1217 360x56 at (7,690) with two 168x40 CTAs at 8/184 is MobileBuySellBar.tsx:288-289, read clean by wave 43 on the sibling row 9135-86727.	1440=n-a 768=n-a 375=done @2026-09-15/wave44-trade
9069-261103	partial	src/components/trade/ChartSettingsPanel.tsx	/spot	ba7e53802, re-read at HEAD. Frame 342 402x179 at y=317 on the 24px gutter below Chart display (:68-69), four rows at a 34 step — every number the frame states still matches. TWO OF THE FOUR ROWS SHIP and the other two are each refused in writing at :215-258, which this pass confirms rather than changes. `Current orders` (:234) and `Position information` (:238) are real prefs reaching real lines — skai_getTraderOpenOrders through spotChartOrderLines.ordersToChartLines on /spot, and PerpChart's entry/liq/TP/SL on perps — and each is offered only where the caller feeds it. `Est. Liq. Price (Isolated margin)` is NOT a row on either engine: spot has no margin and no liquidation price, and on perps the liquidation line is part of Position information, so drawing it would be a second switch over one line. `Trade history` is BLOCKED ON THE INDEXER, not on this file: chainTradingDataService.ts:65-82 records that the declared IndexerTrade shape is not what the chain sends, and the work is to read one real fill for a trader address, correct the shape and hand the chart that trader's fills as markers (report be5f5776). That file is outside this lane. No control was added: a switch bound to nothing is its own bug report.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-trade
9770-133755	done	src/components/trade/native-chart/CandleChart.tsx	/spot	29c808b32, read at HEAD. Frame 160 at 375 is 343x343 with `TV tools` 9770:134986 VISIBLE, and the build draws it. THE WAVE 43 VERDICT IS SUPERSEDED BY A COMMIT IT ALREADY HELD: 29c808b32 ('draw the tool rail on the phone chart') is an ancestor of the 105852ce1 it read at, and CandleChart.tsx:1580-1587 states 'The rail is drawn at every width', citing this node and 9770:134986 by id and giving the reason the old md-and-up gate was wrong — 9772:80915, the board it was taken from, is the one the designer named 'chart tools collapsed', so it draws the rail FOLDED, which the handle already does. Geometry: the rail is 24 and the row's gap is `gap-1.5 md:gap-2` (:1579), so the plot opens at 24 + 6 = 30 on the phone, which is this frame's `image` at x=30, and at 24 + 8 = 32 from md, which is 7909:41188 and 9002:157105. chartRailPhone.figma.test.tsx holds it, re-read 2026-09-14 against this same node.	1440=n-a 768=n-a 375=done @2026-09-15/wave44-trade
9780-145912	done	src/components/trade/native-chart/CandleChart.tsx	/spot	6c6be307c. Frame 1219 708x584, the whole chart card at 768: Frame 300 708x40 over TradingView 708x544 = 12 + nav 27 + Row 2 450 at y=47 + nav 27 at y=505 + 12. Wave 43 measured every part of that stack separately and passed all but one, and the card inherited the exception; this pass closes the exception, so the card closes with it. The bottom nav row (9002-158074) holds its 89-wide % / Log / Auto trio at 768 — the sentence wave 43 read as a live gap is the pre-`no-min-size` defect report, and the row's own parts leave 213 of slack in 684, which is the frame's spacer. The three other parts stand at wave 43's verdicts unchanged: Frame 300 (9780-147207) done, the top nav (9002-157083) done, Row 2 (9002-157105) done.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-trade
9104-77795	partial	src/components/trade/perp-v2/PerpOrderEntry.tsx	/trade/perps	0297654a1. The label-and-order half stands as wave 43 left it and is built: 'Amount:' with the unit group beside it and 'Size:' with the coin, figure and unit as ONE right-hugging group (PerpOrderEntry.tsx:1348-1460), 16px coin then the value, the frame's Frame 635 at x=613 of a 674 row. THE OPEN HALF IS RESOLVED THIS PASS AND IT DOES NOT CLOSE. The card's box is 698x68 with `signals` at (12,12), and 12 + 44 + 12 is 68 exactly — so the frame's 2px stroke is NOT inside its box, where CSS `border-2` is: the shipped card is 2 + 12 + 44 + 12 + 2 = 72, four over. The inside-stroke reading (`border-2 p-[10px]`, which would give 68 with the content still opening at 12) is the one thing the phone board refuses: 2 + 12 + 36 + 12 + 2 = 64 is the 64 the 375 cut draws and it needs the border ADDED. So the two boards disagree about the stroke, no single rule draws both, and PerpOrderEntry.figma.test.tsx:491-498 pins padding 12 against three sibling nodes. Nothing moved; the arithmetic for both readings is now in the file at the card.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-trade
9104-77776	partial	src/components/trade/mobile/MobileBuySellBar.tsx	/trade/perps	0297654a1. Frame 447 730x752 at (19,272). Everything wave 43 listed below the strip is built and unchanged — the two 341x38 direction halves, the amount card, the slider's five rungs at 0.5/170/337/503/674 with the 10px knob, Frame 446's TP/SL and GTC block, the 698x48 CTA, the Maker 0.0450% / Taker 0.0150% summary and the 698x40 footer — and MobileBuySellBar.tsx:146 / :499 / :511 anchor the sheet to this node. THE STRIP IS THE GAP AND IT IS BIGGER AND DIFFERENT THAN RECORDED. Frame 299 9104:77778, re-read live 2026-09-15: 730x48, bottom menu x=16 y=0 the full 48, Frame 1 y=12 h24, labels y=4 h16, chip group Frame 1269 101x24 at x=597 with the CTA 69x24, rule on the bottom edge. Shipped is 45, not 38: the row is items-center so its height is its tallest child, and that is the `NNx MAX` chip at py-1 over an 18 line box = 26 where the frame draws 24 — the tabs' own margin box is 19, so both underlines are centred in a row 7 taller than they are and float about 2 above the divider they are pulled onto. Closing it moves six numbers together (chip py to 3, tab pt 4 / pb 13, its pull and the row's pb both 11, the tablist clip box to match, label to a 16 line box) and ONLY THIS BOARD RECORDS ANY OF THEM — 9106:79297 at 375 and 7886:93224 at 1440 state the shell's insets and gaps and not this row — so it is written `md:` and closed at `lg` after those two are read, not before. All six are now in PerpOrderEntry.tsx at the strip.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-trade
