#	Open Figma bugs per catalog section, joined through routes.tsv (app=main).
#	Bug data: 603 open reports (status new/needs_info, figma_link set),
#	harvested 2026-08-11. Regenerate with: node hotspots.mjs
#
#	Matched 603/603. A bug route matches the MOST SPECIFIC owning route,
#	so /play/scratchers lands on skratch rather than play, and a :param segment
#	matches exactly one url segment so /crypto/TOADUS lands on /crypto/:symbol.
#
#	A previous version inferred ownership from the route column of individual
#	status.<section>.tsv rows and reported a triumphant 603/603 that was
#	FALSE: "/" has zero path segments, so a prefix test made it a catch-all that
#	silently swallowed /launchpad and /sports. 100% here is only meaningful
#	because every route below is declared explicitly in routes.tsv.
#
#	UNMATCHED — no section owns these routes; each is a coverage gap:
#	  (none)
#
#	RESIDUAL GAP not visible in this table: 14 of the 56 /launchpad bugs point at
#	Skai-Web-App file-1 nodes (4414/4423/7909/8489/8493) that no section covers.
#	The route is attributed to trade-2 on the strength of the other 42, so those
#	14 are counted but their FRAMES are still uncatalogued.
#
#	TIES — several sections claim the same route at equal specificity; attributed
#	to the section with the most frames:
#	  (none)
#
#	ROOT — 1 main-app section(s) own "/" (home),
#	carrying 162 bugs. The skai-wallet and skai-landing roots are separate
#	apps and are excluded by the app column in routes.tsv.
#
open_bugs	section	frames	routes
190	home	226	/ /portfolio /upgrade /upgrade/checkout
108	trade-2	495	/launchpad /launchpad/create /trade/trench /trench
94	play	345	/play /play/casino /play/game/:gameId /sports
78	trade	420	/bridge /crypto/:symbol /insightx /spot /swap /trade/live /trade/perps
63	predict	284	/challenges /predict /predict/all /predict/futures /predict/market/:id /predict/market/:marketType/:marketId /predict/rewards /quests /rewards
23	skratch	20	/play/scratchers
20	coinflip	37	/play/coinflip
11	blackjack	20	/play/blackjack
10	mines	19	/play/mines
3	plinko	23	/play/plinko
2	dice	36	/play/dice
1	wallet	179	/account /activity /token/:symbol
