# key	status	primaryFile	route	reason	bp
Selection mid game - hover [10120-11748]	done	modules/skai-gaming/src/components/play/games/crash/tower/TowerBoard.tsx	/play/towers	FIXED. The hovered live tile 10120:13452 is drawn as two stacked fills - linear-gradient(rgba(255,255,255,0.5)) over linear-gradient(rgb(23,249,180)) - which composites to rgb(139,252,218), and its box is 105.271x49.656 against the 100.258x47.292 its unhovered siblings measure, a uniform 1.05. The tile shipped hover:brightness-110; a 1.1 linear transfer on #17F9B4 clips green and gives rgb(25,255,198), 114 off in red and 20 in blue. The wash is now its own 50% white layer and stays under reduced motion (a colour change is not motion); only the 1.05 growth is dropped there. Oracle towerFigmaParity.test.tsx reads the alpha back out of the shipped class and composites it - mutating bg-white/50 to bg-white/40 gives [116,251,210] and fails, and the pre-fix file from HEAD fails both new tests. Card, column and gap geometry of this frame also re-measured live and unchanged: card 454x516.425 r7.567 border 2 pad 15.133, grid 423.733x486.158, four 100.2583 columns, gaps 7.567, tiles 47.292 r6 - all equal to TOWER_BOARD, delta 0. skai-gaming 40e7084	desktop=done
Easy Loss reveal [10120-13280]	done	modules/skai-gaming/src/components/play/games/crash/tower/TowerBoard.tsx	/play/towers	MEASURED BOTH SIDES, DELTA 0 on every tile state. Live get_design_context on column 10120:13304 returns revealed-unpicked `bg-[#001615] rounded-[6px] opacity-50` at 100.258x47.292, picked-hazard `bg-[#001615] border border-[#ff574a]` with NO opacity, picked-safe `bg-[#001615] border border-[#17f9b4]` with no opacity, gem art box 31.183x36.542 and skull art box 31.953x36.54. TowerBoard resolves: backgroundColor TOWER.inset #001615, borderRadius TOWER_BOARD.tileRadius 6px, `opacity-50` only when revealed and not picked, `border: 1px solid` TOWER.hazard #FF574A on a picked hazard and TOWER.live #17F9B4 on a picked safe, art `h-[77.3%]` of the 47.292 tile = 36.556 against 36.542 (delta 0.014px) at the PNGs' own aspect (gem 136x160 = 0.8500 against 0.8533, skull 140x160 = 0.8750 against 0.8745). Already guarded by towerFigmaParity.test.tsx	desktop=done
skull 1 [10120-13343]	done	modules/skai-gaming/src/components/play/games/crash/tower/TowerBoard.tsx	/play/towers	MEASURED BOTH SIDES. Figma: the skull art node is 31.953 x 36.54 inside a 47.292-tall tile, i.e. 77.28% of the tile height. Code: tower-skull.png is 140x160 (ratio 0.8750 against the node's 0.8745) drawn at `h-[77.3%] w-auto`, so it resolves to 36.556 x 31.99 against 31.953 x 36.54 - delta 0.04px wide, 0.016px tall. The frame's own <img> carries a 163.32% crop transform because the designer's source bitmap is untrimmed; the shipped PNG is trimmed to the artwork box, which is why a height-driven w-auto lands on the drawn size without reproducing the crop	desktop=done
Frame 1000004082 [10120-8434]	done	modules/skai-gaming/src/components/play/games/crash/tower/TowerBoard.tsx	/play/towers	MEASURED BOTH SIDES, DELTA 0. Read live off instance 10120:11749 in Selection mid game - hover, which is the same 454 x 516.4249 board card: grid 10120:11750 is 423.7333 x 486.1584 inset 15.1333 on both axes, four columns of 100.2583 at x 0 / 107.825 / 215.65 / 323.475 (gap 7.567), nine tiles per column at 47.29167 with 7.567 between them. TowerBoard resolves cardWidth 454, cardPad 15.133, gap 7.567, tileHeight 47.292, cardRadius 7.567, cardBorder 2 from TOWER_BOARD - every one equal. The one deliberate divergence is the FLOOR COUNT: the frames draw nine and the rails cap at 10/10/10/8/6, so the row count comes from towerLadder.ts and the test asserts it is not nine	desktop=done
Frame 270 [10130-13720]	partial	modules/skai-gaming/src/components/play/games/crash/tower/TowerBetPanel.tsx	/play/towers	TWO OF ITS ROWS FIXED, TWO DELIBERATELY UNBUILT. Fixed: the Manual|Auto track 10250:15211 returns `bg-[#001615] flex gap-[4px] items-center p-[4px] rounded-[12px]` with cards 156x34 at x=4 and x=164; the code carried p-1 and NO gap, so two flex-1 chips split the whole 316 and rendered 158 wide and flush - now gap-1, which makes 4+156+4+156+4 close on the 324 column. Also fixed: the selected card is `rounded-[var(--rounded-xl,12px)]` and the other `rounded-[10px]`; both shipped at 10. Confirmed on all four rows that draw this control - 10250:15211, 10250:15195, 10130:15021, 10130:14931 - which agree on 156x34 at x=4/x=164. The header comment claiming 158x34 at x=4/x=162 was reading the COMPONENT back, not Figma, and is corrected. NOT built: this frame is the AUTO panel, so its Number of Bets row 10130:13993 and its Advanced disclosure 10130:14006 have no runner behind them (an autobet Towers round needs a tile-selection rule and a bank-at floor and neither the frames nor either settlement contract states one). skai-gaming 1ed7d1b	desktop=partial
Frame 1000004105 [10130-14013]	partial	modules/skai-gaming/src/components/play/games/crash/tower/TowerBetPanel.tsx	/play/towers	Same two fixes as 10130-13720 reach this frame through its own Manual|Auto row 10250:15195, measured live and identical: track gap 4, pad 4, r12, cards 156x34 at x=4/x=164, selected r12 on #56c7f3, other r10 on #001615. The rest of the frame is the Advanced-ON auto form (On Win / On Loss / Stop on Win / Stop on Loss) and stays unbuilt for the same reason. skai-gaming 1ed7d1b	desktop=partial
Frame 1000004292 [10130-14946]	partial	modules/skai-gaming/src/components/play/games/crash/tower/TowerBetPanel.tsx	/play/towers	MOBILE BAND MEASURED, NOT IMPLEMENTED - reported rather than guessed. 347 wide, pad 16, content 315, block gap 16 throughout. Against desktop 10130:13720 it differs on three axes: value type is Sm/Numbers 4 300 Mulish 12/14 tracking -0.48px (desktop is Lg/Numbers 4 300 Mulish 14/18 tracking -0.56px, which is what TOWER_VALUE ships at every width); the bet-amount card is 40 tall and the Difficulty and Number-of-Bets cards 38, against 42 for all three on desktop; and the CTA is FIRST (y=16) with Manual|Auto LAST (y=385.33), inverting the desktop order. Its Manual|Auto row 10130:15021 is nonetheless still 324 wide inside a 347 frame, i.e. left unresized by the designer. Not implemented because the panel has no container-relative signal to switch on: a `lg:` viewport prefix would also fire inside the modal path, where DialogContent is a fixed 1024x880 box carrying transform:scale and the panel is 356 CSS px wide on a phone. Needs a prop from TowerStackerPro (which knows isRoute), which is a bigger change than this lane could finish and prove	mobile=partial
Frame 1000004291 [10130-14802]	partial	modules/skai-gaming/src/components/play/games/crash/tower/TowerBetPanel.tsx	/play/towers	The Advanced-ON mobile twin of 10130-14946; same 347/315/16 shell and the same three-axis mobile band, and its Manual|Auto row 10130:14931 measures 324x42 with cards 156x34 at x=4/x=164, which is the fourth of the four rows the seam fix was read off. Unbuilt for the same two reasons: the auto form has no runner, and the mobile type/height band has no container-relative signal to switch on	mobile=partial
Cashout button [10893-5451]	partial	modules/skai-gaming/src/components/play/games/crash/TowerStackerPro.tsx	/play/towers	GEOMETRY, COLOUR AND TYPE MATCH; THE WORD DOES NOT. Figma 10893:5451 wraps CTA/button 10250:15227 at 324x52: `bg-[#56c7f3] h-[52px] w-[324px] px-[40px] rounded-[16px]` with the label Manrope Medium 16/22, tracking -0.64px, on #001615. The shipped CTA resolves height 52px, borderRadius 16px, backgroundColor #56C7F3, color #001615, px-10 = 40px, font-manrope text-[16px] font-medium leading-[22px] tracking-[-0.04em] = -0.64px at 16 - delta 0 on all seven. The label is the delta: the frame prints `Cashout`, TowerStackerPro prints `Cash Out {multiplier}x`. Not changed unilaterally, see blockedOnCasey - `Cash Out` is the house spelling in Aviator, Chicken, Mines, MinefieldPro and SkaiCross, so a one-game edit makes Towers the outlier	desktop=partial
Easy cashout [10130-13627]	partial	modules/skai-gaming/src/components/play/games/crash/tower/TowerBoard.tsx	/play/towers	THE CARD MATCHES; ITS AMOUNT ROW ENDS DIFFERENTLY. Overlay 10130:13706 read live: `bg-[#001615] border-4 border-[#17f9b4] rounded-[8px] p-[32px] shadow-[0px_4px_0px_0px_#0d7c5a]` over a `gap-[8px]` column of Manrope Bold 18 / a #1a2d2c 55x2 rule / Mulish Bold 14 - every one of which the shipped card sets, delta 0, including the 25px and 18px line boxes that make 25+8+2+8+18+64 = 125. It is centred because 10120:13272 sits at (397.5,248) in a 954x621 panel, which is dead centre both ways. The delta is the trailing mark: the frame puts a 16px token circle after the amount with an 8px gap and no currency word, and the card prints the amount plus tokenDisplaySymbol instead. See blockedOnCasey	desktop=partial
