Sample market > Related events	done	src/components/predict/detail/RelatedEvents.tsx	/predict/market/binary/4	FIXED a3daf7153 (reports a6395541, e8c4c459, 4d51bd38). 3320:21024 "Frame 430" is 432x280. Header 3320:21025 (432x24) is the title 115 wide, a labels/tag pill at x=123, a 16px icons/action at x=183, and a nav cluster 3799:7281 at x=308 (112x24) of three visible small buttons. Body 3320:21035 is FOUR 432x54 rows at y=0/62/124/186, so an 8px gap and NO dividers. Each row 3320:21036 is rounded-[var(--rounded-xl,12px)], pl-6 pr-12 py-6, gap 14; a 42x42 token image at x=0 with an 8px corner; a 300px description column (title Mulish 16/16 -0.64px white, then an 11/14 -0.44px meta line); and a right stack 3320:21043 (50x42) of a 22/26 white probability over a 12/16 signed delta. Meta reads "$83.3K (Ends in: 4:43s)" with the label WHITE and only the value #FF574A. BUILT: row shape, 12px literal radius, 8px spacing, 16/16 title, the parenthesised red countdown, and the 22px WHITE probability - the app had been printing the probability itself in 14px bold alien-green, which the frame never does. NOT BUILT and deliberately so: the 42x42 image, because UnifiedPredictMarket carries no image field and a placeholder tile would be decoration standing where identity belongs. ★ THE FRAME'S TITLES ARE A DIFFERENT MARKET SHAPE - "Solana 5min (up/down)", "Dogecoin 30min", "Tron 15min", "Bitcoin 15min" - but that is because the SAMPLE market is itself a short-horizon token market, so its siblings are too. It is not an instruction to change the query. The app lists real sibling markets by category and their real questions, which stays correct.	MEASURED 2026-09-01 at LEAF depth: get_metadata on 3320:21024 down to text nodes for all four rows, then get_design_context on 3320:21036 for the literal classes and hexes. Row spacing derived from the y-pitch (62) minus row height (54), not from a declared gap.
Sample market > Related events > 24h delta	partial	src/components/predict/detail/RelatedEvents.tsx	/predict/market/binary/4	SOURCE-LIMITED BY DESIGN, and now correct (report e8c4c459). The frame draws a small signed number under each probability (3320:21045 "-1%", 3320:21055 "+2%", 8652:105711 "+9.88%") at Mulish 12/16, coloured #FF574A negative and green positive. The app now renders it from relativeMove(), which returns null in every state that is not a measured move. priorProbability is three-state on purpose: undefined = never looked up, null = looked up and this market has no priced trade in the window, a value = a real trade to difference against. Only the third produces a number, and the caller OMITS the line otherwise. Printing 0% would assert "the probability has not moved", which is a different and unverified claim - and today it would be the claim on EVERY row, because the board has recorded no trades. The Breaking sort and the Breaking news column already say "nothing found" rather than 0% for the same reason, and this row now agrees with them instead of contradicting them. It populates itself on the first trade with no further change.	MEASURED 2026-09-01 at LEAF depth for the type and colour (get_design_context on 3320:21036). The DATA state was verified in code against unifiedPredictService.ts:110-127, not from the frame - the frame cannot say whether a number exists.
Sample market > FAQ	done	src/components/predict/detail/FaqPanel.tsx	/predict/market/binary/4	FIXED a3daf7153 (report 8a8a8c74). 3322:18865 "FAQ" is 738x362. Heading 282x28. Body 3322:18870 is four accordion rows at y=0/62/202/264, so 8px apart. Collapsed row 3322:18871 is bg #001615, p-16, gap-14 to a 16px chevron, rounded-[var(--rounded-2xl,16px)] = 16px, and NO border - the state reads off the fill alone. Expanded row 3322:18874 is bg #122524, pt-16 px-16 pb-24, an inner column gap of 16, question Manrope 16/22 -0.64px white, answer Mulish 14/18 -0.56px in WHITE AT 64% OPACITY (not a colour swap to ash) and 471px wide. FIXED: the 16px literal radius (rounded-2xl is 24px in this app), the border the frame does not draw, the question type (was 14/18 medium), the answer type and its faded white (was 13/19 text-ash), and the chevron (was a text triangle at 12px, now a 16px icon). ⛔ CONTENT UNCHANGED. Designer note 3345:31352 OVERRIDES the frame: the FAQ "should be tailored towards the market being sampled". buildFaq() stays, and a guard now asserts the frame's four static questions do NOT appear - copying them would tell a scalar market's viewer about binary YES/NO shares. This is the case where the frame is a sample and the note is the spec.	MEASURED 2026-09-01 at LEAF depth: get_metadata on 3322:18865 to text level, then get_design_context on BOTH 3322:18871 (collapsed) and 3322:18874 (expanded) - the two states differ in fill and padding and measuring only one would have shipped half of it.
Sample market > Rules	partial	src/components/predict/detail/RulesPanel.tsx	/predict/market/binary/4	MEASURED, NOT RESTYLED (reports aaee14f5, 7538565d). ★ THE NODE NAME LIES: 3325:18905 is named "FAQ" in Figma and its heading text is "Rules" (3325:18908, 58x28). It is the Rules section, 738x190. Structure: heading; then 3325:19119 (738x62) holding a 738x36 two-line prose block and ONE metadata line, "Market Opened: Mar 18, 2026, 12:24 PM PT" (253x18) at y=44; then the Resolution Source card at y=122. So the prose is a BARE TEXT at full width with no box - only the resolution source is a card, which settles the "solid box vs blended" question in aaee14f5. ADDITIONAL DATA (7538565d): the frame shows a single line, but designer note 3350:32896 says the list "can be as long as is available", so the frame's length is a SAMPLE and not a cap. deriveConditions() stays as is - do NOT trim it to what this screenshot happened to show. Prose likewise NOT replaced: the frame's text is written for a BTC up/down market and names a resolution source by link; the app generates prose from what the contract actually guarantees for the market being viewed, and swapping in the literal would state something untrue about any other market.	MEASURED 2026-09-01 at CHILD depth: get_metadata on 3325:18905 to text level. Subject confirmed by READING the heading text, not the node name - the name says FAQ and the content is Rules.
Sample market > Resolution source	partial	src/components/predict/detail/RulesPanel.tsx	/predict/market/binary/4	MEASURED, VALUE IS A PLACEHOLDER (report ea1cea23). 3325:19139 "card" is 738x68. Frame 177 inset 16,12 (670x44): a 16px icons/warnings at y=3 plus the label "Resolution Source" (133x22), then the value line at y=26 (670x18). A 16px icons/action sits at x=702, y=26 - a trailing action on the value row. The VALUE reads https://skai.explorer/path/btc-usdc. There is no skai.explorer host and no such path: it is designer lorem for "a link goes here", and copying it across would ship a dead URL as a market's resolution source. The app shows the real oracleAddress the contract reports with one sentence saying what it is, and says so honestly when a venue reports none. The frame's SHAPE does ask for a link plus a trailing action, and making the address a link to the SKAI explorer's address page is the real improvement - still blocked on the explorer's confirmed base URL, which is not a Figma question.	MEASURED 2026-09-01 at LEAF depth: get_metadata on 3325:19139 to text level. The URL was read as a string and judged against reality, not transcribed.
Sample market > Order book	partial	src/components/predict/detail/OrderBookPanel.tsx	/predict/market/binary/4	MEASURED (reports 145ff4f3, e347388b). ★ THE NODE NAME LIES, TWICE. 3325:19839 is named "Quick actions - Truncated" and renders the ORDER BOOK (738x380); the actual Quick-actions row it is named for is its child 3325:19862 (Bridge/Backup/Batch/Approvals/Share), which is HIDDEN. And inside, the bids group 3332:23379 is named "sells", identical to the real sells group 3332:23268 - two opposite sides sharing one name. Anything selecting by name here mounts the wrong thing. Structure: top 3330:20382 (706x76) = "Order book" + a 16px icon, a "$90.3k volume" CTA at x=604, then a 200x34 pair of 94x26 toggles and a 318x36 cluster of a 135x30, a 131x30 and a 36x36 button. Table 3332:23488 (706x248): header row "Price (Asks & Bids)" at x=16, "Shares" at x=325, "Total (USD)" at x=381, a full-width rule at y=26; then SIX ask rows (18px pitch, no gap) with depth bars of 205/186/175/153/142/85px, a 20px "Last: 69c / Spread: 1c" divider row, then FIVE bid rows with bars of 57/151/189/264/298px. Prices use the cent glyph, which matches the app's existing formatCents discipline. Not built this pass - recorded so the next one has the geometry and does not re-derive it from the name.	MEASURED 2026-09-01 at LEAF depth: get_metadata on 3325:19839 to text level, all eleven book rows enumerated individually. Subject and side identified from CONTENT and position, never from the node names, both of which are wrong.
Sample market > header tabs	out-of-lane	(global app header - NOT src/components/predict)	/predict/market/binary/4	MEASURED, OUT OF LANE (report bb06ff2c). 8623:56286 is an INSTANCE named "Header-desktop-two-layer", 1440x92 - the global two-layer app header, not a Predict control. Layer one (y=8, 1402x40): logo, a five-item nav, a 236x34 search, then a counters strip and the account CTA. Layer two (y=60, 1402x18) is the 13-item category nav the report calls "tabs", with a rule at x=468 splitting it into a 3-item group and a 10-item group. Changing it changes every page in the shell, exactly like the Launch side-tab finding (13006:147429). Re-file against global chrome. The Figma block is cleared; ownership is what remains.	MEASURED 2026-09-01 at CHILD depth: get_metadata on 8623:56286, both layers enumerated. Ownership determined from the component being an instance of the app-shell header, not from the screen it sits on.
Create token > buy-your-own modal	partial	src/pages/LaunchpadCreate.tsx	/launchpad/create	MEASURED, NOT BUILT (reports 1a3f6027, 36e85552, 0f566914). 13006:148250 is a MODAL, 564x442 at x=438 y=229, with a decorative 484x484 `shine` ellipse at (-150,-332). Body 13006:148252 inset 24: a close control at x=500, then copy - "Choose how many [SNIX] you want to buy (you can skip this step)" (516x56) over "We recommend testing [SNIX] by buying a small amount. This helps protect your token from snipers." (426x44, indented 45px). Then 13006:148264 (516x104): an Amount card 516x48 with the label at left and, at x=379, the value "0.12" plus a currency chip (16px coin + text + a 16px chevron); and a percentage slider 0/25/50/75/100 with the handle at 25%. Footer 13006:148296 is two 254x62 CTA buttons, 8px apart. ★ THE CURRENCY IN THE FRAME IS "SOL". The SKAI launchpad mints on SKAI Chain and prices in sUSD, so the chip is drawn from a Solana/pump.fun reference flow and is NOT a spec to copy - shipping a SOL selector would offer a currency this rail cannot take. NOT BUILT also because src/pages/LaunchpadCreate.tsx is being edited by another lane right now and was left untouched to avoid a collision.	MEASURED 2026-09-01 at LEAF depth: get_metadata on 13006:148250 to text level, which is how the SOL chip and the hidden second paragraph (13006:148263) were found. No code changed.
Predict dashboard > market card > tile and donut	conflict	src/components/predict/UnifiedMarketCard.tsx (page: src/components/predict-redesign/dashboard/PredictDashboardScreen.tsx, OUT OF LANE)	/predict	MEASURED, NOT CHANGED — TWO FRAMES DISAGREE (report b8d5d5c8). 3562:41108 "Frame 455" is 1144x210: three 370.67-wide cards at x=0/386.67/773.33, so 16px gaps. Its card 3562:41110 is bg #122524, p-16, gap-24, rounded-[var(--rounded-3xl,24px)]=24. Its ticker tile 3620:47681 is size-[42px], rounded-[var(--rounded-lg,8px)]=8px, 1px #123f3c border, with the image at inset-0 object-cover size-full - i.e. the artwork FILLS the tile. Question text Manrope 18/24 -0.72px; logos/skai 58x24 at opacity .24; donut 146.65 across built from TWO ellipses (3620:47676/47677), each a clipped half; readout Mulish 22/26 over Manrope 14/18 at opacity .44. ★ THE CONFLICT: the app's MarketThumbnail is 54px with a 12px radius and cites frame 8610:164648, where a previous pass (report 2fe95031) measured the tile as 54x54 and the radius as 12. 3562:41108 says 42 and 8. Both measurements are real; the two frames specify different card geometry, and the app is consistent with the /predict/all one. NOT changed on my own judgement - picking one frame over the other is a design call, and the consuming page lives in src/components/predict-redesign/** which is another lane's and is uncommitted right now. ALSO: the reporter compared a token card against a photo-avatar card. resolveMarketThumbnail returns a circular token mark for crypto markets and an image/emoji otherwise; a circular BTC mark cannot fill a square tile the way a rectangular portrait can, which is the same reasoning the code already applies to its emoji fallback.	MEASURED 2026-09-01 at LEAF depth: get_metadata on 3562:41108 to text level plus get_design_context on 3562:41110 for literal classes. Width CROSS-CHECKED against the report's own attachment, which is a Figma screenshot whose selection HUD reads '1144 Fill x 210 Hug' - matching the node exactly. Both attachments rendered and compared side by side.
Predict category views > tabs under title	partial	src/pages/predict/PredictCategoryPage.tsx	/predict/new, /predict/politics	MEASURED, NOT CONVERTED (reports 5fbb929d, e50e6d24). Both cited nodes are the same component in two states, each 1202x22: 8729:106048 (/predict/new) and 3358:34471 (/predict/politics). ★ The frame is a SINGLE-ROW HORIZONTAL SCROLLER: on the /new state items sit at x=-87 and x=-32 (scrolled off the left) and run out to x=1200 past the right edge, with two 76x22 edge-fade rects (8729:106070 at x=0, 8729:106071 at x=1202) and 16px chevrons at x=0 and x=1186. The /politics state additionally carries a COUNT BADGE - 9197:121788 'Tag' showing '1.9K' beside the first chip. The app's strip (data-testid=predict-category-strip) is `flex flex-wrap` with a 'More' overflow dropdown, i.e. it WRAPS instead of scrolling, and has no fades, no chevrons and no counts. NOT converted: the wrap-plus-More shape is deliberate and documented in the page (the strip absorbed the whole of categoriesWithoutView() - taxonomy categories with no dedicated frame), so scroller-vs-wrap is an owner decision, not a parity edit. ★ The 76px fade width is CORROBORATED across frames: TopicChipRow already implements 76px citing 8583:128135/128136, and these two nodes independently measure 76. ⛔ Do NOT reach for PredictSubNav here - it is a SURFACE switcher (All Markets / Event Markets / Live Outcomes / Range Markets / Rewards) that owner rulings 2026-08-12 and 08-13 removed from every product surface because no frame draws it, and its own header says not to re-add it. It is not this strip.	MEASURED 2026-09-01 at CHILD depth: get_metadata on both nodes, every chip enumerated with x-offsets, which is the only way the off-canvas items at x=-87 and x=1200 are visible. WIDTH CHECKED: the page column is max-w-[1202px] and the frame nav is 1202 wide - frame-exact, unlike the /portfolio 1310-vs-1144 case.
