4397-52198	partial	-	Discover table. FIXED headers to Figma (Pairs/Market cap/Liquidity/Volume/Transactions/Action; chart track unlabelled per Figma Pairs span x=0..411). Verified exit0 1440px + DOM. SURPLUS none in header now. MISSING: rich card row (Figma row h=78 w/ 52px art, socials cluster, MC/FDV pair, Token info col x=568 w=140) vs built flat row h=64 imgs=1 svg=1; 24 rows render.
4400-59959	partial	-	Discover>Trending. Tab set built and correct (4 tabs: Trending/New Pairs/Graduating/Migrated, aria-selected wired). Same flat-row gap as 4397-52198.
4397-47886	match	-	Filters panel. Sub-state opens (frame-verify-steps exit0, role=dialog). Labels verified 1:1 vs Figma: Adjust filters/Customize table, Metrics/Protocols/Socials, Dex paid, CA ends in 'pump' (curly quotes). Apply+Reset present. No SURPLUS controls.
4282-44687	partial	-	Hover 1VH. Intel rail IS built and hover-wired (aside aria-label=Intel, computed width 280px, visible at 1440). MISSING: Figma hover frame also drives a per-row expanded state, not just the side rail.
4400-60963	deferred	-	Discover>Live. No Live tab exists in code (TrenchTab union is trending|new|graduating|migrated only). Unbuilt scope: needs a live-trade stream source; Figma frame shows per-trade social feed rows.
4405-69980	deferred	-	Trackers empty. Surface is a literal stub ("Trackers redesign coming soon", confirmed via steps waitFor exit0). Figma scope = Tracker settings + Wallet manager + Live trades + KOLs + X accounts, all absent from code.
4405-71105	deferred	-	Trackers>Add Wallet. Depends on the unbuilt Trackers surface above.
4405-73126	deferred	-	Trackers>Live trades. Depends on unbuilt Trackers + a live trade feed.
8360-127832	deferred	-	Trackers>Live Trades 1VH. Same unbuilt dependency.
4400-68072	deferred	-	Trackers>Wallet Manager 1VH. No Trench wallet-manager code ("Wallet Manager" = 0 files under trench-redesign).
4405-72692	deferred	-	Trackers>Wallet Manager X accounts. Same unbuilt dependency.
4405-75656	deferred	-	Trackers>Wallet Manager Import Wallet. Same; also touches key custody.
4405-75551	deferred	-	Wallet Manager X accounts add handle. Same unbuilt dependency.
8050-141059	deferred	-	Market Lighthouse. Grep verified: 0 files repo-wide. Entirely unbuilt surface, not a defect.
8050-141438	deferred	-	Market lighthouse sample section. Same; 0 files.
8200-50571	deferred	-	Alpha Tracker. Grep verified: 0 files repo-wide. Unbuilt.
4341-23128	deferred	-	Pulse Card Intel. Grep verified: "Pulse Card" 0 files. Unbuilt. Attachment on 1c87353d is a designer note only.
4339-22828	deferred	-	Pulse Card Intel Alt. Unbuilt (0 files).
7923-54557	deferred	-	Pulse Card Intel Cashback Coins. Unbuilt; "Cashback" 0 files under trench-redesign.
9225-85196	deferred	-	Pulse card intel cashback coins. Unbuilt.
9225-85343	deferred	-	Card Intel Cashback Coins. Unbuilt.
9695-96416	deferred	-	Boost status. No Boost-status UI under trench-redesign discover; unbuilt.
9695-96107	deferred	-	Boost status Expanded. Unbuilt.
9695-96682	deferred	-	Boost status. Unbuilt.
9695-96601	deferred	-	Boost status alt. Unbuilt.
9695-96707	deferred	-	Boost Status more info. Unbuilt.
9695-97825	deferred	-	Boost Status 50%. Unbuilt.
7923-55008	deferred	-	Charity. "Charity" 0 files repo-wide. Unbuilt.
8046-47534	deferred	-	Creator Rewards. Only admin-fee/contract refs exist; no Trench creator-rewards UI. Unbuilt.
4400-64434	deferred	-	Discover Dex Screener view. Code has dexId/dexPaid filter fields only, no Dex Screener view. Unbuilt.
4341-23384	deferred	-	Display Settings. Built code has a "Customize table" column-visibility tab only; no standalone Display Settings right menu. Unbuilt.
8336-98579	deferred	-	Display Settings Colour Row. Unbuilt (no colour-picker UI in discover).
4367-37344	deferred	-	Display Settings Colour Picker on click. Unbuilt.
4367-37809	deferred	-	Display Settings Colour Picker on click. Unbuilt.
4363-35865	deferred	-	Display settings right menu layout. Unbuilt.
8501-30653	deferred	-	Display Settings Right Menu Layout Text Size Alt. Unbuilt.
4363-36786	deferred	-	Display Settings Right Menu Metrics. Unbuilt.
4367-37974	deferred	-	Display Settings Right Menu Row. Unbuilt.
4400-65556	deferred	-	Discover Live Display Settings. Unbuilt (both Live and Display Settings absent).
4367-37354	deferred	-	Right Menu. No right-menu component in discover. Unbuilt.
4397-50201	deferred	-	Right Menu Metrics. Unbuilt.
4397-49826	deferred	-	Filters Right Menu Audit. Filters exist as a Sheet; the audit right-menu variant does not. Unbuilt.
8340-68594	deferred	-	Filters Right menu protocols. Protocol filtering exists in the Sheet, not as a right menu. Unbuilt.
8371-28144	deferred	-	Live Trades Right Menu General. Unbuilt (Live + right menu).
8371-28272	deferred	-	Live Trades Right Menu Toasts display. Unbuilt; no toast surface in discover.
8377-57193	deferred	-	Live Trades Right Menu Toasts display. Unbuilt.
8377-57395	deferred	-	Live Trades Right Menu Toasts misc. Unbuilt.
8377-57731	deferred	-	Live Trades Right Menu Toasts one click. Unbuilt.
4372-40162	deferred	-	Hotkeys. Hotkey code exists only in trade/ (other lane); none in discover. Unbuilt here.
4377-42106	deferred	-	Hotkeys Right Menu Expanded. Unbuilt.
4367-38197	deferred	-	Blacklist. No blacklist UI in discover. Unbuilt.
4380-46165	deferred	-	Snipe Settings. No snipe UI in discover. Unbuilt.
4380-42651	deferred	-	Alerts Toggle OFF. "Alert" 0 files under trench-redesign. Unbuilt.
4380-44369	deferred	-	Alerts toggle on. Unbuilt.
9226-85533	deferred	-	n/a: report accb9c82 targets a bare "Frame 445" - Figma layout scaffolding (a 1318x652 wrapper frame), not implementable UI.
