# key	status	primaryFile	route	reason	bp
Skai > Social - dropdown 1VH (1440 x 900px) [10232-201644]	partial	src/components/social/feed/PostCard.tsx	/social	RE-MEASURED off node data 2026-09-01, first hand, not carried. POST COLUMN 10232:201647 = 506 wide VERTICAL gap16. Header Frame 758 506x40 SPACE_BETWEEN, avatar 40, name x=48. Author Manrope Bold 16/22 ls-4pct #FFFFFF = text-sm/[16px] md:text-sm/[18px] xl:text-base/[22px] font-bold. Follow Manrope 14/18 #56C7F3 = text-sky-blue (NOT text-primary #2DEDAD). Timestamp Mulish 14/18 #FFFFFF at opacity 0.64 = font-mulish text-white/[0.64] (NOT text-muted-foreground #B3B9CC). Media Frame 269 506x506 radius 24 = rounded-[16px] xl:rounded-[24px]. Footer Frame 762 gap12. Bonding Frame 506 458x10 gap1, fill rect 65x10 #17F9B4 radius 4/0/0/4, track rect 392x10 #122524 radius 0/4/4/0 = bg-alien-green-bright over bg-[#122524] both rounded-[4px]. Action row Frame 760 506x30 = h-[28px] md:h-[30px]. Buy CTA 56x30 radius 8 pad 6/16 fill #17F9B4, label Manrope 14/18 #001615. Cashtag Manrope Bold 14/18 #FFFFFF, caption Manrope 14/18 #FFFFFF, previews Frame 355 gap12 inner gap2 Manrope 12/16. CREATE-NEW trigger 10235:202363 CTA/button 125x36 radius 8 pad 6/16 gap8 fill #56C7F3; panel 10235:202377 dropdown-3 125x122 radius 12 pad8 gap8 fill #122524 on a #123F3C 1px stroke. SEPARATOR 10232:201698 VECTOR 506 wide stroke #123F3C 1px inside Main container 10232:201646 VERTICAL gap32 - card ends y788, rule y820, next card y852, so exactly 32 clear either side = divide-border with py-8 first:pt-0. PARTIAL not done: everything above is measured and matches, but this frame is a whole 1440x900 screen and its sidebar, header band and right rail are SocialSidebar/SocialChrome/SocialRightMenu, outside this lane's files and not measured this wave.	desktop=partial @2026-09-01
Skai > Social - dropdown 1VH (768 x 1024px) [11442-165355]	partial	src/components/social/feed/PostCard.tsx	/social	RE-MEASURED off node data 2026-09-01. POST COLUMN 11442:165404 = 506x786 VERTICAL gap16, identical structure to 1440, only the ramp moves. Author 11442:165408 Manrope Bold 14/18 #FFFFFF. Follow 11442:165410 Manrope 12/16 #56C7F3. Timestamp 11442:165411 Mulish 14/16 #FFFFFF at 0.64. Media 11442:165413 Frame 269 506x506 radius 16 - note 16 here and 24 at 1440, which is why the class is rounded-[16px] xl:rounded-[24px] and not one value. Footer Frame 762 gap12. Action row Frame 760 506x30. Buy 11442:165431 56x30 radius 8 pad 6/16 fill #17F9B4. Caption 11442:165435 Manrope 12/16 #FFFFFF. Previews Frame 355 gap12 inner gap2. CREATE-NEW trigger 11442:165365 125x36 radius 8 pad 6/16 gap8 fill #56C7F3 - same 36 as 1440, so md:h-9 covers both. Separator 11442:165455 VECTOR 506 stroke #123F3C 1px. PARTIAL for the same scope reason as the 1440 twin: page chrome is another lane's files.	tablet=partial @2026-09-01
Skai > Social - dropdown 1VH (375 x 812px) [11442-173646]	partial	src/components/social/feed/PostCard.tsx	/social	RE-MEASURED off node data 2026-09-01. POST COLUMN 11442:173680 = 343 wide (full bleed inside the 16px page gutter, not 506) VERTICAL gap16. Author 11442:173684 Manrope Bold 14/16. Follow 11442:173686 Manrope 12/14 #56C7F3. Timestamp 11442:173687 Mulish 12/14 #FFFFFF at 0.64. Media 11442:173689 343x343 radius 16. Footer Frame 762 gap12. Action row 11442:173700 343x28 - 28 here against 30 at 768/1440, which is the h-[28px] md:h-[30px] step. Buy 11442:173707 56x28 radius 8 pad 6/16 fill #17F9B4. Caption 11442:173711 Manrope 12/14 #FFFFFF. Previews 11442:173712 Frame 355 gap12 inner gap2. CREATE-NEW trigger 11442:173656 125x32 radius 8 pad 6/16 gap8 fill #56C7F3 - 32 at 375 against 36 above, and index.css:747-753 forces 44 below 768, so the control carries no-min-size or both drawn heights are lost. Separator 11442:173731 VECTOR 343 stroke #123F3C 1px. PARTIAL for the same scope reason as the other two widths.	mobile=partial @2026-09-01
Skai > Social - with "tweets" > comment thread (1440 x 900px) [9657-215247]	done	src/components/social/feed/FeedCommentsDialog.tsx	/social	MEASURED all 3 axes off node data 2026-09-01, then FIXED. The frame's subject is the modal 9657:215844 over a scrimmed page; the feed behind it is the same column already rowed at 10232-201644. GEOM modal 564x636 radius 32 pad24 itemSpacing24 = lg:max-w-[564px] lg:rounded-[32px] lg:p-6 gap-6 (was max-w-[546px] rounded-[16px] - 546 is a transposition of 564 and this is the THIRD sibling modal in the directory to carry it). Vertical rhythm checks exactly: controls y24 h16 ends 40, title y64 = 40+24 ends 92, list Frame 465 y116 = 92+24 ends 508, composer Frame 1217 y532 = 508+24. Frame 465 gap16, Frame 355 gap12 = space-y-3, Frame 1217 gap8 = space-y-2. Reply pill Frame 261 516x30 radius 8 pad 6/8 gap10 fill #123F3C = rounded-[8px] bg-[#123F3C] px-2 py-1.5 gap-2.5. Input card 9657:215881 468x42 radius 12 pad12 fill #001615 on a #123F3C 1px stroke = lg:h-[42px] rounded-[12px] border-[#123F3C] bg-[#001615]. Send CTA 9657:215890 40x40 radius 8 pad12 fill #001615 - 40 is under the 44 index.css:747-753 forces below 768 so the control now carries no-min-size. COMMENT ROW Chat 9657:215893 gap2, Frame 738 gap8 with a 32 avatar, text column Frame 772 at x=40 VERTICAL gap4, name+time Frame 771 gap8, heart icons/action 16x16 glyph #95A09F. TYPE title Manrope Regular 24/28 #FFFFFF = lg:text-2xl/[28px] (was text-2xl/[32px], four pixels too tall, at all three widths); name 9657:215899 Manrope BOLD 12/16 #FFFFFF (was 14/18 at weight 500); time 9657:215900 Mulish 12/16 #FFFFFF at 0.64; body 9657:215901 Manrope 12/16 #FFFFFF; Reply 9657:215902 Manrope 12/16 #FFFFFF at 0.64; reply-pill label Manrope 14/18 #FFFFFF at 0.44. COLOUR modal #122524 on #123F3C, Overlay #001615 at 0.44, heart glyph #95A09F (was text-muted-foreground #B3B9CC). REPLY INDENT Frame 1216 x=40 gap16 = ml-6 plus the 1px rule plus pl-[15px], and space-y-4; the rule is not in the frame and is kept as a reading aid recoloured to #123F3C. Oracle FeedCommentsDialog.figma.test.tsx 10 tests, three new; the name ramp and the indent were mutation-checked, both went red under a reverted class and green again after restore with grep -F confirming each direction.	desktop=done @2026-09-01
Skai > Social - with "tweets" > comment thread 1VH (768 x 1024px) [11474-224727]	done	src/components/social/feed/FeedCommentsDialog.tsx	/social	MEASURED all 3 axes off node data 2026-09-01, then FIXED. Modal 11474:226522 448x602 at (160,211) radius 16 pad12 itemSpacing24 = max-w-[448px] rounded-[16px] p-3 gap-6. Title block Frame 200 h22 so Manrope 18/22 = text-lg/[22px]. Frame 465 y98 gap16, Frame 355 gap12, composer Frame 1217 y514 gap8. Reply pill Frame 261 424x28 radius 8 pad 6/8. Input row Frame 464 424x40 gap8, card 424x40 radius 12 pad12 fill #001615 on #123F3C = h-10 rounded-[12px]. Send 40x40 radius 8 #001615 carrying no-min-size, because 768 is inside the range index.css forces 44 on. TYPE name 11474:226542 Manrope Bold 12/16, time 11474:226543 Mulish 12/14 at 0.64, body 11474:226544 Manrope 12/16, Reply 11474:226545 12/16 at 0.64 - the md step in text-xs/[14px] md:text-xs/[16px] is exactly this. COLOUR as 1440. NOTE 11474:226532 is a 16/22 #E0E0E0 paragraph reading To start a trading livestream inside the title block, but Frame 200 is 22 tall and the title alone fills it, so that node is not laid out and is not built - the same trap as the hidden Show more 11529:292026.	tablet=done @2026-09-01
Skai > Social - with "tweets" > comment thread 1VH (375 x 812px) [11474-224476]	done	src/components/social/feed/FeedCommentsDialog.tsx	/social	MEASURED all 3 axes off node data 2026-09-01, then FIXED. Modal 11474:226650 354x568 at (11,122) radius 16 pad12 itemSpacing24 = w-[calc(100%-21px)] rounded-[16px] p-3 gap-6. 375-354=21 is the inset, and at 568 of 812 this is an auto-height card, NOT the full-height sheet ComposePostDialog draws at the same width - the two modals genuinely differ and the shells must not be shared. Reply pill Frame 261 330x28 radius 8 pad 6/8 fill #123F3C. Input row Frame 464 330x40 gap8. Send 40x40 radius 8 #001615 with no-min-size. TYPE title Manrope 18/22; name 11474:226670 Manrope Bold 12/14; time 11474:226671 Mulish 12/14 at 0.64; body 11474:226672 Manrope 12/14; Reply 11474:226673 12/14 at 0.64 - so the base step of the ramp is 14 and md lifts it to 16. COLOUR modal #122524 on #123F3C, Overlay #001615 at 0.44, heart glyph #95A09F.	mobile=done @2026-09-01
Skai > Social - with "tweets" > comment thread ALT (1440 x 900px) [9657-216084]	not-started	src/components/social/SocialRightMenu.tsx	/social	MEASURED THE CONTAINER, and the ALT is a different surface from the base. The frame holds NO modal at all: its five visible children are main 10430:53852, Header-desktop 9657:216348 1440x56, Frame 7, sidebar 9657:216384 58x844 and Right menu 9658:216807 442x884 radius 24 pad24 gap32 fill #122524 at 0.8 on a #123F3C stroke. So the ALT layout puts the comment thread in the RIGHT RAIL, not in a dialog. Nothing renders that: FeedCommentsDialog is a Radix Dialog and SocialRightMenu has no comment-thread mode. not-started rather than partial because the thing the frame is about does not exist in any file. ESCALATION for Casey - base and ALT are not variants of one component, so this is a build decision: option A build the thread into SocialRightMenu as a third rail mode, option B rule the ALT dead and drop the three frames from the work list. SocialRightMenu.tsx is outside this lane's files and nothing was edited.	desktop=not-started @2026-09-01
Skai > Social - with "tweets" > comment thread ALT 1VH (768 x 1024px) [11474-225435]	not-started	src/components/social/SocialRightMenu.tsx	/social	Same finding as 9657-216084 at tablet. Children are Frame 1000003867 708 wide gap32, Header-tablet 768x52, Bottom-navigation-tablet 768x52 and Right menu 11474:209369 442x1008 radius 12 pad20 gap32 fill #122524 at 0.8 on #123F3C. No modal node exists in the frame. The rail is 442 wide at 768, the same width as desktop rather than a scaled one, so this is a real layout to build and not a reflow of the 1440 rail.	tablet=not-started @2026-09-01
Skai > Social - with "tweets" > comment thread ALT 1VH (375 x 812px) [11474-225924]	not-started	src/components/social/SocialRightMenu.tsx	/social	Same finding as 9657-216084 at mobile. Children are Frame 1000003867 343 wide gap24, Header-mobile 375x48, Bottom-navigation-mobile 375x54 and Right menu 11474:209731 359x796 at (8,8) radius 12 pad12 gap32 fill #122524 at 0.8 on #123F3C - a near-full-bleed sheet with 16 of inset. No modal node. Unbuilt for the same reason.	mobile=not-started @2026-09-01
Skai > Social - single comment (375 x 812px) [11442-163219]	partial	src/components/social/feed/PostCard.tsx	/social	MEASURED off node data 2026-09-01. This is not a dialog frame: it is the whole 375x3385 mobile feed, Frame 1000003867 at (16,64) 343 wide VERTICAL gap24 holding Frame 630 343x32, Frame 1250 343x84 and Main container 343x3053 VERTICAL gap32. Its one distinguishing state is a post whose comment preview is a SINGLE row - 11442:164043 reads 1 comment at Manrope 12/14 #FFFFFF where the sibling frames read 6 comments. MEASURED AND FIXED this wave: the inline Add a comment field, card 11442:164092 295x40 radius 12 pad12 fill #001615 on a #123F3C 1px stroke, send CTA 11442:164101 40x40 radius 8 fill #001615, row Frame 464 gap8, icon 16 with the placeholder at x=20 so an inner gap of 4, placeholder 11442:164099 MULISH Regular 12/14 #95A09F. The code drew a flat h-[42px] bg-card border-border/60 at gap 8, a rounded-[12px] secondary send, and a sans 14/18 placeholder on text-muted-foreground. PARTIAL because the frame is a whole page: Frame 630 and Frame 1250 are the Discover heading and the creator rail, which live in pages/social/SocialFeed.tsx and StoryRail.tsx and were not measured here.	mobile=partial @2026-09-01
Skai > Social - show more comments (375 x 812px) [11529-291953]	partial	src/components/social/feed/PostCard.tsx	/social	MEASURED off node data 2026-09-01. Whole 375x3439 mobile feed, Frame 1000003867 at (16,64) 343 wide gap24, Main container 343x3109 gap32. The state it is named for is an EXPANDED comment preview: Frame 355 11529:292019 343x126 VERTICAL gap12 holding three Chat blocks at y0 h44, y56 h14 and y82 h44, each VERTICAL gap2 - which is the ul space-y-3 with mt-0.5 second lines PostCard already renders. THE CONTROL THE FRAME IS NAMED AFTER IS NOT DRAWN: Show more 11529:292026 is Manrope 12/14 #95A09F and is HIDDEN in Figma, so it is not a spec. A findAll that does not filter on visible reports it as present, which is exactly how it would get built. Card separator clearance re-checked at all three widths and it is 32 everywhere - 375 Main container 11442:173679 gap32 (card ends 651, rule 683, next 715), 768 11442:165403 gap32 (786 / 818 / 850), 1440 10232:201646 gap32 - so py-8 first:pt-0 is right at every width and there is no responsive step to add. PARTIAL for the same whole-page scope reason as 11442-163219. The tripwire src/components/social/showMoreComments.unavailable.test.ts already records why no expander is built; that file is outside this lane and unedited.	mobile=partial @2026-09-01
