# key	status	primaryFile	route	reason	bp
Keno payout ladder Group 306 [9679-1296]	done	modules/skai-gaming/src/components/play/games/instant/keno/KenoPayoutLadder.tsx	/play/keno	GEOM frame 888x102 = pill row 42 + gap 8 + track 52 (track y-offset 50 - pill 42 = 8); code h-[42px] + flex-col gap-[8px] + h-[52px] = 102. Track 888x52 r12 = rounded-[12px]. Gem chip 29x33.9 = w-[29px] h-[34px]. Track cells 73.5x52 gap 8 = flex-1 gap-[8px]. TYPE pill Manrope Bold 16px lh AUTO ls 0% = font-bold fontSize 16px (pillFontSizePx<=7); gem numeral Manrope Bold 10.31px = text-[10px] font-bold leading-none. COLOUR pill text #FFFFFF = text-white; track #1A2D2C = KENO.panel #1a2d2c; gem numeral #001615 = KENO.onGem; inactive cell #000000@0 vs code rgba(86,199,243,0) - both alpha 0, composited identical. NOTE frame is internally elided: 7 pill columns over an 11-cell track, gem labels 0,1,2,3,4,5,10 - it is a 10-pick (11 hit-count) ladder drawn with 6..9 omitted, so rendering all 11 is parity with intent, not a divergence.	desktop=renders @2026-08-31
Keno pick prompt Group 307 [9680-2351]	done	modules/skai-gaming/src/components/play/games/instant/keno/KenoPayoutLadder.tsx	/play/keno	GEOM bar 888x52 r12 at (33,554) inside the 954x621 Starting frame; 33 left = 954-33-888 = 33 right, symmetric; code h-[52px] rounded-[12px] w-full. TYPE Manrope Medium 16 / lh 22px / ls -4% = text-base font-medium leading-[22px] tracking-[-0.64px] (-4% x 16px = -0.64px EXACT). COLOUR bar #1A2D2C = KENO.panel; copy #FFFFFF@0.5 = KENO.muted rgba(255,255,255,0.5); composited over #1A2D2C that paints #8C9695. Copy verbatim: Select 1-10 numbers to play.	desktop=renders @2026-08-31
Keno Starting board [9481-20950]	partial	modules/skai-gaming/src/components/play/games/instant/KenoGame.tsx	/play/keno	GEOM MATCHED as proportions: Figma grid block 711.4x444 at (121,30) inside 954x621; KENO_BOARD regionPadY 30/954, regionPadX 121.285/954, stripPadX 33/954 (bar x=33, 954-33-888=33), panelPadBottom 15/954 (bar 554+52=606, 621-606=15), gridColumnGap 6.444/711.43 == measured 6.4441, gridRowGap 7.249/711.43 == measured row pitch 90.25-83, stripHeight 102 == Group 306 888x102. Grid 8x5=40 cells 83.3x83 r4.15 == grid-cols-8 aspect-square rounded-[4px]. COLOUR frame #001615 == KENO.board. DIVERGENCES (2, both in KenoGame.tsx which is OUTSIDE this lane): board card radius Figma 16 vs code rounded-[12px] (-4px); board panel max-w-[720px] vs Figma 954 (-234px, tiles 83.29 -> ~62.9).	desktop=partial @2026-08-31
Keno Desktop Selection [9481-20645]	partial	modules/skai-gaming/src/components/play/games/instant/KenoGame.tsx	/play/keno	Same 954x621 r16 #001615 shell as 9481-20950, measured there; carries the pre-draw neutral ladder (no active cell), which KenoPayoutLadder reproduces via activeHits=null. Inherits both divergences: r16 vs rounded-[12px], 954 vs max-w-[720px].	desktop=partial @2026-08-31
Keno Desktop win [9481-21797]	partial	modules/skai-gaming/src/components/play/games/instant/KenoGame.tsx	/play/keno	Same 954x621 r16 #001615 shell (3 children vs 2 - adds the win card over the 9683-8881 scrim, KENO.boardDim rgba(0,22,21,0.5) == #001615 at 50%). Inherits r16-vs-12 and 954-vs-720.	desktop=partial @2026-08-31
Keno Desktop loss [9683-8908]	partial	modules/skai-gaming/src/components/play/games/instant/KenoGame.tsx	/play/keno	Same 954x621 r16 #001615 shell; holds Group 307 9683-8996, the ladder whose 7 pills kenoRailParity.test.tsx transcribes as 0/0/0/3/9/180/710 and asserts ABSENT. Note those differ from Group 306 9679-1296 (0/0/0/1.60/2.00/4.00/1000x) - the file carries TWO ladder groups with different numbers, neither of which is the shipped RTP table. Inherits r16-vs-12 and 954-vs-720.	desktop=partial @2026-08-31
Mines all features board [9163-4529]	done	modules/skai-gaming/src/components/play/games/instant/mines/MinesBoard.tsx	/play/mines	GEOM frame 954x621 r16 #001615 stroke #FFFFFF@0.1/1 == MinesBoard rounded-[12px] border sm:rounded-[16px] + MINES.inset/MINES.border. Grid 561x561 at (197,30); 954-197-561=196, 621-30-561=30 == comment 196.5x/30y; code max-w-[561px] aspect-square. 5x5 tiles 103.0408 (measured 103), gap 11.449 (measured pitch 114.3-103=11.3, 561-5x103=46/4=11.5), radius 5.152 (measured 5.15), border 3.4347 (measured 3.4347) - all four constants EXACT. Hover tile 108.8/103 = 1.0563 == TILE_HOVER_SCALE 1.0555556. COLOUR idle stroke #FFFFFF@0.3 == MINES.tileBorder rgba(255,255,255,0.3); hover fill #FFFFFF@0.2 == MINES.tileHoverFill; bomb stroke #FF574A == MINES.bomb; gem stroke #17F9B4 == MINES.gem; tile fill #001615 == MINES.inset.	desktop=renders @2026-08-31
Mines Mobile board [9163-6955]	done	modules/skai-gaming/src/components/play/games/instant/mines/MinesBoard.tsx	/play/mines	GEOM frame 347x347 r12 #001615 stroke #FFFFFF@0.1/1 == rounded-[12px] border below sm. Grid 317x317 at (15,15); 347-15-317=15 symmetric. Tiles 58.2245 (measured 58.2), gap 6.4694 (measured 317-5x58.2=26/4=6.5), radius 2.9112 (measured 2.91), border 1.9408 (measured 1.9408) - EXACT. Ratio 58.2245/103.0408 = 0.565062 == the single cqw-scaled implementation, so one code path serves both frames. Hover 61.5/58.2 = 1.0567 == desktop 1.0563, same TILE_HOVER_SCALE. COLOUR identical token set to 9163-4529.	mobile=renders @2026-08-31
Mines Advanced bet panel [9163-7155]	done	modules/skai-gaming/src/components/play/games/instant/mines/MinesBetPanel.tsx	/play/mines	GEOM 356x621 #122524 r16 VERTICAL pad 16 gap 16 == panel bg MINES.panel lg:rounded-[16px] lg:p-4 lg:gap-4. Inset cards 324x42 r12 #001615 == CARD h-[42px] rounded-[12px] + MINES.inset. Manual/Auto track 324x42 r12 pad 4 == h-[42px] rounded-[12px] p-1. CTA 324x52 #56C7F3 r16 pad 20/40 == h-[52px] rounded-[16px] MINES.blue. Toggle 37.9x21.3 == h-[21.33px] w-[38px]. TYPE labels Manrope Regular 12 / lh 16px / ls -4% == LABEL font-manrope text-[12px] leading-[16px] tracking-[-0.04em]; CTA Bet Manrope Medium 16 / lh 22px / ls -4% == text-[16px] font-medium leading-[22px] tracking-[-0.04em]. COLOUR label #FFFFFF @ node opacity 0.64 == text-white/64 (composites to ~#AAB1B0 on #122524); CTA text #001615 == MINES.blueText. ONE 2px divergence, and the FRAME is self-contradictory about it: sibling pills 9163-7267 (inactive #001615) r10 and 9163-7274 (active #56C7F3) r12 inside one track; code ships rounded-[10px] for both. RESOLVED by sweeping all three callers (WAVE8 s4): the pair is POSITIONAL, not stateful - first child r10 / second child r12 in Mines 9163-7267/7274, Scratchers 9210-20673/20680 AND Darts 9393-1044/1051, where the ACTIVE blue pill is the FIRST one and therefore r10. Same two radii, opposite state assignment, so the radius encodes nothing. Uniform rounded-[10px] is correct; no escalation.	desktop=renders @2026-08-31
Scratchers Desktop board [9212-20910]	done	modules/skai-gaming/src/components/play/games/instant/scratchers/ScratchBoard.tsx	/play/scratchers	GEOM frame 954x621 r16 #001615 == rounded-[12px] sm:rounded-[16px]. Card 476x476 at (239,20) #122524 r12.337 pad 30.842 == max-w-[476px] aspect-square + SCRATCH.panel; 476-2x30.842 = 414.316 == measured grid 414.3. 3x3 cells 127.824 r12.337; column pitch 143.15-127.8 = 15.35, exactly (414.316-3x127.824)/2 = 15.42 == code gap 15.421. WARNING the grid frame 9212-20912 is layoutMode GRID, where itemSpacing reads a STALE 10.28 - the real gap is gridColumnGap and only the child x positions prove it. Strip 884x90 at (35,516) #1A2D2C r10 pad 12 gap 10; 954-35-884 = 35 and 621-(516+90) = 15, both symmetric == ScratchPaytable max-w-[884px] rounded-[10px] p-3 gap-2.5, chips 135x42 r12 == h-[42px] rounded-[12px]. TYPE strip label Manrope Regular 12/16px/-4% == STRIP_LABEL font-manrope text-[12px] leading-[16px] tracking-[-0.04em]. COLOUR win cell #2CC6FF == SCRATCH.cellWin; label #FFFFFF@0.64 == text-white/64; strip #1A2D2C == SCRATCH.paytable.	desktop=renders @2026-08-31
