# key	status	primaryFile	route	reason	bp
# Lane governance-dao, wave 50, 2026-09-18. 12 rows: every frame in
# BRIEF-governance-dao.md this pass REACHED, each one opened live with
# get_metadata on file 3sSzw1KewMtUbeLAv7uW0r. The four it did not reach keep
# their previous rows: 11307-134317, 11664-305643, 11705-320608 and
# 11705-321084.
#
# THE HEADLINE FINDING: THREE OF THESE SURFACES WERE BUILT TO ONE BOARD AND
# SHIPPED THAT BOARD'S NUMBERS AT EVERY WIDTH, AND THE THING THAT HID IT IS
# THAT EACH LOOKS DELIBERATE IN SOURCE.
#
#   The airdrop snapshot head carried the 1440 track and forced its 1111px
#   measure with `min-w-[1111px]`, which reads as a considered decision. The
#   board does not agree with it twice: at 768 it keeps six columns but
#   renames and re-measures every one of them (S/N 46, User 187, Points 119,
#   Reward 128, Wallet address 162, Action 34 on a 676 track), and at 375 it
#   DROPS the wallet and the per-row control and draws four on a 327 track. So
#   a 343-wide page was scrolling sideways for columns the frame never draws
#   there. A renamed column is the tell: `S/N` is not a narrow `Rank`, it is a
#   different head, and no amount of reading the 1440 node would have found it.
#
#   The same shape twice more. Yield vaults and gauge voting both put their
#   head controls under `sm:` (640), a width the catalog does not draw, so
#   both stacked on every phone while all three boards draw a row. And both
#   pages' h1 carried no font-family, which in this app means the display
#   serif: index.css defaults h1-h6 to Cormorant Garamond and every one of
#   these boards sets Manrope. A face mismatch does not show up in a spacing
#   audit at all.
#
# SECOND FINDING, FOR A RULING: BOTH `Airdrop - not eligible` boards are their
# eligible twins with exactly TWO nodes changed. At 375 and again at 768, only
# `Your allocation` and `Amount staked` become `Not eligible`; both boards still
# draw `You’re ready! Claim now`, `Your allocation is ready!`, the
# `Your wallet:` row and the claim CTA. Two widths, same contradiction, so it is
# the state variant and not a slip on one artboard. The page refuses to follow
# it and should. See 11667-311059 and 11667-311323.
#
# Verdicts are source-against-node. No browser ran, so no row claims a
# DOM-measured render.
11364-149679	partial	src/pages/YieldVaults.tsx	/earn/vaults	READ LIVE 2026-09-18. `Frame 927` is 1202 wide (main 1382 at x=58, `Frame 631` 1318 at x=32, `Frame 927` at x=58 of it). The head `Frame 629` is 66 tall and is a ROW: `Frame 450` 1010 holding a 36 title over 8 over a 22 standfirst, then `Frame 711` at x=1018 (gap 8) 184 wide, a 140x34 control beside a 36x36 square at x=148. Closed this pass in 63d181351: the head is a row at every width on that 8, the title takes Manrope at 32/36 where h1 was defaulting to the display serif index.css sets on h1-h6, the standfirst 16/22, and `Frame 633`'s three cards fall out of an 8 gap exactly - (1202 - 16) / 3 = 395.33, which is 11364:149753/149804/149855 to the hundredth - so the grid now ships gap-2 where it shipped 16. Remaining at 1440, and none of it is a spacing item: `Frame 270` draws FOUR 288.5 stat cards on a 16 gap and the page draws three, because the fourth is `Farmers` (11364:149715), a depositor count no ERC-4626 read supplies - useYieldVaults has none and vaultService's totalUsers is a hardcoded 0 for the legacy vault with a note saying the contract does not expose it; `Frame 634` at y=98, two 601 promo cards whose left card is an illustration this repo does not hold, is unbuilt; and the page column is max-w-6xl less px-4 = 1120 against 1202.	1440=partial 768=n-a 375=n-a @2026-09-17/wave50-governance-dao
11704-318672	partial	src/pages/YieldVaults.tsx	/earn/vaults	READ LIVE 2026-09-18, and this is the board the 1440 row's hand-offs were guessed from - it disagrees with 1440 on three counts, all now built. 708 column at x=30. Head 54 tall: `Frame 450` 566 (title 28 over 8 over an 18 standfirst), `Frame 711` at x=574 holding 90x34 + 36x36 at x=98. `Frame 270` is 2x2, not 1-up and not 3-up: 350 + 8 + 350 = 708 exactly, two rows 8 apart, each 113 (11704:318697/318708/318720/318731). `Frame 633` is two 350 cards on an 8 gap with the third at y=256. Closed in 63d181351: head row, title 24/28 at the md step, standfirst 14/18, stats grid-cols-2 gap-2, cards gap-2 - (708 - 8) / 2 = 350, which is the measured card. Both head controls now carry no-min-size, because index.css forces its 44px floor at `max-width: 768px` and so fires on THIS board as well as the phone, which is what was making a 34-tall control 44. Remaining: the `Farmers` tile (11704:318708, no source) and `Frame 634`'s two 354 promo cards at y=86; the tablet header and bottom nav are global chrome.	1440=n-a 768=partial 375=n-a @2026-09-17/wave50-governance-dao
11667-312902	partial	src/pages/YieldVaults.tsx	/earn/vaults	READ LIVE 2026-09-18 and NUMERICALLY IDENTICAL to 11704-318672, node for node: 708 column at x=30, head 54 with `Frame 450` 566 and `Frame 711` at 574 (90x34 + 36x36 at x=98), a 28 title over an 18 standfirst, `Frame 270` as 2x2 of 350 on an 8 gap, `Frame 633` as two 350 cards on 8 with the third at y=256. The only difference between the two boards is the frame height, 1024 against 1190 - `1VH` is a one-viewport CROP of the same page, not a variant, which is worth writing down because the brief carries six more 1VH twins and this is the first one measured against its base. Same closures in 63d181351 and the same two remaining items, the Farmers tile and the promo band.	1440=n-a 768=partial 375=n-a @2026-09-17/wave50-governance-dao
11706-321921	partial	src/pages/YieldVaults.tsx	/earn/vaults	READ LIVE 2026-09-18. 343 column at x=16. The head is 80 tall and is STILL A ROW at the phone width - `Frame 450` 201 and `Frame 711` at x=209 (gap 8) holding a 94x32 beside a 32x32 at x=102 - which is the item this pass closed: the page was `flex-col` below sm (640), a width the catalog does not draw, so both controls landed under the standfirst on every phone. Title line box 24, standfirst 48 = three 16 lines in the 201 measure. `Frame 270` is 2x2 at 168 + 8 + 167 (11706:321946/321957/321969/321980); the page was drawing ONE column. `Frame 633` is a single 343 column on a 248 pitch, so 240-tall cards 8 apart. Closed in 63d181351: head row on the 8, title 20/24 on Manrope, standfirst 14/16, stats grid-cols-2 gap-2, cards gap-2, and both controls at the board's 32 with no-min-size past the 44px floor. Remaining: the single 343 promo card at y=104 (12049:413386, an illustration), the Farmers tile, global chrome.	1440=n-a 768=n-a 375=partial @2026-09-17/wave50-governance-dao
11664-306263	partial	src/pages/YieldVaults.tsx	/earn/vaults	READ LIVE 2026-09-18 and NUMERICALLY IDENTICAL to 11706-321921: 343 column at x=16, head 80 as a row with `Frame 450` 201 and `Frame 711` at 209 (94x32 + 32x32 at x=102), a 24 title over a 48 three-line standfirst, `Frame 270` 2x2 at 168/167 on 8, three 343x240 cards on a 248 pitch. Frame height 812 against 1422, so again a one-viewport crop and not a variant - the second 1VH twin to be measured against its base this pass, and the second to come back with zero delta. Same closures in 63d181351, same three remaining items.	1440=n-a 768=n-a 375=partial @2026-09-17/wave50-governance-dao
11667-309312	partial	src/pages/Airdrop.tsx	/airdrop	READ LIVE 2026-09-18, and the board's own snapshot head is nothing like the one the page shipped. `Frame 1` 11667:309412 is inset 16 inside a 708 table, leaving a 676 track, and it holds six columns RENAMED and RE-MEASURED against 1440: S/N 46, User 187, Points 119, Reward 128, Wallet address 162, Action 34 - they sum to 676 exactly. Head 28 tall with the cell row 6 from the top and one rule at y=28; rows 46. Built in aa6eb108b: the head now carries this track at md, with the inset moved to the scroller where the board puts it, so each column keeps its own measure instead of carrying 64px of cell padding. Remaining, unchanged and structural: the page is a max-w-2xl claim card against a 708 column carrying `Frame 604` (two 354 promo cards at y=99), `Frame 280` (a 708x249 claim panel whose wallet row is a 250x48 box), and `Main container` at y=562 with `About this airdrop` over a Token-overview block. Four of that block's five tiles have no source at all - `Price` is $0.05542 for an unlaunched token with no chain market and no listing, and `Amount staked`, `Airdrop participants` and `Eligible members` span addresses this app cannot enumerate - so only `Your allocation` is buildable and the block stays unbuilt. (primary column also read: also src/components/governance/AirdropSnapshotList.tsx)	1440=n-a 768=partial 375=n-a @2026-09-17/wave50-governance-dao
11667-309576	partial	src/pages/Airdrop.tsx	/airdrop	READ LIVE 2026-09-18, and this is the board that proves the head is a three-track component. `Frame 1` 11667:309679 is inset 8 inside a 343 table, track 327, and only FOUR columns survive - S/N 36, User 124, Points 97, Reward 70, summing to 327 - with `Wallet address` and the per-row control DROPPED, not wrapped; rows go 46 to 40. Built in aa6eb108b: the four-column track, the 8 inset on the scroller, and the 1111 measure gated to lg, which is what was giving a 343-wide page a sideways scroll for two columns the board does not draw. ONE FRAME INCONSISTENCY recorded and not built to: the standfirst 11667:309583 is a 464-wide text box at x=-60.5 inside a 343 column, so it overhangs the page by 60 on each side; the head/row tracks also disagree with each other on this board (header Points at x=168 against a row at 178.5, header Reward at 265 against a row at 233.75), which is why only the head was taken. Remaining: the single 343 promo card at y=80, the 343x140 About paragraph, and the Token overview on the same four dead sources as at 768. (primary column also read: also src/components/governance/AirdropSnapshotList.tsx)	1440=n-a 768=n-a 375=partial @2026-09-17/wave50-governance-dao
11667-311323	partial	src/pages/Airdrop.tsx	/airdrop	READ LIVE 2026-09-18, AND THE BOARD CONTRADICTS ITS OWN TITLE. Node for node this is the eligible 375 twin 11667-309576 with exactly TWO changes: `Your allocation` and `Amount staked` read `Not eligible` beside a 16px glyph (11667:311901-311906) where the eligible board writes `--`. Everything else is carried over untouched, which means a board called `Airdrop - not eligible` still draws `Your allocation is ready!`, the `Your wallet:` row and the claim CTA at 11667:311353. The page does NOT follow it there and should not: its not-eligible branch shows the lock, the reason and the checked address and offers no claim control, and building the board here would put a claim button in front of a wallet that has no allocation. Needs a ruling - the app is the honest reading and the board looks like an unfinished duplicate. Everything measurable that IS this lane's carries over from the twin: the four-column 327 snapshot track built in aa6eb108b applies unchanged. Remaining: the same promo card, About paragraph and Token overview.	1440=n-a 768=n-a 375=partial @2026-09-17/wave50-governance-dao
11705-320003	partial	src/pages/GaugeVoting.tsx	/earn/gauges	READ LIVE 2026-09-18. 708 column at x=30. The head `Frame 629` is 62 tall and is TWO BANDS, not a title block with something beside it: a 36-tall row holding the title (`Frame 874` 134x28 at y=4, its `icons/action` sibling hidden, so the words stand alone) and ONE 36x36 control flush right at x=672, then the standfirst 8 below at 536x18 spanning the full width. Built in 3e348f435: the two-band head, title 24/28 on Manrope where h1 was taking the display serif, standfirst 14/18, the control as the board's 36 square with no-min-size past the 44px floor that fires at 768, and the vote glyph dropped. The label returns at lg because 5515-96095 was not re-read this pass and the desktop control was labelled. Remaining, every item outside this file or unsourced: `Frame 280` 11705:320243, a 330-wide donut over a four-row epoch legend, 288 tall, not built anywhere; the 118x34 control the board puts in the Gauges panel HEAD at x=590 where the page carries it at the panel foot; the table head - Pair 60, Contract 286 at 100.33, Votes 141 at 426.67, Caps 100 at 608, rows 36 tall on a 52 pitch - which is src/components/defi/gauge/GaugeWeightsTable.tsx; and the overview card's 2x2 plus the bribes card, which are VotingPowerDisplay.tsx and BribeRewardsCard.tsx. All three files belong to the defi-earn lane.	1440=n-a 768=partial 375=n-a @2026-09-17/wave50-governance-dao
11707-323740	partial	src/pages/GaugeVoting.tsx	/earn/gauges	READ LIVE 2026-09-18. 343 column at x=16. Head 92 tall on the same two bands: a 36-tall row with the title `Frame 874` 112x24 at y=6 and a 36x36 control flush right at x=307 (343 - 36), then the standfirst 8 below at 250x48, three 16 lines. Built in 3e348f435 with the 375 step - 20/24 title, 14/16 standfirst, square control at no-min-size. The empty state itself is `Frame 280` 11707:323644, 343x204, writing `No gauges yet` over `Gauges will appear here once governance registers them.` with a 140x32 control at 11707:323658; the page's gauge body is GaugeWeightsTable.tsx and the empty copy is that file's, so the wording is a hand-off to the defi-earn lane rather than an item here. Remaining with it: the overview card's 2x2 reading `--` / `#0` / `Ended` / `0` (11707:323673-323685) and the bribes card, both that lane's files, and the mobile header and bottom nav, which are global chrome.	1440=n-a 768=n-a 375=partial @2026-09-17/wave50-governance-dao
11705-319211	partial	src/pages/GaugeVoting.tsx	/earn/gauges	READ LIVE 2026-09-18. The head is identical to the populated 768 board 11705-320003 node for node - 708 column at x=30, `Frame 629` 62 tall, the title `Frame 874` 134x28 at y=4 with its glyph hidden, one 36x36 control flush right at x=672, the standfirst 8 below at 536x18 - so the two-band head built in 3e348f435 lands here unchanged, and the empty state does not move it. The state itself is `Frame 280` 11704:319079, 708x209, with `No gauges yet` (86x19) over `Gauges will appear here once governance registers them.` (330x16) and a 160x34 control, on a 330 middle centred at x=189. That copy belongs to GaugeWeightsTable.tsx, the defi-earn lane's file, not to this page. Remaining with it: the overview card reading `--` / `#0` / `Ended` / `0` on a 2x2 of 334-wide cells (11704:319108-319120) and the bribes card below it, both that lane's files, plus the tablet header and bottom nav as global chrome.	1440=n-a 768=partial 375=n-a @2026-09-17/wave50-governance-dao
