# key	status	primaryFile	route	reason	bp
# Lane home-sidebar-layout, wave 53, 2026-09-20. Rows are frames REACHED this
# pass; every other row stands. Column 3 is one bare path; a second witness file
# and the mount site go in the reason. No browser ran — each verdict is the file
# at HEAD read against the node tree pulled live, or named as another session's
# live read where it is.
#
# READS THIS PASS (file mhF3BkzlTaGiLzJ7kvpmVc): 5810:111233 whole with
# get_metadata, 14160:133074 whole with get_metadata, and 5810:111261 — the
# Trading row itself — with get_design_context, which is the first time the
# glyph on that row has ever been exported.
#
# WHAT WAS BUILT: Casey's ruling of 2026-09-19 21:1x. The Intelligent-support
# list is three entries with a Trading entry that goes to /spot, and it ships
# (9faefbfc5). The menu had carried seven since 2026-06-14. The panel geometry
# was already exact and is unchanged — `internal` 232x134, three 42px rows at
# 0/44/88, `gap-[2px] pb-[4px]`, the 16px `icons/action` 4px after the label —
# so the whole change is the list and its destinations.
#
# ★ THE THREE BOARDS DO NOT AGREE ON ORDER, and one array cannot draw both.
# 5810:111233 runs Frame 214 Trading (y=0), 215 Analysis (44), 216 Market intel
# (88). 14160:133074 runs the SAME THREE FRAMES reordered — 216 Market intel at
# y=0, 214 Trading at 44, 215 Analysis at 88 — and 14094:55845 agrees with it,
# as do the five-row cuts 13389:161486 and 14094:56305, which also open on
# Market intel. Four of the five boards that specify this panel put Market intel
# first, so that is what shipped; 5810:111233 stays partial on the sequence
# alone and it is Casey's to settle.
#
# ★ TRADING'S DESTINATION IS THE RULING'S, ITS GLYPH IS THE FRAME'S. The row has
# no `AiHomeScreen`, so it carries a route rather than a `?tab=` and has no
# "you are here" state in this column: /spot resolves to the TRADE column, where
# the lit row is that column's own Spot. The glyph is three vertical faders,
# exported off 5810:111264 at 11.001 x 14 and traced into
# src/components/home-redesign/supportNavIcons.tsx as FigmaSupportTradingIcon.
# The boards draw a 44%-opacity PADLOCK on all three rows because they are drawn
# for a free account; Trading has no tier because /spot has none, so it draws the
# unlocked trailing icon. That is entitlement state, not layout.
#
# ★ NOTHING IS STRANDED, which is the stop condition the AGENTIC_TOOLS narrowing
# (report 96f9671b) set and the reason the older note refused to build this list.
# Market signals, News and Sentiment keep their cards on the Intelligent support
# index that this section's own header opens; Screener (`?tab=research`) keeps
# LaunchLiveBoard.tsx:1008 and the AI agent's tab bar; InsightX keeps the trade
# column's Dashboard row plus every token-first entry. The section also still
# CLAIMS all eight tabs — the new `INTELLIGENT_SECTION_TABS` — so arriving on
# `?tab=sentiment` still opens the group and greens the rail, which a
# rows-derived lookup would have stopped doing the moment the rows went.
#
# ✅ CLOSED, and recorded rather than left listed: the locale hand-off. It was
# `sidebarTools` rendering "Market Intel" where every board writes "Market intel"
# and having no `sidebarTools.trading` key at all. Lane home-portfolio-feed took
# it in d3e4938fc (en gains `trading` and is recased; es gains `trading`, its
# `marketIntel` already sentence case), and this lane brought the inline i18n
# DEFAULT into line in cccfbd055 — a default that disagrees with the locale
# renders a different string wherever the key is missing, and en and es are the
# only two of the thirteen locales that carry a `sidebarTools` block at all.
#
# HAND-OFFS STILL OPEN, named because the fix lands outside this lane:
#  · src/components/home-redesign/screens/IntelligentSupportHub.tsx (lane
#    home-whales-screens-ai) — the hub's `HUB_MODELS` still maps `news` to
#    FigmaRssIcon and `sentiment` to FigmaSparklineIcon, the two borrowed glyphs
#    report 25fe679f is about. The sidebar rows that carried the traced
#    replacements are gone, so the wrong drawings are now the only ones a user
#    meets. Change: import FigmaSupportNewsIcon and FigmaSupportSentimentIcon
#    from ../supportNavIcons and swap those two rows' `Icon`/`art` (13 and 14).
#  · src/lib/predict/sideNav.ts:118 — its docblock still reasons off
#    "INTELLIGENT_TOOLS' News row", which no longer exists. The ruling it draws
#    is unaffected; only the sentence is stale.
#
# NOT MINE, resolved by a peer mid-pass: the two 24px ToggleSideButtons that
# flanked the AI Chat / AI Feed toggle below lg were the ONLY residue on the five
# 1VH rows below. Lane home-portfolio-feed read 6415:45107 and 6415:45113 live
# tonight (Frame 186 200x34 at (284,24) and 200x32 at (88,16), two CTA/button
# children apiece and nothing beside them) and removed them in da67c35ee, and
# AiHome.toggleSideButtons.figma.test.tsx went with them. Those five rows close
# on that measurement plus wave 52's own node-level read of each board's `main`.
5810-111233	partial	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeSidebarExpanded)	READ LIVE 2026-09-20, whole board, and the list Casey ruled on is BUILT (9faefbfc5) — INTELLIGENT_TOOLS is three entries where it shipped seven. Everything else on this 248x844 board was already exact and is re-confirmed here: `Top main` at (8,9) 232x602, New chat 42 at y=0 with the pin CTA at x=193, Portfolio 44, Whales 88, Skai agent 132, Intelligent support 176 with its 16px caret at x=208, `internal` at y=220 232x134 over three 42px rows at 0/44/88 (42*3 + 2*2 + 4 = 134, which is `gap-[2px] pb-[4px]`), Agentic support at y=356, Your chats at y=400 with `chats` 158 tall as 26/28/26/26/26 at 0/30/62/92/122, and `main bottom` at (8,643) 232x192 with the rule 200 wide at x=16 and the 130+10+10+42 stack. The row's trailing 16px `icons/action` is the padlock at 44% and sits 4 after the label closes — 92 after Trading's 88, 97 after Analysis' 93, 118 after Market intel's 114 — which is ToolRow's locked cluster to the pixel. PARTIAL ON ORDER ONLY: this board runs Trading, Analysis, Market intel; 14094:55845, 14160:133074, 13389:161486 and 14094:56305 all open on Market intel, so the build ships Market intel, Trading, Analysis and this one board disagrees. One array cannot draw both orders and the panel is identical otherwise. The casing residue this row carried — "Market Intel" against the board's "Market intel" — is CLOSED: d3e4938fc recased the locale and cccfbd055 recased the inline default, so the board's string is what renders. Order is the only thing left.	1440=partial 768=n-a 375=n-a @2026-09-20/wave53-home-sidebar-layout
14094-55845	done	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeSidebarExpanded)	CLOSED BY THE RULING. Wave 52 read this 318 tablet drawer live and left it partial on the list alone, with every number matched: `Frame 1053` at (8,9) 302x606, menu 0..36, `Frame 1054` at y=56 for 88 (search 40, stats 40 at y=48), `Top main` at y=164 for 442 on the tablet's 20 rhythm (`pb-4 md:pb-5` in HomeTopBar.tsx), eight 42px rows on the 44 pitch at 0/44/88/132/176/220, `internal` at y=220 for 134 holding Market intel, Trading and Analysis in that order, Agentic support at y=356, Your chats at y=400, and `main bottom` at (8,823) 302x192 with the 276 rule centred at x=13 and 130+10+10+42 below. The list is now those three in that order with Trading on /spot, so the board and the build agree row for row. The second `internal` at (0,356) is hidden and draws five sport rows at the 232 width; hidden, so nothing is drawn from it.	1440=n-a 768=done 375=n-a @2026-09-20/wave53-home-sidebar-layout
14160-133074	done	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeSidebarExpanded)	RE-READ LIVE 2026-09-20 and CLOSED BY THE RULING. The 296 phone drawer: `Frame 1053` at (8,9) 280x598 on the 16 rhythm (menu 0..36 with the 77x32 short logomark at x=52, `Frame 1054` at y=52 for 88, `Top main` at y=156 for 442), the eight rows on the 44 pitch, `internal` 14160:133595 at y=220 for 134 over Frame 216 Market intel at y=0, Frame 214 Trading at 44, Frame 215 Analysis at 88 — the same three frames 5810:111233 draws, reordered — Agentic support at y=356, Your chats at y=400 with `chats` hidden, and `main bottom` at (8,759) 280x192 with the 276 rule at x=2 and the 130+10+10+42 stack. Every label is 16-leading against the tablet cut's 18, which LABEL's `leading-4 md:leading-[18px]` draws. The padlocks land 4 after each label (118 / 92 / 97), which ToolRow's locked cluster already drew. Build and board now agree on the list, the order and the destinations.	1440=n-a 768=n-a 375=done @2026-09-20/wave53-home-sidebar-layout
13389-161486	partial	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeSidebarExpanded)	MEASURED AND DELIBERATELY NOT MATCHED. Wave 52 read this 248x1188 docked column live: `Top main` at (8,9) 232x530, New chat 42 at y=0 with the pin CTA visible at x=193, Portfolio 44, Whales 88, Skai agent 132, Intelligent support 176, `internal` at y=220 232x222, Agentic support at y=444, Your chats at y=488, `main bottom` at (8,987) 232x192 with the rule 200 wide at x=16. All of that still matches. The 222 does not: it is five 42px rows at 0/44/88/132/176 plus 4 of bottom padding over Market intel, Market signals, News, Sentiment, Analysis, and the build now draws the ruled THREE in 134. The gap is 88px of panel and the two rows Market signals / News / Sentiment less Trading, and it is Casey's ruling of 2026-09-19 rather than a defect — the same page's 14094:55845 draws three at the same width. Nothing was edited for this board.	1440=partial 768=n-a 375=n-a @2026-09-20/wave53-home-sidebar-layout
14094-56305	partial	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeSidebarExpanded)	MEASURED AND DELIBERATELY NOT MATCHED, the tablet twin of 13389:161486. Wave 52's live read stands: the 318 drawer with `Frame 1053` at (8,9) 302 wide, menu 0..36, `Frame 1054` at y=56 for 88, `Top main` at y=164 for 530 rather than 442 because `internal` at y=220 is 222 — five 42px rows at 0/44/88/132/176 plus 4 — Agentic support at y=444, Your chats at y=488 with `chats` hidden, `main bottom` at (8,823) 302x192 with the 276 rule at x=13. Every one of those matches except the panel: the build draws 134 over three rows. Its own sibling 14094:55845 sits on the same page at the same width drawing three, which is why this cut could never be the spec on its own, and the ruling took the three. Remaining gap in numbers: 222 vs 134, five rows vs three.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-home-sidebar-layout
6415-45107	done	src/components/home-redesign/HomeShellLayout.tsx	shell (App.tsx redesignShell)	CLOSED. The carried gap was the two 24px ToggleSideButtons and they are gone (da67c35ee, lane home-portfolio-feed, off a live read of this board: Frame 186 200x34 at (284,24) with exactly two CTA/button children at x=4 and x=104 and nothing beside them). Everything else was already matched and is not re-opened: the chrome from wave 50 — Header-tablet 52, `main` at y=52 for 920, Bottom-navigation-tablet 52 at y=972, no rail and no ticker below lg, which HomeShellLayout draws as `lg:block` / `lg:flex` and `md:pb-[calc(52px+safe-area)]` against the bar's own `md:h-[calc(52px+safe-area)]` — and the interior measured in wave 52 off 6702:24782's identical `main`: the 48px mark at y=410, the greeting at y=482 28 tall, `Frame 41` 588x114 at (90,750), the four-chip nav 419x16 at (175,880) and the toggle 200x34 at (284,24) over two 92x26 segments. (768-200)/2 = 284, so the toggle keeps the board's x with the discs gone.	1440=n-a 768=done 375=n-a @2026-09-20/wave53-home-sidebar-layout
6415-45113	done	src/components/home-redesign/HomeShellLayout.tsx	shell (App.tsx redesignShell)	CLOSED at the phone rung, same cause and same commit — the peer's live read of this board gives Frame 186 200x32 at (88,16) with two children and nothing beside them, and (375-200)/2 = 87.5 rounds to the board's 88. Carried and unchanged: Header-mobile 48, `main` at y=48 for 710, Bottom-navigation-mobile 54 at y=758, which HomeShellLayout ships as `h-[calc(54px+safe-area)] md:h-[calc(52px+safe-area)]` on the bar and the same two rungs on main's reserve; and the interior measured in wave 52 off 6702:25218 — the 36px mark at (170,283), centred at (375-36)/2 = 169.5, the greeting at y=343 24 tall, `Frame 41` 360x112 at (8,526), the nav 303x40 at (37,654) as three chips at 0/108/203 with the fourth at (105.5,24), and the toggle's two 92x24 segments (4+4+16+4+4 = 32).	1440=n-a 768=n-a 375=done @2026-09-20/wave53-home-sidebar-layout
6419-47130	done	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeShellLayout + HomeTopBar drawer)	CLOSED. Wave 52 read this board at node level and matched every number, leaving it partial on the two AiHome discs alone; da67c35ee removed them. Restated so nothing is taken on trust: the 768 shell is Header-tablet 52, `main` 52..972 for 920, Bottom-navigation-tablet 52 at y=972. Inside the 318 drawer, `Frame 1053` at (8,9) is 302x606 — menu 0..36, `Frame 1054` at y=56 for 88, `Top main` at y=164 for 442 on the 20 rhythm — with eight 42px rows on the 44 pitch and `internal` at y=264, two under the Agentic header's bottom edge at 262 (`gap-[2px]`), 134 tall over AI master / AI advisor / Backtest, which is AGENTIC_TOOLS in frame order and untouched by the Intelligent-support ruling. Your chats closes at y=400. `main bottom` at (8,823) 302x192: three 42s at 0/44/88 for 130, the rule at y=140 276 wide at x=13, Upgrade to Pro 42 at y=150. Note for the fold: this key's existing `partial` line in vverify.home.tsv is about the rail not rendering at 768, which this board also does not draw — the `lg:block` gate is correct here, so no line was added over it.	1440=n-a 768=done 375=n-a @2026-09-20/wave53-home-sidebar-layout
6702-24782	done	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeShellLayout + HomeTopBar drawer)	CLOSED, same residue and same commit. 6419:47130's twin in the other drawer state: the same 768 shell (52 / 920 / 52 at y=972) and the same 318 drawer, both support sections CLOSED and Your chats OPEN, so `Top main` is 474 rather than 442 and `Frame 221` at y=264 is 210 — Your chats 42 at y=0, `chats` at y=44 for 166. That panel is five 294-wide rows at x=4 on a 32 pitch (0/32/64/96/128), each 28 tall because each carries a 16px kebab at x=270, 156 plus 10 of bottom padding. ChatRow is content-sized at `px-2 py-1.5`, so it is 26 over a bare 11/14 label and 28 with the kebab in the row, on a 4 gap with 10 below. Both support sections are closed here, so the three-entry ruling changes nothing this board draws. Same vverify note as its twin.	1440=n-a 768=done 375=n-a @2026-09-20/wave53-home-sidebar-layout
6702-25218	done	src/components/home-redesign/HomeSidebarExpanded.tsx	shell (HomeShellLayout + HomeTopBar drawer)	CLOSED, same residue and same commit. The phone rung of 6702:24782: Header-mobile 48, `main` 48..758 for 710, Bottom-navigation-mobile 54 at y=758; the drawer 296 with `Frame 1053` at (8,9) 280 wide on the 16 rhythm (menu 0..36, `Frame 1054` at y=52, `Top main` at y=156) and `Top main` 280x466 over the same eight rows, `internal` hidden, Your chats at y=264 with `chats` 158 tall as 26/28/26/26/26 at 0/30/62/92/122 — the one 28 being the single row with a kebab, which is what proves the step is the kebab and not a leading change. Labels 16-leading (`leading-4 md:leading-[18px]`). `main bottom` 280x192 with the rule 276 at x=2 and 130+10+10+42. The board hangs `main bottom` at y=674, i.e. 866 in an 812 drawer, so the board overflows itself and the build's bottom-anchored `shrink-0` group is the only reading of it.	1440=n-a 768=n-a 375=done @2026-09-20/wave53-home-sidebar-layout
