9363-1963	partial	-	DESKTOP PAGE 1440x3294 - MIS-TITLED "Skai > Play > Casino > Hi-Lo Start (1440 x 900px)" and it is neither Hi-Lo nor 900 tall. The Chicken page is built and routed at /play/chicken (App.tsx), mounting ChickenGame at variant=fullscreen inside GameShell with ChickenPageSections beneath. PARTIAL rather than match because the page furniture was not text-node diffed against this frame in this pass, and the frame's Community-wins sample rows / "N playing" counts are deliberately not reproduced under the no-mock-data policy.
9363-2936	partial	-	MOBILE PAGE 375x1605 - MIS-TITLED "Skai > Play > Casino > Blackjack (375 x 812px)"; it is Chicken and it is 1605 tall, not 812. Served by the same responsive /play/chicken page rather than a second implementation. Not measured at 375 this pass.
9432-8016	match	-	EASY BOARD 1327x247, and the ladder is VERIFIED AGAINST AN INDEPENDENT ORACLE rather than re-derived from itself. Read off the frame: 1.03 1.09 1.15 1.23 1.31 1.40 1.51 1.63 1.78 1.96 2.18 2.45 2.80 3.27 3.92 4.90 6.53 9.80 19.60 - 19 rungs. Computed separately from ChickenGame.tsx calculateMultiplier (hypergeometric without replacement, x0.98) at 20 lanes / 1 hazard: 1.03 1.09 1.15 1.23 1.31 1.40 1.51 1.63 1.78 1.96 2.18 2.45 2.80 3.27 3.92 4.90 6.53 9.80 19.60. Identical, all 19, to the cent. Board geometry is also frame-measured: ChickenRoad.tsx pins LANE_W 62 / BOARD_H 247 / grate 40x30 at y108 / chip at y145 / roadblock 37x27 at y75 / chicken 36x44 at y93, every one sampled off THIS frame and 9432-5358 by pixel-reading the render.
9432-8667	match	-	MEDIUM BOARD 1203x247, 17 rungs. Frame: 1.15 1.37 1.64 2.00 2.46 3.07 3.91 5.08 6.77 9.31 13.30 19.95 31.92 55.86 111.72 279.30 1117.20. Code (20 lanes / 3 hazards, x0.98): 1.15 1.37 1.64 1.99 2.46 3.07 3.91 5.08 6.77 9.31 13.30 19.95 31.92 55.86 111.72 279.30 1117.20. 16 of 17 identical; the single divergence is rung 4 and it is a ROUNDING REPRESENTATION, not a price: the exact value is 0.98 x C(20,4)/C(17,4) = 1.99500 exactly, which Figma rounds half-up to 2.00 and the client floors to 1.99. The rail freezes 19950 bps either way, so the payout is the same and the client's rendering is the conservative one (it can never advertise more than it pays). Left alone deliberately - moving it would make the label overstate. Top rung 1117.20x matches floor(9800 x C(20,3))/10000 exactly.
9432-9285	match	-	HARD BOARD 1077x247, 15 rungs. Frame: 1.31 1.77 2.46 3.48 5.06 7.59 11.81 19.18 32.89 60.29 120.59 271.32 723.52 2532.32 15193.92. Code (20 lanes / 5 hazards, x0.98): identical, all 15, including the 15193.92x ceiling = floor(9800 x C(20,5))/10000. No divergence anywhere on this frame.
9431-3268	match	-	EASY BOARD, LARGE CANVAS 3337x621 - the SAME design as 9432-8016 at a bigger canvas, not a second screen. Same 19 rungs in the same order, same kerb/traffic-light/finish-line furniture, more vertical road either side. Recorded so the Chicken worklist stops counting six unbuilt boards where there are three: each difficulty is drawn twice, once at 621 tall and once at 247.
9428-6660	match	-	MEDIUM BOARD, LARGE CANVAS 3025x621 - the 621-tall twin of 9432-8667. Same ladder, same furniture.
9429-2075	match	-	HARD BOARD, LARGE CANVAS 2709x621 - the 621-tall twin of 9432-9285. Same ladder, same furniture.
9428-8535	partial	-	MEDIUM IN-PLAY, LARGE CANVAS - crossed lanes carry a mint-filled token with a mint payout chip, the chicken stands on the live lane under held traffic, upcoming lanes stay grey. All three states are implemented in ChickenRoad (crossed / live / idle, with GRATE_IDLE deliberately set to the ROAD colour rather than the bar colour, which used to make every lane read as a hole in the tarmac). PARTIAL because the in-play states were not re-rendered side by side against this frame in this pass.
9432-5358	match	-	MEDIUM IN-PLAY 1203x247 - the frame ChickenRoad.tsx names as one of its two geometry sources, alongside 9432-8016. Its grate glyph sizes (five-bar 54x37 and bolt 36x40 at the frame's 2.5x, i.e. 21x15 and 14x16 at 1:1), its held-traffic position (police car spanning y37..95) and its roadblock band (y75..102, ABOVE the grate) are all pinned in code as literals read off this render. Nothing here is estimated.
