# key	status	primaryFile	route	reason	bp
# Lane home-deposit-portfolio, wave 44, 2026-09-15. 37 frames from the wave 43 brief: the deposit band and
# its six modal steps at all three boards, the quick balance's two ALT surfaces, the portfolio screens, the
# expanded sidebar and the top bar.
#
# TWENTY-TWO OF THE THIRTY-SEVEN WERE READ LIVE THIS PASS (get_metadata on mhF3BkzlTaGiLzJ7kvpmVc, largest
# board first, paced under the seat's burst cap; no refusal was hit). Every row that says READ LIVE names a
# node opened on 2026-09-15. Rows that say NOT REACHED carry wave 43's verdict unchanged and were not opened.
#
# NO BROWSER RAN. No build, no dev server, no DOM was measured, so NO ROW BELOW CLAIMS A RENDER. Every "done"
# is a live Figma read compared against the source, plus the commit that closed the difference.
#
# THE ONE MEASUREMENT THAT CHANGED THE MOST ROWS: the modal shine was a single literal per step, taken off
# the 1440 boards. The disc is 484px on every board while the card is not, so its top edge is a per-board
# number — eighteen cuts read this pass give chooser -772/-726/-694, send -472/-470/-396, buy -477/-487/-391,
# currency -436/-434/-390, pay with -382/-376/-328, received -788/-780/-686 (phone/tablet/desktop). Fixed in
# 2270c8f44, which also closed the controls row (content-sized, so 16 close-only and 18 at 1440 with Back),
# the received step's 24-below-1440 amount gap and its 4-then-6 figure pair, the confetti's per-board top,
# the picker header's panel centring, and the pay-with split.
#
# FOUR COMMITS: 2270c8f44 (deposit modal), d719871d2 + 9d0275eb7 (quick balance), 7c2edba23 (phone holdings).
#
# TWO THINGS THIS LANE DELIBERATELY DID NOT BUILD, both recorded on their rows and in the report:
#   - Send crypto's four copy departures (the "min 5 USD" label, "Skai Mainnet", the Across credit, the
#     "~2m"/"$0.18" figures). Each is a refusal to print something untrue; each needs a ruling, not a commit.
#   - The 1440 portfolio column. The frame lays 1144; PortfolioScreen.tsx:5440-5497 settles it at the 1440
#     artboard cap between two opposing bug reports and says in terms "Do NOT restore 1144/1192". Six rows
#     share that departure and none of them was touched.
13486-49332	done	src/components/home-redesign/with-deposit/DepositModal.tsx	/	READ LIVE 2026-09-15 (and by wave 43). Card 564x370 on a 24 inset, height closing exactly at 24+16+24+58+24+200+24. Shine 484 at left -150, top -694 = SHINE_TOP.chooser.desktop. Title 28 lh beside a 24 wallet glyph on gap 8; subtitle 22 lh at +8; the rows block at +24; rows 516x96 (md:h-24) with a 64 icon box at 16,16, text at x=96, title 24 lh, body 18 lh at +8, the chevron 24 clear of the right edge and 8 between the two rows. THE ONE BUILD MISS IS CLOSED: the controls row is 16 here and the build held it at lg:h-[18px]; it is now content-sized, which gives 16 close-only and 18 once Back is there (2270c8f44), and the 1440 select-currency board confirms the 18 half. TWO DEPARTURES REMAIN AND NEITHER IS A BUILD DEFECT: the frame stacks five 24px placeholder discs and the build draws the three a Skai address can actually receive (DepositModal.tsx:231) — five would be two invented tokens; and the frame's second row reads "Google Play" where the build reads "Google Pay", which is the frame's typo.	1440=done 768=n-a 375=n-a @2026-09-15/wave44-home-deposit-portfolio
14129-84348	done	src/components/home-redesign/with-deposit/DepositModal.tsx	/	Card 448x338 on a 12 inset, height exact at 12+16+24+50+24+200+12, and 448 is md:w-[448px]. Controls 16 (h-4), title 22 lh, subtitle 18 lh, rows 96 with the 64 icon box and the 24 right inset, body wrapping to 2x16 in a 168 column. BOTH WAVE 43 MISSES CLOSED in 2270c8f44: the shine's top is -726 on this board and the build passed -694 at every width, which is now keyed by board; and the badge is measured against the same no-mock-data refusal as the 1440 row, not a geometry gap. Row title measures 19 against md:text-[14px]/[18px] — 1px of Manrope's own rounding.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-home-deposit-portfolio
14129-84499	done	src/components/home-redesign/with-deposit/DepositModal.tsx	/	Card 354x292 on a 12 inset, height exact at 12+16+24+48+24+156+12, and 354 is w-[354px]. The phone row is the one that had to be derived rather than copied and it lands: 74 tall = 12 + (18 title + 4 + 2x14 body = 50) + 12, icon 48 at pl-3, text at x=76 for a 16 gap, chevron 20 clear for pr-5. The token stack is hidden on this board and the build hides it (hidden md:flex). THE ONE MISS CLOSED: the shine's top is -772 here against the build's -694 (2270c8f44).	1440=n-a 768=n-a 375=done @2026-09-15/wave44-home-deposit-portfolio
13502-172088	done	src/components/home-redesign/with-deposit/DepositModal.tsx	/	READ LIVE 2026-09-15 — wave 43 had not opened it and took SHINE_TOP.received = -686 on trust. It is exact: modal 564x488, shine 484 at left -150 top -686. Frame 1138 at 24,24 is 516x330; the controls row is 516x16 and carries the close alone, which is the second board proving the row is content-sized not fixed (now built, 2270c8f44); Frame 338 at +24; the 128 ring centred at x=194; the title at +16 on 28 lh; "Reloading page in 5 secs..." at +16 on 22 lh; the amount row at +48 (lg:gap-12) with the 32 mark and the figure paired on 4 and the ticker 6 after them, which the build drew as a flat 6 and now pairs; the CTA 516x62 at +48. Confetti top -17.53 against lg:top-[-18px], 410 wide against w-[min(410px,100%)].	1440=done 768=n-a 375=n-a @2026-09-15/wave44-home-deposit-portfolio
14136-88988	done	src/components/home-redesign/with-deposit/DepositModal.tsx	/	READ LIVE 2026-09-15; wave 43 predicted this board's shine was off and it is. Modal 448x394 at y=315, shine top -780 against the build's single -686 (fixed, 2270c8f44). Frame 1138 at 12,12 is 424x296; controls 16, close only; Frame 338 at +24; the 128 ring centred at x=148; title 22 lh at +16; the reloading line 18 lh at +16. THE SECOND MISS THIS ROW FOUND: the ring group closes to the amount on 24 here, not the 48 the build drew at every width, so the step now reads gap-6 lg:gap-12. Frame 1158 pairs the 32 mark with "12" on 4 and puts USD 6 after the pair; CTA 424x50 at +24; modal 394 = 332+50+12. Confetti top -4, now md:top-[-4px]. RECORDED, NOT BUILT: the confetti's bbox is 392.72 wide here against 410 at 1440 and 330 at 375, but its height is the same 135.64 as the 1440 cut — the designer moved individual sprinkles rather than scaling the group, so the width is an emergent union box, not a design box, and w-[min(410px,100%)] is left alone.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-home-deposit-portfolio
14136-89280	done	src/components/home-redesign/with-deposit/DepositModal.tsx	/	READ LIVE 2026-09-15. Modal 354x386 at y=213, shine top -788 (fixed, 2270c8f44). Frame 1138 at 12,12 is 330x294; controls 16; Frame 338 at +24; the 128 ring centred at x=101; title 22 lh at +16; reloading 16 lh at +16; the amount row at +24, confirming the gap-6 lg:gap-12 step this pass found at 768; the 4-then-6 figure pair again; CTA 330x44 (h-11) at +24; modal 386 = 330+44+12. The confetti sits BELOW the ring's top edge here, at +12 against -18 at 1440, and spans the full 330 — now top-3 md:top-[-4px] lg:top-[-18px].	1440=n-a 768=n-a 375=done @2026-09-15/wave44-home-deposit-portfolio
13484-48643	done	src/components/home-redesign/with-deposit/BuyWithFiatViews.tsx	/	Geometrically the closest board in the lane and wave 43 measured every number on it: card 564x673, shine top -391 = SHINE_TOP.buy.desktop; gaps 24 controls-to-title, 24 title-to-provider, 24 provider-to-cards, 40 to the pay-with block (lg:gap-10), 48 to the CTA (lg:gap-12), CTA 516x62. Spend card 516x108 = pt-4/px-4/pb-8 round a 484x60 body, label 18 lh, 2 to the amount row, amount 26 lh, chip 112x40 on pl-2/gap-2/pr-5; receive card rides -17 at 516x92 on a flat 16; five 101.6 quick segments 2 apart at 32 tall; pay-with field 516x64 on a 20 inset. Held at partial by wave 43 only for three departures, and each is this wave's own rule rather than a gap: the provider slot draws MoonPay because MoonPay is the only on-ramp; "You receive" is an explicit dash because MoonPay quotes at checkout and no rate source is reachable, which is the no-mock-data rule exactly; and the receive chip drops a caret that would open nothing.	1440=done 768=n-a 375=n-a @2026-09-15/wave44-home-deposit-portfolio
14136-85609	done	src/components/home-redesign/with-deposit/BuyWithFiatViews.tsx	/	READ LIVE 2026-09-15 — the rung nobody had opened at either end. Modal 448x577 at y=224; Frame 1138 at 12,12 is 424x479 and the height closes at 12+479+24+50+12. Controls 424x16; title 22 lh at +24; provider row 36 at +24; the cards block at +24. Spend card 424x106 = 16 + a 392x58 body + 32, label 16 lh, the amount row 40 tall, chip 108x40 which is exactly pl-2 + 24 + gap-2 + 24 + gap-2 + 16 + pr-5. Receive card rides -17 at 424x90 on a flat 16. Five 83.2 quick segments 2 apart at 32. Pay-with label row 18 with the tag at x=53 (43 + gap-2.5), field 424x56 (h-14) at +8, the block at +24; CTA 424x50 at +24. THE ONE MISS: the shine's top is -487 on this board against the build's -391 (fixed, 2270c8f44). Same three ruled departures as the 1440 row.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-home-deposit-portfolio
14136-85815	done	src/components/home-redesign/with-deposit/BuyWithFiatViews.tsx	/	The bottom sheet, and it docks correctly: modal 375x587 at y=225, i.e. flush to the 812 bottom edge, 351 inner at a 12 inset, and the CTA's 32px foot is max-md:pb-8 exactly. CTA 351x44 = h-11; field 351x56 = h-14 on a 16 inset; spend card 351x104 with the same pt-4/pb-8, label 14 lh, amount 16 lh, chip 108x40; receive card at -17; five 68.6 quick segments 2 apart; gaps 24/24/24/16/24/24 all on the base ladder. THE ONE MISS CLOSED: shine top -477 against the build's -391 (2270c8f44). Same three ruled departures.	1440=n-a 768=n-a 375=done @2026-09-15/wave44-home-deposit-portfolio
13490-168974	done	src/components/home-redesign/with-deposit/BuyWithFiatViews.tsx	/	READ LIVE 2026-09-15; wave 43 had not opened it. Modal 564x674 at y=113, shine top -390 = SHINE_TOP.currency.desktop, confirmed rather than assumed. Frame 1138 at 24,24 is 516x626. THIS IS THE BOARD THAT SETTLED THE CONTROLS ROW: it is 516x18 here, with a 54x18 Back group whose label is 18 lh, while the close-only chooser and received boards are 16 — so the row is content-sized, not a fixed lg:h-[18px], and the build now is too (2270c8f44). Title 28 lh at +24; PickerHeader 36 at +24, and its label is centred on the 516 PANEL (36 + a 444 label + 36), which is the measurement behind the pay-with fix; search 516x62 at +24; the list at +16; eight rows 44 tall on a 50 pitch totalling 394, which is max-h-[394px] to the pixel; row inset 6/6 with a 32 glyph, the label at +12 on 18 lh and the code 4 after the name. DEPARTURE, STATED: the build lists nine currencies — the frame's eight plus the NGN the buy board is itself drawn in (fiat.ts:28).	1440=done 768=n-a 375=n-a @2026-09-15/wave44-home-deposit-portfolio
