# key	status	primaryFile	route	reason	bp
# Wave 56, 2026-09-21, lane `onboarding-landing` (modules/skai-landing/src/,
# src/components/onboarding/, src/pages/oauth/, src/pages/auth/). This brief was
# held through waves 54 and 55, so no row here leans on a wave 54 or 55 reading;
# every board below was opened live this pass and the row says with which tool.
# Column 3 is one bare path; a second witness file and the mount site go in the
# reason.
#
# READS. get_metadata on 2005-21410, 2005-22103, 2005-22826, 2005-23529,
# 2005-24244, 2005-25112, 11225-181650 and, as a sibling witness for the row
# internals, the 768 link-wallet board 2005-13649; get_design_context on
# 2005-22789 and 2005-22817 for the two type styles the metadata cannot carry.
# Colour and weight figures come from those two design-context reads and are
# named where they are used. No browser ran, so no row claims a DOM measurement.
#
# WHAT CHANGED UNDER THIS LANE BETWEEN WAVES. The three skai-ui hand-offs wave
# 53 left open on the onboarding header are CLOSED at HEAD and were verified
# against the boards this pass, not from the earlier note:
# modules/skai-ui/src/components/layout/landing-header.tsx now draws the legal
# pair on gap-6 md:gap-8 (24 at 375, which is 2005:21411 Terms 40 at x=0,
# Privacy 47 at x=64) and every social slot at every width on gap-8 (32, which
# is the 5 / 53 / 101 run the 117x16 nav draws), where two of the four used to
# hide below 640; and HeaderNavigation.tsx passes telegramUrl empty, so the
# three the boards draw are the three that render. content.ts:248 also now
# reads the frame's own "Connect your external wallet to your Skai account.",
# which retires the wave 39 copy delta. None of that is this lane's edit; it is
# named because four rows below turn on it.
2005-22103	done	modules/skai-landing/src/pages/ExternalWallet.tsx	/external-wallet	READ LIVE (get_metadata on the board, get_design_context on the row 2005:22789 and the skip row 2005:22817) AND CLOSED AT ITS ONE WIDTH. The board: legal nav 111x16 at 24,24 and social nav 117x16 at 235,25 holding discord/twitter/instagram at x=5/53/101; mark 87x36 at 144,202; content 329x64 at 23,278 with the title 329x30 and the subtitle 295x18 at +46; CTA 328x252 at 24,358 whose Multiple inputs is 328x220 - four rows 328x46 on a 58 step - and whose skip row sits at +236. The vertical chain already landed exactly: 16 of main padding plus 8 of card padding plus pt-178 puts the mark at 202, mb-10 puts the title at 278, mb-4 twice puts the list at 358, four 46 rows on gap-3 make 220, and mt-4 puts the skip at 594. BUILT THIS PASS, all of it inside the row and all of it base-only: the logo box is 18 where it shipped 14 and the gap to the label 4 where it shipped 12 (2005:22791 is 17.666x18 and the label starts 4 later; the 768 twin 2005:14337 draws the same box on an 8 gap, which is why md was already right); the row padding is 12.5 where it shipped 16 across and 13.5 down, which lands the content box on the frame's 300x18 at 14,14 and holds the row at 46 now that its tallest child is 18 rather than a 16px label; the label is Manrope Bold 14/16 at -0.56 (Sm/Paragraph 1 600) where it shipped regular 12 at -0.64, with md kept at the regular face the 768 board draws - Metamask is 67 wide here and 64 there, and the other three labels run the same 5% apart; the skip label is the same Bold 14/16 over Accents/Gray 100 #E0E0E0 where it shipped 14/18 over text-skai-gray-100, which resolves to the App/Ash #95A09F; the subtitle carried the same wrong token and now reads #E0E0E0 as its own comment always claimed; and the column is 328 wide ending at 352, where a symmetric card padding left it 327. The skip arrow's 8 is unchanged and confirmed: 2005:22823 sits at x=101 inside a 101-wide frame, which reads as a 24 gap off the bounding boxes alone and is gap-[8px] in the layout. skai-landing ab0e3ba.	1440=n-a 768=n-a 375=done @2026-09-21/wave56-onboarding-landing
2005-21410	partial	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE (get_metadata) AND SUPERSEDED ON MOST OF ITS OWN TERMS. The May board draws legal nav 111x16 at 24,24, a THREE-icon social nav 117x16 at 235,25 (x=5/53/101), the mark 87x36 at 144,248, content 329x131 at 23,324 (headline 329x61, sub 295x54 at +77) and CTA 328x76 at 24,487 whose CRO sits 16 under a 328x44 button. Its August twin 11225-181650 draws the same block ten pixels higher with the mark at 246, and Casey's ruling of 2026-09-19 takes August, so this board's offsets, its subhead (Tap into our brave new world of perpetual trading, swaps, prediction, memes, launchpads, and our catalog of casino style gaming), its counter suffix (Users are already on this list) and its social row are all superseded: the hero ships the Sign up / Login pair instead, which is what 11225:182337 draws and what HeaderNavigation renders when a page hands in both handlers. What this board and its twin agree on and the page matches: mark 36 through OnboardingLogo, mark clearance 32, headline-to-sub 16, sub-to-CTA 32, button 44, counter 16 under it with the glyph 2 from the count and the suffix 4 after it, legal nav at 24,24 on a 24 gap. REMAINING, THE ONE TERM THAT IS NOT SUPERSEDED: the column is vertically centred by .main-content-container (styles.css:1259, justify-content center, taken for bug 55642bd9) where both boards anchor the mark absolutely. That is the open Casey call named in WAVE53-INTEGRITY section 3 and it is not a shipped default in brackets, so nothing was flipped; the sibling ExternalWallet.tsx shows the shape that closes it, top-aligning on pt-178 and landing its mark on the frame's 202 exactly.	1440=n-a 768=n-a 375=partial @2026-09-21/wave56-onboarding-landing
11225-181650	partial	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE (get_metadata). Board: legal nav 111x16 at 24,24 (Terms 40 at x=0, Privacy 47 at x=64, a 24 gap) and NO social row; pair nav 153x32 at 199,16 with a 75 and a 70 button 8 apart, right edge 352; mark 87x36 at 144,246; content 329x131 at 23,314 (headline 329x61, sub 295x54 at +77); CTA 328x76 at 24,477 with a 328x44 button and the CRO 16 under it - line 45x16 (16 glyph, 200k 27x14 at x=18) and the suffix 169x14 at x=49. MATCHING AT HEAD, re-derived against the board this pass rather than carried: mark clearance 32 (mb-8), headline-to-sub 16 (mb-4), sub-to-CTA 32 (mb-8), button 44, button-to-counter 16 (gap-4), glyph-to-count 2 (gap-0.5), count-to-suffix 4 (gap-1), header inset 24 left and 23 right with 24 of top padding, the legal gap 24 through skai-ui landing-header.tsx gap-6, the pair's 8 gap, its 32 height and its 23 right inset. REMAINING, THREE: (1) the vertical anchor, as on 2005-21410 - the open Casey call; (2) counterSuffix - see the correction on 10767-307473, this board reads Users are already winning with us and content.ts ships the May Users are already on this list, a HAND-OFF to modules/skai-ui/src/lib/content.ts; (3) the Sign up button ships min-w-[75px] on 18px side padding and hugs wider than the frame's 75, which report 762e907b made a minimum so a two-line label could not recur - a rendered measurement, and no browser ran.	1440=n-a 768=n-a 375=partial @2026-09-21/wave56-onboarding-landing
11189-2629	partial	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE (get_metadata). Board: legal nav 117x16 at 30,30 (Terms 33 at x=0, Privacy 37 at x=65, a 32 gap), NO social row, pair nav 183x34 at 555,21 (93 and 82, 8 apart, right edge 738); mark 116x48 at 326,280; content 467x142 at 150,376 (headline 415x81, sub 467x37 at +105); CTA 332x90 at 218,558 with a 332x50 button and the CRO 24 under it - line 49x16 and the suffix 169x16 at x=53. MATCHING AT HEAD: mark clearance 48 (md:mb-12), headline-to-sub 24 (md:mb-6), sub-to-CTA 40 (md:mb-10), button 50, button-to-counter 24 (md:gap-6), glyph-to-count 2, count-to-suffix 4, header inset 30 on 30 of top padding, the legal gap 32, the pair 8 apart at 34 tall on a 30 right inset. REMAINING: the vertical anchor as above; counterSuffix, which this board also reads as Users are already winning with us; and the pair's declared 93 and 82, which ship as minimums for report 762e907b's reason and need a render this wave could not take.	1440=n-a 768=partial 375=n-a @2026-09-21/wave56-onboarding-landing
10767-307473	partial	modules/skai-landing/src/LandingWaitlist.tsx	/ and /ref/:code (skai-landing)	READ LIVE (get_metadata), AND IT CORRECTS THE CATALOG. Board: mark 154x64 at 643,100; content 621x172 at 409,244 (headline 547x98, sub 621x48 at +124); CTA 332x120 at 554,464 with a 332x70 button and the CRO 32 under it - line 49x18 and the suffix 207x18 at x=55; legal nav 117x18 at 32,32 (Terms 38, Privacy 43 at x=70, a 32 gap); pair nav 193x38 at 1215,22 (99 and 86, 8 apart, right edge 1408). MATCHING AT HEAD: mark clearance 80, headline-to-sub 26, sub-to-CTA 48, button 70, button-to-counter 32 (lg:gap-8), glyph-to-count 2, count-to-suffix 6 (lg:gap-1.5), header inset 32 on 32 of top padding, the legal gap 32, the pair 8 apart at 38 tall on a 32 right inset. THE CORRECTION: waves 52 and 53 recorded that the 768 and 375 boards read the shipped counterSuffix and that only this board dissented. They do not. All three August boards read ...are already winning with us - Traders here, Users on 11189:3296 and 11225:182317 - and NO August board draws the shipped Users are already on this list, which is the May wording (2005:22102). Casey's ruling of 2026-09-19 takes August, so the shipped string is superseded on every hero board and the open question is only Users vs Traders. The fix is one string in modules/skai-ui/src/lib/content.ts (counterSuffix, near :217) and that file is skai-ui source, so this is a HAND-OFF, not an edit. REMAINING besides it: the vertical anchor, and the pair's 99 and 86 as minimums.	1440=partial 768=n-a 375=n-a @2026-09-21/wave56-onboarding-landing
2005-22826	partial	modules/skai-landing/src/pages/UsernamePage.tsx	/username	READ LIVE (get_metadata). Board: legal nav 111x16 at 24,24, social nav 117x16 at 235,25 with three icons on a 32 gap, mark 87x36 at 144,202, content 329x64 at 23,278 (title 329x30, sub 295x18 at +46), Frame 173 328x128.5 at 24,374 holding an input 328x36.5, the availability line 213x16 at +44.5 and a 328x44 Button/large at +84.5. BUILT THIS PASS: the column is 328 wide ending on the board's 352, where a symmetric card padding had left it 327 (skai-landing 8160be7). MATCHING AT HEAD: the header on both navs, now that skai-ui landing-header.tsx draws the legal pair on a 24 gap and every social slot at every width - this board is one of the five that were short an icon below 640; the mark at 36 through OnboardingLogo; title 24/30 at -0.96 with 16 to the subtitle; subtitle 12/18 in #E0E0E0; Claim 44. SUPERSEDED: the open-rule input, which Casey's ruling of 2026-09-19 closes into the August box 76/60/48 with a 12 radius and a 2px App/Green border at this width, and the 32 clearance from the subtitle to Frame 173, which August draws as 26.25. REMAINING: the vertical anchor - the page centres through .main-content-container where the board fixes the mark at 202 - the same open Casey call as the hero rows.	1440=n-a 768=n-a 375=partial @2026-09-21/wave56-onboarding-landing
2005-23529	partial	modules/skai-landing/src/pages/CompletionPage.tsx	/complete then /dashboard	READ LIVE (get_metadata), the first live reading this key has carried rather than the 08-05 record. Board (Congratulations slide 1): legal nav 111x16 at 24,24, social nav 117x16 at 235,25 with three icons, mark 87x36 at 144,202, content 329x64 at 23,278 (title 329x30 reading @name is yours!, sub 329x18 at +46 reading Welcome Skai Pioneer!), then Frame 174 220x32 at 77.5,390.25 - a ROW, not a column: the 32 token at x=0 and +500 SKAI Points 176x28 at x=44, so the gap is 12 and the block opens 48.25 under the content. MATCHING AT HEAD: the reward row is the second-content block at top-[48px] with gap-3, a 32 token and the amount in Mulish Light 24/28 at -0.96; the mark is 36; the header draws both navs at the board's positions now that the skai-ui icon row is complete at this width; title 24/30 with 16 to the subtitle. REMAINING: the vertical anchor, as on every page under .main-content-container; and the title tracking ships -1.12 where the 4% rule at 24px is -0.96, which the sibling UsernamePage already draws - one line in this file, held only because it was not confirmed against the board's own type style this pass, the seat budget having gone to the two type reads on 2005-22103.	1440=n-a 768=n-a 375=partial @2026-09-21/wave56-onboarding-landing
2005-24244	partial	modules/skai-landing/src/pages/CompletionPage.tsx	/complete then /dashboard	READ LIVE (get_metadata). Board (Congratulations slide 2): the same navs, mark and content as 2005-23529, then Frame 172 176x138 at 99.5,390.25 - a COLUMN on the same 390.25 anchor as slide 1: token 64x64, +500 SKAI Points 176x28 sixteen under it, and the gift line 70x14 sixteen under that. MATCHING AT HEAD: the 64 token, the 16 column gap (gap-4), the amount in Mulish Light 24/28 at -0.96, the gift note in Manrope 12/14 at -0.48, and the shared 48.25 anchor - both slides now hang off the same wrapper padding, so the cross-fade no longer moves the mark. REMAINING: the vertical anchor and the title tracking, both as on 2005-23529.	1440=n-a 768=n-a 375=partial @2026-09-21/wave56-onboarding-landing
2005-25112	partial	modules/skai-landing/src/pages/DashboardPage.tsx	/dashboard	READ LIVE (get_metadata) and the wave 41 numbers reproduce exactly: mark 58x24 at 24,39; Frame 182 180x36.03 at 172,24, right edge 352, its label 180x14 over a 180x16 value on a 6.03 gap; bento 343x796 at 16,79 in ONE column - card 343x132, card group at y140 (badge 343x80, referral 343x288 at y88), modal 343x272 at y524 - every seam 8, and mark-to-bento 16. MATCHING AT HEAD: the 16 side inset, the 8 card gaps, the 24 header inset, the 24 mark through SkaiLogo small, the 16 to the bento, and the header-right stat at 12/14 over 14/16 on a 6 gap, right-aligned. REMAINING, AND IT IS A CASEY CALL, NOT A MEASUREMENT: order. The board runs welcome, badge, referral, agent panel; the page runs daily-streak, welcome, badge, agent panel, media slider, referral, so referral and the panel are swapped and two cards are surplus. Both surplus cards are live features, and moving referral above the AI panel at this width would put the primary surface below a share card, so nothing was reordered.	1440=n-a 768=n-a 375=partial @2026-09-21/wave56-onboarding-landing
2005-17764	partial	modules/skai-ui/src/components/overlays/auth-modal.tsx	/ (FlowStep auth, skai-landing)	READ LIVE (get_metadata) AND RE-ROUTED. The catalog named modules/skai-landing/src/components/WaitlistModal.tsx; that file does not exist at HEAD. LandingWaitlist.tsx:64 imports AuthModal from @skai-trade/ui and mounts it at :2700 with isOpen={showWaitlistModal}, so the drawn surface is skai-ui's overlay and every number below is a HAND-OFF to the skai-ui lane, not an edit this lane may make. Board: the page behind the overlay is the May 768 hero (legal nav 117x16 at 30,30, socials at 621,30 in the order discord / instagram / twitter, mark 116x48 at 326,280, content 467x142 at 151,376, CTA 332x94 at 219,558 with a 332x54 button and the counter 24 under it); the overlay's modal 2005:18458 is 468x437 at 150,294 with controls 436x16 at 16,16 (close 16x16 flush right at x=420), content 436x63 at 16,56 (title 436x28, subtitle 436x19 at +44) and the input group 436x82 at 16,143 - a 436x16 label over a 436x54 field whose content box is 400x18 at 18,18. MEASURED AGAINST HEAD: the box is md:max-w-[468px] and matches; the field is FIELD_BOX (auth-modal.tsx:170) at md:h-[50px] with px-4, where the board draws 54 on 18 of side padding. The 08-05 record's within-1-to-3px claim was on a component that no longer ships and is retired here.	1440=n-a 768=partial 375=n-a @2026-09-21/wave56-onboarding-landing
2005-18495	partial	modules/skai-ui/src/components/overlays/auth-modal.tsx	/ (FlowStep auth, skai-landing)	READ LIVE (get_metadata); same re-routing as 2005-17764 - WaitlistModal.tsx is gone and skai-ui's AuthModal draws this, so this is a HAND-OFF. Board: modal 2005:19189 is 468x433 at 150,296. Its stack, all at x=16 on a 436 column: controls 16 at y16; content 63 at y56; input top 78 at y143 (label 16, field 436x54 at +24 whose content is 400x18 at 18,18 with the typed address at x=0 and an ENTER affordance 65x18 flush right - a 16 glyph and the word at x=24); Button/large 436x54 at y245; the OR rule 436x16 at y323 with the word 16 wide dead centre; and Frame 167 436x54 at y363 holding two 214x54 inputs 8 apart, Google then Apple, each with an 17.666x18 logo 8 from its label. MEASURED AGAINST HEAD: the two social buttons are SOCIAL_BUTTON (auth-modal.tsx:185), px-4 py-3 md:px-6 over an 18-tall row, so they stand about 42 where the board draws 54, and they are flex-1 on gap-2, which does give the board's 214 and 8 inside a 436 column; the field is the same md:h-[50px] against 54 as on 2005-17764. The grid's x-positions are the term the 08-05 record called exact and they still are.	1440=n-a 768=partial 375=n-a @2026-09-21/wave56-onboarding-landing
