9746-171660	match	-	desktop base 1440x900 re-proved by numeric inventory not screenshot: card 448x564 (Figma 562 content + 2px border) r32 p24 gap24, logo gap 24, title gap 8, tile 64 r12 glyph 24 rowgap 16, title Manrope 400 24/28 -0.96px, sub 400 16/22, step title 700 18/24, hint 400 14/18 op 0.64, 2 joins 64x19 line 1px, in-card footer 12/16 #E0E0E0 op0.64, chevron 32x10 #56C7F3 rotate180; SURPLUS zero — 1 control (close) and 7 svg all accounted; 0 of 47 assertions failed
9746-172340	match	-	tablet base 768x1024 fixed then verified: title-to-subtitle gap was 8 should be 16 (9746:173022) — now md:gap-4; card 468x520 vs Figma 523 residual 5px is the 87x36 Figma logo rendering 32 because SkaiLogo wordmark=short has no 36 preset and sets height inline in @skai/ui; all else exact — r26 p16 gap24 tile 64 r12 title 300 24/28 step 700 14/18.05 hint 12/16 footer 10/14 joins 64x12; SURPLUS zero, 1 control
9746-173030	match	-	mobile base 375x812 fixed then verified: logo-to-heading gap was 8 should be 20 (modal own gap 9746:173724) — now gap-5; card 358x420 vs Figma 422 residual 4px is the same @skai/ui 36-vs-32 short-logo preset; all else exact — r20 px8/py24 gap20 tile 40 r6 glyph 16 title 300 20/24 step 700 14/18 hint 12/14 op0.64 joins 40x12 footer 12/14 in-card; SURPLUS zero, 1 control
9747-174084	match	-	desktop ALT 1440x900 verified: footerPlacement=viewport correctly lifts hint+chevron OUT of the card (inCard false) into full-opacity white 12px Manrope at 400 wide per 9747:174789, and the card shortens to 506 = Figma 504 + 2px border; card metrics identical to the base frame; SURPLUS zero, 1 control
9747-175217	match	-	mobile ALT 375x812 verified: viewport-anchored footer 155 wide white op1 12/14 per 9747:175946, chevron 32x10 #56C7F3 rotate180 outside the card; card 358x368 vs Figma 370 is the 2px border; also proved on the REAL wired path (iPhone UA hits PWAGate isIOSSafari and renders exactly this, iPad flips copy to Tap share above with chevron un-rotated at top); SURPLUS zero
9746-173030	partial	-	Install to homescreen, mobile base — OWNERSHIP RESOLVED (the file is lane home's now; the work order carried the row as unknown because it belonged to no lane) and RE-VERIFIED IN SOURCE against the numbers already recorded on this node: card 358 r20 px8/py24, gap 20, tile 40 r6 with a 16 glyph, title Light 20/24, subtitle 14/18, step title Bold 14/18, hint 12/14 at opacity-[0.64] (arbitrary value — opacity-64 is not a Tailwind step), joins 40x12, in-card footer 12/14. RESIDUAL unchanged and not fixable from feature code: Figma draws the short wordmark 87x36 and SkaiLogo wordmark=short has only 24/32/48/64 presets (shortSizeConfig, modules/skai-ui/src/components/branding/skai-logo.tsx) applied as an inline height, so the card lands ~4px short. HAND-OFF: a 36px short-wordmark preset in @skai/ui.
9746-172340	partial	-	Install to homescreen, tablet base — re-verified in source: card 468 r26 p16, gap 24, title-to-subtitle 16 (md:gap-4), tile 64 r12 with a 24 glyph, title Light 24/28, step title Bold 14/18.05, hint 12/16, joins 64x12, footer 10/14. Same @skai/ui residual as the mobile cut: the 87x36 short wordmark renders 32, leaving ~5px of card height. HAND-OFF: modules/skai-ui/src/components/branding/skai-logo.tsx.
9747-175217	partial	-	Install to homescreen, mobile ALT — re-verified in source: footerPlacement=viewport lifts the hint and chevron out of the card into a 155-wide full-opacity white 12/14 block with a 32x10 #56C7F3 chevron rotated 180, the rotation on a wrapper because animate-bounce also writes transform; card metrics identical to the mobile base. Same @skai/ui short-wordmark residual.
9746-172340	match	-	tablet base 768x1024 re-verified in source 2026-09-20 against a live read of modal 9746:173019 (get_metadata) and its Frame 330 9747:175043 and subtitle frame 9746:173024 (get_design_context): mark 87x36 built from the file (the 32 preset ran 4px short), title-to-hint gap 8 built (was 4; Frame 330 is 43 = 19+8+16), the 14/18.048 runs on a 19 box as Figma snaps them; card 16+16+24+36+24+63+24+248+24+32+16 = 523 + 2 border; all else as recorded - r26 p16 gap24 tile 64 r12 title Light 24/28 hint 12/16 footer 10/14 joins 64x12 on 8
9746-173030	match	-	mobile base 375x812 re-verified in source 2026-09-20 against a live read of modal 9746:173724: mark 87x36 built (was 32), close glyph on the padding edge 8 from the card's (the row's own px-2 had put it at 16) and the row unclipped so the 44 hit box is real; card 24+16+20+36+20+50+20+160+20+32+24 = 422 + 2 border; all else as recorded - r20 px8/py24 gap20 tile 40 r6 glyph 16 title Light 20/24 step 14/18 title-hint 4 hint 12/14 op0.64 joins 40x12 on 4 footer 12/14
9747-175217	partial	-	mobile ALT 375x812 read whole 2026-09-20 (get_metadata): card 9747:175911 358x370 takes the base fixes and computes 370 + 2 border (the earlier "368 is the border" was the logo); the viewport footer 155x32 at 203,748 sits 32 above the board's bottom where the mount sites anchor it pb-2 (InstallPrompt.tsx:366, PWAGate.tsx:252) - a hand-off, not this file's
