# bug-node-index.tsv - LAYER D: every Figma node-id referenced by an OPEN bug report,
# resolved to {type, name, depth, owning screen, page, catalog section}.
#
# Built 2026-08-13 from: open bug_reports (status in new/needs_info/backlog/reopened/in_progress)
# with a non-empty figma_link -> 488 reports / 445 distinct links / 430 distinct (fileKey,node) pairs.
# Resolution method: figma.getNodeByIdAsync(id), then walk .parent to the PAGE and record the
# last node before it as the owning screen. This is the layer-D method CATALOG_DESIGN.md specifies.
#
# WHY THIS FILE EXISTS: the catalog indexes top-level children of a page (whole screens), but
# reporters link to the thing that is wrong - a panel, modal or button nested 1-12 levels deep.
# Before this file, 332 of 430 bug-linked nodes (77%) resolved to nothing in the catalog.
#
# status column:
#   screen   = the link points at a catalogued top-level screen (depth 0)
#   child    = a descendant of a catalogued screen, resolved in the file the link named
#   retarget = resolved in a DIFFERENT file than the link named - the link file key is STALE.
#              Use resolvedFileKey, not linkFileKey. See FILE_ROUTING.md.
#   alias    = already covered by a bugref-aliases.tsv row
#   gone     = resolves in NEITHER product file NOR the Games file. Deleted upstream in Figma.
#              Verified twice, via getNodeByIdAsync and via get_metadata. Do not treat these as
#              a coverage gap and do not go looking for them - the design node no longer exists.
#
# 2026-08-13 CORRECTION (wave-4 trench lane): four rows below were marked `alias` onto
#   parents 9899-106438 / 9896-104373 / 9893-94731. Those PARENTS do not resolve either.
#   Probed with figma.getNodeByIdAsync on BOTH product files, with 13006-212012 /
#   13006-210578 as a positive control (both found, page '✅ Trade 2'). All seven ids
#   returned null in both files, so 9899-106439 / 9899-106541 / 9902-114827 /
#   9902-115168 are now `gone`. An `alias` row whose target is itself dead sends the
#   next reader looking for a frame that does not exist.
# depth = levels between the referenced node and its owning screen (0 = the screen itself).
# openRefs = number of OPEN bug reports pointing at this (linkFileKey,node) pair.
#
refNode	linkFileKey	resolvedFileKey	status	section	type	name	depth	page	owningScreenNode	owningScreenTitle	openRefs
9003-94184	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	FRAME	Frame 270	6	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	11
13006-134371	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade-2	FRAME	Frame 373	7	✅ Trade 2	13006-134301	Skai > Trench 1VH (1440 x 900px)	6
13006-146274	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade-2	FRAME	Frame 456	4	✅ Trade 2	13006-146233	Skai > Launch 1VH (1440 x 900px)	5
9142-19554	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	FRAME	Desktop	6	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	4
13008-113503	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 228	8	✅ Home 2	13008-113481	Skai > Pro > checkout - send tokens - step 1 1VH (1440 x 900px)	3
9112-12984	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Main container	4	✅ Play	4711-28434	Skai > Play > Casino (1440 x 900px)	3
3550-4729	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3550-4727	Skai > Predict > Tech (1440 x 900px)	3
3154-5004	3sSzw1KewMtUbeLAv7uW0r		gone								2
3154-5283	3sSzw1KewMtUbeLAv7uW0r		gone								2
4446-118388	3sSzw1KewMtUbeLAv7uW0r		gone								2
7816-39113	3sSzw1KewMtUbeLAv7uW0r		gone								2
8493-31691	3sSzw1KewMtUbeLAv7uW0r		gone								2
