# key	status	primaryFile	route	reason	bp
# Lane wallet, wave 41 (second batch), 2026-09-13. Owns modules/skai-wallet/src/** (not BridgeModal.tsx, not
# swapSheetContainerRamp.test.tsx). 95 frames in the order, all rowed here. NO BROWSER WAS USED, so no cell in
# column 6 says done: `done` in column 2 means the source was resolved against the node data read live this pass
# on every axis the frame draws and none differ; column 6 carries the frame's own width at `partial` with the
# reason ending "Not rendered". 34 frames were opened on the Figma MCP this pass in three bursts (16 with design
# context, 11 board metadata, 2 row nodes with design context, plus 7473-131013 and the two row nodes outside the
# order); every number below was read off the node named beside it unless the row says NOT RE-READ, in which case
# the verdict is carried from the newest standing row and says whose. The bridge rows stay on their standing
# verdicts: the four frame-defects keep that verdict (it is about the frame) and the six partials become
# blocked-on-backend because the predeploy is bricked and BridgeModal.tsx was off-limits.
# Commits: skai-wallet 68b8828, ae24bca, ace8a0f, d35aa2c, ab83aea, 853ea7d, 62b6e8b, 572793b. Reads spanned 09-13
# and 09-14; the stamp keeps the pass date. Rows that say READ (metadata, 09-14) were opened after the peer's
# overnight commits (28c7dfd..063ac4a) and say where those commits already answer the board.
# TWO FINDINGS THAT TRAVEL: (1) every auth field in the wallet drew 2px taller than its board because a CSS border
# sits outside the inset where Figma's stroke sits inside it - UnlockForm, RecoveryField, EmailAuthFlow and the NFT
# import fields all carried it; the fix is a stated height with box-border. (2) the OTP screen is SKAI's own modal,
# not thirdweb's, and the same instance is drawn on the recovery boards at all three widths.
Skai > Wallet > continue on web > home > bridge > bridge settings 1VH (768 x 1024px) [13008-49026]	frame-defect	modules/skai-wallet/src/components/wallet/bridge/BridgeSettingsPanel.tsx	/ -> openModal(bridge) -> gear	NOT RE-READ; carried from wave 9. Frame 1101 at r16 against three same-width siblings at r12 and a second stray, 49035 "Frame 269" 680x244 r24 p16 gap32 on a 768 board whose Main container is 580 - 1440 geometry inside a 768 column. The bridge itself is bricked (predeploy bricked, punted) and its files were off-limits this wave.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge > Start bridge > Post wallet interaction 1VH (1440 x 900px) [13008-29347]	blocked-on-backend	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; the bridge predeploy is bricked and BridgeModal.tsx was off-limits this wave, so nothing here can move. Standing measurement (wave 18b): 1440 card 680x598 p16 gap 48, receipt overlay on 254x62 and 516x62 CTAs (62, not the 64 every other 1440 CTA uses); HELD PRODUCT NOT PIXELS - the board still draws the Across / Stargate hand-off removed by ruling.	1440=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge > Start bridge > Post wallet interaction 1VH (375 x 812px) [13008-55195]	frame-defect	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; carried from wave 18b: a 328 card where every other 375 board draws 346, unequal 24 / 23 gutters, a 24 band gap against 36, 16/24/16/16 insets against 12, and From / To stacked inside a 304x226 band - four values from other breakpoints on one phone board. Bridge bricked and off-limits this wave.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge > Start bridge > Post wallet interaction 1VH (768 x 1024px) [13008-50000]	frame-defect	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; carried from wave 18b: the card is 580x654 but its column insets 16 where three same-width siblings inset 12, so every child is 548 against their 556 - one 4px step repeated down the column, outvoted three to one. Bridge bricked and off-limits this wave.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge > Start bridge 1VH (1440 x 900px) [13008-29226]	blocked-on-backend	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; bridge bricked, BridgeModal.tsx off-limits. Standing (wave 18b): 1440 card 680x598 p16 gap48; geometry, colour and type of the amount card fixed then; the route summary below it is the vendor widget's markup; HELD PRODUCT NOT PIXELS on the Across / Stargate hand-off the board still draws.	1440=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge > Start bridge 1VH (375 x 812px) [13008-53976]	blocked-on-backend	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; bridge bricked, BridgeModal.tsx off-limits. Standing (wave 18b): 375x900, Main container 346 at x15, card 346x566 p12 gap36, CTA 322x44; same fixes and the same two holds as 13008-29226.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge > Start bridge 1VH (768 x 1024px) [13008-48896]	blocked-on-backend	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; bridge bricked, BridgeModal.tsx off-limits. Standing (wave 18b, re-verdict from frame-defect): the 680x244 card is a HIDDEN layer on every board in the family; what renders is the 580x678 container at x94 with a 580x634 card at p12 - identical to the 768 bridge board. Same two holds.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge 1VH (1440 x 900px) [13008-29014]	blocked-on-backend	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; bridge bricked, BridgeModal.tsx off-limits. Standing (wave 18b): 1440 outer card 680x720 p16 gap48, brand band 648x104 p24/32, amount card 648x140 p16/24/16/16; three axes measured and closed on everything the product still draws; HELD on the Across / Stargate hand-off.	1440=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge 1VH (375 x 812px) [13008-53758]	blocked-on-backend	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; bridge bricked, BridgeModal.tsx off-limits. Standing (wave 18b): 375x900 on the 15/14 gutter, outer card 346x566 p12 gap36, brand band 322x86 p12, amount card 322x116 p12, CTA 322x44; the base of every ramp; heading 20/24; From / To stack here and go inline at 768. Same hold.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > bridge 1VH (768 x 1024px) [13008-48792]	blocked-on-backend	modules/skai-wallet/src/components/BridgeModal.tsx	/ -> openModal(bridge)	NOT RE-READ; bridge bricked, BridgeModal.tsx off-limits. Standing (wave 18b): 768 outer card 580x634 p12 gap24, brand band 556x96 p20/24, amount card 556x128 p16/24/16/16, CTA 556x50, title 24/28; the middle of every ramp. Same hold.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > chart 1VH (375 x 812px) [13008-50515]	frame-defect	modules/skai-wallet/src/components/PortfolioChart.tsx	/ -> openModal(portfolio)	NOT RE-READ; carried from wave 37: 13008:50516 alone sits at x24 y72 on a 328 column where six 375 boards on the page put Main container at x15 y64 on 346 - two out-of-family values on one board. The chart sheet's content was matched against it by wave 18b; PortfolioChart is unchanged by the verdict.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > notifications - sample notification 1VH (1440 x 900px) [13008-28402]	partial	modules/skai-wallet/src/shell/panels/NotificationsPanel.tsx	/ (header bell)	NOT RE-READ; carried from wave 18b. Runs and CTA closed at 1440 (680 column, 18/24 title, 14/18 timestamp at 44%, 680x506 hero, 16/22 body, two 336x64 r16 CTAs on 8). THREE RESIDUALS STAND: the board is a page where the app draws the detail inside the 442 bell panel (a routing change); the 506 hero has no source - the notifications table and its data jsonb carry no image key across 5,592 rows; the AI Insight CTA has no endpoint, so the single Read full story button takes the column.	1440=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > notifications - sample notification 1VH (768 x 1024px) [13008-43020]	partial	modules/skai-wallet/src/shell/panels/NotificationsPanel.tsx	/ (header bell)	NOT RE-READ; carried from wave 18b. 580 column, 14/18 title, 12/16 timestamp, 580x506 hero, 14/18 body, two 286x50 r12 CTAs - the component ships exactly that at its tablet tier. Same three residuals as 13008-28402.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > notifications - sample notification 1VH (768 x 1024px) [13008-44081]	partial	modules/skai-wallet/src/shell/panels/NotificationsPanel.tsx	/ (header bell)	NOT RE-READ; carried from wave 18b. The node is 375x812 whatever the title says: 346 column on a 15 gutter, 14/18 title, 12/14 timestamp, a 346x316 hero (so the hero is not a fixed-height block), 14/16 body, two 169x44 r12 CTAs; the component matches every run. Same three residuals.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > share - 2nd combination 1VH (375 x 812px) [13008-52163]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ; carried from wave 18b. Panel 346x402 on a 12 inset, plate 68 / theme 84 / include 118 on a 20/20/24 rhythm, action row 322x44 over two 157s, 40.59x24 switches; card 346 square (code 345, the documented -1). HELD on the picker shape (a full-width select on the boards against the four tiles three closed reports drove the app to) and on the card face colour.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > share - 2nd combination 1VH (768 x 1024px) [13008-46361]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ; carried from wave 18b. 580x448 panel on a 12 inset over a 580 square card; corroborates the 580 column; HELD on the card-face ruling.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > share - 3rd combination 1VH (375 x 812px) [13008-52960]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ; carried from wave 18b. Third 375 board agreeing on 346 / 12 / 402 and the 20/20/24 rhythm; HELD on the picker shape and the card face.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > share - 3rd combination 1VH (768 x 1024px) [13008-47166]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ; carried from wave 18b. Third 768 board on the 580 column with the Gradient skin; HELD on the Gradient ruling (the board's radial against the app's vertical linear).	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > share 1VH (375 x 812px) [13008-51352]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ; carried from wave 18b, and since the peer's a5f7daa (09-14) the phone sheet opens on its options and shows the card after a choice, as this board (card hidden, panel lifted) and its two siblings draw. Panel measured run by run and fixed then. HELD, a SHAPE not a number: the board draws the theme picker as one 322x54 select with a 322x140 dropdown where the app draws four tiles that three closed reports produced. TWO OPTIONS FOR CASEY: keep the tiles at 375 and record these boards as superseded on the picker, or build the select and reopen the three reports. Also held on the card face.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > share 1VH (768 x 1024px) [13008-45556]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ; carried from wave 18b. 580x448 panel over a 12 inset, 580 square card, 136x54 theme tiles on 4, 36-tall include rows with 60.89x36 switches - all fixed and pinned then. HELD on the card face colour ruling.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > streaks 1VH (1440 x 900px) [13008-28453]	partial	modules/skai-wallet/src/components/wallet/dashboard/StreakBanner.tsx	/	NOT RE-READ; carried from wave 37. Measured at all three widths and the phone restructure built (a two-column badge grid, 48/64/64 medallion, gutter 12/10/10). Residual: the 20days chip is opacity 0 on every board and stays unbuilt; the card shell takes the HOME boards (13008:27000 p16/16/16/24 r24 at 1440).	1440=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > streaks 1VH (768 x 1024px) [13008-42620]	partial	modules/skai-wallet/src/components/wallet/dashboard/StreakBanner.tsx	/	NOT RE-READ; carried from wave 37 (see 13008-28453); the 768 shell is 13008:39378 p12/12/12/20 r12.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > streaks 1VH (768 x 1024px) [13008-43468]	partial	modules/skai-wallet/src/components/wallet/dashboard/StreakBanner.tsx	/	NOT RE-READ; carried from wave 37. The node is 375x812 whatever its title says (a 48 mobile header over a 346 column); the phone badge row is built (48 medallion, 262 row, bar and footer at 322).	375=partial @2026-09-13/wave41-wallet
