# key	status	primaryFile	route	reason	bp
Right menu - Layout [13006-323170]	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	768 tier, 442x1008. MEASURED 2026-09-05 through the connector, file mhF3BkzlTaGiLzJ7kvpmVc page 13006:134300. The Text size group is drawn only on the three ALT cuts of this panel - 13006:158664 at 375, :323216 at 768, :194830 at 1440 - and its A sample is a TYPE PAIR per board: 12/14 . 14/16 . 18/22 at 375 (Sm/Paragraph 2 300, Sm/Paragraph 1 300, Sm/Sub-headline 1 300), 12/16 . 14/18 . 18/22 at 768 (the Md/ set), 12/16 . 14/18 . 24/28 at 1440 (Lg/Paragraph 3 300, Lg/Paragraph 2 300, Lg/Sub-headline 1 300). The GLYPH WIDTHS settle size against leading independently of the heights - 8 / 9 / 12 at 375 and 768 and 8 / 9 / 16 at 1440, because width moves with the size - which is exactly what wave 23 said one get_variable_defs would decide. The code shipped 12 / 16 / 20 on a leading-none, which is neither a size nor a leading the frame draws. ALSO MEASURED AND FIXED on the same panel: (1) the size-card label is Mulish on the NUMBERS scale, 12/14 at 375 and 768 and 12/16 only at 1440 (Sm/Numbers 4 300 at 13006:158790, Md/Numbers 5 300 at :323059, Lg/Numbers 5 300 at :158507). It was read off the 1440 board alone and shipped flat, 2px over on both narrow cuts; one node dissents, :158794 at 375 drawing 16 against four siblings and against the variable its own board binds. (2) The cells are FIXED boxes, one height per group per board - metrics 56 / 54 / 56 (:158786 :323055 :158504), one-click 62 / 62 / 64 (:158797 :323195 :194809) - and the column was left to hug, which ships the tallest cut at every width and drew 2 over at 768 on both groups. NEGATIVE RESULT, recorded so nobody fixes it later: the text-size cell is 60 on all three boards and closes on 8+22+8+14+8 at 375 and 768 exactly, but the 1440 board's own numbers are 8+28+8+16+8 = 68 against a stated 60 - that one cell drops its gap to 0 where its two siblings keep 8 - so 60 ships as a FLOOR rather than clipping a 24px glyph to hit a number the board contradicts. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	tablet=done mobile=n-a desktop=n-a @2026-09-05
Right menu - layout with text size ALT [13006-158618]	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	375 tier of the ALT cut, 359x968, panel pad 12 and footer 335x44 as two 163.5 halves on an 8px gap. MEASURED 2026-09-05 through the connector, file mhF3BkzlTaGiLzJ7kvpmVc page 13006:134300. The Text size group is drawn only on the three ALT cuts of this panel - 13006:158664 at 375, :323216 at 768, :194830 at 1440 - and its A sample is a TYPE PAIR per board: 12/14 . 14/16 . 18/22 at 375 (Sm/Paragraph 2 300, Sm/Paragraph 1 300, Sm/Sub-headline 1 300), 12/16 . 14/18 . 18/22 at 768 (the Md/ set), 12/16 . 14/18 . 24/28 at 1440 (Lg/Paragraph 3 300, Lg/Paragraph 2 300, Lg/Sub-headline 1 300). The GLYPH WIDTHS settle size against leading independently of the heights - 8 / 9 / 12 at 375 and 768 and 8 / 9 / 16 at 1440, because width moves with the size - which is exactly what wave 23 said one get_variable_defs would decide. The code shipped 12 / 16 / 20 on a leading-none, which is neither a size nor a leading the frame draws. ALSO MEASURED AND FIXED on the same panel: (1) the size-card label is Mulish on the NUMBERS scale, 12/14 at 375 and 768 and 12/16 only at 1440 (Sm/Numbers 4 300 at 13006:158790, Md/Numbers 5 300 at :323059, Lg/Numbers 5 300 at :158507). It was read off the 1440 board alone and shipped flat, 2px over on both narrow cuts; one node dissents, :158794 at 375 drawing 16 against four siblings and against the variable its own board binds. (2) The cells are FIXED boxes, one height per group per board - metrics 56 / 54 / 56 (:158786 :323055 :158504), one-click 62 / 62 / 64 (:158797 :323195 :194809) - and the column was left to hug, which ships the tallest cut at every width and drew 2 over at 768 on both groups. NEGATIVE RESULT, recorded so nobody fixes it later: the text-size cell is 60 on all three boards and closes on 8+22+8+14+8 at 375 and 768 exactly, but the 1440 board's own numbers are 8+28+8+16+8 = 68 against a stated 60 - that one cell drops its gap to 0 where its two siblings keep 8 - so 60 ships as a FLOOR rather than clipping a 24px glyph to hit a number the board contradicts. SEPARATE DEFECT FOUND AND FIXED THIS WAVE, and it is why the earlier rows on this panel could read green while a user saw the wrong thing: the group label above each control group - #E0E0E0 at node opacity 0.64, 12/14 through 767 and 12/16 from 768 - carried the ramp on the three Layout instances and a flat 16 on the four in Metrics, Row and Extras. Same element, same node, seven call sites, and the oracle asserted the FIRST match, so three wrong ones were invisible. It now walks all four sub-tabs. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	mobile=done tablet=n-a desktop=n-a @2026-09-05
Right menu - Layout with text size ALT [13006-194784]	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	1440 tier of the ALT cut, 442x1068, panel pad 24, controls 28 with the close glyph at abs (402,30), footer 394x62 as two 193 halves. MEASURED 2026-09-05 through the connector, file mhF3BkzlTaGiLzJ7kvpmVc page 13006:134300. The Text size group is drawn only on the three ALT cuts of this panel - 13006:158664 at 375, :323216 at 768, :194830 at 1440 - and its A sample is a TYPE PAIR per board: 12/14 . 14/16 . 18/22 at 375 (Sm/Paragraph 2 300, Sm/Paragraph 1 300, Sm/Sub-headline 1 300), 12/16 . 14/18 . 18/22 at 768 (the Md/ set), 12/16 . 14/18 . 24/28 at 1440 (Lg/Paragraph 3 300, Lg/Paragraph 2 300, Lg/Sub-headline 1 300). The GLYPH WIDTHS settle size against leading independently of the heights - 8 / 9 / 12 at 375 and 768 and 8 / 9 / 16 at 1440, because width moves with the size - which is exactly what wave 23 said one get_variable_defs would decide. The code shipped 12 / 16 / 20 on a leading-none, which is neither a size nor a leading the frame draws. ALSO MEASURED AND FIXED on the same panel: (1) the size-card label is Mulish on the NUMBERS scale, 12/14 at 375 and 768 and 12/16 only at 1440 (Sm/Numbers 4 300 at 13006:158790, Md/Numbers 5 300 at :323059, Lg/Numbers 5 300 at :158507). It was read off the 1440 board alone and shipped flat, 2px over on both narrow cuts; one node dissents, :158794 at 375 drawing 16 against four siblings and against the variable its own board binds. (2) The cells are FIXED boxes, one height per group per board - metrics 56 / 54 / 56 (:158786 :323055 :158504), one-click 62 / 62 / 64 (:158797 :323195 :194809) - and the column was left to hug, which ships the tallest cut at every width and drew 2 over at 768 on both groups. NEGATIVE RESULT, recorded so nobody fixes it later: the text-size cell is 60 on all three boards and closes on 8+22+8+14+8 at 375 and 768 exactly, but the 1440 board's own numbers are 8+28+8+16+8 = 68 against a stated 60 - that one cell drops its gap to 0 where its two siblings keep 8 - so 60 ships as a FLOOR rather than clipping a 24px glyph to hit a number the board contradicts. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	desktop=done mobile=n-a tablet=n-a @2026-09-05
Right menu - layout with text size ALT	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	Title-keyed duplicate of 13006:158618, the 375 ALT cut, 359x968. MEASURED 2026-09-05 through the connector, file mhF3BkzlTaGiLzJ7kvpmVc page 13006:134300. The Text size group is drawn only on the three ALT cuts of this panel - 13006:158664 at 375, :323216 at 768, :194830 at 1440 - and its A sample is a TYPE PAIR per board: 12/14 . 14/16 . 18/22 at 375 (Sm/Paragraph 2 300, Sm/Paragraph 1 300, Sm/Sub-headline 1 300), 12/16 . 14/18 . 18/22 at 768 (the Md/ set), 12/16 . 14/18 . 24/28 at 1440 (Lg/Paragraph 3 300, Lg/Paragraph 2 300, Lg/Sub-headline 1 300). The GLYPH WIDTHS settle size against leading independently of the heights - 8 / 9 / 12 at 375 and 768 and 8 / 9 / 16 at 1440, because width moves with the size - which is exactly what wave 23 said one get_variable_defs would decide. The code shipped 12 / 16 / 20 on a leading-none, which is neither a size nor a leading the frame draws. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	mobile=done tablet=n-a desktop=n-a @2026-09-05
Right menu - Layout with text size ALT	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	Title-keyed duplicate of 13006:194784, the 1440 ALT cut, 442x1068. MEASURED 2026-09-05 through the connector, file mhF3BkzlTaGiLzJ7kvpmVc page 13006:134300. The Text size group is drawn only on the three ALT cuts of this panel - 13006:158664 at 375, :323216 at 768, :194830 at 1440 - and its A sample is a TYPE PAIR per board: 12/14 . 14/16 . 18/22 at 375 (Sm/Paragraph 2 300, Sm/Paragraph 1 300, Sm/Sub-headline 1 300), 12/16 . 14/18 . 18/22 at 768 (the Md/ set), 12/16 . 14/18 . 24/28 at 1440 (Lg/Paragraph 3 300, Lg/Paragraph 2 300, Lg/Sub-headline 1 300). The GLYPH WIDTHS settle size against leading independently of the heights - 8 / 9 / 12 at 375 and 768 and 8 / 9 / 16 at 1440, because width moves with the size - which is exactly what wave 23 said one get_variable_defs would decide. The code shipped 12 / 16 / 20 on a leading-none, which is neither a size nor a leading the frame draws. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	desktop=done mobile=n-a tablet=n-a @2026-09-05
Right menu - metrics [13006-158914]	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	375 tier, 359x884, panel pad 12, footer 335x44. METRICS SUB-TAB BODY MEASURED END TO END 2026-09-05 at all three boards - 13006:158981 (335x384, four groups 84 tall on a 100 pitch), :323378 (402x392, 86 on 102) and :194992 (394x392, 86 on 102). Group rhythm 16 and label-to-row 8 at every width, both already shipped. Each range cell is 62 tall on all three boards and closes on 8 + 18 (swatch row) + 12 + 16 (reset glyph) + 8; the p-2 / gap-3 / size-[18px] / size-4 in the code already summed to exactly that, and the 6px swatch corner matches :194999 against our own rounded-md, which emits 10. ONE defect: the range label is Mulish 12/14 . 14/16 . 14/18 (Sm/Md/Lg Numbers 4 300 at :158989, :323386, :195000) and shipped the 1440 pair flat. Fixed. SEPARATE DEFECT FOUND AND FIXED THIS WAVE, and it is why the earlier rows on this panel could read green while a user saw the wrong thing: the group label above each control group - #E0E0E0 at node opacity 0.64, 12/14 through 767 and 12/16 from 768 - carried the ramp on the three Layout instances and a flat 16 on the four in Metrics, Row and Extras. Same element, same node, seven call sites, and the oracle asserted the FIRST match, so three wrong ones were invisible. It now walks all four sub-tabs. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	mobile=done tablet=n-a desktop=n-a @2026-09-05
Right menu - Metrics [13006-323311]	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	768 tier, 442x1008, panel pad 20, footer 402x50 as two 197 halves. METRICS SUB-TAB BODY MEASURED END TO END 2026-09-05 at all three boards - 13006:158981 (335x384, four groups 84 tall on a 100 pitch), :323378 (402x392, 86 on 102) and :194992 (394x392, 86 on 102). Group rhythm 16 and label-to-row 8 at every width, both already shipped. Each range cell is 62 tall on all three boards and closes on 8 + 18 (swatch row) + 12 + 16 (reset glyph) + 8; the p-2 / gap-3 / size-[18px] / size-4 in the code already summed to exactly that, and the 6px swatch corner matches :194999 against our own rounded-md, which emits 10. ONE defect: the range label is Mulish 12/14 . 14/16 . 14/18 (Sm/Md/Lg Numbers 4 300 at :158989, :323386, :195000) and shipped the 1440 pair flat. Fixed. SEPARATE DEFECT FOUND AND FIXED THIS WAVE, and it is why the earlier rows on this panel could read green while a user saw the wrong thing: the group label above each control group - #E0E0E0 at node opacity 0.64, 12/14 through 767 and 12/16 from 768 - carried the ramp on the three Layout instances and a flat 16 on the four in Metrics, Row and Extras. Same element, same node, seven call sites, and the oracle asserted the FIRST match, so three wrong ones were invisible. It now walks all four sub-tabs. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	tablet=done mobile=n-a desktop=n-a @2026-09-05
Right menu - Metrics [13006-194925]	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	1440 tier, 442x997, panel pad 24, footer 394x62 as two 193 halves. METRICS SUB-TAB BODY MEASURED END TO END 2026-09-05 at all three boards - 13006:158981 (335x384, four groups 84 tall on a 100 pitch), :323378 (402x392, 86 on 102) and :194992 (394x392, 86 on 102). Group rhythm 16 and label-to-row 8 at every width, both already shipped. Each range cell is 62 tall on all three boards and closes on 8 + 18 (swatch row) + 12 + 16 (reset glyph) + 8; the p-2 / gap-3 / size-[18px] / size-4 in the code already summed to exactly that, and the 6px swatch corner matches :194999 against our own rounded-md, which emits 10. ONE defect: the range label is Mulish 12/14 . 14/16 . 14/18 (Sm/Md/Lg Numbers 4 300 at :158989, :323386, :195000) and shipped the 1440 pair flat. Fixed. SEPARATE DEFECT FOUND AND FIXED THIS WAVE, and it is why the earlier rows on this panel could read green while a user saw the wrong thing: the group label above each control group - #E0E0E0 at node opacity 0.64, 12/14 through 767 and 12/16 from 768 - carried the ramp on the three Layout instances and a flat 16 on the four in Metrics, Row and Extras. Same element, same node, seven call sites, and the oracle asserted the FIRST match, so three wrong ones were invisible. It now walks all four sub-tabs. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	desktop=done mobile=n-a tablet=n-a @2026-09-05
Right menu - metrics	done	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	Title-keyed duplicate of 13006:158914, the 375 Metrics cut, 359x884. METRICS SUB-TAB BODY MEASURED END TO END 2026-09-05 at all three boards - 13006:158981 (335x384, four groups 84 tall on a 100 pitch), :323378 (402x392, 86 on 102) and :194992 (394x392, 86 on 102). Group rhythm 16 and label-to-row 8 at every width, both already shipped. Each range cell is 62 tall on all three boards and closes on 8 + 18 (swatch row) + 12 + 16 (reset glyph) + 8; the p-2 / gap-3 / size-[18px] / size-4 in the code already summed to exactly that, and the 6px swatch corner matches :194999 against our own rounded-md, which emits 10. ONE defect: the range label is Mulish 12/14 . 14/16 . 14/18 (Sm/Md/Lg Numbers 4 300 at :158989, :323386, :195000) and shipped the 1440 pair flat. Fixed. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	mobile=done tablet=n-a desktop=n-a @2026-09-05
Right menu - row [13006-159069]	partial	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx	/trench	RE-MEASURED 2026-09-05 for the two things wave 7 left open on this frame, and one of them closed. The footer is now the shared 44 / 50 / 62 ladder held per panel by rightMenuFooterAdoption.figma.test.tsx, and the Row tab's group label - a flat 16 where the frame ramps 12/14 to 12/16 - is fixed. SEPARATE DEFECT FOUND AND FIXED THIS WAVE, and it is why the earlier rows on this panel could read green while a user saw the wrong thing: the group label above each control group - #E0E0E0 at node opacity 0.64, 12/14 through 767 and 12/16 from 768 - carried the ramp on the three Layout instances and a flat 16 on the four in Metrics, Row and Extras. Same element, same node, seven call sites, and the oracle asserted the FIRST match, so three wrong ones were invisible. It now walks all four sub-tabs. STILL PARTIAL, and said plainly so it is not read as done: the Row tab's own body was NOT read off its nodes this wave. The protocol pill row and the colour-row line have no node-level measurement behind them, unlike the Metrics body, which was walked at all three boards. Oracle AdjustTrenchSettings.figma.test.tsx, 27 tests resolving every value at 375 / 639 / 641 / 767 / 768 / 1023 / 1024 / 1440 through the shipping Tailwind config; four mutations proved red and restored (sample hinge md to lg, size-card label hinge lg to md, metrics height hinge md to lg, one group label back to a flat 16). Whole trench tree green: 88 files / 921 tests, exit 0, 2026-09-05 16:43. Commits f4b81ce8f, f6e47f36e, 8fea2becd.	mobile=partial tablet=n-a desktop=n-a @2026-09-05
