# Lane social-feed, wave 28. Partition src/components/social/feed/**.
#
# TWO COMMITS, each carrying its own oracle and each value proved red by a
# mutation applied ALONE from a pristine copy and restored by copying that copy
# back - never by a reverse string replace, because a token in the code also
# appears in the comment explaining it:
#   19d7b32bc  the post card's holder line (6 tests, 10 mutations, all RED)
#   3184c2bba  the card's and the rail's glyph colours (6 tests, 11 mutations,
#              all RED)
#
# Suite over src/components/social/feed at 14:35 on 2026-09-06: 18 files /
# 280 tests green, tsc clean. A green is a moment, not a state.
#
# HOW THE CODE SIDE WAS RESOLVED. Every colour below is the value the class
# actually computes to, not the class name: --muted-foreground is 225 20% 75%
# = #B3B9CC (src/index.css:514) and --foreground is 0 0% 100% = #FFFFFF (:477).
# The 24px action glyphs were checked against buttonVariants' [&_svg]:size-4,
# which compiles at specificity 0,1,1 and outranks a caller's size utility -
# it does not reach them, because those are plain `button` elements and not the
# `Button` primitive. The send button IS the primitive, so its
# `disabled:opacity-50` had to be answered.
#
# THE INSTRUMENT NOTE. `get_metadata` was not used for any value here; every
# number came off the Plugin API, which is the only reader that enumerates a
# node's fills, its NODE opacity and its text segments separately. That
# distinction decided one of the six fixes: the comment field's paperclip has a
# flat #FFFFFF fill and a node opacity of 0.44, and either number alone is the
# wrong answer.
#
# key	status	primaryFile	route	reason	bp
Held-by row [10235-203104]	done	src/components/social/feed/PostCard.tsx	/social	FIXED, MEASURED ON BOTH SIDES AT THREE BOARDS ON FIVE DRAWS. FIGMA `Frame 592` is a 24-tall HORIZONTAL row, gap 8, holding a 24 x 24 `images/circle` and `Frame 766`, whose three runs are "Held by" and "and N others" in Manrope Regular either side of the holder's name in Manrope Bold. Every run is #FFFFFF at letter-spacing -4%, on a 12/14 line at 375 and 12/16 at 768 and 1440. Read on `10235:203104` and `5194:271722` (1440), `11474:227977` (768), `11474:228115` and `11442:164085` (375) - five draws, same values. CODE BEFORE `text-xs/[16px] text-muted-foreground` on the row, `font-medium` on the name, no tracking: 16 of leading at every width against a drawn 14 at 375 (delta 2), #B3B9CC against #FFFFFF on two of the three runs, weight 500 against 700 (delta 200), and 0 tracking against -4%. CODE AFTER `text-xs/[14px] tracking-[-0.04em] text-foreground md:text-xs/[16px]` with `font-bold` on the name - 375 delta 0, 768 delta 0, 1440 delta 0 on leading, colour, weight and tracking. ALREADY MATCHED on the same node: avatar `h-6 w-6` = 24 against a drawn 24, delta 0; row `gap-2` = 8 against a drawn 8, delta 0. THE COUNT IS NOW MULISH, the numeric face the timestamp and the bonding labels on this card already take: four of the five draws write the digits as their own Mulish run inside the sentence (`10235:203109`, `5194:271727`, `11474:227982`, `11474:228120`) and the fifth, `11442:164090`, sets the whole line in Manrope. Named rather than averaged. ★ ONE THING MEASURED AND DELIBERATELY NOT SHIPPED: `Frame 766` declares itemSpacing 4 between its runs and the code separates them with word spaces, which carry about 2.6 at 12px on -4%, so each join sits roughly 1.4 short. Closing it means adjacent inline boxes with no character between them, which a screen reader reads as "Held byZack Trench". The reading is worth more than the 1.4, and the test says so rather than asserting a gap the code does not ship. ★ NO CARD ON TODAY'S FEED REACHES THIS BRANCH: `feedSource.ts:87` sets heldBy to null on every mapped row. ORACLE PostCard.figma.test.tsx, six new cases. MUTATION-CHECKED ten times, all RED: the flat `text-xs/[16px]` re-added beside the ramp (the exact defect, and EXTENDING - a substring check passes it), md leading 16 -> 160, `text-muted-foreground` re-added beside `text-foreground` (EXTENDING), `font-medium` re-added beside `font-bold` (EXTENDING), both word spaces closed, the count's face moved behind an `md:` variant (EXTENDING), the avatar 24 -> 240, the row gap moved behind an `md:` variant (EXTENDING), and the null gate loosened from truthy to defined.	desktop=done tablet=done mobile=done
Post card glyph colours [10235-203094]	done	src/components/social/feed/PostCard.tsx	/social	FIXED. FIVE GLYPHS, ONE DEFECT CLASS, AND THE ROW THAT MADE IT VISIBLE. FIGMA every glyph on this card is filled #FFFFFF at all three boards - the header's 16px tridots (`10235:203083` / `11474:227954` / `11474:228092`) and the action row's 24px heart, comment and share (`10235:203095` `10235:203097` `10235:203099` at 1440, `11474:227968` `11474:227970` `11474:227972` at 768, `11474:228106` `11474:228108` `11474:228110` at 375). CODE BEFORE the comment glyph was `text-foreground` = #FFFFFF and the tridots, heart and share were `text-muted-foreground` = #B3B9CC, so one row drew a white glyph between two grey neighbours. CODE AFTER all four resolve #FFFFFF - delta 0 at every board - with the hover moved to `text-foreground/80` so the affordance survives the resting colour, the same spelling `ComposePostDialog.tsx:243` already uses on its close control. ALREADY MATCHED, both sides: `Frame 757` gap 8 against `gap-2`, `Frame 761` gap 4 against `gap-1`, glyph boxes 24 against `h-6 w-6` and 16 against `h-4 w-4` - delta 0 on each. ★ THE 24s ARE SAFE FROM THE PRIMITIVE'S DESCENDANT RULE. `buttonVariants` carries `[&_svg]:size-4`, which compiles at 0,1,1 and outranks a caller's `size-6` at 0,1,0; it does not reach these because they are plain `button` elements, not the `Button` primitive. Checked rather than assumed. ★ THE LIKED HEART WAS NOT SWEPT UP WITH THE UNLIKED ONE: no board draws a liked card, so `text-red-500` stays and a test pins it. ORACLE PostCard.figma.test.tsx. MUTATION-CHECKED, all RED: the muted token re-added beside `text-foreground` on the tridots (EXTENDING), the heart and the share returned to it outright, the liked heart repainted `text-foreground`, and the share glyph 24 -> 16.	desktop=done tablet=done mobile=done
Comment field paperclip [10232-201778]	done	src/components/social/feed/PostCard.tsx	/social	FIXED, AND IT IS THE ROW THAT ONLY THE PLUGIN API COULD ANSWER. FIGMA the `icons/action` inside `Frame 667` is a 16px glyph whose FILL is a flat #FFFFFF and whose NODE opacity is 0.44 - `10232:201778` (1440), `11442:165535` (768), `11442:164098` (375), the same pair on all three. Those are two different numbers and neither alone is the drawn colour; the pair composites to white at 44% on the field's #001615. CODE BEFORE `text-muted-foreground` = #B3B9CC at full opacity. CODE AFTER `text-white/[0.44]` - delta 0 at all three boards. It is the same white-on-alpha idiom the timestamp above it already carries at 0.64, and the two are NOT the same number. ALREADY MATCHED on the same nodes: `Frame 667` gap 4 against `gap-1`, glyph 16 against `h-4 w-4`, placeholder Mulish #95A09F at 12/14 -> 14/16 -> 14/18 against `font-mulish text-xs/[14px] md:text-sm/[16px] xl:text-sm/[18px] placeholder:text-[#95A09F]` - delta 0 on family, colour, size and leading at every board. ORACLE PostCard.figma.test.tsx. MUTATION-CHECKED twice, both RED: the fill given without the node opacity (`text-white`), and the timestamp's 0.64 substituted for this glyph's own 0.44. An SVG's `className` is an SVGAnimatedString, so the class list is read off the attribute; reading `.className` returned an object and the assertion threw rather than passing vacuously.	desktop=done tablet=done mobile=done
Comment field send glyph [10232-201781]	done	src/components/social/feed/PostCard.tsx	/social	FIXED FOR THE STATE THE FRAMES DRAW, AND THE OTHER STATE IS NAMED RATHER THAN GUESSED. FIGMA the send `CTA/button` is 40 x 40, radius 8, fill #001615, padding 12 around a 16px glyph filled **#123F3C** - read on six draws, `10232:201781` and `10235:203120` (1440), `11442:165538` and `11474:227993` (768), `11442:164101` and `11474:228131` (375). On every one of the six the field beside it is empty, which is exactly the condition this button is disabled under (`!comment.trim()`). CODE BEFORE `text-white` in every state, so the empty card drew a live-looking send. CODE AFTER `disabled:text-[#123F3C] disabled:opacity-100` - delta 0 in the drawn state. The opt-out is load-bearing: `buttonVariants` ships `disabled:opacity-50`, which would have drawn the frame's full-opacity value at half of it, and the same spelling is what `ComposePostDialog`'s Post pill already uses for its own disabled fill. WHAT THE GLYPH TURNS ONCE THERE IS SOMETHING TO SEND IS DRAWN NOWHERE, so the enabled colour stays white and the test says that is why. ALREADY MATCHED: 40 x 40 against `h-10 w-10`, radius 8 against `rounded-[8px]`, fill #001615 against `bg-[#001615]`, and `Frame 464` gap 8 against `gap-2` - delta 0 at all three boards. ORACLE PostCard.figma.test.tsx. MUTATION-CHECKED twice, both RED: the disabled colour one hex digit off, and the opacity opt-out moved behind an `md:` variant (EXTENDING).	desktop=done tablet=done mobile=done
Story rail forward arrow [10235-203279]	done	src/components/social/feed/StoryRail.tsx	/social	FIXED. FIGMA `CTA/button` is a 36 circle with NO fill on a #123F3C 1px INSIDE hairline, padding 10 around a 16px `icons/action` whose glyph is filled #FFFFFF - `10235:203279` (1440), `11474:227204` (768), `11474:226938` (375), identical on all three. CODE BEFORE `text-muted-foreground` = #B3B9CC. CODE AFTER `text-foreground` = #FFFFFF with `hover:text-foreground/80` - delta 0 at every board. ALREADY MATCHED on the same nodes, both sides: 36 square against `h-9 w-9` (36), circle against `rounded-full`, hairline #123F3C against `border-border`, which IS `--border` = 176 56% 16% = #123F3C (index.css:530) - delta 0; glyph 16 against `h-4 w-4` - delta 0; and the arrow's top offset 34 / 29 / 24 against `mt-[24px] md:mt-[29px] xl:mt-[34px]`, which is (rail - 36) / 2 on each board - delta 0/0/0. ORACLE StoryRail.figma.test.tsx, one new case. MUTATION-CHECKED twice, both RED: `text-muted-foreground` re-added beside `text-foreground` (EXTENDING - a substring check passes it), and the hairline dropped to `border-border/60`, which would paint the one colour the frame states at 60% of it.	desktop=done tablet=done mobile=done
Story rail tile [11474-226918]	partial	src/components/social/feed/StoryRail.tsx	/social	CARRIED FORWARD, AND RE-MEASURED THIS PASS RATHER THAN QUOTED. The ring stroke is the one open axis and it still needs a ruling. FIGMA three accents appear across the tiles and none of them is either colour the code paints: `10235:203251`'s ring strokes #17F9B4 at 2px INSIDE (1440), `11474:227172` strokes #FF7E50 at 1.756 (768) and `11474:226921` strokes #FF7E50 at 1.561 (375), with #56C7F3 on other tiles. CODE resolves `border-primary` = #2DEDAD (index.css:493) and `border-border` = #123F3C, and NEITHER hex appears on any tile of any board, so both modelled states are wrong and the boards do not say which accent marks which. TWO OPTIONS, and the choice is a product one: (a) rule the ring a PER-CREATOR accent - wave 27 found the colour follows the creator rather than the position, @CryptosTraderX #17F9B4 on all three boards - and ship a deterministic three-way palette keyed off the author id, which drops the seen/unseen distinction the code models today; or (b) keep seen/unseen and rule which one accent means unseen and which means seen, then repaint both. ALREADY MATCHED, both sides, at three boards: tile 72/78/91 against `w-[72px] md:w-[78px] xl:w-[91px]`, ring 64/72/82 against its ramp, ring-to-caption 6 against `gap-[6px]`, caption 72/78/90 against its ramp - delta 0 on each.	desktop=partial tablet=partial mobile=partial
Create post - two images [10335-236021]	blocked-on-casey	src/components/social/feed/ComposePostDialog.tsx	/social	MEASURED IN FULL AND NOT BUILT, BECAUSE BUILDING IT CHANGES A CONTRACT OTHER LANES READ. FIGMA `Frame 1265` is a HORIZONTAL auto-layout, gap 8, holding two tiles that each FILL half of it: at 1440 (`10335:236102`) 460 wide over two 226 x 198.798 tiles at cornerRadius 12, each with a 36 x 36 circular remove control filled #001615 at opacity 0.44 inset 16 from the top and right (`10335:236037`, `10335:236093`); at 375 (`11527:291915`) 330 wide over two 161 x 161 tiles at the same radius with 32 x 32 controls inset 8 (`11527:291917`, `11527:291919`). The column above them, `Frame 1262`, carries itemSpacing 24 at both. CODE the composer holds ONE `imageUrl` in state, renders one full-width preview, and submits `{content, imageUrl, cashtag}`; `socialFeedService.createPost` takes a single `image_url` (`:232`, `:256`, `:430`). So a second image has nowhere to go without widening `FeedPost.media`, `feedSource`'s mapping and `PostCard`'s reader, all of which other lanes read. TWO OPTIONS: (a) ship two-image posts end to end - carry the second URL in the `posts.metadata` jsonb the service already writes (`socialFeedService.ts:443`), widen `FeedPost.media` to a list, and render `Frame 1265` in both the composer and the card, which needs no schema change; or (b) rule the state out of the product and record `10335:236021` / `11527:291862` as a drawing we do not offer, so the pair stops reading as unbuilt work. NOT GUESSED EITHER WAY - a composer that accepts two files and posts one is the shape of defect this repo has been burned by.	desktop=blocked tablet=n-a mobile=blocked
Create post - two images [11527-291862]	blocked-on-casey	src/components/social/feed/ComposePostDialog.tsx	/social	THE 375 HALF OF THE PAIR ABOVE, MEASURED ON THE SAME PASS. `Frame 1265` (`11527:291915`) is 330 x 161, HORIZONTAL gap 8, over `Frame 1263` and `Frame 1264` at 161 x 161 each - (330 - 8) / 2 closes it exactly - both cornerRadius 12 with an IMAGE fill, each holding a 32 x 32 circular `CTA/button` at cornerRadius 9999 filled #001615 at opacity 0.44, positioned (121, 8) in a 161 tile, i.e. inset 8 from the top and the right. The modal around it is 354 x 792 at (12702, 8915), radius 16, padding 12, itemSpacing 24 - identical to the single-image 375 composer `11442:177584`, so nothing but the tile row changes between the two states. Same ruling needed; see the row above.	mobile=blocked
Composer attachment preview [10335-235051]	done	src/components/social/feed/ComposePostDialog.tsx	/social	ALREADY MATCHED, BOTH SIDES, AT THREE BOARDS - RE-MEASURED THIS PASS AND NOT CARRIED FROM THE PRIOR ROW. FIGMA the remove control on the single-image preview is 32 x 32 at (290, 8) in a 330-wide tile at 375 (`11442:177600` in `11442:177599`, 330 - 290 - 32 = 8), 36 x 36 at inset 8/8 in a 368-wide tile at 768 (`11442:169659` at x=324 in `11442:169657`, 368 - 324 - 36 = 8), and 36 x 36 at inset 16/16 in a 460-wide tile at 1440 (`10335:235051` at x=408 y=15.899 in `10335:235050`, 460 - 408 - 36 = 16). CODE `absolute right-2 top-2 h-8 w-8 md:h-9 md:w-9 lg:right-4 lg:top-4` resolves 32 at inset 8/8 below 768, 36 at inset 8/8 from 768 to 1023, and 36 at inset 16/16 from 1024 - delta 0/0/0 on size and 0/0/0 on inset. Fill `bg-[#001615]/[0.44]` against a drawn #001615 at opacity 0.44 - delta 0. Tile radius `rounded-[12px]` against a drawn 12 at all three - delta 0. Column gap `mt-6` = 24 against `Frame 1262`'s itemSpacing 24 at all three - delta 0.	desktop=done tablet=done mobile=done
Post card header row [10235-203076]	done	src/components/social/feed/PostCard.tsx	/social	ALREADY MATCHED, BOTH SIDES, AT THREE BOARDS, EVERY VALUE READ OFF THE NODE THIS PASS. FIGMA `Frame 758` is 40 tall with `Frame 757` (a 40 avatar and the name, gap 8) on the left and `Frame 759` (Follow, timestamp, tridots, gap 8) on the right. Name Manrope Bold 14/16 at 375 (`11474:228088`), 14/18 at 768 (`11474:227950`), 16/22 at 1440 (`10235:203079`), #FFFFFF. Follow Manrope Regular #56C7F3 at 12/14, 12/16, 14/18. Timestamp Mulish Regular #FFFFFF at NODE opacity 0.64, 12/14, 14/16, 14/18. CODE `h-10 items-center gap-2` on the row and on both groups; `text-sm/[16px] font-bold tracking-[-0.04em] md:text-sm/[18px] xl:text-base/[22px]` on the name; `text-xs/[14px] md:text-xs/[16px] xl:text-sm/[18px] text-sky-blue` on Follow, and `sky-blue` IS #56C7F3 (design-tokens.ts:70); `font-mulish text-xs/[14px] md:text-sm/[16px] xl:text-sm/[18px] text-white/[0.64]` on the timestamp. DELTA 0 on family, weight, size, leading, tracking and colour at 375, 768 and 1440, and 0 on the avatar (40 against `h-10 w-10`) and both gaps (8 against `gap-2`).	desktop=done tablet=done mobile=done
