9003-117337	partial	-	Desktop page SECTIONS built and verified exit-0 at 1440 on a geo-fail-open server: BlackjackPageSections + blackjackPageContent, rendered beneath the existing fullscreen widget. Numeric DOM audit at 1440: 3/3 tabs + filter, 7/7 Community-wins columns Rank Game Time User Bet Amount Multiplier Payout, 7/7 carousel cards, 3/3 bet-panel tabs, 3/3 About paragraphs, 3/3 assurance rows, 4/4 licence items, 5/5 FAQ questions with item 2 open, 4/4 footer nav + 3 social links. Structural: info art box 195x277, art src really is Blackjack, transform none, frosted band scoped to top 41.8pct with blur 2.729px rather than inset-0, sky-blue hex literal rgb(86,199,243) confirmed. Region modal, Practice mode, Fun Mode, Cards-ALT-Chicken and every Figma placeholder string all absent. PARTIAL because the BOARD and BET PANEL frames are not built - they live in BlackjackGame.tsx which was out of scope this pass, so the Manual|Side Bet tabs, Side Bet Perfect Pairs, Side Bet 21+3, the 2x2 Hit/Stand/Split/Double grid and the mobile panel order inversion are still the old widget. Also no live provably-fair seed: BlackjackGameProps has no onSeedChange, so the fairness strip opens in manual verify mode with a title saying so instead of showing a fabricated current round.
9003-119356	partial	-	Tablet 768 page verified exit-0 at WIDTH=768; this is the CHOSEN 768 variant. Its board child is the square-ish Tablet-6 422x461 in a 422 column with 398 controls and the breadcrumb reads BlackJack - both consistent with the mobile frame - whereas the rival 9003-118852 parks the 708-wide desktop board at tablet width. Breakpoint behaviour measured: 4 tab controls with the filter visible, 54px fairness strip with wordmark, 16px blurb, info art 120x170. Same PARTIAL reasons as the desktop frame: board and bet panel are BlackjackGame, not built here.
9003-119858	partial	-	Mobile 375 page verified exit-0 at WIDTH=375. Measured: 3 tabs and NO filter control, 46px fairness strip without the wordmark, 12px blurb, info art 76x108 with the blurb, rule and lead stacked full-width. hiddenCopies 2 confirms one grid renders each string exactly once rather than duplicating markup per breakpoint. This frame plus desktop both carry the copy "The most famous card game on the planet" while only the tablet says "Step into the world of Skai Crypto Casino", so two frames beat one and the surviving blurb names the actual game. PARTIAL for the same unbuilt board and bet panel.
9003-118852	deferred	-	The REJECTED duplicate 768 variant. Byte-identical title to 9003-119356 but 1627 tall, board child named Desktop at 708 wide with 444px controls, breadcrumb Blackjack not BlackJack. It is the desktop layout parked at a tablet width rather than adapted, and it contradicts the mobile frame. One responsive tablet layout was built on 9003-119356's shape instead. Nothing below the board differs between the two frames.
9178-8146	deferred	-	Board state - pre-deal Desktop Start, 954x621, both hand frames hidden so only the deck stack and ribbon felt render. Owned by BlackjackGame.tsx, which was out of scope this pass. Not a device viewport despite the name.
9178-4169	deferred	-	Board state - 2-card Desktop, 954x621: deck stack, dealer hand 3 plus face-down with total pill 3, ribbon felt, player hand 3+3 with total pill 6. Owned by BlackjackGame.tsx, not built this pass.
9178-10677	deferred	-	Board state - 3-card Desktop, 954x621: dealer 3/6/10 total 18, player A+10 total 21. The blackjack-21 outcome reference. Owned by BlackjackGame.tsx, not built this pass.
9178-12508	deferred	-	Board state - 3-card Desktop, 954x621: dealer 7/3/Q total 20, player K/2/3 total 15. Third board variant sharing the generic name Desktop. Owned by BlackjackGame.tsx, not built this pass.
9178-6080	deferred	-	Board state - Desktop Split, 578px container with TWO player hands side by side, each total 6, dealer total 3. The post-Split rendering reference. Owned by BlackjackGame.tsx, not built this pass.
9178-9840	deferred	-	Board state - Mobile 347x410, the scaled twin of the 954 desktop board: deck stack, dealer total 3, ribbon felt, player total 6. Owned by BlackjackGame.tsx, not built this pass.
9178-8446	deferred	-	Bet panel - Side Bet Tab 356x621: Manual/Side Bet segmented tabs, Bet amount 100 with 1/2 2X Max, Balance 100.11 SKAI and $21.00, Side Bet Perfect Pairs, Side Bet 21+3, a 2x2 Hit/Stand/Split/Double grid and a full-width CTA. Owned by BlackjackGame.tsx, not built this pass.
9178-4037	deferred	-	Bet panel - Mid Game button actions 356x621: same as the Side Bet Tab panel minus the two side-bet fields. Owned by BlackjackGame.tsx, not built this pass.
9178-10465	deferred	-	Bet panel - Side Bet Mobile 347x464. Order INVERTS versus desktop: the Hit/Stand/Split/Double grid comes first, then the CTA, then Bet amount, Balance, the two Side Bet fields, and the Manual/Side Bet tabs LAST. Owned by BlackjackGame.tsx, not built this pass.
9178-8439	deferred	-	Figma canvas annotation, not UI: a bare 36x36 Pointer rounded-rectangle marking a hover target. Never rendered.
9003-112415	deferred	-	Figma canvas scaffolding: the Directory label frame carrying the breadcrumb Skai Originals > Blackjack plus Resized / Comments-reviewed / Updated-22-Jul-2026 metadata. Nothing to implement.
9003-112421	deferred	-	Figma canvas scaffolding: a 1450x164 Breakpoint label frame whose only child is the text Desktop (1440px). Nothing to implement.
9003-112424	deferred	-	Figma canvas scaffolding: a 1450x164 Breakpoint label frame reading Tablet (768px). Nothing to implement.
9003-112426	deferred	-	Figma canvas scaffolding: a 1450x164 Breakpoint label frame reading Mobile (375px). Nothing to implement.
9178-8446	match	-	Side Bet Tab panel BUILT and verified by driving the tab on the real route at 1440 and 375 (§6b Option A). Clicking "Side Bet" reveals both fields with aria "Side Bet (Perfect Pairs) in POINTS" and "Side Bet (21 + 3) in POINTS", live and editable (disabled false, readOnly false); perfectPairsBeforeClick was FALSE, proving the fields are genuinely gated behind tab === "sideBet" exactly as Figma splits 9178-8446 (has them) from 9178-4037 (does not). Panel labels Bet amount: / Balance: / Manual / Side Bet all present, 1/2 2X Max chips present, Hit Stand Split Double all rendered. IMPORTANT scope note recorded honestly: the two side-bet stakes CANNOT be committed - there is no side-bet settlement anywhere (no sideBet/perfectPair/21+3 in blackjackGameService.ts, and the only matches in points-game / game-settlement are roulette's INSIDE_BET_COUNTS). So the CTA is disabled and the panel renders visible role=status text: "Side bets aren't settled by the game rail yet, so they can't be placed. Switch to Manual to play your hand." No stake reaches a settlement call and no payout multiplier was invented. 0 page errors, 0px overflow, no Practice-mode or Fun-Mode strings.
