# key	status	primaryFile	route	reason	bp
Trade panel - Limit [3962-8653]	partial	src/components/trade/order/OrderEntryPanel.tsx	/trade/spot	Page 3:3, 313w. MATCH: shell r=16 (rounded-xl=16) ; header pad 4/16/0/16 = px-4 pt-1 ; body 3962:8665 pad 16 gap 32 = p-4 gap-8 ; tabs Manrope 14/18 ls-4% + gap 24 = gap-6 ; Market-direction 7732:33389 w281 h38 r12 pad4 gap8 fill #17F9B4@0.24 = rounded-lg p-1 gap-2 bg-alien-green-bright/[0.24] ; halves 132.5x30 pad 6/24 r8|r4 Mulish 14/18 -4% #001615|#FFFFFF = px-6 py-1.5 rounded-[8px]|[4px] ; footer 7735:33516 gap6 rows h14 Mulish 11/14 -4% #FFF@0.64|#FFF = gap-1.5 text-[11px] leading-[14px] ; Add-funds 7735:51210 w281 h36 r8 pad 6/40 fill #56C7F3@0.12 icon 24 = py-1.5 px-10 rounded-[8px] h-6 w-6. MISS 1: card 3962:8683 h=42 (pad 12 + 18 row, stroke INSIDE) vs code p-3+border-2 = 2+12+18+12+2 = 46, 4px over on every card. MISS 2: resting stroke frame #123F3C sw=1 vs code border-2 (2px). MISS 3: resting shadow frame 0/10/80 #000@0.25 vs code 0/4/12 @0.24 (focused 3962:8671 0/4/12 @0.24 IS exact). MISS 4: footer dividers frame #123F3C 1px vs code bg-white/10 which composites #2A3B3A on #122524.	desktop=partial
Skai > Trade > Spot - Limit 1VH (375 x 812px) [9774-83802]	partial	src/components/trade/order/OrderEntryPanel.tsx	/trade/spot	Page 3:3, 375w sheet 9774:89839. MATCH: sheet body 9774:89850 pad 16/12/80/12 col width 351 = 375-2*12 ; Market-direction 9774:89852 w351 h40 r12 pad4 gap8 fill #17F9B4@0.24 = rounded-lg p-1 gap-2 ; halves 167.5x32 r8|r4 pad 8/24 ; cards 9774:89856/89868 w351 h40 r12 pad12 fill #001615 stroke #123F3C sw1 gap 8 between = rounded-lg p-3 bg-green-coal-300 gap-2 ; Buy CTA 9774:89907 w351 h46 r12 pad 12/16 fill #001615@0.6 ; Add-funds 9774:89930 h32 r8 pad 8/40 fill #56C7F3@0.12 Manrope 14/16 -4% #56C7F3. MISS 1: card renders 46 (2+12+18+12+2) vs frame 40 - 6px over per card, from border-2 outside the pad AND an 18px line where the frame row is 16px. MISS 2: footer type frame Mulish 12/14 -4% here vs code hardcoded text-[11px] leading-[14px] (desktop 3962-8653 IS 11/14), so 1px small at 375. MISS 3: Buy CTA code py-3 px-10 = 12/40 vs frame pad 12/16, and h 42 vs 46. MISS 4: Add-funds code px-10 (40) vs frame 40 OK but icon h-6 (24) gives 36 vs frame 32.	mobile=partial
Skai > Trade > Spot - Pro > Scaled order 1VH (375 x 812px) [9775-95209]	partial	src/components/trade/order/ScaledOrderFields.tsx	/trade/spot	Page 3:3, 375w, ticket 9775:96659. GEOMETRY MATCH: col 351 = 375-2*12 ; cards 9775:96678/96687 165.5x40 r12 pad12 + 9775:96686 12px rule + 4px gaps (165.5*2+12+4*2=351) = rounded-lg p-3 gap-1 w-3 ; full cards 96705/96715 351x40 ; chip row 96744 gap=2, 4 x 86.25 = 351 ; leg preview 96754 y=394 h=62 ; three -- cells + Average price --. COLOUR MATCH: card fill #001615 = green-coal-300 ; resting stroke #123F3C = green-coal-100 ; filled stroke #17F9B4 sw2 = border-alien-green-bright border-2 ; labels #FFFFFF@0.64 = text-white/[0.64] ; Maker/Taker #FFFFFF@0.44 = text-white/[0.44]. TYPE MISSES: labels frame Manrope 12/14 ls-4% vs code text-xs leading-4 = 12/16 (2px line over) ; values frame Mulish 12/14 vs code text-sm leading-[18px] = 14/18 ; chips frame Mulish 12/16 vs code text-[11px] leading-[14px]. GEOMETRY MISSES: card renders 2+12+18+12+2 = 46 vs frame 40 (border-2 sits OUTSIDE p-3 where Figma strokeAlign=INSIDE) ; chips frame 86.25x24 pad 4/8/4/8 cornerRadius=0 vs code rounded-[4px] px-1 py-1 = 22 tall with a 4px corner the frame does not draw ; Buy CTA 96771 pad 12/16 vs code px-10 (40).	mobile=partial
Skai > Trade > Spot - Pro 1VH (375 x 812px) [9774-89981]	partial	src/components/trade/parts/ProOrderTypeMenu.tsx	/trade/spot	Page 3:3. Was unknown; now measured. The menu at 375 is 9774:91481: w=130 h=110 r=8 pad=8 gap=8 fill #122524 stroke #123F3C sw1/INSIDE fx DROP_SHADOW(12,0,4,#000@0.24); rows Manrope Regular 12/14 ls-4% #FFFFFF. Code ships ONE size: min-w-[137px] rounded-lg (12) p-2 gap-2 border border-green-coal-100 bg-green-coal-200 shadow-[0px_4px_12px_0px_rgba(0,0,0,0.24)], rows rounded-[4px] px-2 py-1.5 Manrope 14/18 -4%. That is EXACT against the desktop copy 7761:224662 (w137 h122 r12 pad8 gap8, rows 121x30 r4 pad 6/8/6/8, Manrope 14/18 -4% #FFFFFF, active fill #123F3C = bg-green-coal-100, shadow identical) and OFF at 375 on all three: radius 12 vs 8, min-width 137 vs 130, type 14/18 vs 12/14 (row height 30 vs the frame 26).	mobile=partial desktop=renders
Trade panel - Sell [3899-7131]	partial	src/components/trade/order/OrderEntryPanel.tsx	/trade/spot	Page 3:3, 313w, the Sell twin of 3962-8653 and geometrically identical to it: shell 313x672, header 3903:21299 r 16/16/0/0 pad 4/16/0/16, body 3899:7143 r 0/0/16/16 pad 16 gap 32, direction 3899:7145 281x38 r12 pad4 gap8, halves 132.5x30 pad 6/24, CTA 7712:33040 281x48 r12 pad 12/40 (= px-10 py-3 EXACT), footer 7712:33053 gap6 with #123F3C 1px rules, Add-funds 7735:51165 281x36 r8 pad 6/40 fill #56C7F3@0.12 icon 24 (EXACT). COLOUR MISS, and it is a TOKEN mismatch not a class one: the sell wrapper fills #FB3324@0.34 while the SELECTED sell half fills #FF574A. skai-red is #FF574A (design-tokens.ts:84), so bg-skai-red on the half is EXACT and bg-skai-red/[0.34] on the wrapper composites #633731 over #122524 where the frame paints #612A24. FRAME INCONSISTENCY: the unselected half here is r=8 (3899:7146) but r=4 in the Buy twin (7732:33391) - same component, two radii, so no single class can match both.	desktop=partial
Order book [7712-38425]	partial	src/components/trade/OrderBook.tsx	/trade/spot	Page 3:3, 277w. Frame: header 7712:38426 277x52 r 16/16/0/0 pad 4/16/0/16 fill #122524 ; body 7712:38436 r 0/0/16/16 fill #052D2D ; column heads 7712:38439 pad 4/16/4/16 gap 16 Mulish Regular 12/16 #95A09F ; book rows 18px tall, list gap 0. Code (src/components/trade/OrderBook.tsx, NOT my lane - reported not edited): panel bg-green-coal-100 (#123F3C) vs frame #052D2D ; rounded-2xl (24px, all four) vs the frame 16 on the bottom pair only ; border border-white/10 vs #123F3C ; column heads px-3 py-2 font-manrope vs frame pad 4/16 Mulish ; rows px-3 py-1 text-xs leading-4 = 24 tall vs 18.	desktop=partial
Notes [4020-49442]	furniture	-	-	Page 3:3. Node type is WIDGET, 342x363, name Notes - canvas chrome, excluded from the parity denominator per WAVE5 section 1. Was unknown.	desktop=n-a tablet=n-a mobile=n-a
Skai > Trade > Spot > Order book 1VH (375 x 812px) [9777-99794]	partial	src/pages/trade/Spot.tsx + src/components/trade/mobile/	/trade/spot	DEMOTION from done, and it is measured, not clerical. Frame 375w: book panel 9777:101085 375x360 pad 0/0/12/0 fill #052D2D with NO corner radius (full-bleed) ; book row 9777:101087 375x20 = pad 2 + a 16px inner row, inner pad 2/16/2/16 gap 12, header row fill #122524 ; spread row 9777:101161 375x20 fill #001615 ; market header 9777:99797 pad 16/16/12/16 gap 16 fill #122524, pair Manrope 18/22 ls-4% #FFFFFF, stat labels Manrope 10/12 ls-4% #95A09F, values Mulish 14/16 ls-4% #FFFFFF, change #17F9B4. Code OrderBook.tsx: panel bg-green-coal-100 #123F3C + rounded-2xl (24) + border-white/10 ; rows px-3 py-1 text-xs leading-4 = 4+16+4 = 24 tall vs 20, side pad 12 vs 16 ; spread row py-2 px-3 bg-green-coal-200 (#122524) vs frame #001615 with pad 2/16. Three axes, three misses.	mobile=partial
Skai > Trade > Spot > Sidebar 1VH (768 x 1024px) [13006-255386]	partial	src/components/layout/LeftSidebar.tsx	/trade/spot	Page 13006:134300. ATTRIBUTION CORRECTION: the registry names src/pages/trade/Spot.tsx + src/components/trade/mobile/. Read from node data the subject is the GLOBAL NAV sidebar drawn open OVER Spot - 13006:256547 "sidebar - open" 318x1024 - so the file that answers for it is src/components/layout/LeftSidebar.tsx. Frame: panel 318x1024 pad 9/8/9/8 fill #001615 stroke #123F3C ; search 13006:256553 302x40 r8 pad 8/24/8/16 placeholder Manrope 14/18 ls-4% #95A09F@0.74 ; nav rows 302x42 r8 pad 3/3/3/3 gap 4 ; icon container 36x36 r4 pad 10 ; labels Manrope Regular 14/18 ls-4% #FFFFFF ; active row fill #122524 ; a bottom row tinted #17F9B4@0.24. Code LeftSidebar.tsx: w-[248px] vs 318 ; px-2 = 8 EXACT but pt-3 pb-3 = 12 vs 9 ; row h-[42px] EXACT and gap-1 = 4 EXACT ; row rounded-lg = 12 vs the frame 8 (the offset-scale trap - pixel literal wanted) ; row pl-1 pr-3 = 4/12 vs 3/3/3/3 ; icon container h-9 w-9 = 36 EXACT but rounded-lg = 12 vs r4.	tablet=partial
Skai > Trade > Spot > Sidebar 1VH (375 x 812px) [13006-294295]	partial	src/components/layout/LeftSidebar.tsx	/trade/spot	Page 13006:134300. Same attribution correction as 13006-255386 - the subject is the global nav sidebar, not Spot.tsx. Frame 13006:295443 296x812 pad 9/8/9/8 fill #001615 stroke #123F3C ; column 280 = 296-2*8 ; search 280x40 r8 pad 8/24/8/16 ; nav rows 280x42 r8 pad 3 gap 4 ; bottom group 280x130 gap 2 with a #123F3C 1px rule and a #17F9B4@0.24 row. Code renders ONE expanded width (w-[248px]) at every breakpoint, so 248 vs 296 here and 248 vs 318 at 768 ; same row radius 12-vs-8 and pt/pb 12-vs-9 as the tablet row.	mobile=partial
