# key	status	primaryFile	route	reason	bp
Baccarat board win [9820-20610]	done	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (no /play/baccarat route; modal only, Play.tsx:2201 case "baccarat")	MEASURED 3 axes vs node 9820:20610 (954x621). GEOM board 954x621 r16 fill#001615 stroke#FFFFFF@0.10/1 = code max-w-[954px] sm:rounded-[16px] borderColor rgba(255,255,255,.1); win card 9820:20811 159x125 r8 pad32 innergap8 = code aspectRatio 159/125 rounded-[8px] width max(120px,16.67cqw)=159.0 gap 5.03cqw=8.00, justify-center yields (125-61)/2=32; rule 55x2 = 34.59cqw=55.0 x max(1px,1.26cqw)=2.00; bet row 735 y461 gap30 cells 225x110 r8 = min(100%,735px)/4.0816cqw=30.0/aspect 225:110/rounded-[8px]. TYPE multiplier Manrope Bold 18 = 11.32cqw of 159 = 18.00; payout Mulish Bold 14 = 8.805cqw = 14.00; cell label Manrope Bold 18.972 = 2.5812cqw of 735 = 18.97; cell value Mulish Bold 14 = 1.9048cqw = 14.00. COLOUR ring #17F9B4/4px = FELT.win borderWidth 4; shadow DROP_SHADOW 0,4 blur0 #0D7C5A@1.00 = boxShadow 0 4px 0 0 #0D7C5A; rule #1A2D2C = FELT.winRule; card fill #001615 = FELT.inset; cell #122524 = FELT.cell. Frame gap:10 on 9820:20811 is a no-op (single child) - real gap is its child 8.	desktop=renders @2026-08-31
Baccarat board dealt [9799-19202]	partial	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (no /play/baccarat route; modal only)	Board chrome measured and matches (954x621 r16 #001615 stroke #FFFFFF@0.10; bet row 735x110 y461 gap30 cells 225x110 r8 #122524; ribbon group 302x69 @326,276; Undo 58x18 @25,578 / Clear 56x18 @873,578). NOT measured: the dealt-hand subtree 9825:20829 (579x208 V gap 12) card-by-card - deferred for budget, so type/colour of the face-up card faces is unverified. Not promoted on two axes.	
Baccarat board pre-deal [9815-19487]	done	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (no /play/baccarat route; modal only, Play.tsx:2201 case "baccarat")	MEASURED 3 axes vs node 9815:19487 (954x621). GEOM board 954x621 r16 = max-w-[954px] sm:rounded-[16px], paddingBlock 52.5 turns the 516 column into 621; captions row 579x26 @187,55 gap 328 and hands gap 200.274 = calc(21.2517cqw-2.467px)=200.27; ribbon 302x69 @326,276 = 31.66cqw=302.03 + aspect 302/69, label top 20/69=28.99%; divider 2x116 @476,102; bet row 735x110 @109,461 gap30, cells 225x110 r8 = min(100%,735px)/4.0816cqw=30.0/aspect 225:110/rounded-[8px]; deck card 91.684x143.684 r13.684 step 9.579 (91.684-82.105) = BACK ratios exactly. TYPE captions Manrope Bold 18.972 box h26 = min(18.972px,2.532cqw)x1.3705=26.00; ribbon Mulish SemiBold 16/18px/-4% = RIBBON_FONT min(16px,2.477cqw)=16.0 lh 18px ls -0.04em; cell label Manrope Bold 18.972 = 2.5812cqw of 735; cell value Mulish Bold 14 = 1.9048cqw; Undo/Clear Mulish Regular 14/18px/-4%. COLOUR board #001615 stroke #FFFFFF@0.10/1 = FELT.inset + rgba(255,255,255,.1); cell #122524; captions #FFFFFF@0.30 = FELT.muted; ribbon text #FFFFFF@0.50 = text-white/50; card back GRAD #4CCEE9>#318597 = CARD_BACK_GRADIENT. FIXED THIS WAVE (3 abs-position offsets were resolving against 954x621 not the felt PADDING box 952x619): BACK.overhang 73->72 (node y=-72.000), DeckStack left 79.98%->80.147% (node x=764.000, was 1.6px left), Undo/Clear left/right 2.516%->2.521% and bottom 4.03%->3.877% (node 25 in / 25 up, was ~1px low). baccaratFeltParity.test.tsx 1 file 4 tests passed after.	desktop=renders @2026-08-31
Video Poker paytable [9760-9610]	frame-defect	modules/skai-gaming/src/components/play/games/cards/VideoPokerGame.tsx	/play/video-poker (src/App.tsx:1664, GeoRestrictedRoute feature="play" -> VideoPokerPage)	partial->frame-defect, joining its six already-defect siblings. THE FRAME PRINTS PAYOUTS THE RAIL WILL NOT PAY: 9760:9622 "60x" Straight Flush and 9760:9627 "22x" 4 of a Kind, where the server VP_PAYTABLE pays 50x and 25x. Casey ruled 2026-08-26 the 9/6 server table stays and the FRAME gets redrawn, so this frame can never reach parity as drawn. ALSO MEASURED, and the redraw needs it: 9760:9610 IS A UNIFORMLY SCALED COPY at exactly 0.5055125 - raw pad 6.066 / panel radius 6.066 / row gap 1.5165 / row h 16.176 / row radius 2.5276 / font 7.077 recover as 12 / 12 / 3 / 32 / 5 / 14. The shipped code transcribes the board-embedded copy 9760:10324, and EVERY number is this frame x 1.777778 (16/9) to 4 decimals: 10.784 pad, 2.696 row gap, 28.758 row h (5.879+17+5.879), 4.493 row radius, text-[12.582px]/[17px]. Only divergence is the panel radius, rounded-[11px] against 10.784 (+0.216px). COLOUR exact: panel #122524, hand cell #001615, multiplier cell #123F3C, text #FFFFFF, Manrope Bold. A lane reading this node RAW would file the paytable as 7px type on a 6px radius and demote the implementation - the scale is the trap.	desktop=renders @2026-08-31
Video Poker page desktop [9738-13101]	partial	modules/skai-gaming/src/pages/play/VideoPokerPageSections.tsx	/play/video-poker (src/App.tsx:1664)	Shell measured: 1440x3294 fill #001615, main 1382x3222 @58,56, Header-desktop 1440x56 pad 8/19, sidebar 58x844, footer strip 1382x16 #122524, content Frame 520 1318x2474 @32,24 V gap 24 (= the max-w-[1318px] page column in VideoPokerPageSections.tsx). NOT promoted: the ten regions inside render from PlayGameDetailSections.tsx, which is NOT in this lane's file ownership, so the type/colour axes of the region bodies were not measured here. TITLE IS STALE - reads "Skai > Play > Casino > Scratchers (1440 x 900px)"; see the misfiling row.	desktop=renders @2026-08-31
Video Poker page mobile [9738-13811]	partial	modules/skai-gaming/src/pages/play/VideoPokerPageSections.tsx	/play/video-poker (src/App.tsx:1664)	Shell measured: 375x1605 fill #001615, main 375x1604 @0,48, Header-mobile 375x48 pad 6/19, Bottom-navigation-mobile 375x54 @0,1551 fill #001615@0.60 with five 73x46 r8 tiles pad 6/20/6/16, bento 347x1283 @15,68 V gap 8, title row 328x36 @24,16 gap 8. NOT promoted for the same reason as the desktop cut - the bento bodies are PlayGameDetailSections. TITLE IS STALE - reads "Skai > Play > Casino > Blackjack (375 x 812px)".	mobile=renders @2026-08-31
Hi-Lo page mobile [9351-4708]	partial	modules/skai-gaming/src/components/play/games/cards/HiLoGame.tsx	/play/hilo (src/App.tsx:1602)	★ NOT A BLACKJACK FRAME. Titled "Skai > Play > Casino > Blackjack (375 x 812px)" but its own text nodes read "Hi-Lo", "Profit Higher: (1.17x)", "Profit Lower: (4.29x)", "Start Card" - this is the HI-LO mobile page, correctly filed, with a STALE TITLE. 375x1605. Kept partial, not measured: Casey ruled Hi-Lo stays the DICE ROLL and the card frames are parked, so this frame is not a live parity target. FRAME-DEFECT ELEMENT: the bet field prints "0.01 SKAI" - POINTS and sUSD only.	
Hi-Lo page tablet [9058-4372]	partial	modules/skai-gaming/src/components/play/games/cards/HiLoGame.tsx	/play/hilo (src/App.tsx:1602)	★ NOT A SCRATCHERS FRAME. Titled "Skai > Play > Casino > Scratchers (768 x 1024px)" but its text nodes read "Profit Higher: (1.17x)" / "Profit Lower: (4.29x)" / "0.01 SKAI" - the HI-LO tablet page, correctly filed, STALE TITLE. Real size 768x1627, not the 768x1024 the title claims. Parked with the rest of the Hi-Lo card frames per Casey's dice-roll ruling. FRAME-DEFECT ELEMENT: "0.01 SKAI" bet currency.	
Bingo bet panel Auto Advanced-OFF [9798-13370]	done	modules/skai-gaming/src/components/play/games/instant/bingo/BingoBetPanel.tsx	/play/bingo	MEASURED 3 axes (panel file is outside this lane's write scope - measured, not edited). GEOM root 356x621 r16 V gap16 pad16 = BingoBetPanel:417 lg:gap-4 lg:rounded-[16px] lg:p-4; mode track 324x42 r12 pad4 = :364 h-[42px] rounded-[12px] p-1; inset cards 42h r12 (bet field 160x42, Balls Dropped 324x42, Number of Bets 324x42) = BINGO_PANEL_CARD "h-[42px] rounded-[12px]"; chips 1/2 2X Max h42 pad 8/14 = :170 h-[42px] px-[14px]; Shuffle Card 324x42 r12 pad 12/30 = :603 px-[30px]; Advanced row 21.3h toggle 37.9x21.3; CTA 324x52 r16 pad 20/40 = :403 h-[52px] rounded-[16px]. TYPE labels Manrope Regular 12/16/-4% at 0.64 = BINGO_PANEL_LABEL text-[12px] leading-[16px] tracking-[-0.04em] text-white/64; values Mulish Regular 14/18/-4% = BINGO_PANEL_VALUE; sub-values Mulish 12/16/-4% at 0.64 = BINGO_PANEL_SUBVALUE; CTA Manrope Medium 16/22/-4% = :403 font-manrope text-[16px] font-medium leading-[22px] tracking-[-0.04em]. COLOUR panel #122524, inset #001615, chips/segment #123F3C, accent #56C7F3 with #001615 type = BINGO_PANEL exactly, 5 for 5. ONE DIVERGENCE, and the FRAME is self-inconsistent: 9798:13371's two identical mode pills are drawn r10 (Manual, inactive) and r12 (Auto, active); the code uses rounded-[10px] for both, so the active pill is 2px squarer than drawn.	desktop=renders @2026-08-31
Bingo bet panel Auto Advanced-ON [9798-13459]	done	modules/skai-gaming/src/components/play/games/instant/bingo/BingoBetPanel.tsx	/play/bingo	MEASURED 3 axes. GEOM root 356x835.3 r16 V gap16 pad16, and the 16 gap holds for all ten seams (16/58->74, 164->180, 246->262, 304->320, 386->402, 423.3->439.3, 505.3->521.3, 587.3->603.3, 669.3->685.3, 751.3->767.3, CTA bottom 819.3 + 16 pad = 835.3). Rows: toggle 324x42 r12; Bet amount 324x90; Balls Dropped 324x66; Shuffle Card 324x42 r12; Number of Bets 324x66; Advanced 324x21.3; On Win 324x66; On Loss 324x66; Stop on Win 324x66; Stop on Loss 324x66; CTA 324x52 r16 - all eleven present in BingoBetPanel.tsx's prop set and render order. SHADOW exact: node DROP_SHADOW 0,10 blur 80 #000000@0.25 = :418 shadow-[0_10px_80px_0_rgba(0,0,0,0.25)]. TYPE and COLOUR as 9798:13370 (same three ramps, same five surfaces). SAME 2px active-pill radius divergence. ★ DOC DRIFT TO FIX (files outside this lane): BingoBetPanel.tsx:5, bingoPanelTheme.ts:8 and bingoBetPanel.test.tsx all record this frame as 356 x 821; it is 356 x 835.3.	desktop=renders @2026-08-31
