# key	status	primaryFile	route	reason	bp
Outcome card up [8652-105738]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card up [8656-21090]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card up [10312-16873]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card up [10312-16881]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card - down [8652-105830]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card - down [8656-21098]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card - down [10312-16889]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card - down [10312-16897]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 432 RAMP IS BUILT AND THE CARD IS NOW MOUNTED. The eight 432x243 copies of this card agree to the pixel and were read one at a time, not rolled up: shell 432 wide, corner radius 24 on all four, fill #122524 at paint opacity 1 and node opacity 1, NO stroke, padding 48 top / 16 right / 48 bottom / 16 left, drop shadow blur 80 offset y+10 black at 25%; inner column 400 wide with a vertical gap of 16 down to the text block; ring slot 85 square with the circle stroked 2.0; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 on the up card and #FF574A on the down; sub-line Mulish Regular 14/16 at -4% centred #95A09F. The code shipped the 375 values at every width - ring 54, sub-line 12/14, 20 of top padding, 24 of bottom, no shadow - so a desktop viewer got a card two thirds the authored size. It now steps at 1024: ring 54 to 85, sub-line 12/14 to 14/16, padding 20/24 to 48/48, radius 16-top-24-bottom to 24 all round, the top rule dropped and the shadow flipped from y-10 to y+10. Geometry, colour and type all match at this width with ONE exception, which is why the row is not done: the ring is stroked in the winning side headline colour, where all eight cards draw the circle as an angular gradient running #FFFFFF at 0 to #56C7F3 at 22.1% to #56C7F3 at zero alpha at 100%, with a solid #56C7F3 tick, IDENTICALLY on the up and the down card. Taking that would move the outcome colour read entirely onto the headline. Two options are on the sheet for Casey rather than guessed at here.	desktop=partial
Outcome card up [10594-48358]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 375 CUT IS THE BASE OF THE NEW RAMP and everything inside the card now matches. Measured on the frame: shell 375 wide, fill #122524 at paint opacity 1 and node opacity 1, a 1px rule on the TOP EDGE ONLY in #123F3C - the other three sides read 0, so a whole-node strokes read reporting one paint says nothing about the sides and the shell parity note calling this card unstroked was wrong; padding 20 top / 16 right / 16 left; drop shadow blur 80 offset y-10 black at 25%; inner column 343 wide, vertical gap 16 to the text block; ring slot 54 square with the circle and tick both stroked 1.27; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 up and #FF574A down; sub-line Mulish Regular 12/14 at -4% centred #95A09F. THREE DELTAS REMAIN, two of them the frames own context. The frame is a fixed bottom SHEET - corner radius 0 on all four and 74 of bottom padding to clear the mobile nav - while the code card sits in the stacked trade rail and keeps 16 top / 24 bottom corners and 24 of bottom padding; a full-bleed square-cornered block with 74 of dead space under it would be wrong in flow. The third is real and is the same one the 432 cut carries: the ring is stroked in the winning side colour where the frame draws an angular gradient #FFFFFF to #56C7F3 to transparent with a solid #56C7F3 tick, the same on both sides.	mobile=partial
Outcome card - down [10594-48366]	partial	src/components/predict/detail/MarketOutcomeBanner.tsx	/predict/market/:marketType/:marketId	THE 375 CUT IS THE BASE OF THE NEW RAMP and everything inside the card now matches. Measured on the frame: shell 375 wide, fill #122524 at paint opacity 1 and node opacity 1, a 1px rule on the TOP EDGE ONLY in #123F3C - the other three sides read 0, so a whole-node strokes read reporting one paint says nothing about the sides and the shell parity note calling this card unstroked was wrong; padding 20 top / 16 right / 16 left; drop shadow blur 80 offset y-10 black at 25%; inner column 343 wide, vertical gap 16 to the text block; ring slot 54 square with the circle and tick both stroked 1.27; text block vertical gap 8; headline Manrope Regular 18/22 at -4% centred, #17F9B4 up and #FF574A down; sub-line Mulish Regular 12/14 at -4% centred #95A09F. THREE DELTAS REMAIN, two of them the frames own context. The frame is a fixed bottom SHEET - corner radius 0 on all four and 74 of bottom padding to clear the mobile nav - while the code card sits in the stacked trade rail and keeps 16 top / 24 bottom corners and 24 of bottom padding; a full-bleed square-cornered block with 74 of dead space under it would be wrong in flow. The third is real and is the same one the 432 cut carries: the ring is stroked in the winning side colour where the frame draws an angular gradient #FFFFFF to #56C7F3 to transparent with a solid #56C7F3 tick, the same on both sides.	mobile=partial
