# key	status	primaryFile	route	reason	bp
Skai > Trade > Trench > Hotkeys 1VH (375 x 812px) [13006-310854]	done	src/components/trench-redesign/discover/rightMenuChrome.tsx	/trench	Panel width re-measured on the Right menu node: 359 wide, 8px in from both edges, 796 tall on an 812 board. The shared chrome draws that with an uncapped calc(100%-1rem) float, so this width was never the defect. What was: the 442 tablet cap hung off the 640 breakpoint, so it also applied here from 640 up. Re-hinged to 768. Status unchanged because 375 always drew 359 either way.	mobile=done
Skai > Trade > Trench > Hotkeys 1VH (768x1024px) [13006-332803]	done	src/components/trench-redesign/discover/rightMenuChrome.tsx	/trench	Panel is 442 wide at x=318 on a 768 board, 1008 tall, 8px off the right and both vertical edges. Code caps at 442 and now hinges that cap at 768 instead of 640. The measured value is identical at this width, which is exactly why the earlier done survived: 375, 768 and 1440 are the three widths where a 640 hinge and a 768 hinge are indistinguishable, and the 640-767 band nobody measures drew the 442 tablet card.	tablet=done
Skai > Trade > Trench > Snipe settings 1VH (375 x 812px) [13006-314445]	done	src/components/trench-redesign/discover/rightMenuChrome.tsx	/trench	Second independent panel family, same geometry: Right menu 359 wide at x=8, 796 tall. Confirms the mobile tier is a float and not a declared width. Width cap re-hinged to the tablet breakpoint in the shared chrome; radius and padding already hinged there.	mobile=done
Skai > Trade > Trench > Snipe settings 1VH (768x1024px) [13006-337291]	done	src/components/trench-redesign/discover/rightMenuChrome.tsx	/trench	Right menu 442 wide at x=318, 1008 tall. Agrees with the Hotkeys twin at the same width, so 442 is a tablet-up value and not a desktop value applied early. Cap re-hinged from 640 to 768.	tablet=done
Skai > Trench > Trackers > Live trades 1VH (375x812px) [13006-320736]	unknown	src/components/trench-redesign/discover/TrenchTrackers.tsx	/trench	PANEL CHROME ONLY, and the screen stays unknown. Right menu - General is 359 wide at x=8, 796 tall, inner body inset 12 on both axes, which matches the shared chrome's mobile float and 12px pad. The table, rows and header are still unmeasured. Also unmeasured and left alone: the gear trigger above the table hides its label below 640. Both boards draw the panel OPEN, so neither shows a trigger, and there is no frame that says whether the label is present at either width.	mobile=unknown
Skai > Trench > Trackers > Live trades 1VH (768x1024px) [13006-345358]	unknown	src/components/trench-redesign/discover/TrenchTrackers.tsx	/trench	PANEL CHROME ONLY, and the screen stays unknown. Right menu - General is 442 wide at x=318, 1008 tall, inner body inset 20 on both axes - a third independent confirmation of 442 wide and 20 pad at the tablet width. Table geometry unmeasured.	tablet=unknown
Skai > Trade > Trench > Filters 1VH (768x1024px) [13006-338795]	partial	src/components/trench-redesign/discover/FiltersPanel.tsx	/trench	HINGE HALF CLOSED, radius half still open and still a Casey call. The 442 cap now starts at 768 rather than 640, so the panel no longer draws its tablet width across the 640-767 band. NOT closed and unchanged: this frame draws radius 12 at 442 wide while the Instant-trade-settings board draws radius 16 at the same 442 and the same padding 20, and one class serves seven panels.	tablet=partial
Skai > Trade > Trench > Alerts - toggle off 1VH (375 x 812px) [13006-312095]	done	src/components/trench-redesign/discover/AlertsModal.tsx	/trench	AUDITED FOR THE HINGE, NOTHING CHANGED. Modal is 354 wide with its body inset 12 on both axes. The tablet twin measures 448 wide with the SAME 12 inset, so padding takes no step between the two boards and the p-3 plus sm:p-3 pair encodes no step either. The sm: half is not dead weight: DialogContent's own base steps p-4 to p-6 at 640, and a media-query rule can only be answered from its own breakpoint, so dropping it would draw 24 across the whole tablet frame. Left as shipped.	mobile=done
Skai > Trade > Trench > Alerts - toggle off 1VH (768x1024px) [13006-334343]	done	src/components/trench-redesign/discover/AlertsModal.tsx	/trench	AUDITED FOR THE HINGE, NOTHING CHANGED. Modal 448 wide, body inset 12 on both axes - identical padding to the 375 board. No step, so no early hinge. The sm: restatement cancels the primitive's own 640 padding step and is correct where it is.	tablet=done
Skai > Trade > Trench > Blacklist 1VH (375 x 812px) [13006-309673]	done	src/components/trench-redesign/discover/BlacklistModal.tsx	/trench	AUDITED FOR THE HINGE, NOTHING CHANGED. Modal 354 wide, body inset 12 horizontal and 24 vertical. The tablet twin is 448 wide with the same 12/24, so neither axis steps between the two boards and the px-3 py-6 plus sm: restatement is a neutraliser for the primitive's 640 padding step, not a ramp landing early.	mobile=done
Skai > Trade > Trench > Blacklist 1VH (768x1024px) [13006-331324]	done	src/components/trench-redesign/discover/BlacklistModal.tsx	/trench	AUDITED FOR THE HINGE, NOTHING CHANGED. Modal 448 wide, body inset 12 horizontal and 24 vertical, matching its 375 twin exactly. Horizontal padding only steps at the desktop board, where it goes to 16.	tablet=done
Skai > Trade > Trench > One-click trade settings - modal off 1VH (375 x 812px) [13006-303738]	done	src/components/trench-redesign/trade/OneClickTradeModal.tsx	/trench	AUDITED FOR THE HINGE, NOTHING CHANGED. Modal 354 wide, body inset 12 on both axes; the tablet twin is 448 wide with the same 12. Third modal in this family to measure a flat padding across mobile and tablet, so all three sm: restatements are cancelling the primitive rather than ramping early.	mobile=done
Skai > Trade > Trench > One-click trade settings - modal off 1VH (768x1024px) [13006-323907]	done	src/components/trench-redesign/trade/OneClickTradeModal.tsx	/trench	AUDITED FOR THE HINGE, NOTHING CHANGED. Modal 448 wide, body inset 12 on both axes. Padding is flat 12 from 375 through 768 and only reaches 24 on the desktop board, which is where the lg: step already sits.	tablet=done
