9003-130613	match	-	Desktop page frame — CLOSED 2026-08-05. ROUTE NOW WIRED (Skai-Trading f0c229e1e adds /play/coinflip + /play/scratchers to src/App.tsx behind GeoRestrictedRoute), so the one blocker every page frame in this family was held on is gone and the assembled page WAS screenshotted end to end at exit-0. Verified on the live route at WIDTH=1440 (dev server, VITE_GEO_FAIL_OPEN=true because this box cannot reach Supabase to resolve a region; that env var is the file's own sanctioned local-dev opt-in, not a product change): every region the frame draws renders — widget (Manual|Auto, Currency, Bet amount + 1/2 2X Max, Balance, Game Mode Classic|Target, Continuous, Bet Heads + Bet Tails, Potential Profit: (1.95x), CTA), board with the 20-slot history strip, stats/fairness strip (Provably fair), tabs row (Game details / My stats / Live chat), game-info card, Community wins, More games from Skai, Bets panel, About Skai Play, assurances. Widget geometry was already measured on this frame and is unchanged: panel 356 wide, CTA 52h radius 16px fill rgb(86,199,243) = #56C7F3 on #001615 text, chips 1/2 2X Max at 42h, Manual|Auto track 42h radius 12, board card 16px radius on #001615 with a rgba(255,255,255,0.1) hairline. Potential Profit prints the REAL rail multiplier 1.95x — the same value points-game/index.ts play_coinflip pays — and Balance prints the honest 0 POINTS with an em-dash fiat rather than the frame's 100.11 SKAI / $21.00 placeholder. Deliberate divergences unchanged and still recorded in coinflipPageContent.ts: the frame's CRASH marketing blurb is a leftover so the mobile frame's real Coinflip copy is used; the Practice-mode toggle and Try-in-Fun-Mode line are dropped (standing product rule); the Blackjack-labelled placeholder win rows and Cards ALT - Chicken thumbnails are replaced by the live useRecentBets feed with honest empty states and the real per-game art.
9003-132438	match	-	Tablet 768 frame — THE ONE THIS BUILD FOLLOWS, of the two frames sharing this title — CLOSED 2026-08-05. ROUTE NOW WIRED (Skai-Trading f0c229e1e adds /play/coinflip + /play/scratchers to src/App.tsx behind GeoRestrictedRoute), so the one blocker every page frame in this family was held on is gone and the assembled page WAS screenshotted end to end at exit-0. Chosen because its stage is the 422px Mobile stage and its panel order puts the Bet Heads / Bet Tails pair FIRST with Manual|Auto LAST, the SAME order as the 375 mobile frame, so a single responsive order inversion at lg covers both; 9003-132031 uses a 708px Desktop stage and the desktop panel order, which would need a third tablet-only ordering. Re-verified on the live route at WIDTH=768: order measures cta-above-modeToggle (Bet Heads above Manual|Auto) exactly as drawn, at 1440 it inverts, and all seven page regions (Provably fair, Game details, Community wins, More games from Skai, Bets, About Skai Play, Instant payouts) are present. One DOM order, no duplicated CTA on the settlement path.
9003-132031	deferred	-	The SECOND 768 frame with a byte-identical title. Not implemented on purpose: it differs from 9003-132438 only by 20px of height, a 708px Desktop stage instead of the 422px Mobile one, and the desktop panel order at tablet width. Following it would require a tablet-only third ordering that contradicts the 375 mobile frame. Which one was picked and why is recorded at the top of coinflipPageContent.ts.
9178-14134	match	-	Mobile 375 page frame — CLOSED 2026-08-05. ROUTE NOW WIRED (Skai-Trading f0c229e1e adds /play/coinflip + /play/scratchers to src/App.tsx behind GeoRestrictedRoute), so the one blocker every page frame in this family was held on is gone and the assembled page WAS screenshotted end to end at exit-0. TITLE IS WRONG IN FIGMA — it reads "Skai > Play > Casino > Blackjack (375 x 812px)" but its breadcrumb, its info-card title and its blurb are all Coinflip's. Verified mislabel; content was trusted over the title, and this frame's blurb is therefore the authoritative description in coinflipPageContent.ts. Re-verified on the live route at WIDTH=375: panel order measures cta-above-modeToggle (Bet Heads top 492 vs Manual|Auto top 1020) as drawn, the Bet Heads + Bet Tails pair sits at the top, and the Classic history strip shows 17 of its 20 slots.
9178-14731	match	-	Classic board (Desktop, loss state). Card measured 16px radius on rgb(0,22,21) = #001615 with a rgba(255,255,255,0.1) hairline. The single coin is the designer's exported 299px art (heads.svg / tails.svg) on a preserve-3d card with the committed 299x15 edge strips (coin-edge-heads / coin-edge-tails) as a real 3-D edge band and coin-streak.svg as the ground shadow — no hand-drawn SVG anywhere. History strip measured 20 slots of 15px inside a 31h #122524 card at 5px radius, exactly as the frame draws; empty slots use the frame's white-50% dot. The frame's Tails-Loss red outline is reproduced as a settled-loss ring only (the win / Continuous frames draw none), so it stays a loss marker rather than decoration.
9190-14926	match	-	Continuous board. Same Classic board with the panel's Continuous toggle ON; the frame differs only in that its history slots are all empty, which is the honest state before the first flip and what renders. The Continuous panel's CTA (9205-19287, drawn as "Cashout" on a #001615 fill) ships as a stop-the-run control with the frame's inverted fill: each flip settles on its own on this rail, so there is no open position to bank and labelling it Cashout would promise something the rail does not do. Divergence noted in CoinFlipGame.tsx.
9190-15379	match	-	Target board, 4x5 grid of 20 coins. Measured at WIDTH=1440: 20 tiles, 5 columns, tile 112.61 vs Figma 112.6332, gap 7.98 vs 8, radius 10.81px exact, ring 2.999px inset vs Figma's 3 — and at 375 the SAME numbers as ratios (tile 36.47, gap 2.59, gap/tile 0.0710 identical to desktop's 7.98/112.61), because coinflipTheme.ts derives every metric off the 112.6332 tile instead of hardcoding two pixel sets. Tile fill #122524 with the coin art at 80.1948/112.6332 of the tile. The ring is an inset box-shadow, not a border: Chrome snaps border-width to whole device pixels and would round the mobile 1.549 stroke to 1.0, a 35% error. The frame draws exactly Minimum: coins bright and the rest dimmed, and that is reproduced off the live Minimum value.
9190-16004	match	-	Target board, post-bet resolved. Same board with per-coin outcome rings: matched coins take App/Green rgb(23,249,180) = #17F9B4 and unmatched take rgb(255,87,74) = #FF574A, both measured off the live DOM. Board footer measured as the frame's 1A2D2C strip with two #001615 value cards at 12px radius and a rgba(255,255,255,0.2) hairline.
9204-17308	match	-	Classic Auto board, row of 5. Measured 5 tiles, 5 columns, same tile 112.61 / gap 7.98 / radius 10.81 as the Target grid (one implementation, `layout="auto"`), with the frame's smaller 70/112.6332 coin art and its corner ordinal + side chip at Mulish 14 30% white. Coins: drives the row length live (verified 5 -> 3 via the minus stepper).
9204-17690	match	-	Classic Auto resolved. Same row with real per-flip results: each cell carries the side actually called and the side that actually landed, and takes the #17F9B4 / #FF574A ring accordingly. Cells are appended from settled rounds only — never pre-filled with invented outcomes.
