section	nodeId	change	title	why	implFiles
social	11530-303299	ADDED	dropdown - tridots	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303318	ADDED	dropdown - tridots	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303337	ADDED	dropdown - tridots - reply	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303366	ADDED	dropdown - tridots - reply	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303043	ADDED	dropdown-creators	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303066	ADDED	dropdown-creators	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-302842	ADDED	dropdown-post select	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-302866	ADDED	dropdown-post select	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303089	ADDED	dropdown-posts	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303116	ADDED	dropdown-posts	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303143	ADDED	dropdown-tokens	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303164	ADDED	dropdown-tokens	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303185	ADDED	dropdown-balances	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303236	ADDED	dropdown-balances	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303208	ADDED	dropdown-tokens	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303259	ADDED	dropdown-tokens	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303287	ADDED	dropdown-followers/following	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303293	ADDED	dropdown-followers/following	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11529-293029	ADDED	dropdown-creators	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11529-293244	ADDED	dropdown-creators	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-302910	ADDED	dropdown-time	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-302923	ADDED	dropdown-time	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-302936	ADDED	dropdown-main	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-302943	ADDED	dropdown-main	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303652	ADDED	Skai > Social > Messages > Sample Conversation > attachment 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11526-290354	ADDED	Skai > Social > Groups - search > Discover 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11526-290070	ADDED	Skai > Social > Groups - search > Created 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11526-289885	ADDED	Members - with requests	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11526-288877	ADDED	Skai > Social > Groups - search 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-304239	ADDED	Skai > Social > Groups - search 1VH (768 x 1024px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-303909	ADDED	Skai > Social > Messages > Sample Conversation > attachment 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-301774	ADDED	sidebar - open casino	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11530-301872	ADDED	sidebar - open casino	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
